destino_nombre,parada_cercana,tipo_transporte_codigo,distancia_parada_km,costo_traslado_local_q,tiempo_traslado_minutos
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 21,LANCHA,13.31,36.35,55
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 22,FLETERO,13.94,25.58,67
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 23,SHUTTLE,6.63,17.53,23
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 24,TAXI,5.05,36.46,24
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 25,TUC_TUC,10.8,48.33,50
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 26,EXTRAURBANO,11.83,22.66,47
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 27,LANCHA,13.93,21.44,41
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 28,FLETERO,6.3,12.03,19
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 29,SHUTTLE,13.95,21.82,36
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 30,TAXI,11.41,24.81,48
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 31,TUC_TUC,12.63,45.74,53
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 32,EXTRAURBANO,7.67,37.13,19
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 33,LANCHA,14.29,23.58,40
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 34,FLETERO,6.6,28.81,16
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 35,SHUTTLE,6.93,49.47,20
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 36,TAXI,6.13,42.56,24
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 37,TUC_TUC,9.44,39.46,31
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 38,EXTRAURBANO,0.58,32.24,2
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 39,LANCHA,8.59,40.85,23
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 40,FLETERO,10.93,42.37,29
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 41,SHUTTLE,6.48,25.14,19
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 42,TAXI,6.77,46.05,26
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 43,TUC_TUC,9.19,12.1,44
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 44,EXTRAURBANO,2.98,17.3,11
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 45,LANCHA,7.75,42.5,21
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 46,FLETERO,2.17,11.87,8
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 47,SHUTTLE,13.72,13.96,38
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 48,TAXI,8.49,6.42,40
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 49,TUC_TUC,1.78,19.5,8
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 50,EXTRAURBANO,10.35,22.84,33
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 51,LANCHA,11.2,7.96,50
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 52,FLETERO,6.84,34.69,18
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 53,SHUTTLE,3.74,43.79,17
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 54,TAXI,7.64,40.9,29
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 55,TUC_TUC,8.38,39.67,39
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 56,EXTRAURBANO,12.8,13.56,44
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 57,LANCHA,1.98,36.05,7
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 58,FLETERO,8.61,11.79,40
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 59,SHUTTLE,7.6,48.92,36
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 60,TAXI,12.54,25.04,58
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 61,TUC_TUC,5.99,46.1,17
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 62,EXTRAURBANO,1.55,23.95,6
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 63,LANCHA,6.88,37.64,25
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 64,FLETERO,14.56,30.28,38
Semuc Champey,Estación Central de Shuttle turístico cerca de Semuc Champey - Ref 65,SHUTTLE,2.49,21.45,11
Cuevas de Candelaria,Estación Central de Taxi local cerca de Cuevas de Candelaria - Ref 66,TAXI,0.73,25.1,2
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Tuc-tuc cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 67,TUC_TUC,8.0,8.92,31
Cobán,Estación Central de Autobús extraurbano cerca de Cobán - Ref 68,EXTRAURBANO,1.3,38.16,3
Esquipulas,Estación Central de Lancha colectiva cerca de Esquipulas - Ref 69,LANCHA,3.43,5.67,12
Basílica del Cristo Negro de Esquipulas,Estación Central de Microbús / Fletero cerca de Basílica del Cristo Negro de Esquipulas - Ref 70,FLETERO,13.26,37.57,39
Volcán de Pacaya,Estación Central de Shuttle turístico cerca de Volcán de Pacaya - Ref 71,SHUTTLE,13.48,45.07,64
Monterrico,Estación Central de Taxi local cerca de Monterrico - Ref 72,TAXI,4.78,27.71,23
Parque Nacional Sipacate-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Sipacate-Naranjo - Ref 73,TUC_TUC,3.36,17.45,11
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Autobús extraurbano cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 74,EXTRAURBANO,4.09,27.2,17
Parques Xetulul y Xocomil,Estación Central de Lancha colectiva cerca de Parques Xetulul y Xocomil - Ref 75,LANCHA,5.23,32.97,23
Puerto San José,Estación Central de Microbús / Fletero cerca de Puerto San José - Ref 76,FLETERO,3.31,29.53,14
Playa Tilapa,Estación Central de Shuttle turístico cerca de Playa Tilapa - Ref 77,SHUTTLE,7.7,24.28,29
Fuentes Georginas,Estación Central de Taxi local cerca de Fuentes Georginas - Ref 78,TAXI,6.51,38.36,17
Centro Histórico de Quetzaltenango,Estación Central de Tuc-tuc cerca de Centro Histórico de Quetzaltenango - Ref 79,TUC_TUC,14.24,16.64,66
Volcán Tajumulco,Estación Central de Autobús extraurbano cerca de Volcán Tajumulco - Ref 80,EXTRAURBANO,6.61,39.66,32
Laguna Brava,Estación Central de Lancha colectiva cerca de Laguna Brava - Ref 81,LANCHA,0.94,35.72,3
Cenotes de Candelaria,Estación Central de Microbús / Fletero cerca de Cenotes de Candelaria - Ref 82,FLETERO,14.12,43.01,39
Todos Santos Cuchumatán,Estación Central de Shuttle turístico cerca de Todos Santos Cuchumatán - Ref 83,SHUTTLE,2.96,8.83,13
Nebaj,Estación Central de Taxi local cerca de Nebaj - Ref 84,TAXI,7.16,30.49,24
Museo Nacional de Arqueología y Etnología,Estación Central de Tuc-tuc cerca de Museo Nacional de Arqueología y Etnología - Ref 85,TUC_TUC,12.44,23.63,50
Kaminaljuyú,Estación Central de Autobús extraurbano cerca de Kaminaljuyú - Ref 86,EXTRAURBANO,6.74,35.44,24
Zoológico La Aurora,Estación Central de Lancha colectiva cerca de Zoológico La Aurora - Ref 87,LANCHA,2.61,22.06,9
Centro Histórico de la Ciudad de Guatemala,Estación Central de Microbús / Fletero cerca de Centro Histórico de la Ciudad de Guatemala - Ref 88,FLETERO,5.8,33.76,17
Mixco Viejo,Estación Central de Shuttle turístico cerca de Mixco Viejo - Ref 89,SHUTTLE,7.88,8.53,39
Volcán Acatenango,Estación Central de Taxi local cerca de Volcán Acatenango - Ref 90,TAXI,10.29,27.16,28
Volcán de Agua,Estación Central de Tuc-tuc cerca de Volcán de Agua - Ref 91,TUC_TUC,10.39,11.78,38
Hobbitenango,Estación Central de Autobús extraurbano cerca de Hobbitenango - Ref 92,EXTRAURBANO,13.02,18.95,53
Museo Miraflores,Estación Central de Lancha colectiva cerca de Museo Miraflores - Ref 93,LANCHA,1.38,43.92,6
Reserva de Biosfera Sierra de las Minas,Estación Central de Microbús / Fletero cerca de Reserva de Biosfera Sierra de las Minas - Ref 94,FLETERO,3.35,29.91,11
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Shuttle turístico cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 95,SHUTTLE,11.76,45.29,57
Volcán y Laguna de Ipala,Estación Central de Taxi local cerca de Volcán y Laguna de Ipala - Ref 96,TAXI,2.59,14.04,7
Lago de Güija,Estación Central de Tuc-tuc cerca de Lago de Güija - Ref 97,TUC_TUC,9.69,35.11,38
Volcán Suchitán,Estación Central de Autobús extraurbano cerca de Volcán Suchitán - Ref 98,EXTRAURBANO,12.77,32.17,56
Playa Blanca,Estación Central de Lancha colectiva cerca de Playa Blanca - Ref 99,LANCHA,7.07,45.35,34
Laguna Lachuá,Estación Central de Microbús / Fletero cerca de Laguna Lachuá - Ref 100,FLETERO,1.9,43.79,5
Antigua Guatemala,Estación Central de Shuttle turístico cerca de Antigua Guatemala - Ref 101,SHUTTLE,13.76,19.32,37
Parque Nacional Tikal,Estación Central de Taxi local cerca de Parque Nacional Tikal - Ref 102,TAXI,6.95,39.1,33
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Tuc-tuc cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 103,TUC_TUC,14.06,38.68,35
Sitio arqueológico El Mirador,Estación Central de Autobús extraurbano cerca de Sitio arqueológico El Mirador - Ref 104,EXTRAURBANO,1.51,49.17,4
Uaxactún,Estación Central de Lancha colectiva cerca de Uaxactún - Ref 105,LANCHA,4.57,38.65,22
Lago de Atitlán,Estación Central de Microbús / Fletero cerca de Lago de Atitlán - Ref 106,FLETERO,8.29,12.26,35
Panajachel,Estación Central de Shuttle turístico cerca de Panajachel - Ref 107,SHUTTLE,6.28,44.25,21
San Juan La Laguna,Estación Central de Taxi local cerca de San Juan La Laguna - Ref 108,TAXI,4.18,11.09,14
Chichicastenango,Estación Central de Tuc-tuc cerca de Chichicastenango - Ref 109,TUC_TUC,13.19,27.91,61
Iximché,Estación Central de Autobús extraurbano cerca de Iximché - Ref 110,EXTRAURBANO,2.71,23.36,9
Parque Arqueológico Quiriguá,Estación Central de Lancha colectiva cerca de Parque Arqueológico Quiriguá - Ref 111,LANCHA,13.59,20.64,64
Río Dulce,Estación Central de Microbús / Fletero cerca de Río Dulce - Ref 112,FLETERO,13.16,43.13,49
Castillo de San Felipe de Lara,Estación Central de Shuttle turístico cerca de Castillo de San Felipe de Lara - Ref 113,SHUTTLE,5.35,42.64,21
Livingston,Estación Central de Taxi local cerca de Livingston - Ref 114,TAXI,10.11,26.69,43
Semuc Champey,Estación Central de Tuc-tuc cerca de Semuc Champey - Ref 115,TUC_TUC,9.67,36.0,37
Cuevas de Candelaria,Estación Central de Autobús extraurbano cerca de Cuevas de Candelaria - Ref 116,EXTRAURBANO,5.5,19.6,25
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Lancha colectiva cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 117,LANCHA,6.11,10.33,25
Cobán,Estación Central de Microbús / Fletero cerca de Cobán - Ref 118,FLETERO,3.27,13.71,15
Esquipulas,Estación Central de Shuttle turístico cerca de Esquipulas - Ref 119,SHUTTLE,8.88,39.56,34
Basílica del Cristo Negro de Esquipulas,Estación Central de Taxi local cerca de Basílica del Cristo Negro de Esquipulas - Ref 120,TAXI,3.56,29.79,15
Volcán de Pacaya,Estación Central de Tuc-tuc cerca de Volcán de Pacaya - Ref 121,TUC_TUC,15.0,46.88,72
Monterrico,Estación Central de Autobús extraurbano cerca de Monterrico - Ref 122,EXTRAURBANO,3.86,38.31,12
Parque Nacional Sipacate-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Sipacate-Naranjo - Ref 123,LANCHA,4.52,22.61,19
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Microbús / Fletero cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 124,FLETERO,9.66,9.07,46
Parques Xetulul y Xocomil,Estación Central de Shuttle turístico cerca de Parques Xetulul y Xocomil - Ref 125,SHUTTLE,8.84,21.35,27
Puerto San José,Estación Central de Taxi local cerca de Puerto San José - Ref 126,TAXI,7.65,22.31,29
Playa Tilapa,Estación Central de Tuc-tuc cerca de Playa Tilapa - Ref 127,TUC_TUC,11.73,21.79,45
Fuentes Georginas,Estación Central de Autobús extraurbano cerca de Fuentes Georginas - Ref 128,EXTRAURBANO,14.59,49.57,40
Centro Histórico de Quetzaltenango,Estación Central de Lancha colectiva cerca de Centro Histórico de Quetzaltenango - Ref 129,LANCHA,12.69,9.15,61
Volcán Tajumulco,Estación Central de Microbús / Fletero cerca de Volcán Tajumulco - Ref 130,FLETERO,9.0,47.04,30
Laguna Brava,Estación Central de Shuttle turístico cerca de Laguna Brava - Ref 131,SHUTTLE,4.47,39.68,19
Cenotes de Candelaria,Estación Central de Taxi local cerca de Cenotes de Candelaria - Ref 132,TAXI,11.74,39.97,52
Todos Santos Cuchumatán,Estación Central de Tuc-tuc cerca de Todos Santos Cuchumatán - Ref 133,TUC_TUC,0.81,16.69,3
Nebaj,Estación Central de Autobús extraurbano cerca de Nebaj - Ref 134,EXTRAURBANO,3.59,48.36,11
Museo Nacional de Arqueología y Etnología,Estación Central de Lancha colectiva cerca de Museo Nacional de Arqueología y Etnología - Ref 135,LANCHA,6.68,6.28,28
Kaminaljuyú,Estación Central de Microbús / Fletero cerca de Kaminaljuyú - Ref 136,FLETERO,13.7,20.67,51
Zoológico La Aurora,Estación Central de Shuttle turístico cerca de Zoológico La Aurora - Ref 137,SHUTTLE,2.64,32.66,6
Centro Histórico de la Ciudad de Guatemala,Estación Central de Taxi local cerca de Centro Histórico de la Ciudad de Guatemala - Ref 138,TAXI,8.3,41.1,29
Mixco Viejo,Estación Central de Tuc-tuc cerca de Mixco Viejo - Ref 139,TUC_TUC,7.93,25.29,27
Volcán Acatenango,Estación Central de Autobús extraurbano cerca de Volcán Acatenango - Ref 140,EXTRAURBANO,12.68,12.87,34
Volcán de Agua,Estación Central de Lancha colectiva cerca de Volcán de Agua - Ref 141,LANCHA,9.72,41.08,33
Hobbitenango,Estación Central de Microbús / Fletero cerca de Hobbitenango - Ref 142,FLETERO,3.09,16.64,13
Museo Miraflores,Estación Central de Shuttle turístico cerca de Museo Miraflores - Ref 143,SHUTTLE,12.67,18.39,60
Reserva de Biosfera Sierra de las Minas,Estación Central de Taxi local cerca de Reserva de Biosfera Sierra de las Minas - Ref 144,TAXI,8.4,40.76,39
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Tuc-tuc cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 145,TUC_TUC,14.18,36.97,61
Volcán y Laguna de Ipala,Estación Central de Autobús extraurbano cerca de Volcán y Laguna de Ipala - Ref 146,EXTRAURBANO,12.75,40.55,33
Lago de Güija,Estación Central de Lancha colectiva cerca de Lago de Güija - Ref 147,LANCHA,8.84,38.85,24
Volcán Suchitán,Estación Central de Microbús / Fletero cerca de Volcán Suchitán - Ref 148,FLETERO,0.56,20.28,2
Playa Blanca,Estación Central de Shuttle turístico cerca de Playa Blanca - Ref 149,SHUTTLE,14.12,5.69,65
Laguna Lachuá,Estación Central de Taxi local cerca de Laguna Lachuá - Ref 150,TAXI,12.78,12.91,37
Antigua Guatemala,Estación Central de Tuc-tuc cerca de Antigua Guatemala - Ref 151,TUC_TUC,12.15,18.29,54
Parque Nacional Tikal,Estación Central de Autobús extraurbano cerca de Parque Nacional Tikal - Ref 152,EXTRAURBANO,5.99,43.0,16
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Lancha colectiva cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 153,LANCHA,14.91,8.99,42
Sitio arqueológico El Mirador,Estación Central de Microbús / Fletero cerca de Sitio arqueológico El Mirador - Ref 154,FLETERO,10.69,5.54,43
Uaxactún,Estación Central de Shuttle turístico cerca de Uaxactún - Ref 155,SHUTTLE,4.14,45.0,12
Lago de Atitlán,Estación Central de Taxi local cerca de Lago de Atitlán - Ref 156,TAXI,12.21,8.8,32
Panajachel,Estación Central de Tuc-tuc cerca de Panajachel - Ref 157,TUC_TUC,11.19,19.1,42
San Juan La Laguna,Estación Central de Autobús extraurbano cerca de San Juan La Laguna - Ref 158,EXTRAURBANO,8.84,16.76,23
Chichicastenango,Estación Central de Lancha colectiva cerca de Chichicastenango - Ref 159,LANCHA,0.7,41.33,2
Iximché,Estación Central de Microbús / Fletero cerca de Iximché - Ref 160,FLETERO,11.88,5.98,41
Parque Arqueológico Quiriguá,Estación Central de Shuttle turístico cerca de Parque Arqueológico Quiriguá - Ref 161,SHUTTLE,11.34,36.78,47
Río Dulce,Estación Central de Taxi local cerca de Río Dulce - Ref 162,TAXI,11.93,8.08,49
Castillo de San Felipe de Lara,Estación Central de Tuc-tuc cerca de Castillo de San Felipe de Lara - Ref 163,TUC_TUC,6.74,8.98,17
Livingston,Estación Central de Autobús extraurbano cerca de Livingston - Ref 164,EXTRAURBANO,8.66,15.46,26
Semuc Champey,Estación Central de Lancha colectiva cerca de Semuc Champey - Ref 165,LANCHA,7.68,7.65,23
Cuevas de Candelaria,Estación Central de Microbús / Fletero cerca de Cuevas de Candelaria - Ref 166,FLETERO,10.39,9.5,40
Biotopo del Quetzal Mario Dary Rivera,Estación Central de Shuttle turístico cerca de Biotopo del Quetzal Mario Dary Rivera - Ref 167,SHUTTLE,5.83,34.53,19
Cobán,Estación Central de Taxi local cerca de Cobán - Ref 168,TAXI,13.37,37.95,51
Esquipulas,Estación Central de Tuc-tuc cerca de Esquipulas - Ref 169,TUC_TUC,12.98,16.54,40
Basílica del Cristo Negro de Esquipulas,Estación Central de Autobús extraurbano cerca de Basílica del Cristo Negro de Esquipulas - Ref 170,EXTRAURBANO,11.17,33.03,40
Volcán de Pacaya,Estación Central de Lancha colectiva cerca de Volcán de Pacaya - Ref 171,LANCHA,1.9,31.82,7
Monterrico,Estación Central de Microbús / Fletero cerca de Monterrico - Ref 172,FLETERO,8.35,22.94,33
Parque Nacional Sipacate-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Sipacate-Naranjo - Ref 173,SHUTTLE,2.03,11.56,8
Parque Arqueológico Nacional Tak’alik Ab’aj,Estación Central de Taxi local cerca de Parque Arqueológico Nacional Tak’alik Ab’aj - Ref 174,TAXI,13.47,40.25,56
Parques Xetulul y Xocomil,Estación Central de Tuc-tuc cerca de Parques Xetulul y Xocomil - Ref 175,TUC_TUC,3.95,5.06,16
Puerto San José,Estación Central de Autobús extraurbano cerca de Puerto San José - Ref 176,EXTRAURBANO,7.43,8.06,24
Playa Tilapa,Estación Central de Lancha colectiva cerca de Playa Tilapa - Ref 177,LANCHA,7.71,40.55,30
Fuentes Georginas,Estación Central de Microbús / Fletero cerca de Fuentes Georginas - Ref 178,FLETERO,14.72,24.61,47
Centro Histórico de Quetzaltenango,Estación Central de Shuttle turístico cerca de Centro Histórico de Quetzaltenango - Ref 179,SHUTTLE,13.46,25.01,55
Volcán Tajumulco,Estación Central de Taxi local cerca de Volcán Tajumulco - Ref 180,TAXI,1.24,38.52,5
Laguna Brava,Estación Central de Tuc-tuc cerca de Laguna Brava - Ref 181,TUC_TUC,6.28,8.03,29
Cenotes de Candelaria,Estación Central de Autobús extraurbano cerca de Cenotes de Candelaria - Ref 182,EXTRAURBANO,11.09,40.18,54
Todos Santos Cuchumatán,Estación Central de Lancha colectiva cerca de Todos Santos Cuchumatán - Ref 183,LANCHA,10.87,30.78,43
Nebaj,Estación Central de Microbús / Fletero cerca de Nebaj - Ref 184,FLETERO,4.49,34.13,15
Museo Nacional de Arqueología y Etnología,Estación Central de Shuttle turístico cerca de Museo Nacional de Arqueología y Etnología - Ref 185,SHUTTLE,9.2,24.93,24
Kaminaljuyú,Estación Central de Taxi local cerca de Kaminaljuyú - Ref 186,TAXI,9.83,6.29,31
Zoológico La Aurora,Estación Central de Tuc-tuc cerca de Zoológico La Aurora - Ref 187,TUC_TUC,6.83,24.36,34
Centro Histórico de la Ciudad de Guatemala,Estación Central de Autobús extraurbano cerca de Centro Histórico de la Ciudad de Guatemala - Ref 188,EXTRAURBANO,3.35,25.35,15
Mixco Viejo,Estación Central de Lancha colectiva cerca de Mixco Viejo - Ref 189,LANCHA,10.64,13.33,33
Volcán Acatenango,Estación Central de Microbús / Fletero cerca de Volcán Acatenango - Ref 190,FLETERO,10.19,17.61,39
Volcán de Agua,Estación Central de Shuttle turístico cerca de Volcán de Agua - Ref 191,SHUTTLE,10.13,28.27,45
Hobbitenango,Estación Central de Taxi local cerca de Hobbitenango - Ref 192,TAXI,3.93,49.64,16
Museo Miraflores,Estación Central de Tuc-tuc cerca de Museo Miraflores - Ref 193,TUC_TUC,3.48,41.36,13
Reserva de Biosfera Sierra de las Minas,Estación Central de Autobús extraurbano cerca de Reserva de Biosfera Sierra de las Minas - Ref 194,EXTRAURBANO,5.22,25.83,21
Museo de Paleontología y Arqueología de Estanzuela,Estación Central de Lancha colectiva cerca de Museo de Paleontología y Arqueología de Estanzuela - Ref 195,LANCHA,4.25,8.33,13
Volcán y Laguna de Ipala,Estación Central de Microbús / Fletero cerca de Volcán y Laguna de Ipala - Ref 196,FLETERO,1.28,10.6,5
Lago de Güija,Estación Central de Shuttle turístico cerca de Lago de Güija - Ref 197,SHUTTLE,13.71,9.67,57
Volcán Suchitán,Estación Central de Taxi local cerca de Volcán Suchitán - Ref 198,TAXI,6.45,40.1,27
Playa Blanca,Estación Central de Tuc-tuc cerca de Playa Blanca - Ref 199,TUC_TUC,8.32,38.61,32
Laguna Lachuá,Estación Central de Autobús extraurbano cerca de Laguna Lachuá - Ref 200,EXTRAURBANO,10.14,45.1,37
Antigua Guatemala,Estación Central de Lancha colectiva cerca de Antigua Guatemala - Ref 201,LANCHA,14.91,23.6,37
Parque Nacional Tikal,Estación Central de Microbús / Fletero cerca de Parque Nacional Tikal - Ref 202,FLETERO,7.94,25.77,27
Parque Nacional Yaxhá-Nakum-Naranjo,Estación Central de Shuttle turístico cerca de Parque Nacional Yaxhá-Nakum-Naranjo - Ref 203,SHUTTLE,12.64,49.8,55
Sitio arqueológico El Mirador,Estación Central de Taxi local cerca de Sitio arqueológico El Mirador - Ref 204,TAXI,4.95,15.53,24
Uaxactún,Estación Central de Tuc-tuc cerca de Uaxactún - Ref 205,TUC_TUC,3.86,22.05,15
Lago de Atitlán,Estación Central de Autobús extraurbano cerca de Lago de Atitlán - Ref 206,EXTRAURBANO,10.7,44.31,49
Panajachel,Estación Central de Lancha colectiva cerca de Panajachel - Ref 207,LANCHA,9.31,46.85,40
San Juan La Laguna,Estación Central de Microbús / Fletero cerca de San Juan La Laguna - Ref 208,FLETERO,4.67,23.05,18
Chichicastenango,Estación Central de Shuttle turístico cerca de Chichicastenango - Ref 209,SHUTTLE,11.59,13.8,34
Iximché,Estación Central de Taxi local cerca de Iximché - Ref 210,TAXI,9.6,21.63,42
Parque Arqueológico Quiriguá,Estación Central de Tuc-tuc cerca de Parque Arqueológico Quiriguá - Ref 211,TUC_TUC,3.75,30.32,18
Río Dulce,Estación Central de Autobús extraurbano cerca de Río Dulce - Ref 212,EXTRAURBANO,8.71,48.62,30
Castillo de San Felipe de Lara,Estación Central de Lancha colectiva cerca de Castillo de San Felipe de Lara - Ref 213,LANCHA,6.81,29.71,18
Livingston,Estación Central de Microbús / Fletero cerca de Livingston - Ref 214,FLETERO,5.75,49.37,16
