codigo,origen_municipio_nombre,destino_municipio_nombre,tipo_transporte_codigo
RUT_132_179_0131,San Francisco La Unión,San Rafael Pie de la Cuesta,FLETERO
RUT_133_180_0132,El Palmar,Nuevo Progreso,EXTRAURBANO
RUT_134_181_0133,Coatepeque,El Tumbador,EXTRAURBANO
RUT_135_182_0134,Génova,El Rodeo,TAXI
RUT_136_183_0135,Flores Costa Cuca,Malacatán,SHUTTLE
RUT_137_184_0136,La Esperanza,Catarina,EXTRAURBANO
RUT_138_185_0137,Palestina de Los Altos,Ayutla,TAXI
RUT_139_186_0138,Mazatenango,Ocós,FLETERO
RUT_140_187_0139,Cuyotenango,San Pablo,SHUTTLE
RUT_141_188_0140,San Francisco Zapotitlán,El Quetzal,FLETERO
RUT_142_189_0141,San Bernardino,La Reforma,SHUTTLE
RUT_143_190_0142,San José El Ídolo,Pajapita,SHUTTLE
RUT_144_191_0143,Santo Domingo Suchitepéquez,Ixchiguán,SHUTTLE
RUT_145_192_0144,San Lorenzo,San José Ojetenam,FLETERO
RUT_146_193_0145,Samayac,San Cristóbal Cucho,EXTRAURBANO
RUT_147_194_0146,San Pablo Jocopilas,Sipacapa,SHUTTLE
RUT_148_195_0147,San Antonio Suchitepéquez,Esquipulas Palo Gordo,EXTRAURBANO
RUT_149_196_0148,San Miguel Panán,Río Blanco,FLETERO
RUT_150_197_0149,San Gabriel,San Lorenzo,TAXI
RUT_151_198_0150,Chicacao,La Blanca,FLETERO
RUT_152_199_0151,Patulul,Huehuetenango,TAXI
RUT_153_200_0152,Santa Bárbara,Chiantla,TAXI
RUT_154_201_0153,San Juan Bautista,Malacatancito,TAXI
RUT_155_202_0154,Santo Tomás La Unión,Cuilco,EXTRAURBANO
RUT_156_203_0155,Zunilito,Nentón,EXTRAURBANO
RUT_157_204_0156,Pueblo Nuevo,San Pedro Necta,TAXI
RUT_158_205_0157,Río Bravo,Jacaltenango,TAXI
RUT_159_206_0158,San José La Máquina,Soloma,FLETERO
RUT_160_207_0159,Retalhuleu,Ixtahuacán,FLETERO
RUT_161_208_0160,San Sebastián,Santa Bárbara,EXTRAURBANO
RUT_162_209_0161,Santa Cruz Muluá,La Libertad,FLETERO
RUT_163_210_0162,San Martín Zapotitlán,La Democracia,TAXI
RUT_164_211_0163,San Felipe,San Miguel Acatán,TAXI
RUT_165_212_0164,San Andrés Villa Seca,San Rafael La Independencia,EXTRAURBANO
RUT_166_213_0165,Champerico,Todos Santos Cuchumatán,EXTRAURBANO
RUT_167_214_0166,Nuevo San Carlos,San Juan Atitán,FLETERO
RUT_168_215_0167,El Asintal,Santa Eulalia,FLETERO
RUT_169_216_0168,San Marcos,San Mateo Ixtatán,EXTRAURBANO
RUT_170_217_0169,San Pedro Sacatepéquez,Colotenango,EXTRAURBANO
RUT_171_218_0170,San Antonio Sacatepéquez,San Sebastián Huehuetenango,SHUTTLE
RUT_172_219_0171,Comitancillo,Tectitán,FLETERO
RUT_173_220_0172,San Miguel Ixtahuacán,Concepción Huista,TAXI
RUT_174_221_0173,Concepción Tutuapa,San Juan Ixcoy,TAXI
RUT_175_222_0174,Tacaná,San Antonio Huista,SHUTTLE
RUT_176_223_0175,Sibinal,San Sebastián Coatán,EXTRAURBANO
RUT_177_224_0176,Tajumulco,Barillas,SHUTTLE
RUT_178_225_0177,Tejutla,Aguacatán,FLETERO
RUT_179_226_0178,San Rafael Pie de la Cuesta,San Rafael Petzal,TAXI
RUT_180_227_0179,Nuevo Progreso,San Gaspar Ixchil,SHUTTLE
RUT_181_228_0180,El Tumbador,Santiago Chimaltenango,EXTRAURBANO
RUT_182_229_0181,El Rodeo,Santa Ana Huista,FLETERO
RUT_183_230_0182,Malacatán,Unión Cantinil,FLETERO
RUT_184_231_0183,Catarina,Petatán,EXTRAURBANO
RUT_185_232_0184,Ayutla,Santa Cruz del Quiché,SHUTTLE
RUT_186_233_0185,Ocós,Chiché,TAXI
RUT_187_234_0186,San Pablo,Chinique,FLETERO
RUT_188_235_0187,El Quetzal,Zacualpa,TAXI
RUT_189_236_0188,La Reforma,Chajul,TAXI
RUT_190_237_0189,Pajapita,Chichicastenango,SHUTTLE
RUT_191_238_0190,Ixchiguán,Patzité,TAXI
RUT_192_239_0191,San José Ojetenam,San Antonio Ilotenango,SHUTTLE
RUT_193_240_0192,San Cristóbal Cucho,San Pedro Jocopilas,SHUTTLE
RUT_194_241_0193,Sipacapa,Cunén,SHUTTLE
RUT_195_242_0194,Esquipulas Palo Gordo,San Juan Cotzal,FLETERO
RUT_196_243_0195,Río Blanco,Joyabaj,TAXI
RUT_197_244_0196,San Lorenzo,Nebaj,TAXI
RUT_198_245_0197,La Blanca,San Andrés Sajcabajá,SHUTTLE
RUT_199_246_0198,Huehuetenango,Uspantán,FLETERO
RUT_200_247_0199,Chiantla,Sacapulas,TAXI
RUT_201_248_0200,Malacatancito,San Bartolomé Jocotenango,SHUTTLE
RUT_202_249_0201,Cuilco,Canillá,SHUTTLE
RUT_203_250_0202,Nentón,Chicamán,FLETERO
RUT_204_251_0203,San Pedro Necta,Ixcán,FLETERO
RUT_205_252_0204,Jacaltenango,Pachalum,EXTRAURBANO
RUT_206_253_0205,Soloma,Salamá,FLETERO
RUT_207_254_0206,Ixtahuacán,San Miguel Chicaj,TAXI
RUT_208_255_0207,Santa Bárbara,Rabinal,EXTRAURBANO
RUT_209_256_0208,La Libertad,Cubulco,SHUTTLE
RUT_210_257_0209,La Democracia,Granados,SHUTTLE
RUT_211_258_0210,San Miguel Acatán,El Chol,SHUTTLE
RUT_212_259_0211,San Rafael La Independencia,San Jerónimo,SHUTTLE
RUT_213_260_0212,Todos Santos Cuchumatán,Purulhá,TAXI
RUT_214_261_0213,San Juan Atitán,Cobán,FLETERO
RUT_215_262_0214,Santa Eulalia,Santa Cruz Verapaz,EXTRAURBANO
RUT_216_263_0215,San Mateo Ixtatán,San Cristóbal Verapaz,FLETERO
RUT_217_264_0216,Colotenango,Tactic,SHUTTLE
RUT_218_265_0217,San Sebastián Huehuetenango,Tamahú,EXTRAURBANO
RUT_219_266_0218,Tectitán,Tucurú,TAXI
RUT_220_267_0219,Concepción Huista,Panzós,EXTRAURBANO
RUT_221_268_0220,San Juan Ixcoy,Senahú,EXTRAURBANO
RUT_222_269_0221,San Antonio Huista,San Pedro Carchá,SHUTTLE
RUT_223_270_0222,San Sebastián Coatán,San Juan Chamelco,FLETERO
RUT_224_271_0223,Barillas,Lanquín,EXTRAURBANO
RUT_225_272_0224,Aguacatán,Cahabón,EXTRAURBANO
RUT_226_273_0225,San Rafael Petzal,Chisec,EXTRAURBANO
RUT_227_274_0226,San Gaspar Ixchil,Chahal,FLETERO
RUT_228_275_0227,Santiago Chimaltenango,Fray Bartolomé de Las Casas,SHUTTLE
RUT_229_276_0228,Santa Ana Huista,Santa Catalina La Tinta,EXTRAURBANO
RUT_230_277_0229,Unión Cantinil,Raxruhá,SHUTTLE
RUT_231_278_0230,Petatán,Flores,TAXI
RUT_232_279_0231,Santa Cruz del Quiché,San José,FLETERO
RUT_233_280_0232,Chiché,San Benito,FLETERO
RUT_234_281_0233,Chinique,San Andrés,EXTRAURBANO
RUT_235_282_0234,Zacualpa,La Libertad,EXTRAURBANO
RUT_236_283_0235,Chajul,San Francisco,FLETERO
RUT_237_284_0236,Chichicastenango,Santa Ana,TAXI
RUT_238_285_0237,Patzité,Dolores,FLETERO
RUT_239_286_0238,San Antonio Ilotenango,San Luis,EXTRAURBANO
RUT_240_287_0239,San Pedro Jocopilas,Sayaxché,EXTRAURBANO
RUT_241_288_0240,Cunén,Melchor de Mencos,TAXI
RUT_242_289_0241,San Juan Cotzal,Poptún,TAXI
RUT_243_290_0242,Joyabaj,Las Cruces,FLETERO
RUT_244_291_0243,Nebaj,El Chal,FLETERO
RUT_245_292_0244,San Andrés Sajcabajá,Puerto Barrios,TAXI
RUT_246_293_0245,Uspantán,Lívingston,EXTRAURBANO
RUT_247_294_0246,Sacapulas,El Estor,SHUTTLE
RUT_248_295_0247,San Bartolomé Jocotenango,Morales,TAXI
RUT_249_296_0248,Canillá,Los Amates,TAXI
RUT_250_297_0249,Chicamán,Zacapa,FLETERO
RUT_251_298_0250,Ixcán,Estanzuela,TAXI
RUT_252_299_0251,Pachalum,Río Hondo,SHUTTLE
RUT_253_300_0252,Salamá,Gualán,TAXI
RUT_254_301_0253,San Miguel Chicaj,Teculután,SHUTTLE
RUT_255_302_0254,Rabinal,Usumatlán,EXTRAURBANO
RUT_256_303_0255,Cubulco,Cabañas,TAXI
RUT_257_304_0256,Granados,San Diego,TAXI
RUT_258_305_0257,El Chol,La Unión,EXTRAURBANO
RUT_259_306_0258,San Jerónimo,Huité,SHUTTLE
RUT_260_307_0259,Purulhá,San Jorge,SHUTTLE
RUT_261_308_0260,Cobán,Chiquimula,SHUTTLE
RUT_262_309_0261,Santa Cruz Verapaz,San José La Arada,EXTRAURBANO
RUT_263_310_0262,San Cristóbal Verapaz,San Juan Ermita,EXTRAURBANO
RUT_264_311_0263,Tactic,Jocotán,FLETERO
RUT_265_312_0264,Tamahú,Camotán,TAXI
RUT_266_313_0265,Tucurú,Olopa,EXTRAURBANO
RUT_267_314_0266,Panzós,Esquipulas,FLETERO
RUT_268_315_0267,Senahú,Concepción Las Minas,EXTRAURBANO
RUT_269_316_0268,San Pedro Carchá,Quezaltepeque,FLETERO
RUT_270_317_0269,San Juan Chamelco,San Jacinto,SHUTTLE
RUT_271_318_0270,Lanquín,Ipala,FLETERO
RUT_272_319_0271,Cahabón,Jalapa,FLETERO
RUT_273_320_0272,Chisec,San Pedro Pinula,TAXI
RUT_274_321_0273,Chahal,San Luis Jilotepeque,SHUTTLE
RUT_275_322_0274,Fray Bartolomé de Las Casas,San Manuel Chaparrón,EXTRAURBANO
RUT_276_323_0275,Santa Catalina La Tinta,San Carlos Alzatate,FLETERO
RUT_277_324_0276,Raxruhá,Monjas,FLETERO
RUT_278_325_0277,Flores,Mataquescuintla,FLETERO
RUT_279_326_0278,San José,Jutiapa,EXTRAURBANO
RUT_280_327_0279,San Benito,El Progreso,SHUTTLE
RUT_281_328_0280,San Andrés,Santa Catarina Mita,FLETERO
RUT_282_329_0281,La Libertad,Agua Blanca,FLETERO
RUT_283_330_0282,San Francisco,Asunción Mita,SHUTTLE
RUT_284_331_0283,Santa Ana,Yupiltepeque,EXTRAURBANO
RUT_285_332_0284,Dolores,Atescatempa,EXTRAURBANO
RUT_286_333_0285,San Luis,Jerez,EXTRAURBANO
RUT_287_334_0286,Sayaxché,El Adelanto,TAXI
RUT_288_335_0287,Melchor de Mencos,Zapotitlán,EXTRAURBANO
RUT_289_336_0288,Poptún,Comapa,FLETERO
RUT_290_337_0289,Las Cruces,Jalpatagua,FLETERO
RUT_291_338_0290,El Chal,Conguaco,EXTRAURBANO
RUT_292_339_0291,Puerto Barrios,Moyuta,SHUTTLE
RUT_293_340_0292,Lívingston,Pasaco,TAXI
RUT_294_341_0293,El Estor,San José Acatempa,FLETERO
RUT_295_342_0294,Morales,Quesada,TAXI
RUT_296_1_0295,Los Amates,Lago De Amatitlan,EXTRAURBANO
RUT_297_2_0296,Zacapa,Guatemala,SHUTTLE
RUT_298_3_0297,Estanzuela,Santa Catarina Pinula,FLETERO
RUT_299_4_0298,Río Hondo,San José Pinula,TAXI
RUT_300_5_0299,Gualán,San José del Golfo,SHUTTLE
RUT_301_6_0300,Teculután,Palencia,TAXI
RUT_302_7_0301,Usumatlán,Chinautla,EXTRAURBANO
RUT_303_8_0302,Cabañas,San Pedro Ayampuc,EXTRAURBANO
RUT_304_9_0303,San Diego,Mixco,TAXI
RUT_305_10_0304,La Unión,San Pedro Sacatepéquez,TAXI
RUT_306_11_0305,Huité,San Juan Sacatepéquez,SHUTTLE
RUT_307_12_0306,San Jorge,San Raimundo,FLETERO
RUT_308_13_0307,Chiquimula,Chuarrancho,TAXI
RUT_309_14_0308,San José La Arada,Fraijanes,TAXI
RUT_310_15_0309,San Juan Ermita,Amatitlán,TAXI
RUT_311_16_0310,Jocotán,Villa Nueva,FLETERO
RUT_312_17_0311,Camotán,Villa Canales,SHUTTLE
RUT_313_18_0312,Olopa,Petapa,TAXI
RUT_314_19_0313,Esquipulas,Guastatoya,SHUTTLE
RUT_315_20_0314,Concepción Las Minas,Morazán,SHUTTLE
RUT_316_21_0315,Quezaltepeque,San Agustín Acasaguastlán,FLETERO
RUT_317_22_0316,San Jacinto,San Cristóbal Acasaguastlán,TAXI
RUT_318_23_0317,Ipala,El Jícaro,FLETERO
RUT_319_24_0318,Jalapa,Sanarate,SHUTTLE
RUT_320_25_0319,San Pedro Pinula,Sansare,TAXI
RUT_321_26_0320,San Luis Jilotepeque,San Antonio La Paz,TAXI
RUT_322_27_0321,San Manuel Chaparrón,Antigua Guatemala,EXTRAURBANO
RUT_323_28_0322,San Carlos Alzatate,Jocotenango,FLETERO
RUT_324_29_0323,Monjas,Pastores,SHUTTLE
RUT_325_30_0324,Mataquescuintla,Sumpango,SHUTTLE
RUT_326_31_0325,Jutiapa,Santo Domingo Xenacoj,EXTRAURBANO
RUT_327_32_0326,El Progreso,Santiago Sacatepéquez,FLETERO
RUT_328_33_0327,Santa Catarina Mita,San Bartolomé Milpas Altas,TAXI
RUT_329_34_0328,Agua Blanca,San Lucas Sacatepéquez,SHUTTLE
RUT_330_35_0329,Asunción Mita,Santa Lucía Milpas Altas,TAXI
RUT_331_36_0330,Yupiltepeque,Magdalena Milpas Altas,EXTRAURBANO
RUT_332_37_0331,Atescatempa,Santa María de Jesús,TAXI
RUT_333_38_0332,Jerez,Ciudad Vieja,EXTRAURBANO
RUT_334_39_0333,El Adelanto,San Miguel Dueñas,SHUTTLE
RUT_335_40_0334,Zapotitlán,Alotenango,EXTRAURBANO
RUT_336_41_0335,Comapa,San Antonio Aguas Calientes,SHUTTLE
RUT_337_42_0336,Jalpatagua,Santa Catarina Barahona,TAXI
RUT_338_43_0337,Conguaco,Chimaltenango,SHUTTLE
RUT_339_44_0338,Moyuta,San José Poaquil,FLETERO
RUT_340_45_0339,Pasaco,San Martín Jilotepeque,EXTRAURBANO
RUT_341_46_0340,San José Acatempa,Comalapa,TAXI
RUT_342_47_0341,Quesada,Santa Apolonia,SHUTTLE
RUT_1_48_0342,Lago De Amatitlan,Tecpán Guatemala,FLETERO
RUT_2_49_0343,Guatemala,Patzún,SHUTTLE
RUT_3_50_0344,Santa Catarina Pinula,Pochuta,SHUTTLE
RUT_4_51_0345,San José Pinula,Patzicía,EXTRAURBANO
RUT_5_52_0346,San José del Golfo,Santa Cruz Balanyá,FLETERO
RUT_6_53_0347,Palencia,Acatenango,FLETERO
RUT_7_54_0348,Chinautla,Yepocapa,SHUTTLE
RUT_8_55_0349,San Pedro Ayampuc,San Andrés Itzapa,SHUTTLE
RUT_9_56_0350,Mixco,Parramos,TAXI
RUT_10_57_0351,San Pedro Sacatepéquez,Zaragoza,TAXI
RUT_11_58_0352,San Juan Sacatepéquez,El Tejar,EXTRAURBANO
RUT_12_59_0353,San Raimundo,Escuintla,EXTRAURBANO
RUT_13_60_0354,Chuarrancho,Santa Lucía Cotzumalguapa,EXTRAURBANO
RUT_14_61_0355,Fraijanes,La Democracia,TAXI
RUT_15_62_0356,Amatitlán,Siquinalá,SHUTTLE
RUT_16_63_0357,Villa Nueva,Masagua,EXTRAURBANO
RUT_17_64_0358,Villa Canales,Tiquisate,FLETERO
RUT_18_65_0359,Petapa,La Gomera,FLETERO
RUT_19_66_0360,Guastatoya,Guanagazapa,SHUTTLE
RUT_20_67_0361,Morazán,San José,EXTRAURBANO
RUT_21_68_0362,San Agustín Acasaguastlán,Iztapa,TAXI
RUT_22_69_0363,San Cristóbal Acasaguastlán,Palín,EXTRAURBANO
RUT_23_70_0364,El Jícaro,San Vicente Pacaya,SHUTTLE
RUT_24_71_0365,Sanarate,Nueva Concepción,FLETERO
RUT_25_72_0366,Sansare,Sipacate,TAXI
RUT_26_73_0367,San Antonio La Paz,Cuilapa,FLETERO
RUT_27_74_0368,Antigua Guatemala,Barberena,FLETERO
RUT_28_75_0369,Jocotenango,Santa Rosa de Lima,TAXI
RUT_29_76_0370,Pastores,Casillas,FLETERO
RUT_30_77_0371,Sumpango,San Rafael Las Flores,TAXI
RUT_31_78_0372,Santo Domingo Xenacoj,Oratorio,EXTRAURBANO
RUT_32_79_0373,Santiago Sacatepéquez,San Juan Tecuaco,TAXI
RUT_33_80_0374,San Bartolomé Milpas Altas,Chiquimulilla,TAXI
RUT_34_81_0375,San Lucas Sacatepéquez,Taxisco,TAXI
RUT_35_82_0376,Santa Lucía Milpas Altas,Santa María Ixhuatán,TAXI
RUT_36_83_0377,Magdalena Milpas Altas,Guazacapán,EXTRAURBANO
RUT_37_84_0378,Santa María de Jesús,Santa Cruz Naranjo,SHUTTLE
RUT_38_85_0379,Ciudad Vieja,Pueblo Nuevo Viñas,SHUTTLE
RUT_39_86_0380,San Miguel Dueñas,Nueva Santa Rosa,EXTRAURBANO
RUT_40_87_0381,Alotenango,Lago De Atitlan,SHUTTLE
RUT_41_88_0382,San Antonio Aguas Calientes,Sololá,FLETERO
RUT_42_89_0383,Santa Catarina Barahona,San José Chacayá,SHUTTLE
RUT_43_90_0384,Chimaltenango,Santa María Visitación,SHUTTLE
RUT_44_91_0385,San José Poaquil,Santa Lucía Utatlán,SHUTTLE
RUT_45_92_0386,San Martín Jilotepeque,Nahualá,TAXI
RUT_46_93_0387,Comalapa,Santa Catarina Ixtahuacán,SHUTTLE
RUT_47_94_0388,Santa Apolonia,Santa Clara La Laguna,EXTRAURBANO
RUT_48_95_0389,Tecpán Guatemala,Concepción,TAXI
RUT_49_96_0390,Patzún,San Andrés Semetabaj,FLETERO
RUT_50_97_0391,Pochuta,Panajachel,LANCHA
RUT_51_98_0392,Patzicía,Santa Catarina Palopó,EXTRAURBANO
RUT_52_99_0393,Santa Cruz Balanyá,San Antonio Palopó,EXTRAURBANO
RUT_53_100_0394,Acatenango,San Lucas Tolimán,LANCHA
RUT_54_101_0395,Yepocapa,Santa Cruz La Laguna,EXTRAURBANO
RUT_55_102_0396,San Andrés Itzapa,San Pablo La Laguna,EXTRAURBANO
RUT_56_103_0397,Parramos,San Marcos La Laguna,LANCHA
RUT_57_104_0398,Zaragoza,San Juan La Laguna,FLETERO
RUT_58_105_0399,El Tejar,San Pedro La Laguna,LANCHA
