municipio_nombre,tipo_vehiculo,distancia_cabecera_km,tiempo_cabecera_minutos,distancia_capital_km,tiempo_capital_minutos
San José Poaquil,PESADO,69.73,226,258.17,1192
San José Poaquil,AUTOBUS,43.3,78,170.4,634
San Martín Jilotepeque,LIVIANO,5.16,6,244.76,662
San Martín Jilotepeque,PESADO,60.27,108,308.73,1432
San Martín Jilotepeque,AUTOBUS,19.62,50,175.74,474
Comalapa,LIVIANO,72.33,154,275.04,687
Comalapa,PESADO,45.23,144,188.46,678
Comalapa,AUTOBUS,44.03,87,154.12,634
Santa Apolonia,LIVIANO,25.4,33,187.63,620
Santa Apolonia,PESADO,56.24,109,113.89,420
Santa Apolonia,AUTOBUS,71.56,115,215.71,593
Tecpán Guatemala,LIVIANO,35.55,88,219.82,678
Tecpán Guatemala,PESADO,79.79,187,248.27,953
Tecpán Guatemala,AUTOBUS,60.27,106,202.47,918
Patzún,LIVIANO,93.78,210,261.68,540
Patzún,PESADO,59.74,157,182.61,960
Patzún,AUTOBUS,18.11,35,266.4,979
Pochuta,LIVIANO,9.23,20,254.77,462
Pochuta,PESADO,57.05,126,246.39,958
Pochuta,AUTOBUS,58.09,131,299.41,1122
Patzicía,LIVIANO,70.67,150,169.77,580
Patzicía,PESADO,5.24,10,303.9,1592
Patzicía,AUTOBUS,65.84,107,208.29,863
Santa Cruz Balanyá,LIVIANO,77.89,105,191.89,507
Santa Cruz Balanyá,PESADO,70.39,135,149.2,752
Santa Cruz Balanyá,AUTOBUS,21.06,52,249.09,1208
Acatenango,LIVIANO,2.87,5,230.77,539
Acatenango,PESADO,29.88,51,269.95,1318
Acatenango,AUTOBUS,16.6,35,299.19,1006
Yepocapa,LIVIANO,56.38,137,173.42,496
Yepocapa,PESADO,8.11,24,190.42,953
Yepocapa,AUTOBUS,20.98,29,250.12,949
San Andrés Itzapa,LIVIANO,16.52,28,266.53,607
San Andrés Itzapa,PESADO,2.99,7,203.33,948
San Andrés Itzapa,AUTOBUS,41.03,80,292.36,882
Parramos,LIVIANO,24.38,28,222.18,483
Parramos,PESADO,60.21,138,307.58,1323
Parramos,AUTOBUS,9.89,20,156.16,646
Zaragoza,LIVIANO,89.12,191,158.46,314
Zaragoza,PESADO,65.37,192,233.69,1100
Zaragoza,AUTOBUS,13.91,40,152.23,510
El Tejar,LIVIANO,50.4,87,149.46,280
El Tejar,PESADO,39.93,99,272.45,1115
El Tejar,AUTOBUS,63.94,140,118.99,351
Escuintla,LIVIANO,49.26,69,222.43,634
Escuintla,PESADO,60.9,117,280.09,1505
Escuintla,AUTOBUS,21.27,44,158.57,663
Santa Lucía Cotzumalguapa,LIVIANO,24.64,57,308.99,884
Santa Lucía Cotzumalguapa,PESADO,10.02,27,204.39,750
Santa Lucía Cotzumalguapa,AUTOBUS,54.87,128,238.16,718
La Democracia,LIVIANO,50.94,70,208.21,381
La Democracia,PESADO,39.35,70,117.79,648
La Democracia,AUTOBUS,69.07,219,299.34,754
Siquinalá,LIVIANO,69.46,153,189.89,421
Siquinalá,PESADO,74.6,232,121.44,374
Siquinalá,AUTOBUS,92.48,297,130.4,595
Masagua,LIVIANO,4.12,5,223.44,484
Masagua,PESADO,53.89,135,236.37,755
Masagua,AUTOBUS,42.79,88,190.47,922
Tiquisate,LIVIANO,17.2,40,282.67,688
Tiquisate,PESADO,9.93,16,184.65,987
Tiquisate,AUTOBUS,29.81,53,209.88,649
La Gomera,LIVIANO,11.46,13,136.25,373
La Gomera,PESADO,48.13,178,250.31,924
La Gomera,AUTOBUS,23.96,35,279.26,1290
Guanagazapa,LIVIANO,26.5,43,122.02,360
Guanagazapa,PESADO,29.3,60,141.07,561
Guanagazapa,AUTOBUS,71.34,213,247.67,887
San José,LIVIANO,30.76,68,197.66,649
San José,PESADO,64.37,213,169.17,852
San José,AUTOBUS,8.12,24,247.33,807
Iztapa,LIVIANO,21.43,24,226.84,735
Iztapa,PESADO,24.33,84,127.34,651
Iztapa,AUTOBUS,2.7,5,222.33,799
Palín,LIVIANO,39.57,74,176.33,541
Palín,PESADO,22.88,78,256.69,1222
Palín,AUTOBUS,4.97,14,124.55,596
San Vicente Pacaya,LIVIANO,11.38,23,176.42,588
San Vicente Pacaya,PESADO,58.04,153,115.0,532
San Vicente Pacaya,AUTOBUS,28.04,79,158.8,518
Nueva Concepción,LIVIANO,4.4,7,286.17,523
Nueva Concepción,PESADO,80.94,163,155.13,798
Nueva Concepción,AUTOBUS,51.7,98,235.14,816
Sipacate,LIVIANO,34.16,74,296.83,924
Sipacate,PESADO,91.1,315,141.78,428
Sipacate,AUTOBUS,9.99,16,228.48,676
Cuilapa,LIVIANO,34.29,54,275.37,905
Cuilapa,PESADO,48.13,129,205.99,1020
Cuilapa,AUTOBUS,41.65,80,200.92,845
Barberena,LIVIANO,28.79,55,160.69,290
Barberena,PESADO,48.96,82,263.55,1048
Barberena,AUTOBUS,55.73,111,169.8,665
Santa Rosa de Lima,LIVIANO,46.62,59,285.77,740
Santa Rosa de Lima,PESADO,92.29,205,135.7,544
Santa Rosa de Lima,AUTOBUS,92.12,174,111.24,459
Casillas,LIVIANO,94.02,162,302.06,1036
Casillas,PESADO,91.2,255,209.71,1070
Casillas,AUTOBUS,9.65,24,219.01,712
San Rafael Las Flores,LIVIANO,60.28,121,169.37,423
San Rafael Las Flores,PESADO,10.0,16,304.55,1144
San Rafael Las Flores,AUTOBUS,5.45,7,252.78,1002
Oratorio,LIVIANO,38.14,54,298.86,656
Oratorio,PESADO,67.53,154,238.06,1008
Oratorio,AUTOBUS,50.85,158,189.86,543
San Juan Tecuaco,LIVIANO,57.96,74,161.91,347
San Juan Tecuaco,PESADO,62.64,138,193.44,1003
San Juan Tecuaco,AUTOBUS,84.76,230,169.15,693
Chiquimulilla,LIVIANO,68.18,150,165.73,469
Chiquimulilla,PESADO,5.24,13,302.93,902
Chiquimulilla,AUTOBUS,22.32,37,238.35,1083
Taxisco,LIVIANO,47.25,91,224.93,621
Taxisco,PESADO,60.92,220,160.84,763
Taxisco,AUTOBUS,65.95,131,186.24,816
Santa María Ixhuatán,LIVIANO,75.56,182,110.65,300
Santa María Ixhuatán,PESADO,7.32,24,247.91,1179
Santa María Ixhuatán,AUTOBUS,81.72,231,159.88,680
Guazacapán,LIVIANO,83.46,207,302.58,937
Guazacapán,PESADO,62.77,231,291.14,1624
Guazacapán,AUTOBUS,72.64,208,149.27,606
Santa Cruz Naranjo,LIVIANO,82.77,92,149.61,354
Santa Cruz Naranjo,PESADO,9.73,30,133.08,521
Santa Cruz Naranjo,AUTOBUS,67.69,166,302.64,1007
Pueblo Nuevo Viñas,LIVIANO,88.93,209,162.51,325
Pueblo Nuevo Viñas,PESADO,89.72,313,300.87,1678
Pueblo Nuevo Viñas,AUTOBUS,88.29,226,148.71,723
Nueva Santa Rosa,LIVIANO,87.34,175,205.45,641
Nueva Santa Rosa,PESADO,45.84,114,185.98,579
Nueva Santa Rosa,AUTOBUS,56.71,135,159.0,454
Lago De Atitlan,LIVIANO,20.18,27,113.95,209
Lago De Atitlan,PESADO,18.64,43,300.1,1430
Lago De Atitlan,AUTOBUS,73.08,210,218.88,1006
Sololá,LIVIANO,25.83,31,148.3,495
Sololá,PESADO,58.38,112,155.65,715
Sololá,AUTOBUS,24.81,79,285.13,942
San José Chacayá,LIVIANO,68.37,163,291.97,944
San José Chacayá,PESADO,17.73,33,234.77,1184
San José Chacayá,AUTOBUS,9.13,18,145.61,544
Santa María Visitación,LIVIANO,35.1,48,254.86,745
Santa María Visitación,PESADO,61.81,174,136.52,620
Santa María Visitación,AUTOBUS,53.51,139,256.31,944
Santa Lucía Utatlán,LIVIANO,9.99,15,267.94,687
Santa Lucía Utatlán,PESADO,48.64,157,182.0,841
Santa Lucía Utatlán,AUTOBUS,27.72,50,228.42,965
Nahualá,LIVIANO,49.48,62,215.11,676
Nahualá,PESADO,5.94,19,130.06,396
Nahualá,AUTOBUS,45.04,78,265.06,733
Santa Catarina Ixtahuacán,LIVIANO,78.66,113,157.84,291
Santa Catarina Ixtahuacán,PESADO,18.23,51,215.9,894
Santa Catarina Ixtahuacán,AUTOBUS,62.6,157,242.38,845
Santa Clara La Laguna,LIVIANO,16.02,34,280.33,552
Santa Clara La Laguna,PESADO,86.53,279,197.1,897
Santa Clara La Laguna,AUTOBUS,94.21,206,174.02,555
Concepción,LIVIANO,42.2,100,306.49,568
Concepción,PESADO,61.63,117,112.78,550
Concepción,AUTOBUS,26.07,66,244.07,1029
San Andrés Semetabaj,LIVIANO,54.29,108,252.55,633
San Andrés Semetabaj,PESADO,38.57,63,270.05,1238
San Andrés Semetabaj,AUTOBUS,38.12,106,130.13,389
Panajachel,LIVIANO,9.31,12,153.2,410
Panajachel,PESADO,21.63,60,213.27,1060
Panajachel,AUTOBUS,4.74,13,272.52,1020
Santa Catarina Palopó,LIVIANO,44.11,98,127.82,391
Santa Catarina Palopó,PESADO,75.84,129,110.11,331
Santa Catarina Palopó,AUTOBUS,83.47,184,250.13,1163
San Antonio Palopó,LIVIANO,24.33,36,177.46,396
San Antonio Palopó,PESADO,88.13,217,153.66,635
San Antonio Palopó,AUTOBUS,76.11,149,176.62,821
San Lucas Tolimán,LIVIANO,17.27,32,199.14,662
San Lucas Tolimán,PESADO,12.13,25,208.59,804
San Lucas Tolimán,AUTOBUS,50.9,144,228.27,891
Santa Cruz La Laguna,LIVIANO,22.19,42,118.48,338
Santa Cruz La Laguna,PESADO,7.59,22,209.22,920
Santa Cruz La Laguna,AUTOBUS,12.24,26,266.08,1240
San Pablo La Laguna,LIVIANO,73.18,158,223.72,757
San Pablo La Laguna,PESADO,51.86,172,309.58,1510
San Pablo La Laguna,AUTOBUS,23.47,75,292.88,1393
San Marcos La Laguna,LIVIANO,28.27,50,296.05,568
San Marcos La Laguna,PESADO,77.95,138,266.52,803
San Marcos La Laguna,AUTOBUS,54.76,172,119.59,422
San Juan La Laguna,LIVIANO,10.94,21,188.48,505
San Juan La Laguna,PESADO,69.16,157,160.43,657
San Juan La Laguna,AUTOBUS,45.58,65,111.64,519
San Pedro La Laguna,LIVIANO,10.57,24,298.64,862
San Pedro La Laguna,PESADO,88.53,319,234.06,1225
San Pedro La Laguna,AUTOBUS,73.94,224,293.31,890
Santiago Atitlán,LIVIANO,6.64,7,110.28,277
Santiago Atitlán,PESADO,58.34,174,304.9,1692
Santiago Atitlán,AUTOBUS,58.32,174,174.95,576
Totonicapán,LIVIANO,22.79,51,254.28,460
Totonicapán,PESADO,90.37,205,250.61,950
Totonicapán,AUTOBUS,34.37,80,126.59,607
San Cristóbal Totonicapán,LIVIANO,66.29,93,167.2,571
San Cristóbal Totonicapán,PESADO,57.42,199,287.22,1401
San Cristóbal Totonicapán,AUTOBUS,51.95,149,285.51,923
San Francisco El Alto,LIVIANO,30.58,35,256.61,885
San Francisco El Alto,PESADO,70.71,240,223.28,712
San Francisco El Alto,AUTOBUS,89.56,165,200.86,862
San Andrés Xecul,LIVIANO,41.64,49,197.76,459
San Andrés Xecul,PESADO,92.55,186,296.61,1612
San Andrés Xecul,AUTOBUS,52.69,128,131.03,557
Momostenango,LIVIANO,44.51,98,195.89,421
Momostenango,PESADO,56.92,126,113.12,328
Momostenango,AUTOBUS,83.16,144,285.47,1390
Santa María Chiquimula,LIVIANO,93.29,113,306.58,870
Santa María Chiquimula,PESADO,20.84,61,203.63,872
Santa María Chiquimula,AUTOBUS,56.3,156,270.28,824
Santa Lucía La Reforma,LIVIANO,82.6,126,176.14,401
Santa Lucía La Reforma,PESADO,71.26,145,196.55,953
Santa Lucía La Reforma,AUTOBUS,48.49,71,179.83,677
San Bartolo,LIVIANO,9.75,19,124.17,409
San Bartolo,PESADO,54.93,133,212.41,1184
San Bartolo,AUTOBUS,22.59,53,233.77,992
Quetzaltenango,LIVIANO,49.89,119,289.8,861
Quetzaltenango,PESADO,6.05,21,224.48,824
Quetzaltenango,AUTOBUS,38.89,94,217.8,891
Salcajá,LIVIANO,43.54,89,138.89,289
Salcajá,PESADO,25.77,46,221.95,819
Salcajá,AUTOBUS,81.14,152,179.68,645
Olintepeque,LIVIANO,49.17,112,154.28,527
Olintepeque,PESADO,61.97,229,113.03,465
Olintepeque,AUTOBUS,48.05,143,279.27,923
San Carlos Sija,LIVIANO,19.31,27,123.51,381
San Carlos Sija,PESADO,41.22,94,226.84,656
San Carlos Sija,AUTOBUS,53.25,91,149.87,420
Sibilia,LIVIANO,47.64,103,171.68,557
Sibilia,PESADO,55.22,190,284.91,1284
Sibilia,AUTOBUS,65.81,166,124.52,560
Cabricán,LIVIANO,78.83,170,241.05,736
Cabricán,PESADO,66.48,220,219.57,667
Cabricán,AUTOBUS,75.72,154,187.34,541
Cajolá,LIVIANO,18.3,24,129.94,299
Cajolá,PESADO,20.46,46,292.39,1500
Cajolá,AUTOBUS,39.78,104,242.9,634
San Miguel Sigüila,LIVIANO,40.83,53,226.79,586
San Miguel Sigüila,PESADO,83.68,193,303.8,1025
San Miguel Sigüila,AUTOBUS,43.62,124,252.15,719
Ostuncalco,LIVIANO,31.74,63,294.08,736
Ostuncalco,PESADO,41.78,73,246.7,932
Ostuncalco,AUTOBUS,68.34,131,173.62,627
San Mateo,LIVIANO,37.74,85,182.31,365
San Mateo,PESADO,56.6,114,121.0,540
San Mateo,AUTOBUS,33.56,50,181.79,778
Concepción Chiquirichapa,LIVIANO,39.1,48,131.46,265
Concepción Chiquirichapa,PESADO,51.27,135,161.75,524
Concepción Chiquirichapa,AUTOBUS,5.59,11,165.13,600
San Martín Sacatepéquez,LIVIANO,91.84,215,137.06,300
San Martín Sacatepéquez,PESADO,12.98,30,279.54,1273
San Martín Sacatepéquez,AUTOBUS,80.42,120,180.77,485
Almolonga,LIVIANO,35.79,81,237.59,645
Almolonga,PESADO,21.33,67,173.51,846
Almolonga,AUTOBUS,69.16,109,131.08,623
Cantel,LIVIANO,68.06,149,179.6,559
Cantel,PESADO,52.64,193,303.47,1568
Cantel,AUTOBUS,81.61,161,140.81,669
Huitán,LIVIANO,87.56,183,184.97,531
Huitán,PESADO,35.4,78,235.76,1222
Huitán,AUTOBUS,56.22,135,180.55,740
Zunil,LIVIANO,56.07,61,241.17,598
Zunil,PESADO,65.32,154,267.06,1232
Zunil,AUTOBUS,19.69,48,172.52,683
Colomba,LIVIANO,11.84,28,145.24,473
Colomba,PESADO,75.38,276,127.46,635
Colomba,AUTOBUS,67.35,118,196.01,732
San Francisco La Unión,LIVIANO,77.27,101,129.76,292
San Francisco La Unión,PESADO,24.53,54,300.69,904
San Francisco La Unión,AUTOBUS,80.89,253,177.81,684
El Palmar,LIVIANO,56.87,120,278.2,902
El Palmar,PESADO,64.64,232,181.17,688
El Palmar,AUTOBUS,89.39,132,127.27,334
Coatepeque,LIVIANO,39.2,63,181.73,464
Coatepeque,PESADO,50.53,171,243.85,1268
Coatepeque,AUTOBUS,43.96,84,218.01,686
Génova,LIVIANO,74.45,109,117.79,237
Génova,PESADO,62.21,184,297.88,963
Génova,AUTOBUS,50.34,88,286.26,1055
Flores Costa Cuca,LIVIANO,92.34,164,301.95,1039
Flores Costa Cuca,PESADO,66.32,147,214.63,982
Flores Costa Cuca,AUTOBUS,25.68,80,250.96,929
La Esperanza,LIVIANO,41.64,58,216.52,465
La Esperanza,PESADO,84.98,243,306.75,1406
La Esperanza,AUTOBUS,84.51,166,110.59,422
Palestina de Los Altos,LIVIANO,71.31,81,245.85,629
Palestina de Los Altos,PESADO,77.65,153,280.61,1225
Palestina de Los Altos,AUTOBUS,89.91,267,306.12,1149
Mazatenango,LIVIANO,77.88,104,136.88,422
Mazatenango,PESADO,93.39,319,220.48,688
Mazatenango,AUTOBUS,64.42,140,242.21,979
Cuyotenango,LIVIANO,24.85,54,259.57,820
Cuyotenango,PESADO,90.29,274,259.84,1411
Cuyotenango,AUTOBUS,80.19,217,256.29,688
San Francisco Zapotitlán,LIVIANO,49.75,116,225.47,555
San Francisco Zapotitlán,PESADO,40.03,82,195.86,633
San Francisco Zapotitlán,AUTOBUS,41.55,115,198.29,831
San Bernardino,LIVIANO,46.05,58,138.45,325
San Bernardino,PESADO,5.27,13,148.83,668
San Bernardino,AUTOBUS,22.28,39,180.87,536
San José El Ídolo,LIVIANO,66.17,123,139.31,326
San José El Ídolo,PESADO,80.39,160,116.45,456
San José El Ídolo,AUTOBUS,83.1,136,152.21,611
Santo Domingo Suchitepéquez,LIVIANO,17.64,26,159.74,301
Santo Domingo Suchitepéquez,PESADO,42.6,84,119.37,665
Santo Domingo Suchitepéquez,AUTOBUS,34.36,52,238.73,1006
San Lorenzo,LIVIANO,13.68,21,241.31,637
San Lorenzo,PESADO,8.99,30,186.04,764
San Lorenzo,AUTOBUS,93.6,163,299.51,1324
Samayac,LIVIANO,76.24,130,160.22,542
Samayac,PESADO,73.39,205,226.88,798
Samayac,AUTOBUS,6.0,18,223.69,1073
San Pablo Jocopilas,LIVIANO,86.04,137,275.8,750
San Pablo Jocopilas,PESADO,83.47,151,184.13,856
San Pablo Jocopilas,AUTOBUS,78.46,184,171.05,722
San Antonio Suchitepéquez,LIVIANO,10.75,23,284.97,713
San Antonio Suchitepéquez,PESADO,41.01,127,252.52,1208
San Antonio Suchitepéquez,AUTOBUS,56.59,127,184.58,837
San Miguel Panán,LIVIANO,69.47,161,237.43,569
San Miguel Panán,PESADO,27.75,51,207.49,1139
San Miguel Panán,AUTOBUS,20.35,39,146.57,673
San Gabriel,LIVIANO,4.88,11,285.47,713
San Gabriel,PESADO,89.33,264,254.88,1264
San Gabriel,AUTOBUS,21.5,41,126.71,471
Chicacao,LIVIANO,72.67,136,265.34,505
Chicacao,PESADO,44.91,136,141.73,569
Chicacao,AUTOBUS,31.43,54,161.74,471
Patulul,LIVIANO,57.01,129,271.64,903
Patulul,PESADO,55.26,180,241.92,702
Patulul,AUTOBUS,26.79,59,202.84,576
Santa Bárbara,LIVIANO,73.4,117,205.02,457
Santa Bárbara,PESADO,34.13,66,249.46,1168
Santa Bárbara,AUTOBUS,85.3,234,194.39,648
San Juan Bautista,LIVIANO,77.0,166,213.41,710
San Juan Bautista,PESADO,33.31,109,292.92,1516
San Juan Bautista,AUTOBUS,4.09,6,186.78,712
Santo Tomás La Unión,LIVIANO,64.81,125,265.16,590
Santo Tomás La Unión,PESADO,64.02,109,179.73,729
Santo Tomás La Unión,AUTOBUS,25.34,44,203.63,935
Zunilito,LIVIANO,46.84,56,166.12,389
Zunilito,PESADO,9.57,28,204.13,681
Zunilito,AUTOBUS,26.33,83,120.88,557
Pueblo Nuevo,LIVIANO,46.68,60,233.04,752
Pueblo Nuevo,PESADO,80.09,234,176.11,825
Pueblo Nuevo,AUTOBUS,77.82,141,235.25,930
Río Bravo,LIVIANO,90.96,223,295.2,611
Río Bravo,PESADO,37.52,103,248.81,830
Río Bravo,AUTOBUS,44.46,128,220.53,590
San José La Máquina,LIVIANO,89.56,146,137.54,343
San José La Máquina,PESADO,36.03,82,204.82,952
San José La Máquina,AUTOBUS,65.27,169,236.76,785
Retalhuleu,LIVIANO,86.52,161,155.43,502
Retalhuleu,PESADO,6.64,24,287.53,1404
Retalhuleu,AUTOBUS,52.89,120,217.83,1051
San Sebastián,LIVIANO,14.61,28,270.64,590
San Sebastián,PESADO,76.98,210,160.68,764
San Sebastián,AUTOBUS,80.92,245,116.17,519
Santa Cruz Muluá,LIVIANO,35.61,42,308.6,730
Santa Cruz Muluá,PESADO,26.1,52,201.89,756
Santa Cruz Muluá,AUTOBUS,20.14,42,216.78,824
San Martín Zapotitlán,LIVIANO,90.06,161,155.6,512
San Martín Zapotitlán,PESADO,67.39,166,166.62,499
San Martín Zapotitlán,AUTOBUS,79.35,240,278.06,1303
San Felipe,LIVIANO,56.57,127,214.86,407
San Felipe,PESADO,7.5,16,219.24,704
San Felipe,AUTOBUS,30.95,87,244.52,1176
San Andrés Villa Seca,LIVIANO,56.06,96,252.6,669
San Andrés Villa Seca,PESADO,10.08,25,260.48,1310
San Andrés Villa Seca,AUTOBUS,45.86,91,263.33,1054
Champerico,LIVIANO,8.22,14,231.24,641
Champerico,PESADO,68.08,156,238.91,1238
Champerico,AUTOBUS,45.47,140,198.1,819
Nuevo San Carlos,LIVIANO,6.36,15,165.16,480
Nuevo San Carlos,PESADO,91.84,228,292.02,1212
Nuevo San Carlos,AUTOBUS,58.81,148,237.47,729
