ruta_transporte_codigo,proveedor_codigo,hora_salida,frecuencia,tarifa_q,duracion_estimada_minutos
RUT_227_274_0226,PROV_GT14_0235,07:30:00,Solo fines de semana,82.22,227
RUT_228_275_0227,PROV_GT14_0236,08:45:00,Cada 15 minutos,25.63,35
RUT_229_276_0228,PROV_GT14_0237,09:00:00,Diario,111.66,39
RUT_230_277_0229,PROV_GT14_0238,10:15:00,Cada 30 minutos,38.55,181
RUT_231_278_0230,PROV_GT14_0239,11:30:00,Cada hora,68.65,148
RUT_232_279_0231,PROV_GT14_0240,12:45:00,Lunes a Viernes,79.18,227
RUT_233_280_0232,PROV_GT14_0241,13:00:00,Solo fines de semana,126.64,165
RUT_234_281_0233,PROV_GT14_0242,14:15:00,Cada 15 minutos,38.81,168
RUT_235_282_0234,PROV_GT14_0243,15:30:00,Diario,76.8,216
RUT_236_283_0235,PROV_GT14_0244,16:45:00,Cada 30 minutos,63.19,152
RUT_237_284_0236,PROV_GT14_0245,17:00:00,Cada hora,37.37,156
RUT_238_285_0237,PROV_GT14_0246,18:15:00,Lunes a Viernes,6.37,27
RUT_239_286_0238,PROV_GT14_0247,05:30:00,Solo fines de semana,9.74,174
RUT_240_287_0239,PROV_GT14_0248,06:45:00,Cada 15 minutos,54.65,158
RUT_241_288_0240,PROV_GT14_0249,07:00:00,Diario,110.42,27
RUT_242_289_0241,PROV_GT14_0250,08:15:00,Cada 30 minutos,41.48,186
RUT_243_290_0242,PROV_GT14_0251,09:30:00,Cada hora,114.57,164
RUT_244_291_0243,PROV_GT15_0252,10:45:00,Lunes a Viernes,28.9,127
RUT_245_292_0244,PROV_GT15_0253,11:00:00,Solo fines de semana,49.63,100
RUT_246_293_0245,PROV_GT15_0254,12:15:00,Cada 15 minutos,56.43,100
RUT_247_294_0246,PROV_GT15_0255,13:30:00,Diario,141.98,219
RUT_248_295_0247,PROV_GT15_0256,14:45:00,Cada 30 minutos,84.48,144
RUT_249_296_0248,PROV_GT15_0257,15:00:00,Cada hora,43.83,116
RUT_250_297_0249,PROV_GT15_0258,16:15:00,Lunes a Viernes,116.49,234
RUT_251_298_0250,PROV_GT15_0259,17:30:00,Solo fines de semana,18.57,169
RUT_252_299_0251,PROV_GT16_0260,18:45:00,Cada 15 minutos,24.93,164
RUT_253_300_0252,PROV_GT16_0261,05:00:00,Diario,34.69,190
RUT_254_301_0253,PROV_GT16_0262,06:15:00,Cada 30 minutos,22.44,78
RUT_255_302_0254,PROV_GT16_0263,07:30:00,Cada hora,48.35,98
RUT_256_303_0255,PROV_GT16_0264,08:45:00,Lunes a Viernes,109.66,201
RUT_257_304_0256,PROV_GT16_0265,09:00:00,Solo fines de semana,111.86,140
RUT_258_305_0257,PROV_GT16_0266,10:15:00,Cada 15 minutos,105.48,27
RUT_259_306_0258,PROV_GT16_0267,11:30:00,Diario,93.9,162
RUT_260_307_0259,PROV_GT16_0268,12:45:00,Cada 30 minutos,103.54,125
RUT_261_308_0260,PROV_GT16_0269,13:00:00,Cada hora,84.24,119
RUT_262_309_0261,PROV_GT16_0270,14:15:00,Lunes a Viernes,33.89,77
RUT_263_310_0262,PROV_GT16_0271,15:30:00,Solo fines de semana,125.9,166
RUT_264_311_0263,PROV_GT16_0272,16:45:00,Cada 15 minutos,85.54,52
RUT_265_312_0264,PROV_GT16_0273,17:00:00,Diario,147.97,86
RUT_266_313_0265,PROV_GT16_0274,18:15:00,Cada 30 minutos,6.49,86
RUT_267_314_0266,PROV_GT16_0275,05:30:00,Cada hora,56.47,125
RUT_268_315_0267,PROV_GT16_0276,06:45:00,Lunes a Viernes,103.79,64
RUT_269_316_0268,PROV_GT17_0277,07:00:00,Solo fines de semana,107.51,96
RUT_270_317_0269,PROV_GT17_0278,08:15:00,Cada 15 minutos,35.62,232
RUT_271_318_0270,PROV_GT17_0279,09:30:00,Diario,108.57,102
RUT_272_319_0271,PROV_GT17_0280,10:45:00,Cada 30 minutos,105.32,240
RUT_273_320_0272,PROV_GT17_0281,11:00:00,Cada hora,6.64,126
RUT_274_321_0273,PROV_GT17_0282,12:15:00,Lunes a Viernes,149.88,117
RUT_275_322_0274,PROV_GT17_0283,13:30:00,Solo fines de semana,128.15,225
RUT_276_323_0275,PROV_GT17_0284,14:45:00,Cada 15 minutos,83.78,207
RUT_277_324_0276,PROV_GT17_0285,15:00:00,Diario,18.34,144
RUT_278_325_0277,PROV_GT17_0286,16:15:00,Cada 30 minutos,9.14,104
RUT_279_326_0278,PROV_GT17_0287,17:30:00,Cada hora,100.4,182
RUT_280_327_0279,PROV_GT17_0288,18:45:00,Lunes a Viernes,139.92,208
RUT_281_328_0280,PROV_GT17_0289,05:00:00,Solo fines de semana,83.71,74
RUT_282_329_0281,PROV_GT17_0290,06:15:00,Cada 15 minutos,84.73,56
RUT_283_330_0282,PROV_GT18_0291,07:30:00,Diario,95.63,52
RUT_284_331_0283,PROV_GT18_0292,08:45:00,Cada 30 minutos,64.83,87
RUT_285_332_0284,PROV_GT18_0293,09:00:00,Cada hora,10.98,25
RUT_286_333_0285,PROV_GT18_0294,10:15:00,Lunes a Viernes,54.69,106
RUT_287_334_0286,PROV_GT18_0295,11:30:00,Solo fines de semana,38.03,96
RUT_288_335_0287,PROV_GT19_0296,12:45:00,Cada 15 minutos,85.87,50
RUT_289_336_0288,PROV_GT19_0297,13:00:00,Diario,125.64,55
RUT_290_337_0289,PROV_GT19_0298,14:15:00,Cada 30 minutos,70.64,80
RUT_291_338_0290,PROV_GT19_0299,15:30:00,Cada hora,129.87,35
RUT_292_339_0291,PROV_GT19_0300,16:45:00,Lunes a Viernes,31.93,71
RUT_293_340_0292,PROV_GT19_0301,17:00:00,Solo fines de semana,5.22,97
RUT_294_341_0293,PROV_GT19_0302,18:15:00,Cada 15 minutos,45.14,27
RUT_295_342_0294,PROV_GT19_0303,05:30:00,Diario,41.29,121
RUT_296_1_0295,PROV_GT19_0304,06:45:00,Cada 30 minutos,104.99,30
RUT_297_2_0296,PROV_GT19_0305,07:00:00,Cada hora,30.38,166
RUT_298_3_0297,PROV_GT19_0306,08:15:00,Lunes a Viernes,128.95,64
RUT_299_4_0298,PROV_GT20_0307,09:30:00,Solo fines de semana,97.45,44
RUT_300_5_0299,PROV_GT20_0308,10:45:00,Cada 15 minutos,109.29,140
RUT_301_6_0300,PROV_GT20_0309,11:00:00,Diario,87.87,74
RUT_302_7_0301,PROV_GT20_0310,12:15:00,Cada 30 minutos,90.84,143
RUT_303_8_0302,PROV_GT20_0311,13:30:00,Cada hora,16.45,162
RUT_304_9_0303,PROV_GT20_0312,14:45:00,Lunes a Viernes,133.19,33
RUT_305_10_0304,PROV_GT20_0313,15:00:00,Solo fines de semana,126.21,72
RUT_306_11_0305,PROV_GT20_0314,16:15:00,Cada 15 minutos,147.3,136
RUT_307_12_0306,PROV_GT20_0315,17:30:00,Diario,38.42,166
RUT_308_13_0307,PROV_GT20_0316,18:45:00,Cada 30 minutos,134.13,48
RUT_309_14_0308,PROV_GT20_0317,05:00:00,Cada hora,44.79,102
RUT_310_15_0309,PROV_GT21_0318,06:15:00,Lunes a Viernes,119.5,222
RUT_311_16_0310,PROV_GT21_0319,07:30:00,Solo fines de semana,91.95,90
RUT_312_17_0311,PROV_GT21_0320,08:45:00,Cada 15 minutos,88.39,92
RUT_313_18_0312,PROV_GT21_0321,09:00:00,Diario,55.57,138
RUT_314_19_0313,PROV_GT21_0322,10:15:00,Cada 30 minutos,85.94,236
RUT_315_20_0314,PROV_GT21_0323,11:30:00,Cada hora,140.88,61
RUT_316_21_0315,PROV_GT21_0324,12:45:00,Lunes a Viernes,12.53,149
RUT_317_22_0316,PROV_GT22_0325,13:00:00,Solo fines de semana,11.67,89
RUT_318_23_0317,PROV_GT22_0326,14:15:00,Cada 15 minutos,65.75,45
RUT_319_24_0318,PROV_GT22_0327,15:30:00,Diario,137.75,205
RUT_320_25_0319,PROV_GT22_0328,16:45:00,Cada 30 minutos,73.19,80
RUT_321_26_0320,PROV_GT22_0329,17:00:00,Cada hora,8.55,37
RUT_322_27_0321,PROV_GT22_0330,18:15:00,Lunes a Viernes,28.34,41
RUT_323_28_0322,PROV_GT22_0331,05:30:00,Solo fines de semana,25.04,176
RUT_324_29_0323,PROV_GT22_0332,06:45:00,Cada 15 minutos,64.99,55
RUT_325_30_0324,PROV_GT22_0333,07:00:00,Diario,129.52,237
RUT_326_31_0325,PROV_GT22_0334,08:15:00,Cada 30 minutos,46.24,103
RUT_327_32_0326,PROV_GT22_0335,09:30:00,Cada hora,40.55,55
RUT_328_33_0327,PROV_GT22_0336,10:45:00,Lunes a Viernes,145.04,126
RUT_329_34_0328,PROV_GT22_0337,11:00:00,Solo fines de semana,31.15,30
