codigo,nombre,origen_municipio_nombre,destino_municipio_nombre,tipo_via_codigo,distancia_km,tiempo_promedio_minutos,estado_transitabilidad
TRM_13_44_0012,Tramo RN-15 Sacapulas (Chuarrancho - San José Poaquil) - Ref 13,Chuarrancho,San José Poaquil,ACUATICA,50.71,61,BUENO
TRM_14_45_0013,Tramo CA-1 Occidente (Fraijanes - San Martín Jilotepeque) - Ref 14,Fraijanes,San Martín Jilotepeque,INTERAMERICANA,10.53,35,MALO
TRM_15_46_0014,Tramo Ruta Nacional RN-1 (Amatitlán - Comalapa) - Ref 15,Amatitlán,Comalapa,PEATONAL,31.55,43,MALO
TRM_16_47_0015,Tramo RN-15 Sacapulas (Villa Nueva - Santa Apolonia) - Ref 16,Villa Nueva,Santa Apolonia,NACIONAL_ASFALTO,59.57,186,BUENO
TRM_17_48_0016,Tramo Ruta Nacional RN-1 (Villa Canales - Tecpán Guatemala) - Ref 17,Villa Canales,Tecpán Guatemala,PEATONAL,53.22,97,REGULAR
TRM_18_49_0017,Tramo RN-7 Cobán-Quiché (Petapa - Patzún) - Ref 18,Petapa,Patzún,PEATONAL,6.02,9,BUENO
TRM_19_50_0018,Tramo CA-1 Occidente (Guastatoya - Pochuta) - Ref 19,Guastatoya,Pochuta,NACIONAL_ASFALTO,69.41,224,BUENO
TRM_20_51_0019,Tramo RN-9 Salcajá (Morazán - Patzicía) - Ref 20,Morazán,Patzicía,NACIONAL_ASFALTO,49.28,95,BUENO
TRM_21_52_0020,Tramo Ruta Nacional RN-1 (San Agustín Acasaguastlán - Santa Cruz Balanyá) - Ref 21,San Agustín Acasaguastlán,Santa Cruz Balanyá,PEATONAL,9.71,12,BUENO
TRM_22_53_0021,Tramo RN-9 Salcajá (San Cristóbal Acasaguastlán - Acatenango) - Ref 22,San Cristóbal Acasaguastlán,Acatenango,PEATONAL,27.28,81,BUENO
TRM_23_54_0022,Tramo RN-11 Panajachel (El Jícaro - Yepocapa) - Ref 23,El Jícaro,Yepocapa,PEATONAL,40.84,114,MALO
TRM_24_55_0023,Tramo RN-9 Salcajá (Sanarate - San Andrés Itzapa) - Ref 24,Sanarate,San Andrés Itzapa,ACUATICA,5.9,11,BUENO
TRM_25_56_0024,Tramo RN-7 Cobán-Quiché (Sansare - Parramos) - Ref 25,Sansare,Parramos,INTERAMERICANA,24.05,62,BUENO
TRM_26_57_0025,Tramo RN-9 Salcajá (San Antonio La Paz - Zaragoza) - Ref 26,San Antonio La Paz,Zaragoza,NACIONAL_ASFALTO,72.6,186,BUENO
TRM_27_58_0026,Tramo RN-11 Panajachel (Antigua Guatemala - El Tejar) - Ref 27,Antigua Guatemala,El Tejar,PEATONAL,70.0,208,BUENO
TRM_28_59_0027,Tramo CA-1 Occidente (Jocotenango - Escuintla) - Ref 28,Jocotenango,Escuintla,TERRACERIA,62.86,216,REGULAR
TRM_29_60_0028,Tramo RN-15 Sacapulas (Pastores - Santa Lucía Cotzumalguapa) - Ref 29,Pastores,Santa Lucía Cotzumalguapa,TERRACERIA,48.06,165,BUENO
TRM_30_61_0029,Tramo RN-7 Cobán-Quiché (Sumpango - La Democracia) - Ref 30,Sumpango,La Democracia,TERRACERIA,54.92,126,BUENO
TRM_31_62_0030,Tramo RN-15 Sacapulas (Santo Domingo Xenacoj - Siquinalá) - Ref 31,Santo Domingo Xenacoj,Siquinalá,NACIONAL_ASFALTO,60.62,150,BUENO
TRM_32_63_0031,Tramo RN-11 Panajachel (Santiago Sacatepéquez - Masagua) - Ref 32,Santiago Sacatepéquez,Masagua,NACIONAL_ASFALTO,73.51,196,BUENO
TRM_33_64_0032,Tramo RN-11 Panajachel (San Bartolomé Milpas Altas - Tiquisate) - Ref 33,San Bartolomé Milpas Altas,Tiquisate,ACUATICA,63.16,189,BUENO
TRM_34_65_0033,Tramo CA-1 Occidente (San Lucas Sacatepéquez - La Gomera) - Ref 34,San Lucas Sacatepéquez,La Gomera,PEATONAL,24.6,31,BUENO
TRM_35_66_0034,Tramo Ruta Nacional RN-1 (Santa Lucía Milpas Altas - Guanagazapa) - Ref 35,Santa Lucía Milpas Altas,Guanagazapa,ACUATICA,61.73,196,BUENO
TRM_36_67_0035,Tramo Ruta Nacional RN-1 (Magdalena Milpas Altas - San José) - Ref 36,Magdalena Milpas Altas,San José,INTERAMERICANA,12.41,18,BUENO
TRM_37_68_0036,Tramo RN-15 Sacapulas (Santa María de Jesús - Iztapa) - Ref 37,Santa María de Jesús,Iztapa,INTERAMERICANA,74.36,247,BUENO
TRM_38_69_0037,Tramo RN-11 Panajachel (Ciudad Vieja - Palín) - Ref 38,Ciudad Vieja,Palín,ACUATICA,34.24,80,MALO
TRM_39_70_0038,Tramo RN-7 Cobán-Quiché (San Miguel Dueñas - San Vicente Pacaya) - Ref 39,San Miguel Dueñas,San Vicente Pacaya,INTERAMERICANA,8.66,30,BUENO
TRM_40_71_0039,Tramo RN-11 Panajachel (Alotenango - Nueva Concepción) - Ref 40,Alotenango,Nueva Concepción,INTERAMERICANA,47.11,85,BUENO
TRM_41_72_0040,Tramo CA-1 Occidente (San Antonio Aguas Calientes - Sipacate) - Ref 41,San Antonio Aguas Calientes,Sipacate,TERRACERIA,5.15,13,BUENO
TRM_42_73_0041,Tramo RN-9 Salcajá (Santa Catarina Barahona - Cuilapa) - Ref 42,Santa Catarina Barahona,Cuilapa,TERRACERIA,38.3,106,BUENO
TRM_43_74_0042,Tramo CA-1 Occidente (Chimaltenango - Barberena) - Ref 43,Chimaltenango,Barberena,TERRACERIA,60.2,179,REGULAR
TRM_44_75_0043,Tramo CA-1 Occidente (San José Poaquil - Santa Rosa de Lima) - Ref 44,San José Poaquil,Santa Rosa de Lima,NACIONAL_ASFALTO,23.61,39,BUENO
TRM_45_76_0044,Tramo RN-7 Cobán-Quiché (San Martín Jilotepeque - Casillas) - Ref 45,San Martín Jilotepeque,Casillas,NACIONAL_ASFALTO,68.49,126,REGULAR
TRM_46_77_0045,Tramo Ruta Nacional RN-1 (Comalapa - San Rafael Las Flores) - Ref 46,Comalapa,San Rafael Las Flores,ACUATICA,63.42,187,BUENO
TRM_47_78_0046,Tramo RN-7 Cobán-Quiché (Santa Apolonia - Oratorio) - Ref 47,Santa Apolonia,Oratorio,INTERAMERICANA,69.07,109,BUENO
TRM_48_79_0047,Tramo RN-7 Cobán-Quiché (Tecpán Guatemala - San Juan Tecuaco) - Ref 48,Tecpán Guatemala,San Juan Tecuaco,TERRACERIA,18.24,31,REGULAR
TRM_49_80_0048,Tramo RN-11 Panajachel (Patzún - Chiquimulilla) - Ref 49,Patzún,Chiquimulilla,INTERAMERICANA,68.84,184,BUENO
TRM_50_81_0049,Tramo RN-11 Panajachel (Pochuta - Taxisco) - Ref 50,Pochuta,Taxisco,TERRACERIA,59.13,121,BUENO
TRM_51_82_0050,Tramo RN-11 Panajachel (Patzicía - Santa María Ixhuatán) - Ref 51,Patzicía,Santa María Ixhuatán,NACIONAL_ASFALTO,12.9,18,BUENO
TRM_52_83_0051,Tramo Ruta Nacional RN-1 (Santa Cruz Balanyá - Guazacapán) - Ref 52,Santa Cruz Balanyá,Guazacapán,TERRACERIA,49.59,80,BUENO
TRM_53_84_0052,Tramo RN-9 Salcajá (Acatenango - Santa Cruz Naranjo) - Ref 53,Acatenango,Santa Cruz Naranjo,PEATONAL,22.16,54,MALO
TRM_54_85_0053,Tramo RN-9 Salcajá (Yepocapa - Pueblo Nuevo Viñas) - Ref 54,Yepocapa,Pueblo Nuevo Viñas,PEATONAL,65.85,86,MALO
TRM_55_86_0054,Tramo RN-15 Sacapulas (San Andrés Itzapa - Nueva Santa Rosa) - Ref 55,San Andrés Itzapa,Nueva Santa Rosa,ACUATICA,33.44,65,BUENO
TRM_56_87_0055,Tramo Ruta Nacional RN-1 (Parramos - Lago De Atitlan) - Ref 56,Parramos,Lago De Atitlan,PEATONAL,33.01,78,BUENO
TRM_57_88_0056,Tramo CA-1 Occidente (Zaragoza - Sololá) - Ref 57,Zaragoza,Sololá,TERRACERIA,58.3,178,BUENO
TRM_58_89_0057,Tramo RN-15 Sacapulas (El Tejar - San José Chacayá) - Ref 58,El Tejar,San José Chacayá,TERRACERIA,68.11,185,MALO
TRM_59_90_0058,Tramo RN-11 Panajachel (Escuintla - Santa María Visitación) - Ref 59,Escuintla,Santa María Visitación,PEATONAL,44.06,69,BUENO
TRM_60_91_0059,Tramo RN-11 Panajachel (Santa Lucía Cotzumalguapa - Santa Lucía Utatlán) - Ref 60,Santa Lucía Cotzumalguapa,Santa Lucía Utatlán,TERRACERIA,10.29,23,REGULAR
TRM_61_92_0060,Tramo RN-9 Salcajá (La Democracia - Nahualá) - Ref 61,La Democracia,Nahualá,NACIONAL_ASFALTO,54.91,137,BUENO
TRM_62_93_0061,Tramo RN-7 Cobán-Quiché (Siquinalá - Santa Catarina Ixtahuacán) - Ref 62,Siquinalá,Santa Catarina Ixtahuacán,ACUATICA,38.87,115,BUENO
TRM_63_94_0062,Tramo Ruta Nacional RN-1 (Masagua - Santa Clara La Laguna) - Ref 63,Masagua,Santa Clara La Laguna,INTERAMERICANA,44.05,124,BUENO
TRM_64_95_0063,Tramo RN-15 Sacapulas (Tiquisate - Concepción) - Ref 64,Tiquisate,Concepción,NACIONAL_ASFALTO,48.01,66,BUENO
TRM_65_96_0064,Tramo CA-1 Occidente (La Gomera - San Andrés Semetabaj) - Ref 65,La Gomera,San Andrés Semetabaj,PEATONAL,50.06,156,BUENO
TRM_66_97_0065,Tramo RN-15 Sacapulas (Guanagazapa - Panajachel) - Ref 66,Guanagazapa,Panajachel,TERRACERIA,63.19,83,BUENO
TRM_67_98_0066,Tramo RN-11 Panajachel (San José - Santa Catarina Palopó) - Ref 67,San José,Santa Catarina Palopó,PEATONAL,39.88,62,REGULAR
TRM_68_99_0067,Tramo RN-15 Sacapulas (Iztapa - San Antonio Palopó) - Ref 68,Iztapa,San Antonio Palopó,TERRACERIA,42.69,92,MALO
TRM_69_100_0068,Tramo RN-7 Cobán-Quiché (Palín - San Lucas Tolimán) - Ref 69,Palín,San Lucas Tolimán,INTERAMERICANA,13.43,45,MALO
TRM_70_101_0069,Tramo Ruta Nacional RN-1 (San Vicente Pacaya - Santa Cruz La Laguna) - Ref 70,San Vicente Pacaya,Santa Cruz La Laguna,TERRACERIA,44.46,136,BUENO
TRM_71_102_0070,Tramo RN-7 Cobán-Quiché (Nueva Concepción - San Pablo La Laguna) - Ref 71,Nueva Concepción,San Pablo La Laguna,ACUATICA,70.71,97,BUENO
TRM_72_103_0071,Tramo RN-11 Panajachel (Sipacate - San Marcos La Laguna) - Ref 72,Sipacate,San Marcos La Laguna,INTERAMERICANA,69.1,112,BUENO
TRM_73_104_0072,Tramo RN-7 Cobán-Quiché (Cuilapa - San Juan La Laguna) - Ref 73,Cuilapa,San Juan La Laguna,ACUATICA,46.73,130,BUENO
TRM_74_105_0073,Tramo RN-7 Cobán-Quiché (Barberena - San Pedro La Laguna) - Ref 74,Barberena,San Pedro La Laguna,INTERAMERICANA,30.55,81,BUENO
TRM_75_106_0074,Tramo RN-11 Panajachel (Santa Rosa de Lima - Santiago Atitlán) - Ref 75,Santa Rosa de Lima,Santiago Atitlán,ACUATICA,50.88,140,MALO
TRM_76_107_0075,Tramo CA-1 Occidente (Casillas - Totonicapán) - Ref 76,Casillas,Totonicapán,TERRACERIA,70.35,196,BUENO
TRM_77_108_0076,Tramo RN-7 Cobán-Quiché (San Rafael Las Flores - San Cristóbal Totonicapán) - Ref 77,San Rafael Las Flores,San Cristóbal Totonicapán,INTERAMERICANA,29.72,82,BUENO
TRM_78_109_0077,Tramo RN-11 Panajachel (Oratorio - San Francisco El Alto) - Ref 78,Oratorio,San Francisco El Alto,PEATONAL,26.47,86,BUENO
TRM_79_110_0078,Tramo Ruta Nacional RN-1 (San Juan Tecuaco - San Andrés Xecul) - Ref 79,San Juan Tecuaco,San Andrés Xecul,PEATONAL,13.76,16,BUENO
TRM_80_111_0079,Tramo Ruta Nacional RN-1 (Chiquimulilla - Momostenango) - Ref 80,Chiquimulilla,Momostenango,NACIONAL_ASFALTO,39.07,125,BUENO
TRM_81_112_0080,Tramo Ruta Nacional RN-1 (Taxisco - Santa María Chiquimula) - Ref 81,Taxisco,Santa María Chiquimula,NACIONAL_ASFALTO,28.69,70,BUENO
TRM_82_113_0081,Tramo RN-11 Panajachel (Santa María Ixhuatán - Santa Lucía La Reforma) - Ref 82,Santa María Ixhuatán,Santa Lucía La Reforma,NACIONAL_ASFALTO,23.95,30,BUENO
TRM_83_114_0082,Tramo Ruta Nacional RN-1 (Guazacapán - San Bartolo) - Ref 83,Guazacapán,San Bartolo,TERRACERIA,50.11,88,BUENO
TRM_84_115_0083,Tramo Ruta Nacional RN-1 (Santa Cruz Naranjo - Quetzaltenango) - Ref 84,Santa Cruz Naranjo,Quetzaltenango,NACIONAL_ASFALTO,12.88,27,BUENO
TRM_85_116_0084,Tramo RN-15 Sacapulas (Pueblo Nuevo Viñas - Salcajá) - Ref 85,Pueblo Nuevo Viñas,Salcajá,TERRACERIA,19.07,28,BUENO
TRM_86_117_0085,Tramo RN-7 Cobán-Quiché (Nueva Santa Rosa - Olintepeque) - Ref 86,Nueva Santa Rosa,Olintepeque,TERRACERIA,25.18,81,BUENO
TRM_87_118_0086,Tramo RN-9 Salcajá (Lago De Atitlan - San Carlos Sija) - Ref 87,Lago De Atitlan,San Carlos Sija,TERRACERIA,36.56,101,BUENO
TRM_88_119_0087,Tramo Ruta Nacional RN-1 (Sololá - Sibilia) - Ref 88,Sololá,Sibilia,PEATONAL,36.85,123,REGULAR
TRM_89_120_0088,Tramo RN-7 Cobán-Quiché (San José Chacayá - Cabricán) - Ref 89,San José Chacayá,Cabricán,NACIONAL_ASFALTO,25.49,31,BUENO
TRM_90_121_0089,Tramo RN-11 Panajachel (Santa María Visitación - Cajolá) - Ref 90,Santa María Visitación,Cajolá,INTERAMERICANA,72.02,185,BUENO
TRM_91_122_0090,Tramo RN-15 Sacapulas (Santa Lucía Utatlán - San Miguel Sigüila) - Ref 91,Santa Lucía Utatlán,San Miguel Sigüila,ACUATICA,7.84,10,BUENO
TRM_92_123_0091,Tramo CA-1 Occidente (Nahualá - Ostuncalco) - Ref 92,Nahualá,Ostuncalco,PEATONAL,69.7,215,BUENO
TRM_93_124_0092,Tramo RN-9 Salcajá (Santa Catarina Ixtahuacán - San Mateo) - Ref 93,Santa Catarina Ixtahuacán,San Mateo,TERRACERIA,43.71,125,BUENO
TRM_94_125_0093,Tramo RN-7 Cobán-Quiché (Santa Clara La Laguna - Concepción Chiquirichapa) - Ref 94,Santa Clara La Laguna,Concepción Chiquirichapa,INTERAMERICANA,63.71,212,BLOQUEADO
TRM_95_126_0094,Tramo RN-11 Panajachel (Concepción - San Martín Sacatepéquez) - Ref 95,Concepción,San Martín Sacatepéquez,TERRACERIA,40.28,100,BUENO
TRM_96_127_0095,Tramo RN-11 Panajachel (San Andrés Semetabaj - Almolonga) - Ref 96,San Andrés Semetabaj,Almolonga,NACIONAL_ASFALTO,28.03,77,BUENO
TRM_97_128_0096,Tramo RN-7 Cobán-Quiché (Panajachel - Cantel) - Ref 97,Panajachel,Cantel,NACIONAL_ASFALTO,59.22,134,BUENO
TRM_98_129_0097,Tramo RN-15 Sacapulas (Santa Catarina Palopó - Huitán) - Ref 98,Santa Catarina Palopó,Huitán,PEATONAL,8.99,13,BUENO
TRM_99_130_0098,Tramo RN-11 Panajachel (San Antonio Palopó - Zunil) - Ref 99,San Antonio Palopó,Zunil,NACIONAL_ASFALTO,58.96,181,BUENO
TRM_100_131_0099,Tramo CA-1 Occidente (San Lucas Tolimán - Colomba) - Ref 100,San Lucas Tolimán,Colomba,ACUATICA,36.6,112,BUENO
TRM_101_132_0100,Tramo RN-15 Sacapulas (Santa Cruz La Laguna - San Francisco La Unión) - Ref 101,Santa Cruz La Laguna,San Francisco La Unión,TERRACERIA,39.67,57,BUENO
TRM_102_133_0101,Tramo RN-7 Cobán-Quiché (San Pablo La Laguna - El Palmar) - Ref 102,San Pablo La Laguna,El Palmar,PEATONAL,45.28,111,BUENO
TRM_103_134_0102,Tramo CA-1 Occidente (San Marcos La Laguna - Coatepeque) - Ref 103,San Marcos La Laguna,Coatepeque,INTERAMERICANA,28.9,96,REGULAR
TRM_104_135_0103,Tramo RN-15 Sacapulas (San Juan La Laguna - Génova) - Ref 104,San Juan La Laguna,Génova,ACUATICA,30.13,93,REGULAR
TRM_105_136_0104,Tramo RN-11 Panajachel (San Pedro La Laguna - Flores Costa Cuca) - Ref 105,San Pedro La Laguna,Flores Costa Cuca,ACUATICA,54.24,163,BUENO
TRM_106_137_0105,Tramo RN-15 Sacapulas (Santiago Atitlán - La Esperanza) - Ref 106,Santiago Atitlán,La Esperanza,ACUATICA,73.53,147,BUENO
TRM_107_138_0106,Tramo RN-15 Sacapulas (Totonicapán - Palestina de Los Altos) - Ref 107,Totonicapán,Palestina de Los Altos,INTERAMERICANA,16.33,48,REGULAR
TRM_108_139_0107,Tramo Ruta Nacional RN-1 (San Cristóbal Totonicapán - Mazatenango) - Ref 108,San Cristóbal Totonicapán,Mazatenango,ACUATICA,16.58,40,BUENO
TRM_109_140_0108,Tramo RN-15 Sacapulas (San Francisco El Alto - Cuyotenango) - Ref 109,San Francisco El Alto,Cuyotenango,INTERAMERICANA,12.38,23,BUENO
TRM_110_141_0109,Tramo RN-11 Panajachel (San Andrés Xecul - San Francisco Zapotitlán) - Ref 110,San Andrés Xecul,San Francisco Zapotitlán,ACUATICA,46.19,74,REGULAR
TRM_111_142_0110,Tramo Ruta Nacional RN-1 (Momostenango - San Bernardino) - Ref 111,Momostenango,San Bernardino,NACIONAL_ASFALTO,69.16,94,BUENO
TRM_112_143_0111,Tramo RN-15 Sacapulas (Santa María Chiquimula - San José El Ídolo) - Ref 112,Santa María Chiquimula,San José El Ídolo,INTERAMERICANA,50.18,99,REGULAR
TRM_113_144_0112,Tramo RN-7 Cobán-Quiché (Santa Lucía La Reforma - Santo Domingo Suchitepéquez) - Ref 113,Santa Lucía La Reforma,Santo Domingo Suchitepéquez,TERRACERIA,53.4,153,BUENO
TRM_114_145_0113,Tramo CA-1 Occidente (San Bartolo - San Lorenzo) - Ref 114,San Bartolo,San Lorenzo,PEATONAL,19.92,44,BUENO
TRM_115_146_0114,Tramo RN-7 Cobán-Quiché (Quetzaltenango - Samayac) - Ref 115,Quetzaltenango,Samayac,INTERAMERICANA,39.53,89,BUENO
TRM_116_147_0115,Tramo RN-9 Salcajá (Salcajá - San Pablo Jocopilas) - Ref 116,Salcajá,San Pablo Jocopilas,PEATONAL,64.85,207,BUENO
TRM_117_148_0116,Tramo RN-11 Panajachel (Olintepeque - San Antonio Suchitepéquez) - Ref 117,Olintepeque,San Antonio Suchitepéquez,NACIONAL_ASFALTO,59.15,153,MALO
TRM_118_149_0117,Tramo RN-7 Cobán-Quiché (San Carlos Sija - San Miguel Panán) - Ref 118,San Carlos Sija,San Miguel Panán,TERRACERIA,55.64,156,MALO
TRM_119_150_0118,Tramo RN-11 Panajachel (Sibilia - San Gabriel) - Ref 119,Sibilia,San Gabriel,NACIONAL_ASFALTO,68.62,234,BUENO
TRM_120_151_0119,Tramo RN-7 Cobán-Quiché (Cabricán - Chicacao) - Ref 120,Cabricán,Chicacao,NACIONAL_ASFALTO,58.03,186,BUENO
TRM_121_152_0120,Tramo RN-11 Panajachel (Cajolá - Patulul) - Ref 121,Cajolá,Patulul,ACUATICA,72.46,186,BUENO
TRM_122_153_0121,Tramo RN-11 Panajachel (San Miguel Sigüila - Santa Bárbara) - Ref 122,San Miguel Sigüila,Santa Bárbara,PEATONAL,17.05,23,REGULAR
TRM_123_154_0122,Tramo Ruta Nacional RN-1 (Ostuncalco - San Juan Bautista) - Ref 123,Ostuncalco,San Juan Bautista,INTERAMERICANA,45.83,106,REGULAR
TRM_124_155_0123,Tramo RN-9 Salcajá (San Mateo - Santo Tomás La Unión) - Ref 124,San Mateo,Santo Tomás La Unión,PEATONAL,39.78,101,BUENO
TRM_125_156_0124,Tramo RN-9 Salcajá (Concepción Chiquirichapa - Zunilito) - Ref 125,Concepción Chiquirichapa,Zunilito,TERRACERIA,15.54,31,BUENO
TRM_126_157_0125,Tramo Ruta Nacional RN-1 (San Martín Sacatepéquez - Pueblo Nuevo) - Ref 126,San Martín Sacatepéquez,Pueblo Nuevo,PEATONAL,34.3,104,REGULAR
TRM_127_158_0126,Tramo CA-1 Occidente (Almolonga - Río Bravo) - Ref 127,Almolonga,Río Bravo,INTERAMERICANA,73.25,106,BUENO
TRM_128_159_0127,Tramo CA-1 Occidente (Cantel - San José La Máquina) - Ref 128,Cantel,San José La Máquina,PEATONAL,5.56,16,BUENO
TRM_129_160_0128,Tramo RN-15 Sacapulas (Huitán - Retalhuleu) - Ref 129,Huitán,Retalhuleu,NACIONAL_ASFALTO,52.13,179,BLOQUEADO
TRM_130_161_0129,Tramo RN-11 Panajachel (Zunil - San Sebastián) - Ref 130,Zunil,San Sebastián,NACIONAL_ASFALTO,72.62,189,BUENO
TRM_131_162_0130,Tramo RN-7 Cobán-Quiché (Colomba - Santa Cruz Muluá) - Ref 131,Colomba,Santa Cruz Muluá,INTERAMERICANA,18.74,28,BUENO
TRM_132_163_0131,Tramo RN-9 Salcajá (San Francisco La Unión - San Martín Zapotitlán) - Ref 132,San Francisco La Unión,San Martín Zapotitlán,INTERAMERICANA,38.9,53,BUENO
TRM_133_164_0132,Tramo RN-7 Cobán-Quiché (El Palmar - San Felipe) - Ref 133,El Palmar,San Felipe,INTERAMERICANA,37.11,93,MALO
TRM_134_165_0133,Tramo RN-7 Cobán-Quiché (Coatepeque - San Andrés Villa Seca) - Ref 134,Coatepeque,San Andrés Villa Seca,INTERAMERICANA,23.91,59,BUENO
TRM_135_166_0134,Tramo RN-7 Cobán-Quiché (Génova - Champerico) - Ref 135,Génova,Champerico,TERRACERIA,50.84,101,BUENO
TRM_136_167_0135,Tramo CA-1 Occidente (Flores Costa Cuca - Nuevo San Carlos) - Ref 136,Flores Costa Cuca,Nuevo San Carlos,NACIONAL_ASFALTO,64.83,183,BUENO
TRM_137_168_0136,Tramo Ruta Nacional RN-1 (La Esperanza - El Asintal) - Ref 137,La Esperanza,El Asintal,TERRACERIA,72.14,160,REGULAR
TRM_138_169_0137,Tramo Ruta Nacional RN-1 (Palestina de Los Altos - San Marcos) - Ref 138,Palestina de Los Altos,San Marcos,TERRACERIA,21.76,32,BUENO
TRM_139_170_0138,Tramo RN-11 Panajachel (Mazatenango - San Pedro Sacatepéquez) - Ref 139,Mazatenango,San Pedro Sacatepéquez,INTERAMERICANA,49.89,133,BUENO
TRM_140_171_0139,Tramo CA-1 Occidente (Cuyotenango - San Antonio Sacatepéquez) - Ref 140,Cuyotenango,San Antonio Sacatepéquez,TERRACERIA,20.97,66,BUENO
TRM_141_172_0140,Tramo Ruta Nacional RN-1 (San Francisco Zapotitlán - Comitancillo) - Ref 141,San Francisco Zapotitlán,Comitancillo,ACUATICA,10.43,30,BUENO
TRM_142_173_0141,Tramo RN-7 Cobán-Quiché (San Bernardino - San Miguel Ixtahuacán) - Ref 142,San Bernardino,San Miguel Ixtahuacán,INTERAMERICANA,34.49,70,BUENO
TRM_143_174_0142,Tramo CA-1 Occidente (San José El Ídolo - Concepción Tutuapa) - Ref 143,San José El Ídolo,Concepción Tutuapa,PEATONAL,72.54,198,BUENO
TRM_144_175_0143,Tramo RN-9 Salcajá (Santo Domingo Suchitepéquez - Tacaná) - Ref 144,Santo Domingo Suchitepéquez,Tacaná,INTERAMERICANA,54.93,134,BUENO
TRM_145_176_0144,Tramo RN-7 Cobán-Quiché (San Lorenzo - Sibinal) - Ref 145,San Lorenzo,Sibinal,INTERAMERICANA,49.47,75,BUENO
TRM_146_177_0145,Tramo RN-9 Salcajá (Samayac - Tajumulco) - Ref 146,Samayac,Tajumulco,NACIONAL_ASFALTO,51.64,177,MALO
TRM_147_178_0146,Tramo CA-1 Occidente (San Pablo Jocopilas - Tejutla) - Ref 147,San Pablo Jocopilas,Tejutla,TERRACERIA,62.17,157,BUENO
TRM_148_179_0147,Tramo CA-1 Occidente (San Antonio Suchitepéquez - San Rafael Pie de la Cuesta) - Ref 148,San Antonio Suchitepéquez,San Rafael Pie de la Cuesta,INTERAMERICANA,46.21,99,BUENO
TRM_149_180_0148,Tramo RN-11 Panajachel (San Miguel Panán - Nuevo Progreso) - Ref 149,San Miguel Panán,Nuevo Progreso,NACIONAL_ASFALTO,53.47,94,BUENO
TRM_150_181_0149,Tramo RN-7 Cobán-Quiché (San Gabriel - El Tumbador) - Ref 150,San Gabriel,El Tumbador,NACIONAL_ASFALTO,49.74,148,BUENO
TRM_151_182_0150,Tramo CA-1 Occidente (Chicacao - El Rodeo) - Ref 151,Chicacao,El Rodeo,NACIONAL_ASFALTO,46.9,105,BUENO
TRM_152_183_0151,Tramo RN-9 Salcajá (Patulul - Malacatán) - Ref 152,Patulul,Malacatán,NACIONAL_ASFALTO,61.07,128,REGULAR
TRM_153_184_0152,Tramo RN-11 Panajachel (Santa Bárbara - Catarina) - Ref 153,Santa Bárbara,Catarina,NACIONAL_ASFALTO,62.3,162,BUENO
