obra_id,material_id,proporcion_estimada
373,519,76.51
374,524,68.91
375,539,82.79
376,544,53.02
377,558,75.73
378,569,64.61
379,572,90.27
380,584,96.85
381,598,72.69
382,606,53.93
383,620,67.7
384,623,97.46
385,631,81.34
386,649,88.24
387,656,90.23
388,670,55.72
389,678,63.48
390,690,61.71
391,691,55.79
392,708,67.65
393,718,53.0
394,722,94.93
395,738,70.69
396,742,87.17
397,759,93.38
398,762,73.64
399,780,74.94
400,790,99.36
401,794,86.92
402,806,93.43
403,820,72.22
404,824,73.62
405,839,67.11
406,846,93.51
407,858,66.56
408,861,71.36
409,872,81.27
410,886,55.07
411,894,93.46
412,905,92.93
413,920,63.82
414,929,61.63
415,939,94.07
416,945,76.62
417,959,62.86
418,968,64.85
419,972,81.87
420,985,56.69
421,1000,82.04
422,1006,81.11
423,1014,61.21
424,706,60.82
425,510,51.1
426,766,97.21
427,265,58.5
428,667,51.8
429,164,56.54
430,167,93.35
431,545,66.02
432,468,50.35
433,257,63.2
434,552,55.27
435,522,88.71
436,46,83.56
437,57,65.14
438,828,93.13
439,512,91.07
440,771,90.3
441,928,50.05
442,572,76.25
443,264,75.46
444,1013,67.25
445,775,93.74
446,945,59.03
447,365,94.22
448,594,55.3
449,118,67.09
450,690,90.02
451,187,76.75
452,662,91.9
453,804,53.54
454,791,80.24
455,360,83.2
456,581,87.03
457,428,64.0
458,479,97.5
459,270,63.01
460,553,74.17
461,597,76.91
462,753,75.21
463,249,94.78
464,339,51.74
465,73,57.59
466,279,58.58
467,246,53.2
468,932,63.1
469,607,53.46
470,518,51.97
471,40,53.92
472,444,70.25
473,976,72.68
474,789,75.23
475,336,51.99
476,115,56.8
477,21,78.69
478,796,64.46
479,320,90.06
480,277,82.5
481,1001,63.03
482,9,72.19
483,16,87.32
484,24,86.2
485,40,87.52
486,42,86.35
487,53,53.54
488,61,67.27
489,71,73.26
490,82,93.73
491,94,98.33
492,103,88.12
493,113,53.43
494,129,62.91
495,135,78.6
496,141,75.08
497,160,50.84
498,163,96.25
499,176,90.16
500,190,74.26
501,194,68.23
502,202,52.64
503,212,55.5
504,224,94.75
505,233,80.86
506,246,79.69
507,260,59.85
508,261,91.27
509,278,83.13
510,283,69.88
511,292,94.58
512,306,67.79
513,316,72.11
514,326,83.78
515,335,59.82
516,345,54.98
517,360,83.61
518,370,56.46
519,376,99.91
520,385,87.6
521,400,71.67
522,405,78.19
523,412,70.52
524,421,97.57
525,438,60.36
526,450,65.87
527,456,68.99
528,468,88.91
529,476,52.72
530,485,62.32
531,492,69.87
532,503,69.75
533,516,84.13
534,528,94.3
535,535,77.29
536,550,78.51
537,559,60.15
538,570,85.38
539,578,96.48
540,589,50.79
541,599,77.54
542,601,99.42
543,620,98.87
544,625,81.06
545,631,79.87
546,643,65.98
547,658,50.56
548,666,93.86
549,673,84.92
550,682,90.8
551,691,58.66
552,703,51.42
553,716,64.53
554,722,69.69
555,731,92.06
556,745,77.51
557,751,73.29
558,762,85.28
559,776,54.22
560,786,77.13
561,798,85.07
562,803,73.68
563,812,88.4
564,825,67.9
565,835,89.13
566,845,86.14
567,858,97.9
568,862,87.93
569,873,68.64
570,882,74.92
571,900,57.95
572,902,71.67
573,919,71.41
574,928,94.3
575,940,92.95
576,946,62.35
577,956,75.13
578,966,79.02
579,979,61.89
580,985,67.7
581,1000,77.55
582,1009,81.63
583,1012,53.49
584,166,52.05
585,268,61.83
586,153,87.73
587,1007,69.34
588,943,77.98
589,253,98.26
590,862,73.01
591,855,93.65
592,860,91.34
593,432,94.42
594,327,76.21
595,895,87.65
596,256,85.11
597,308,59.94
598,521,53.34
599,991,62.39
600,245,91.04
601,100,73.12
602,648,86.6
603,119,57.87
604,376,84.7
605,868,75.54
606,104,64.2
607,611,63.45
608,423,53.48
609,75,56.17
610,360,94.36
611,241,60.02
612,142,52.69
613,485,61.73
614,214,72.16
615,880,92.15
616,401,92.8
617,750,59.87
618,617,72.11
619,421,73.02
620,909,59.86
621,463,95.42
622,316,87.21
623,830,93.89
624,827,72.2
625,546,63.54
626,549,65.66
627,638,69.38
628,669,90.86
629,745,83.98
630,326,69.37
631,640,94.61
632,186,67.01
633,704,78.68
634,660,89.93
635,18,68.18
636,667,76.49
637,242,99.13
638,410,53.96
639,399,71.08
640,674,92.71
641,952,81.84
642,5,65.87
643,19,55.9
644,28,97.5
645,39,71.07
646,48,61.96
647,58,82.06
648,66,92.62
649,78,56.82
650,88,89.52
651,92,82.97
652,109,92.35
653,111,84.8
654,125,91.29
655,140,95.01
656,141,92.49
657,153,65.44
658,164,66.26
659,179,68.25
660,186,99.04
661,199,77.16
662,205,92.43
663,211,84.54
664,221,64.84
665,236,99.12
666,246,73.36
667,251,68.88
668,269,87.93
669,273,72.83
670,285,89.23
671,299,69.56
672,303,73.37
673,318,65.84
674,329,64.57
675,334,89.4
676,344,70.35
677,351,92.94
678,363,55.67
679,373,76.78
680,383,73.86
681,400,75.97
682,409,98.93
683,414,57.06
684,429,52.14
685,433,65.04
686,442,68.48
687,456,84.14
688,462,69.8
689,471,75.06
690,484,54.45
691,494,59.4
692,503,78.94
693,515,58.61
694,528,80.2
695,540,72.05
696,542,67.17
697,559,99.73
698,561,57.06
699,579,65.95
700,584,58.3
701,591,72.82
702,602,68.41
703,611,84.83
704,622,56.39
705,635,56.12
706,649,52.37
707,659,68.43
708,661,97.93
709,671,68.26
710,686,50.94
711,691,65.42
712,708,77.8
713,720,88.97
714,722,78.8
715,740,67.95
716,741,76.28
717,755,72.78
718,769,88.88
719,779,75.81
720,782,68.99
721,796,52.72
722,801,83.89
723,812,85.19
724,822,77.24
725,839,98.25
726,842,65.99
727,853,86.59
728,862,85.74
729,875,77.87
730,889,78.93
731,893,99.17
732,908,98.23
733,912,61.48
734,928,75.36
735,934,68.71
736,944,50.54
737,953,92.69
738,966,61.88
739,976,87.16
740,984,88.19
741,995,92.91
742,1008,57.57
743,1011,72.63
744,436,53.14
745,613,73.42
746,843,85.87
747,178,87.91
748,709,87.07
749,705,86.27
750,753,97.17
751,299,78.27
752,944,76.8
753,928,69.37
754,815,77.53
755,934,96.84
756,446,70.02
757,2,90.25
758,862,64.24
759,378,60.11
760,499,62.26
761,37,93.03
762,798,91.05
763,589,75.93
764,653,91.33
765,519,87.88
766,36,99.2
767,195,99.61
768,850,77.75
769,531,77.05
770,322,98.52
771,797,88.81
772,594,88.7
773,652,74.88
774,542,93.08
775,554,98.91
776,837,56.58
777,805,58.18
778,623,88.07
779,805,55.54
780,965,59.78
781,504,54.04
782,931,73.93
783,54,56.58
784,157,90.2
785,533,68.72
786,148,59.39
787,209,51.7
788,665,86.0
789,41,91.67
790,95,61.6
791,999,98.95
792,661,70.95
793,374,89.73
794,230,52.45
795,623,84.18
796,425,53.39
797,641,88.81
798,29,95.55
799,94,83.09
800,228,63.83
801,598,93.52
802,8,51.52
803,14,65.56
804,25,84.11
805,33,86.58
806,48,53.94
807,60,95.14
808,69,63.51
809,73,98.13
810,86,50.09
811,96,94.78
812,106,81.71
813,120,66.43
814,122,62.16
815,134,62.0
816,142,59.01
817,154,87.83
818,162,89.81
819,175,60.39
820,189,89.46
821,196,62.52
822,206,99.32
823,219,99.87
824,226,76.26
825,236,53.61
826,242,82.33
827,251,61.09
828,264,65.94
829,280,94.58
830,284,81.85
831,300,92.42
832,303,84.76
833,312,69.94
834,324,56.19
835,336,72.13
836,348,61.35
837,353,80.63
838,363,61.61
839,373,73.38
840,385,83.92
841,393,56.79
842,408,66.86
843,411,75.09
844,423,88.64
845,438,74.77
846,446,50.33
847,458,71.32
848,462,50.35
849,478,58.34
850,486,79.04
851,495,75.12
852,502,58.46
853,514,77.61
854,524,71.1
855,540,80.46
856,545,71.25
857,551,50.64
858,568,92.1
859,573,70.37
860,584,95.69
861,596,53.01
862,602,68.44
863,614,87.6
864,629,91.74
865,635,69.74
866,648,51.19
867,655,76.69
868,663,91.19
869,680,51.87
870,682,66.84
871,695,58.87
872,703,93.59
873,712,70.16
874,723,62.55
875,731,64.05
876,742,95.53
877,760,53.18
878,763,87.28
879,780,51.44
880,789,70.88
881,792,98.93
882,809,59.62
883,813,84.84
884,828,94.75
885,833,58.5
886,848,50.25
887,852,98.16
888,870,99.44
889,875,51.54
890,890,69.57
891,891,57.56
892,906,56.38
893,920,99.84
894,930,81.0
895,932,61.29
896,943,88.51
897,959,75.14
898,961,70.42
899,972,68.86
900,983,94.71
901,996,53.81
902,1006,88.42
903,1020,81.93
904,282,62.84
905,128,79.82
906,56,69.41
907,434,71.69
908,998,93.78
909,382,90.65
910,22,73.19
911,476,93.25
912,198,96.0
913,368,70.91
914,372,60.83
915,980,82.95
916,955,67.57
917,672,89.93
918,220,69.6
919,552,69.26
920,589,51.25
921,994,85.73
922,833,94.7
923,13,90.92
924,212,51.84
925,615,82.71
926,611,91.54
927,966,89.38
928,500,80.1
929,704,96.86
930,506,74.13
931,13,54.04
932,733,78.4
933,826,75.05
934,533,98.83
935,652,54.5
936,236,63.49
937,251,65.23
938,130,54.69
939,385,79.82
940,259,74.2
941,721,96.6
942,253,59.4
943,354,95.16
944,480,65.71
945,32,58.05
946,596,78.11
947,510,86.03
948,417,98.66
949,423,97.48
950,660,78.99
951,738,96.2
952,953,58.83
953,546,80.66
954,812,88.79
955,715,80.77
956,5,98.05
957,55,64.54
958,108,82.96
959,159,57.75
960,22,54.98
961,20,80.86
962,2,59.49
963,15,59.58
964,30,72.73
965,33,70.1
966,46,65.97
967,52,57.45
968,64,82.13
969,79,96.17
970,83,81.92
971,100,57.21
972,108,67.96
973,116,66.67
974,122,61.24
975,140,92.59
976,144,85.1
977,152,58.41
978,161,68.8
979,173,93.71
980,186,65.11
981,198,89.45
982,209,79.9
983,211,75.6
984,222,92.38
985,231,62.89
986,243,98.12
987,255,93.88
988,266,81.93
989,275,99.09
990,281,97.56
991,300,97.1
992,305,68.21
993,311,50.27
994,326,78.78
995,334,76.3
996,343,78.05
997,356,90.05
998,368,78.31
999,379,73.16
1000,381,53.44
1001,393,99.13
1002,408,70.55
1003,413,90.89
1004,423,67.23
1005,439,67.01
1006,449,83.92
1007,455,75.44
1008,469,67.72
1009,478,78.63
1010,481,57.43
1011,492,63.01
1012,502,57.1
1013,518,85.78
1014,523,76.75
1015,539,72.91
1016,550,99.02
1017,556,77.55
1018,568,62.48
1019,580,86.79
1020,584,50.89
