id_taller,codigo,nombre,representante,departamento_pcode,municipio_pcode,direccion,anio_fundacion,cantidad_miembros,contacto
12,TAL_GT0412_0011,Asociación de Artesanos Qeqchi Pacaya de Yepocapa,Maestro Rosa Mazariegos,GT04,GT0412,"Cantón Pachoc, Lote 7",1989,39,+502 4952-9779
13,TAL_GT0413_0012,Taller Familiar de Arte Tradicional Popol en San Andrés Itzapa,Maestro Juan  Fuentes,GT04,GT0413,"Cantón Xabajal, Lote 94",2005,25,+502 4149-6517
14,TAL_GT0414_0013,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Parramos),Maestro Juan Tupul,GT04,GT0414,"Cantón Centro, Lote 46",1972,19,+502 5277-8172
15,TAL_GT0415_0014,Asociación de Artesanos Xelaju Sop de Zaragoza,Maestro Pedro Chox,GT04,GT0415,"Cantón Tzanjuyup, Lote 47",2020,32,+502 4791-9192
16,TAL_GT0416_0015,Taller Familiar de Arte Tradicional Utatlan en El Tejar,Maestro Rosa Chox,GT04,GT0416,"Cantón Xabajal, Lote 61",1980,36,+502 4086-1512
17,TAL_GT0700_0016,Cooperativa de Producción Artesanal Chup de R.L. (Lago De Atitlan),Maestro María Chox,GT07,GT0700,"Cantón El Carmen, Lote 4",1973,16,+502 4110-6279
18,TAL_GT0701_0017,Asociación de Artesanos Cuchumatanes Patzun de Sololá,Maestro Juan Chox,GT07,GT0701,"Cantón Centro, Lote 6",1993,42,+502 5339-5598
19,TAL_GT0702_0018,Taller Familiar de Arte Tradicional Pacaya en San José Chacayá,Maestro Juana Chox,GT07,GT0702,"Cantón El Carmen, Lote 75",1986,6,+502 4022-1079
20,TAL_GT0703_0019,Cooperativa de Producción Artesanal Almolonga de R.L. (Santa María Visitación),Maestro Tomasa Tzoc,GT07,GT0703,"Cantón Tzanjuyup, Lote 96",1982,31,+502 5725-8845
21,TAL_GT0704_0020,Asociación de Artesanos Cholsamaj Ixchel de Santa Lucía Utatlán,Maestro Manuel Tax,GT07,GT0704,"Cantón Pachoc, Lote 89",2017,5,+502 4235-6670
22,TAL_GT0705_0021,Taller Familiar de Arte Tradicional Sop en Nahualá,Maestro Juan Tax,GT07,GT0705,"Cantón Xabajal, Lote 2",2006,9,+502 5943-3746
23,TAL_GT0706_0022,Cooperativa de Producción Artesanal Atitlan de R.L. (Santa Catarina Ixtahuacán),Maestro Manuel Tupul,GT07,GT0706,"Cantón Centro, Lote 91",1972,34,+502 4606-6120
24,TAL_GT0707_0023,Asociación de Artesanos Chup Iximche de Santa Clara La Laguna,Maestro Juana Tax,GT07,GT0707,"Cantón Xabajal, Lote 10",1996,9,+502 5182-1554
25,TAL_GT0708_0024,Taller Familiar de Arte Tradicional Patzun en Concepción,Maestro Santiago  Fuentes,GT07,GT0708,"Cantón Xabajal, Lote 98",1997,7,+502 4759-7187
26,TAL_GT0709_0025,Cooperativa de Producción Artesanal Jaspe de R.L. (San Andrés Semetabaj),Maestro Tomasa  Fuentes,GT07,GT0709,"Cantón Xabajal, Lote 80",1993,43,+502 4833-7210
27,TAL_GT0710_0026,Asociación de Artesanos Almolonga Hunapu de Panajachel,Maestro Tomasa Chox,GT07,GT0710,"Cantón El Carmen, Lote 55",1992,39,+502 4959-6285
28,TAL_GT0711_0027,Taller Familiar de Arte Tradicional Ixchel en Santa Catarina Palopó,Maestro Manuel Mazariegos,GT07,GT0711,"Cantón Tzanjuyup, Lote 93",2016,32,+502 5984-2446
29,TAL_GT0712_0028,Cooperativa de Producción Artesanal Kiche de R.L. (San Antonio Palopó),Maestro María Tax,GT07,GT0712,"Cantón Xabajal, Lote 40",1978,15,+502 4829-7188
30,TAL_GT0713_0029,Asociación de Artesanos Atitlan Mam de San Lucas Tolimán,Maestro María Tax,GT07,GT0713,"Cantón El Carmen, Lote 41",1976,13,+502 4974-6045
31,TAL_GT0714_0030,Taller Familiar de Arte Tradicional Iximche en Santa Cruz La Laguna,Maestro Pedro Tax,GT07,GT0714,"Cantón Pachoc, Lote 35",2018,6,+502 4824-7281
32,TAL_GT0715_0031,Cooperativa de Producción Artesanal Qeqchi de R.L. (San Pablo La Laguna),Maestro Rosa Chox,GT07,GT0715,"Cantón El Carmen, Lote 28",1999,15,+502 4086-8746
33,TAL_GT0716_0032,Asociación de Artesanos Jaspe Popol de San Marcos La Laguna,Maestro Tomasa Mazariegos,GT07,GT0716,"Cantón Pachoc, Lote 74",1979,40,+502 5406-2446
34,TAL_GT0717_0033,Taller Familiar de Arte Tradicional Hunapu en San Juan La Laguna,Maestro Pedro Chox,GT07,GT0717,"Cantón El Carmen, Lote 67",1983,41,+502 5038-4350
35,TAL_GT0718_0034,Cooperativa de Producción Artesanal Xelaju de R.L. (San Pedro La Laguna),Maestro Santiago Ixcol,GT07,GT0718,"Cantón Centro, Lote 66",2004,34,+502 4259-4605
36,TAL_GT0719_0035,Asociación de Artesanos Kiche Utatlan de Santiago Atitlán,Maestro Juan Mazariegos,GT07,GT0719,"Cantón Xabajal, Lote 47",1976,12,+502 5283-9312
37,TAL_GT0801_0036,Taller Familiar de Arte Tradicional Mam en Totonicapán,Maestro Rosa Ixcol,GT08,GT0801,"Cantón Pachoc, Lote 80",2022,30,+502 4384-5247
38,TAL_GT0802_0037,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (San Cristóbal Totonicapán),Maestro Tomasa Tax,GT08,GT0802,"Cantón Pachoc, Lote 44",2010,39,+502 5045-8215
39,TAL_GT0803_0038,Asociación de Artesanos Qeqchi Pacaya de San Francisco El Alto,Maestro María Tupul,GT08,GT0803,"Cantón Xabajal, Lote 20",1986,12,+502 4629-1547
40,TAL_GT0804_0039,Taller Familiar de Arte Tradicional Popol en San Andrés Xecul,Maestro Juana Chox,GT08,GT0804,"Cantón Pachoc, Lote 38",1998,21,+502 4194-3689
41,TAL_GT0805_0040,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Momostenango),Maestro Juan Chox,GT08,GT0805,"Cantón Pachoc, Lote 50",1994,12,+502 4740-2626
42,TAL_GT0806_0041,Asociación de Artesanos Xelaju Sop de Santa María Chiquimula,Maestro Rosa Tax,GT08,GT0806,"Cantón El Carmen, Lote 7",2021,36,+502 5797-1805
43,TAL_GT0807_0042,Taller Familiar de Arte Tradicional Utatlan en Santa Lucía La Reforma,Maestro Juana Ixcol,GT08,GT0807,"Cantón Tzanjuyup, Lote 89",2008,26,+502 4449-5867
44,TAL_GT0808_0043,Cooperativa de Producción Artesanal Chup de R.L. (San Bartolo),Maestro Tomasa Tupul,GT08,GT0808,"Cantón El Carmen, Lote 61",2013,22,+502 4087-4639
45,TAL_GT0901_0044,Asociación de Artesanos Cuchumatanes Patzun de Quetzaltenango,Maestro Manuel Ixcol,GT09,GT0901,"Cantón Xabajal, Lote 81",2004,12,+502 4188-2772
46,TAL_GT0902_0045,Taller Familiar de Arte Tradicional Pacaya en Salcajá,Maestro Santiago Coché,GT09,GT0902,"Cantón Tzanjuyup, Lote 7",1980,14,+502 4207-5178
47,TAL_GT0903_0046,Cooperativa de Producción Artesanal Almolonga de R.L. (Olintepeque),Maestro María Ixcol,GT09,GT0903,"Cantón Centro, Lote 70",2013,24,+502 5830-4568
48,TAL_GT0904_0047,Asociación de Artesanos Cholsamaj Ixchel de San Carlos Sija,Maestro Juan Mazariegos,GT09,GT0904,"Cantón Centro, Lote 70",1990,9,+502 5148-5537
49,TAL_GT0905_0048,Taller Familiar de Arte Tradicional Sop en Sibilia,Maestro Tomasa Tupul,GT09,GT0905,"Cantón Centro, Lote 67",2020,22,+502 4219-6342
50,TAL_GT0906_0049,Cooperativa de Producción Artesanal Atitlan de R.L. (Cabricán),Maestro Juana Coché,GT09,GT0906,"Cantón Xabajal, Lote 82",1988,26,+502 5616-8155
51,TAL_GT0907_0050,Asociación de Artesanos Chup Iximche de Cajolá,Maestro Tomasa Mazariegos,GT09,GT0907,"Cantón Pachoc, Lote 46",2022,35,+502 4632-9377
52,TAL_GT0908_0051,Taller Familiar de Arte Tradicional Patzun en San Miguel Sigüila,Maestro Pedro Tupul,GT09,GT0908,"Cantón Centro, Lote 95",1984,32,+502 4119-9225
53,TAL_GT0909_0052,Cooperativa de Producción Artesanal Jaspe de R.L. (Ostuncalco),Maestro Manuel Mazariegos,GT09,GT0909,"Cantón Xabajal, Lote 37",2011,13,+502 4772-8556
54,TAL_GT0910_0053,Asociación de Artesanos Almolonga Hunapu de San Mateo,Maestro Rosa Mazariegos,GT09,GT0910,"Cantón Centro, Lote 43",2016,15,+502 5702-7990
55,TAL_GT0911_0054,Taller Familiar de Arte Tradicional Ixchel en Concepción Chiquirichapa,Maestro Rosa Tupul,GT09,GT0911,"Cantón El Carmen, Lote 14",1988,13,+502 4915-2649
56,TAL_GT0912_0055,Cooperativa de Producción Artesanal Kiche de R.L. (San Martín Sacatepéquez),Maestro Santiago Mazariegos,GT09,GT0912,"Cantón Xabajal, Lote 17",1987,31,+502 5272-8823
57,TAL_GT0913_0056,Asociación de Artesanos Atitlan Mam de Almolonga,Maestro Juana Mazariegos,GT09,GT0913,"Cantón Tzanjuyup, Lote 82",2002,30,+502 4397-3774
58,TAL_GT0914_0057,Taller Familiar de Arte Tradicional Iximche en Cantel,Maestro Santiago Tax,GT09,GT0914,"Cantón Centro, Lote 65",2015,37,+502 4939-9348
59,TAL_GT0915_0058,Cooperativa de Producción Artesanal Qeqchi de R.L. (Huitán),Maestro Juan Ixcol,GT09,GT0915,"Cantón Xabajal, Lote 81",1985,17,+502 5111-5107
60,TAL_GT0916_0059,Asociación de Artesanos Jaspe Popol de Zunil,Maestro Pedro Tupul,GT09,GT0916,"Cantón Xabajal, Lote 93",2008,12,+502 4524-2767
61,TAL_GT0917_0060,Taller Familiar de Arte Tradicional Hunapu en Colomba,Maestro Rosa Tax,GT09,GT0917,"Cantón Xabajal, Lote 87",2011,25,+502 5776-1234
62,TAL_GT0918_0061,Cooperativa de Producción Artesanal Xelaju de R.L. (San Francisco La Unión),Maestro Manuel Mazariegos,GT09,GT0918,"Cantón Xabajal, Lote 87",1999,18,+502 5661-3962
63,TAL_GT0919_0062,Asociación de Artesanos Kiche Utatlan de El Palmar,Maestro Juan Tupul,GT09,GT0919,"Cantón Tzanjuyup, Lote 26",2001,13,+502 5509-7419
64,TAL_GT0920_0063,Taller Familiar de Arte Tradicional Mam en Coatepeque,Maestro Juan Ixcol,GT09,GT0920,"Cantón El Carmen, Lote 90",1983,5,+502 5452-7411
65,TAL_GT0921_0064,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (Génova),Maestro María Tupul,GT09,GT0921,"Cantón Xabajal, Lote 100",2012,13,+502 5250-1487
66,TAL_GT0922_0065,Asociación de Artesanos Qeqchi Pacaya de Flores Costa Cuca,Maestro Manuel Tzoc,GT09,GT0922,"Cantón Pachoc, Lote 34",1970,42,+502 4610-9805
67,TAL_GT0923_0066,Taller Familiar de Arte Tradicional Popol en La Esperanza,Maestro Juana Ixcol,GT09,GT0923,"Cantón Xabajal, Lote 7",1974,37,+502 5927-2808
68,TAL_GT0924_0067,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Palestina de Los Altos),Maestro Juan Ixcol,GT09,GT0924,"Cantón Pachoc, Lote 58",2005,22,+502 4472-6052
69,TAL_GT1201_0068,Asociación de Artesanos Xelaju Sop de San Marcos,Maestro Juana Tupul,GT12,GT1201,"Cantón Centro, Lote 28",1977,11,+502 5722-3450
70,TAL_GT1202_0069,Taller Familiar de Arte Tradicional Utatlan en San Pedro Sacatepéquez,Maestro Juan  Fuentes,GT12,GT1202,"Cantón Centro, Lote 32",1976,11,+502 4975-2972
71,TAL_GT1203_0070,Cooperativa de Producción Artesanal Chup de R.L. (San Antonio Sacatepéquez),Maestro Juana Tupul,GT12,GT1203,"Cantón El Carmen, Lote 7",1981,8,+502 4612-8305
72,TAL_GT1204_0071,Asociación de Artesanos Cuchumatanes Patzun de Comitancillo,Maestro Pedro Mazariegos,GT12,GT1204,"Cantón Pachoc, Lote 58",1979,20,+502 5537-1947
73,TAL_GT1205_0072,Taller Familiar de Arte Tradicional Pacaya en San Miguel Ixtahuacán,Maestro Rosa Ixcol,GT12,GT1205,"Cantón Centro, Lote 21",2009,42,+502 4628-1148
74,TAL_GT1206_0073,Cooperativa de Producción Artesanal Almolonga de R.L. (Concepción Tutuapa),Maestro Juana Coché,GT12,GT1206,"Cantón El Carmen, Lote 64",1992,43,+502 5369-8090
75,TAL_GT1207_0074,Asociación de Artesanos Cholsamaj Ixchel de Tacaná,Maestro Pedro Tupul,GT12,GT1207,"Cantón El Carmen, Lote 21",1999,34,+502 5695-8720
76,TAL_GT1208_0075,Taller Familiar de Arte Tradicional Sop en Sibinal,Maestro Juana Mazariegos,GT12,GT1208,"Cantón Centro, Lote 58",1973,42,+502 4704-7319
77,TAL_GT1209_0076,Cooperativa de Producción Artesanal Atitlan de R.L. (Tajumulco),Maestro Tomasa Coché,GT12,GT1209,"Cantón El Carmen, Lote 6",2010,33,+502 5830-5428
78,TAL_GT1210_0077,Asociación de Artesanos Chup Iximche de Tejutla,Maestro Juana  Fuentes,GT12,GT1210,"Cantón Pachoc, Lote 55",2008,18,+502 4088-8173
79,TAL_GT1211_0078,Taller Familiar de Arte Tradicional Patzun en San Rafael Pie de la Cuesta,Maestro Manuel Chox,GT12,GT1211,"Cantón Pachoc, Lote 24",2007,22,+502 5149-3424
80,TAL_GT1212_0079,Cooperativa de Producción Artesanal Jaspe de R.L. (Nuevo Progreso),Maestro Tomasa Mazariegos,GT12,GT1212,"Cantón Tzanjuyup, Lote 52",1996,12,+502 5572-8925
81,TAL_GT1213_0080,Asociación de Artesanos Almolonga Hunapu de El Tumbador,Maestro Manuel Ixcol,GT12,GT1213,"Cantón El Carmen, Lote 49",2009,34,+502 4953-5976
82,TAL_GT1214_0081,Taller Familiar de Arte Tradicional Ixchel en El Rodeo,Maestro Juana Coché,GT12,GT1214,"Cantón Tzanjuyup, Lote 40",2012,41,+502 4549-9080
83,TAL_GT1215_0082,Cooperativa de Producción Artesanal Kiche de R.L. (Malacatán),Maestro María Tzoc,GT12,GT1215,"Cantón Centro, Lote 90",2002,37,+502 5454-9408
84,TAL_GT1216_0083,Asociación de Artesanos Atitlan Mam de Catarina,Maestro Rosa Ixcol,GT12,GT1216,"Cantón Centro, Lote 26",2013,23,+502 4952-5706
85,TAL_GT1217_0084,Taller Familiar de Arte Tradicional Iximche en Ayutla,Maestro Juana Tax,GT12,GT1217,"Cantón Centro, Lote 29",2008,33,+502 4093-5360
86,TAL_GT1218_0085,Cooperativa de Producción Artesanal Qeqchi de R.L. (Ocós),Maestro Santiago Coché,GT12,GT1218,"Cantón El Carmen, Lote 29",1986,28,+502 5044-8662
87,TAL_GT1219_0086,Asociación de Artesanos Jaspe Popol de San Pablo,Maestro Juana Tax,GT12,GT1219,"Cantón Xabajal, Lote 58",1995,28,+502 5865-6857
88,TAL_GT1220_0087,Taller Familiar de Arte Tradicional Hunapu en El Quetzal,Maestro Manuel  Fuentes,GT12,GT1220,"Cantón El Carmen, Lote 58",1988,13,+502 5807-8288
89,TAL_GT1221_0088,Cooperativa de Producción Artesanal Xelaju de R.L. (La Reforma),Maestro Rosa Ixcol,GT12,GT1221,"Cantón Xabajal, Lote 49",1973,42,+502 4456-8429
90,TAL_GT1222_0089,Asociación de Artesanos Kiche Utatlan de Pajapita,Maestro Pedro Coché,GT12,GT1222,"Cantón Pachoc, Lote 86",1980,34,+502 4705-8777
91,TAL_GT1223_0090,Taller Familiar de Arte Tradicional Mam en Ixchiguán,Maestro Manuel Tupul,GT12,GT1223,"Cantón Xabajal, Lote 59",2010,24,+502 4467-2706
92,TAL_GT1224_0091,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (San José Ojetenam),Maestro Santiago Mazariegos,GT12,GT1224,"Cantón Pachoc, Lote 90",1973,39,+502 5627-9419
93,TAL_GT1225_0092,Asociación de Artesanos Qeqchi Pacaya de San Cristóbal Cucho,Maestro María Tupul,GT12,GT1225,"Cantón El Carmen, Lote 97",2012,41,+502 5333-1080
94,TAL_GT1226_0093,Taller Familiar de Arte Tradicional Popol en Sipacapa,Maestro Juan Mazariegos,GT12,GT1226,"Cantón Centro, Lote 20",1984,38,+502 5344-1631
95,TAL_GT1227_0094,Cooperativa de Producción Artesanal Cholsamaj de R.L. (Esquipulas Palo Gordo),Maestro María Tzoc,GT12,GT1227,"Cantón Tzanjuyup, Lote 25",2000,27,+502 5997-5823
96,TAL_GT1228_0095,Asociación de Artesanos Xelaju Sop de Río Blanco,Maestro Manuel Ixcol,GT12,GT1228,"Cantón Xabajal, Lote 41",2007,26,+502 5906-2395
97,TAL_GT1229_0096,Taller Familiar de Arte Tradicional Utatlan en San Lorenzo,Maestro Juana Ixcol,GT12,GT1229,"Cantón Tzanjuyup, Lote 48",1971,33,+502 5080-3206
98,TAL_GT1230_0097,Cooperativa de Producción Artesanal Chup de R.L. (La Blanca),Maestro Juan Coché,GT12,GT1230,"Cantón Xabajal, Lote 2",1979,28,+502 4601-7229
99,TAL_GT1301_0098,Asociación de Artesanos Cuchumatanes Patzun de Huehuetenango,Maestro Rosa Coché,GT13,GT1301,"Cantón Centro, Lote 14",1989,28,+502 4632-7541
100,TAL_GT1302_0099,Taller Familiar de Arte Tradicional Pacaya en Chiantla,Maestro Juan Tax,GT13,GT1302,"Cantón Pachoc, Lote 37",1983,29,+502 4036-6541
101,TAL_GT1303_0100,Cooperativa de Producción Artesanal Almolonga de R.L. (Malacatancito),Maestro Tomasa Tupul,GT13,GT1303,"Cantón Xabajal, Lote 6",1980,13,+502 5561-6951
102,TAL_GT1304_0101,Asociación de Artesanos Cholsamaj Ixchel de Cuilco,Maestro Juan  Fuentes,GT13,GT1304,"Cantón Xabajal, Lote 64",2009,35,+502 4486-2596
103,TAL_GT1305_0102,Taller Familiar de Arte Tradicional Sop en Nentón,Maestro Santiago Tax,GT13,GT1305,"Cantón Xabajal, Lote 74",1998,15,+502 4762-1825
104,TAL_GT1306_0103,Cooperativa de Producción Artesanal Atitlan de R.L. (San Pedro Necta),Maestro Juana Tax,GT13,GT1306,"Cantón El Carmen, Lote 99",1979,12,+502 5014-8035
105,TAL_GT1307_0104,Asociación de Artesanos Chup Iximche de Jacaltenango,Maestro Juan Tupul,GT13,GT1307,"Cantón Tzanjuyup, Lote 72",2019,31,+502 5183-4743
106,TAL_GT1308_0105,Taller Familiar de Arte Tradicional Patzun en Soloma,Maestro Rosa Mazariegos,GT13,GT1308,"Cantón Xabajal, Lote 84",2000,36,+502 4725-8879
107,TAL_GT1309_0106,Cooperativa de Producción Artesanal Jaspe de R.L. (Ixtahuacán),Maestro Juan Mazariegos,GT13,GT1309,"Cantón Centro, Lote 18",1981,29,+502 4716-6585
108,TAL_GT1310_0107,Asociación de Artesanos Almolonga Hunapu de Santa Bárbara,Maestro Juana  Fuentes,GT13,GT1310,"Cantón El Carmen, Lote 37",1997,27,+502 5790-7403
109,TAL_GT1311_0108,Taller Familiar de Arte Tradicional Ixchel en La Libertad,Maestro Tomasa Coché,GT13,GT1311,"Cantón Pachoc, Lote 52",2004,18,+502 5773-4050
110,TAL_GT1312_0109,Cooperativa de Producción Artesanal Kiche de R.L. (La Democracia),Maestro Pedro Chox,GT13,GT1312,"Cantón Xabajal, Lote 94",2008,23,+502 5992-9132
111,TAL_GT1313_0110,Asociación de Artesanos Atitlan Mam de San Miguel Acatán,Maestro Tomasa Coché,GT13,GT1313,"Cantón Pachoc, Lote 53",2006,11,+502 5243-2474
112,TAL_GT1314_0111,Taller Familiar de Arte Tradicional Iximche en San Rafael La Independencia,Maestro Pedro Mazariegos,GT13,GT1314,"Cantón Centro, Lote 35",1989,44,+502 4094-6735
113,TAL_GT1315_0112,Cooperativa de Producción Artesanal Qeqchi de R.L. (Todos Santos Cuchumatán),Maestro Pedro Mazariegos,GT13,GT1315,"Cantón Pachoc, Lote 23",1992,36,+502 5781-2609
114,TAL_GT1316_0113,Asociación de Artesanos Jaspe Popol de San Juan Atitán,Maestro María Tzoc,GT13,GT1316,"Cantón Xabajal, Lote 96",2020,9,+502 5016-7109
115,TAL_GT1317_0114,Taller Familiar de Arte Tradicional Hunapu en Santa Eulalia,Maestro María Coché,GT13,GT1317,"Cantón Tzanjuyup, Lote 14",2011,37,+502 4752-5020
116,TAL_GT1318_0115,Cooperativa de Producción Artesanal Xelaju de R.L. (San Mateo Ixtatán),Maestro Pedro Chox,GT13,GT1318,"Cantón Pachoc, Lote 57",1992,33,+502 4385-1958
117,TAL_GT1319_0116,Asociación de Artesanos Kiche Utatlan de Colotenango,Maestro Santiago Coché,GT13,GT1319,"Cantón Pachoc, Lote 67",1986,5,+502 4039-1951
118,TAL_GT1320_0117,Taller Familiar de Arte Tradicional Mam en San Sebastián Huehuetenango,Maestro Tomasa  Fuentes,GT13,GT1320,"Cantón Centro, Lote 16",2008,44,+502 5551-7474
119,TAL_GT1321_0118,Cooperativa de Producción Artesanal Cuchumatanes de R.L. (Tectitán),Maestro Santiago Tupul,GT13,GT1321,"Cantón Pachoc, Lote 35",2008,39,+502 5782-3402
120,TAL_GT1322_0119,Asociación de Artesanos Qeqchi Pacaya de Concepción Huista,Maestro Juan Coché,GT13,GT1322,"Cantón Xabajal, Lote 34",1975,29,+502 4275-5768
121,TAL_GT1323_0120,Taller Familiar de Arte Tradicional Popol en San Juan Ixcoy,Maestro Juan Coché,GT13,GT1323,"Cantón Tzanjuyup, Lote 66",1988,40,+502 4783-7707
122,TAL_GT1324_0121,Cooperativa de Producción Artesanal Cholsamaj de R.L. (San Antonio Huista),Maestro Rosa Tzoc,GT13,GT1324,"Cantón Pachoc, Lote 31",1986,44,+502 4675-9505
123,TAL_GT1325_0122,Asociación de Artesanos Xelaju Sop de San Sebastián Coatán,Maestro Tomasa Tupul,GT13,GT1325,"Cantón Tzanjuyup, Lote 45",1991,37,+502 5722-4438
124,TAL_GT1326_0123,Taller Familiar de Arte Tradicional Utatlan en Barillas,Maestro Santiago Ixcol,GT13,GT1326,"Cantón Pachoc, Lote 98",1977,17,+502 4034-5848
125,TAL_GT1327_0124,Cooperativa de Producción Artesanal Chup de R.L. (Aguacatán),Maestro Pedro Coché,GT13,GT1327,"Cantón El Carmen, Lote 1",2013,35,+502 5537-6768
126,TAL_GT1328_0125,Asociación de Artesanos Cuchumatanes Patzun de San Rafael Petzal,Maestro Manuel Ixcol,GT13,GT1328,"Cantón Xabajal, Lote 96",1982,10,+502 5296-7887
127,TAL_GT1329_0126,Taller Familiar de Arte Tradicional Pacaya en San Gaspar Ixchil,Maestro Rosa Tzoc,GT13,GT1329,"Cantón Tzanjuyup, Lote 71",2004,28,+502 4308-6478
128,TAL_GT1330_0127,Cooperativa de Producción Artesanal Almolonga de R.L. (Santiago Chimaltenango),Maestro Santiago Coché,GT13,GT1330,"Cantón El Carmen, Lote 77",2011,12,+502 4273-1902
129,TAL_GT1331_0128,Asociación de Artesanos Cholsamaj Ixchel de Santa Ana Huista,Maestro María Chox,GT13,GT1331,"Cantón El Carmen, Lote 22",2003,19,+502 4878-2568
130,TAL_GT1332_0129,Taller Familiar de Arte Tradicional Sop en Unión Cantinil,Maestro Manuel Tupul,GT13,GT1332,"Cantón Centro, Lote 14",1972,23,+502 4875-3025
131,TAL_GT1333_0130,Cooperativa de Producción Artesanal Atitlan de R.L. (Petatán),Maestro Santiago Mazariegos,GT13,GT1333,"Cantón Tzanjuyup, Lote 13",1999,24,+502 4320-2992
132,TAL_GT1401_0131,Asociación de Artesanos Chup Iximche de Santa Cruz del Quiché,Maestro Manuel Ixcol,GT14,GT1401,"Cantón Centro, Lote 46",2005,28,+502 5821-2076
133,TAL_GT1402_0132,Taller Familiar de Arte Tradicional Patzun en Chiché,Maestro María Mazariegos,GT14,GT1402,"Cantón Xabajal, Lote 86",1975,40,+502 5183-3971
134,TAL_GT1403_0133,Cooperativa de Producción Artesanal Jaspe de R.L. (Chinique),Maestro Juana Coché,GT14,GT1403,"Cantón Tzanjuyup, Lote 77",1994,19,+502 4447-2744
135,TAL_GT1404_0134,Asociación de Artesanos Almolonga Hunapu de Zacualpa,Maestro Juan Coché,GT14,GT1404,"Cantón Xabajal, Lote 25",1974,9,+502 5028-2559
136,TAL_GT1405_0135,Taller Familiar de Arte Tradicional Ixchel en Chajul,Maestro Juan  Fuentes,GT14,GT1405,"Cantón Centro, Lote 91",1982,9,+502 4885-5914
137,TAL_GT1406_0136,Cooperativa de Producción Artesanal Kiche de R.L. (Chichicastenango),Maestro Tomasa Tupul,GT14,GT1406,"Cantón Xabajal, Lote 36",1987,31,+502 5014-8545
138,TAL_GT1407_0137,Asociación de Artesanos Atitlan Mam de Patzité,Maestro Santiago Tax,GT14,GT1407,"Cantón El Carmen, Lote 14",2015,21,+502 5665-5882
139,TAL_GT1408_0138,Taller Familiar de Arte Tradicional Iximche en San Antonio Ilotenango,Maestro Juana Tzoc,GT14,GT1408,"Cantón El Carmen, Lote 24",2016,18,+502 4285-6419
140,TAL_GT1409_0139,Cooperativa de Producción Artesanal Qeqchi de R.L. (San Pedro Jocopilas),Maestro Juana Tzoc,GT14,GT1409,"Cantón El Carmen, Lote 94",1985,24,+502 5789-1119
141,TAL_GT1410_0140,Asociación de Artesanos Jaspe Popol de Cunén,Maestro Tomasa  Fuentes,GT14,GT1410,"Cantón Tzanjuyup, Lote 36",1992,33,+502 4437-3065
