evento_id,artista_id,taller_id,premio_reconocimiento
137,354,,Artista Revelación del Año
138,124,,
139,464,144,
140,585,,
141,819,,Primer Lugar en Categoría Textil
142,409,799,
143,947,,
144,871,,
145,139,720,Mejor Técnica Tradicional
146,661,,
147,57,,
148,801,811,
149,295,,Artista Revelación del Año
150,641,,
151,440,563,
152,471,,
153,791,,Mejor Técnica Tradicional
154,510,545,
155,932,,
156,140,,
157,375,802,Destacado Trayectoria Artística
158,767,,
159,132,,
160,71,62,
161,769,,Mención de Honor por Innovación
162,387,,
163,60,603,
164,822,,
165,648,,Artista Revelación del Año
166,809,633,
167,275,,
168,227,,
169,930,788,Primer Lugar en Categoría Textil
170,360,,
171,73,,
172,668,380,
173,336,,
174,775,,
175,43,667,
176,1018,,
177,1013,,Artista Revelación del Año
178,790,220,
179,672,,
180,281,,
181,880,339,Segundo Lugar en Categoría Alfarería
182,303,,
183,495,,
184,706,83,
185,244,,Destacado Trayectoria Artística
186,981,,
187,469,971,
188,70,,
189,722,,Destacado Trayectoria Artística
190,254,508,
191,720,,
192,834,,
193,854,752,Destacado Trayectoria Artística
194,892,,
195,612,,
196,554,236,
197,920,,Artista Revelación del Año
198,616,,
199,35,982,
200,717,,
201,1000,,Mejor Técnica Tradicional
202,293,930,
203,53,,
204,16,,
205,937,698,Tercer Lugar de la Crítica
206,983,,
207,844,,
208,302,451,
209,524,,Destacado Trayectoria Artística
210,1017,,
211,281,905,
212,8,,
213,886,,Mejor Técnica Tradicional
214,86,720,
215,300,,
216,533,,
217,661,363,Mención de Honor por Innovación
218,45,,
219,158,,
220,68,135,
221,690,,Primer Lugar en Categoría Textil
222,775,,
223,827,73,
224,910,,
225,769,,Primer Lugar en Categoría Textil
226,972,86,
227,994,,
228,198,,
229,629,487,Tercer Lugar de la Crítica
230,695,,
231,99,,
232,473,19,
233,128,,Destacado Trayectoria Artística
234,128,,
235,148,917,
236,60,,
237,63,,Artista Revelación del Año
238,813,680,
239,208,,
240,867,,
241,767,358,Mención de Honor por Innovación
242,254,,
243,490,,
244,386,844,
245,903,,Mención de Honor por Innovación
246,117,,
247,181,956,
248,7,,
249,400,,Tercer Lugar de la Crítica
250,227,603,
251,855,,
252,697,,
253,402,213,Mención de Honor por Innovación
254,604,,
255,584,,
256,299,283,
257,474,,Artista Revelación del Año
258,287,,
259,709,63,
260,633,,
261,577,,Primer Lugar en Categoría Textil
262,651,742,
263,708,,
264,458,,
265,96,141,Segundo Lugar en Categoría Alfarería
266,139,,
267,232,,
268,179,432,
269,33,,Destacado Trayectoria Artística
270,116,,
271,116,561,
272,347,,
273,603,,Primer Lugar en Categoría Textil
274,85,518,
275,416,,
276,478,,
277,76,151,Mejor Técnica Tradicional
278,842,,
279,468,,
280,427,789,
281,373,,Destacado Trayectoria Artística
282,642,,
283,227,758,
284,846,,
285,806,,Segundo Lugar en Categoría Alfarería
286,864,663,
287,591,,
288,121,,
289,704,743,Destacado Trayectoria Artística
290,453,,
291,824,,
292,788,961,
293,836,,Destacado Trayectoria Artística
294,10,,
295,126,558,
296,57,,
297,339,,Tercer Lugar de la Crítica
298,283,344,
299,313,,
300,612,,
301,407,342,Mención de Honor por Innovación
302,802,,
303,681,,
304,980,730,
305,563,,Primer Lugar en Categoría Textil
306,728,,
307,435,323,
308,557,,
309,429,,Primer Lugar en Categoría Textil
310,93,485,
311,162,,
312,433,,
313,752,105,Mención de Honor por Innovación
314,561,,
315,353,,
316,167,460,
317,452,,
318,36,,
319,863,416,
320,975,,
321,67,,Tercer Lugar de la Crítica
322,279,623,
323,539,,
324,914,,
325,985,859,Destacado Trayectoria Artística
326,550,,
327,287,,
328,614,574,
329,508,,Primer Lugar en Categoría Textil
330,472,,
331,197,174,
332,881,,
333,496,,Mejor Técnica Tradicional
334,67,210,
335,53,,
336,439,,
337,661,105,Primer Lugar en Categoría Textil
338,562,,
339,911,,
340,427,613,
341,192,,Destacado Trayectoria Artística
342,809,,
343,331,209,
344,665,,
345,788,,Mención de Honor por Innovación
346,503,834,
347,483,,
348,1019,,
349,35,421,Primer Lugar en Categoría Textil
350,429,,
351,469,,
352,175,511,
353,381,,Segundo Lugar en Categoría Alfarería
354,818,,
355,168,885,
356,907,,
357,317,,Tercer Lugar de la Crítica
358,892,421,
359,236,,
360,892,,
361,735,552,Mejor Técnica Tradicional
362,43,,
363,260,,
364,793,547,
365,969,,Segundo Lugar en Categoría Alfarería
366,506,,
367,383,458,
368,461,,
369,396,,Destacado Trayectoria Artística
370,906,415,
371,317,,
372,250,,
373,92,802,Artista Revelación del Año
374,751,,
375,45,,
376,917,691,
377,550,,Mejor Técnica Tradicional
378,239,,
379,621,47,
380,884,,
381,669,,Artista Revelación del Año
382,653,899,
383,88,,
384,466,,
385,15,175,Primer Lugar en Categoría Textil
386,546,,
387,49,,
388,161,541,
389,100,,Segundo Lugar en Categoría Alfarería
390,121,,
391,134,157,
392,741,,
393,262,,Tercer Lugar de la Crítica
394,975,966,
395,96,,
396,32,,
397,493,425,Tercer Lugar de la Crítica
398,89,,
399,583,,
400,746,739,
401,704,,Mención de Honor por Innovación
402,991,,
403,624,49,
404,636,,
405,684,,Artista Revelación del Año
406,667,696,
407,644,,
408,151,,
409,360,61,Tercer Lugar de la Crítica
410,238,,
411,253,,
412,272,526,
413,494,,Primer Lugar en Categoría Textil
414,430,,
415,680,262,
416,426,,
417,732,,Mejor Técnica Tradicional
418,354,545,
419,540,,
420,153,,
421,25,993,Destacado Trayectoria Artística
422,1014,,
423,190,,
424,243,186,
425,885,,Mejor Técnica Tradicional
426,88,,
427,1019,251,
428,467,,
429,657,,Artista Revelación del Año
430,500,528,
431,855,,
432,497,,
433,446,226,Mención de Honor por Innovación
434,100,,
435,524,,
436,845,429,
437,338,,
438,958,,
439,229,687,
440,1008,,
441,297,,Destacado Trayectoria Artística
442,41,745,
443,733,,
444,951,,
445,195,392,Tercer Lugar de la Crítica
446,67,,
447,406,,
448,756,109,
449,272,,
450,695,,
451,860,68,
452,98,,
453,922,,Mejor Técnica Tradicional
454,970,888,
455,898,,
456,1001,,
457,1015,205,Artista Revelación del Año
458,830,,
459,142,,
460,970,265,
461,926,,Segundo Lugar en Categoría Alfarería
462,91,,
463,248,1008,
464,704,,
465,175,,Destacado Trayectoria Artística
466,252,820,
467,15,,
468,183,,
469,614,723,Primer Lugar en Categoría Textil
470,220,,
471,317,,
472,731,56,
473,568,,Segundo Lugar en Categoría Alfarería
474,208,,
475,392,90,
476,612,,
477,56,,Tercer Lugar de la Crítica
478,963,120,
479,649,,
480,227,,
481,873,713,Segundo Lugar en Categoría Alfarería
482,979,,
483,932,,
484,262,934,
485,328,,
486,684,,
487,741,503,
488,565,,
489,469,,Tercer Lugar de la Crítica
490,572,793,
491,268,,
492,381,,
493,939,658,Artista Revelación del Año
494,413,,
495,985,,
496,640,61,
497,97,,
498,614,,
499,376,919,
500,793,,
501,670,,Mención de Honor por Innovación
502,467,261,
503,179,,
504,517,,
505,215,8,Mención de Honor por Innovación
506,564,,
507,557,,
508,785,472,
509,561,,Mejor Técnica Tradicional
510,144,,
511,256,883,
512,846,,
513,999,,Destacado Trayectoria Artística
514,896,615,
515,165,,
516,553,,
517,9,298,
518,278,,
519,776,,
520,517,724,
521,360,,Artista Revelación del Año
522,103,,
523,784,346,
524,177,,
525,708,,Segundo Lugar en Categoría Alfarería
526,275,478,
527,336,,
528,641,,
529,694,614,Destacado Trayectoria Artística
530,450,,
531,589,,
532,189,332,
533,661,,Mención de Honor por Innovación
534,509,,
535,913,412,
536,844,,
537,134,,Artista Revelación del Año
538,370,488,
539,1009,,
540,205,,
541,572,71,
542,872,,
543,1004,,
544,309,554,
545,793,,Mención de Honor por Innovación
546,272,,
547,997,580,
548,359,,
549,66,,Mejor Técnica Tradicional
550,218,209,
551,890,,
552,303,,
553,313,963,
554,49,,
555,723,,
556,859,325,
557,95,,Mención de Honor por Innovación
558,930,,
559,570,43,
560,999,,
561,289,,Tercer Lugar de la Crítica
562,76,434,
563,9,,
564,141,,
565,474,263,Artista Revelación del Año
566,368,,
567,1002,,
568,584,275,
569,61,,Primer Lugar en Categoría Textil
570,120,,
571,130,760,
572,982,,
573,402,,Artista Revelación del Año
574,506,49,
575,868,,
576,538,,
577,37,385,
578,493,,
579,715,,
580,152,648,
581,400,,Mejor Técnica Tradicional
582,55,,
583,499,718,
584,485,,
585,164,,Segundo Lugar en Categoría Alfarería
586,467,84,
587,618,,
588,982,,
589,488,343,Mención de Honor por Innovación
590,744,,
591,691,,
592,987,375,
593,748,,Segundo Lugar en Categoría Alfarería
594,736,,
595,981,167,
596,254,,
597,82,,Primer Lugar en Categoría Textil
598,413,979,
599,207,,
600,141,,
601,338,1006,Mejor Técnica Tradicional
602,949,,
603,109,,
604,670,751,
605,241,,Tercer Lugar de la Crítica
606,808,,
607,110,731,
608,686,,
609,221,,Artista Revelación del Año
610,394,938,
611,404,,
612,764,,
613,220,568,Destacado Trayectoria Artística
614,397,,
615,113,,
616,816,722,
617,971,,Segundo Lugar en Categoría Alfarería
618,571,,
619,578,764,
620,252,,
621,414,,Tercer Lugar de la Crítica
622,329,375,
623,692,,
624,117,,
625,782,303,Mejor Técnica Tradicional
626,767,,
627,517,,
628,387,595,
629,931,,Segundo Lugar en Categoría Alfarería
630,263,,
631,675,42,
632,362,,
633,943,,Mención de Honor por Innovación
634,568,847,
635,337,,
636,971,,
637,52,558,
638,52,,
639,515,,
640,71,768,
641,136,,Destacado Trayectoria Artística
642,134,,
643,891,948,
644,216,,
645,456,,
646,779,118,
647,850,,
648,367,,
649,779,1012,
650,39,,
651,925,,
652,670,803,
653,524,,Artista Revelación del Año
654,99,,
655,500,404,
656,95,,
657,977,,Mejor Técnica Tradicional
658,828,626,
659,598,,
660,356,,
661,701,145,Mejor Técnica Tradicional
662,961,,
663,868,,
664,647,397,
665,203,,Artista Revelación del Año
666,532,,
667,947,446,
668,180,,
669,872,,Artista Revelación del Año
670,905,163,
671,571,,
672,3,,
673,1010,464,Mejor Técnica Tradicional
674,534,,
675,628,,
676,859,756,
677,859,,Mención de Honor por Innovación
678,689,,
679,23,937,
680,223,,
681,552,,Artista Revelación del Año
682,736,583,
683,757,,
684,5,,
685,961,444,Segundo Lugar en Categoría Alfarería
686,275,,
687,918,,
688,496,526,
689,650,,Segundo Lugar en Categoría Alfarería
690,975,,
691,758,504,
692,36,,
693,623,,Mención de Honor por Innovación
694,771,902,
695,469,,
696,970,,
697,1009,128,
698,63,,
699,157,,
700,659,585,
701,115,,Tercer Lugar de la Crítica
702,545,,
703,815,578,
704,33,,
705,299,,
706,174,98,
707,359,,
708,51,,
709,401,415,Primer Lugar en Categoría Textil
710,533,,
711,657,,
712,1003,7,
713,594,,Tercer Lugar de la Crítica
714,843,,
715,84,33,
716,6,,
717,485,,Segundo Lugar en Categoría Alfarería
718,850,557,
719,1012,,
720,196,,
721,202,69,Mejor Técnica Tradicional
722,498,,
723,371,,
724,387,524,
725,304,,
726,377,,
727,174,616,
728,77,,
729,840,,Primer Lugar en Categoría Textil
730,791,186,
731,1016,,
732,981,,
733,340,347,
734,40,,
735,28,,
736,215,351,
737,472,,Mención de Honor por Innovación
738,781,,
739,115,154,
740,728,,
741,571,,
742,773,239,
743,417,,
744,458,,
745,1012,823,Mejor Técnica Tradicional
746,353,,
747,745,,
748,779,1,
749,591,,Segundo Lugar en Categoría Alfarería
750,24,,
751,463,155,
752,87,,
753,957,,Mejor Técnica Tradicional
754,539,332,
755,685,,
756,374,,
757,1007,877,Mención de Honor por Innovación
758,386,,
759,744,,
760,867,967,
761,610,,Mención de Honor por Innovación
762,464,,
763,927,683,
764,577,,
765,785,,Primer Lugar en Categoría Textil
766,475,1013,
767,467,,
768,705,,
769,456,857,
770,246,,
771,546,,
772,24,184,
773,984,,Mejor Técnica Tradicional
774,270,,
775,436,868,
776,806,,
777,19,,Segundo Lugar en Categoría Alfarería
778,354,995,
779,633,,
780,43,,
781,989,99,Primer Lugar en Categoría Textil
782,443,,
783,186,,
784,800,83,
785,360,,
786,482,,
787,526,506,
788,649,,
789,1010,,Tercer Lugar de la Crítica
790,37,542,
791,343,,
792,317,,
793,752,46,Mención de Honor por Innovación
794,951,,
795,653,,
796,907,592,
797,396,,Mención de Honor por Innovación
798,743,,
799,89,435,
800,630,,
801,220,,Segundo Lugar en Categoría Alfarería
802,296,159,
803,363,,
804,533,,
805,632,969,Mejor Técnica Tradicional
806,101,,
807,372,,
808,266,631,
809,756,,Primer Lugar en Categoría Textil
810,1009,,
811,108,889,
812,252,,
813,527,,Mención de Honor por Innovación
814,523,157,
815,425,,
816,376,,
817,477,762,
818,186,,
819,562,,
820,618,211,
821,893,,Tercer Lugar de la Crítica
822,971,,
823,435,77,
824,329,,
825,993,,
826,762,558,
827,342,,
828,176,,
829,570,160,Artista Revelación del Año
830,814,,
831,792,,
832,374,983,
833,165,,Segundo Lugar en Categoría Alfarería
834,685,,
835,984,790,
836,866,,
837,416,,Mejor Técnica Tradicional
838,590,261,
839,40,,
840,632,,
841,48,968,Mejor Técnica Tradicional
842,48,,
843,463,,
844,362,529,
845,72,,Segundo Lugar en Categoría Alfarería
846,371,,
847,115,230,
848,492,,
849,227,,Primer Lugar en Categoría Textil
850,86,131,
851,303,,
852,864,,
853,49,901,Artista Revelación del Año
854,580,,
855,996,,
856,126,754,
857,779,,Mención de Honor por Innovación
858,689,,
859,752,151,
860,293,,
861,62,,Primer Lugar en Categoría Textil
862,59,502,
863,894,,
864,962,,
865,140,487,Destacado Trayectoria Artística
866,423,,
867,825,,
868,494,274,
869,513,,Artista Revelación del Año
870,691,,
871,184,115,
872,49,,
873,850,,
874,944,583,
875,655,,
876,874,,
877,103,799,Primer Lugar en Categoría Textil
878,348,,
879,980,,
880,537,435,
881,608,,Artista Revelación del Año
882,589,,
883,663,267,
884,595,,
885,890,,Mejor Técnica Tradicional
886,371,156,
887,851,,
888,143,,
889,204,146,Mejor Técnica Tradicional
890,166,,
891,97,,
892,454,852,
893,43,,Artista Revelación del Año
894,9,,
895,17,985,
896,329,,
897,890,,Artista Revelación del Año
898,1020,411,
899,760,,
900,779,,
901,127,16,Primer Lugar en Categoría Textil
902,165,,
903,812,,
904,63,441,
905,19,,Artista Revelación del Año
906,254,,
907,795,299,
908,73,,
909,846,,Primer Lugar en Categoría Textil
910,436,907,
911,960,,
912,398,,
913,699,886,
914,438,,
915,518,,
916,806,306,
917,637,,Mejor Técnica Tradicional
918,711,,
919,626,133,
920,212,,
921,380,,Primer Lugar en Categoría Textil
922,167,874,
923,710,,
924,950,,
925,625,116,Mención de Honor por Innovación
926,76,,
927,892,,
928,159,956,
929,134,,Primer Lugar en Categoría Textil
930,97,,
931,361,903,
932,230,,
933,773,,Mejor Técnica Tradicional
934,821,67,
935,319,,
936,912,,
937,632,754,Segundo Lugar en Categoría Alfarería
938,284,,
939,832,,
940,755,217,
941,895,,
942,607,,
943,426,567,
944,275,,
945,139,,Mención de Honor por Innovación
946,570,176,
947,891,,
948,562,,
949,568,674,Segundo Lugar en Categoría Alfarería
950,505,,
951,342,,
952,978,283,
953,757,,Mejor Técnica Tradicional
954,440,,
955,37,41,
956,337,,
957,134,,Primer Lugar en Categoría Textil
958,633,1009,
959,782,,
960,581,,
961,524,831,Tercer Lugar de la Crítica
962,90,,
963,675,,
964,666,657,
965,606,,Segundo Lugar en Categoría Alfarería
966,37,,
967,101,223,
968,10,,
969,34,,Mención de Honor por Innovación
970,895,267,
971,545,,
972,703,,
973,657,369,Tercer Lugar de la Crítica
974,106,,
975,366,,
976,145,842,
977,56,,Primer Lugar en Categoría Textil
978,23,,
979,940,459,
980,614,,
981,633,,Mejor Técnica Tradicional
982,388,662,
983,73,,
984,414,,
985,759,321,Primer Lugar en Categoría Textil
986,844,,
987,477,,
988,312,713,
989,27,,Destacado Trayectoria Artística
990,529,,
991,575,142,
992,42,,
993,431,,Destacado Trayectoria Artística
994,862,909,
995,155,,
996,387,,
997,265,400,Tercer Lugar de la Crítica
998,287,,
999,381,,
1000,733,553,
1001,168,,Tercer Lugar de la Crítica
1002,899,,
1003,558,155,
1004,477,,
1005,222,,Mejor Técnica Tradicional
1006,924,647,
1007,47,,
1008,958,,
1009,880,633,Mejor Técnica Tradicional
1010,1008,,
1011,527,,
1012,454,445,
1013,932,,Mención de Honor por Innovación
1014,111,,
1015,238,722,
1016,818,,
1017,664,,Mejor Técnica Tradicional
1018,120,183,
1019,543,,
1020,567,,
