id_produccion,departamento_pcode,municipio_pcode,tipo_obra_id,anio,volumen_estimado_unidades,valor_estimado_mercado_q,cantidad_artesanos_activos
91,GT04,GT0407,61,2021,1185,557907.9,135
92,GT04,GT0407,61,2022,2688,494179.63,225
93,GT04,GT0407,61,2023,505,404318.55,23
94,GT04,GT0407,61,2024,3878,282179.4,145
95,GT04,GT0407,61,2025,3395,231291.08,315
96,GT04,GT0407,62,2021,3494,443128.16,83
97,GT04,GT0407,62,2022,1139,248884.83,231
98,GT04,GT0407,62,2023,1244,651754.1,181
99,GT04,GT0407,62,2024,3360,406653.42,260
100,GT04,GT0407,62,2025,2597,370558.93,93
101,GT04,GT0407,63,2021,4119,379122.86,281
102,GT04,GT0407,63,2022,2136,219648.87,314
103,GT04,GT0407,63,2023,3379,773845.19,205
104,GT04,GT0407,63,2024,2390,808533.27,213
105,GT04,GT0407,63,2025,2053,513735.91,177
106,GT04,GT0408,71,2021,1264,700261.88,282
107,GT04,GT0408,71,2022,606,107884.59,132
108,GT04,GT0408,71,2023,4437,516958.09,36
109,GT04,GT0408,71,2024,3455,63938.08,31
110,GT04,GT0408,71,2025,785,234537.41,78
111,GT04,GT0408,72,2021,2917,167419.27,116
112,GT04,GT0408,72,2022,327,441975.39,257
113,GT04,GT0408,72,2023,2156,520628.78,77
114,GT04,GT0408,72,2024,4390,572521.85,22
115,GT04,GT0408,72,2025,3583,32779.8,72
116,GT04,GT0408,73,2021,176,533368.74,157
117,GT04,GT0408,73,2022,1286,554050.9,123
118,GT04,GT0408,73,2023,132,817672.22,129
119,GT04,GT0408,73,2024,2140,176584.89,141
120,GT04,GT0408,73,2025,2095,516890.68,109
121,GT04,GT0409,81,2021,3611,673596.35,56
122,GT04,GT0409,81,2022,2527,624160.33,144
123,GT04,GT0409,81,2023,377,506895.75,21
124,GT04,GT0409,81,2024,4240,461832.06,128
125,GT04,GT0409,81,2025,148,434672.2,104
126,GT04,GT0409,82,2021,155,234332.78,130
127,GT04,GT0409,82,2022,196,567433.08,252
128,GT04,GT0409,82,2023,1426,673834.4,230
129,GT04,GT0409,82,2024,1121,571787.16,159
130,GT04,GT0409,82,2025,766,95923.45,218
131,GT04,GT0409,83,2021,1245,609742.0,109
132,GT04,GT0409,83,2022,1373,463305.21,194
133,GT04,GT0409,83,2023,710,709918.73,187
134,GT04,GT0409,83,2024,2996,160145.54,72
135,GT04,GT0409,83,2025,1045,521761.41,181
136,GT04,GT0410,91,2021,2781,72991.27,77
137,GT04,GT0410,91,2022,2150,737980.02,25
138,GT04,GT0410,91,2023,4160,151032.45,42
139,GT04,GT0410,91,2024,3049,800588.72,182
140,GT04,GT0410,91,2025,3244,783802.09,87
141,GT04,GT0410,92,2021,3439,600707.86,279
142,GT04,GT0410,92,2022,335,478417.9,150
143,GT04,GT0410,92,2023,449,747276.82,224
144,GT04,GT0410,92,2024,1517,506183.85,192
145,GT04,GT0410,92,2025,4034,503541.21,23
146,GT04,GT0410,93,2021,1431,295065.5,38
147,GT04,GT0410,93,2022,2296,834716.96,25
148,GT04,GT0410,93,2023,3506,245162.7,255
149,GT04,GT0410,93,2024,1078,332593.13,155
150,GT04,GT0410,93,2025,1785,242551.87,113
151,GT04,GT0411,101,2021,173,651172.06,303
152,GT04,GT0411,101,2022,3941,263916.74,272
153,GT04,GT0411,101,2023,1557,794614.62,71
154,GT04,GT0411,101,2024,2246,826952.95,173
155,GT04,GT0411,101,2025,3857,169498.69,99
156,GT04,GT0411,102,2021,649,822124.6,140
157,GT04,GT0411,102,2022,3962,200134.63,92
158,GT04,GT0411,102,2023,3563,828426.21,63
159,GT04,GT0411,102,2024,4240,307123.51,242
160,GT04,GT0411,102,2025,1127,833207.75,249
161,GT04,GT0411,103,2021,771,708049.17,39
162,GT04,GT0411,103,2022,3521,451420.99,183
163,GT04,GT0411,103,2023,3809,607563.86,283
164,GT04,GT0411,103,2024,4112,331235.99,285
165,GT04,GT0411,103,2025,1767,431624.92,46
166,GT04,GT0412,111,2021,4305,436190.49,243
167,GT04,GT0412,111,2022,1409,69968.64,75
168,GT04,GT0412,111,2023,3782,198101.55,165
169,GT04,GT0412,111,2024,2245,175335.08,198
170,GT04,GT0412,111,2025,2857,689901.32,31
171,GT04,GT0412,112,2021,403,215829.51,27
172,GT04,GT0412,112,2022,2163,598383.82,212
173,GT04,GT0412,112,2023,1478,607230.18,35
174,GT04,GT0412,112,2024,3637,31721.86,299
175,GT04,GT0412,112,2025,1937,390167.3,37
176,GT04,GT0412,113,2021,1648,334385.6,189
177,GT04,GT0412,113,2022,3669,509097.9,111
178,GT04,GT0412,113,2023,2759,112436.78,61
179,GT04,GT0412,113,2024,1387,376897.45,312
180,GT04,GT0412,113,2025,3071,212168.18,230
181,GT04,GT0413,121,2021,592,168434.61,163
182,GT04,GT0413,121,2022,145,107893.25,84
183,GT04,GT0413,121,2023,2709,639418.37,27
184,GT04,GT0413,121,2024,1823,654742.1,142
185,GT04,GT0413,121,2025,4484,414600.77,146
186,GT04,GT0413,122,2021,338,261366.99,24
187,GT04,GT0413,122,2022,3344,810408.88,264
188,GT04,GT0413,122,2023,4261,766010.95,121
189,GT04,GT0413,122,2024,3386,51095.07,203
190,GT04,GT0413,122,2025,2277,84608.87,34
191,GT04,GT0413,123,2021,319,630142.08,247
192,GT04,GT0413,123,2022,2231,697742.92,165
193,GT04,GT0413,123,2023,2230,205867.44,206
194,GT04,GT0413,123,2024,2892,28968.02,44
195,GT04,GT0413,123,2025,2768,193938.72,254
196,GT04,GT0414,131,2021,2986,720839.49,130
197,GT04,GT0414,131,2022,1316,264116.17,189
198,GT04,GT0414,131,2023,435,779557.56,83
199,GT04,GT0414,131,2024,4409,233102.24,229
200,GT04,GT0414,131,2025,1825,775458.72,297
201,GT04,GT0414,132,2021,3801,455189.04,303
202,GT04,GT0414,132,2022,4385,535511.32,247
203,GT04,GT0414,132,2023,3693,244617.5,228
204,GT04,GT0414,132,2024,629,413284.81,263
205,GT04,GT0414,132,2025,3710,782796.88,199
206,GT04,GT0414,133,2021,3291,333393.54,233
207,GT04,GT0414,133,2022,1113,466899.2,250
208,GT04,GT0414,133,2023,1565,49907.47,175
209,GT04,GT0414,133,2024,2670,58550.58,89
210,GT04,GT0414,133,2025,226,500983.83,83
211,GT04,GT0415,141,2021,3568,249822.84,293
212,GT04,GT0415,141,2022,457,835046.9,86
213,GT04,GT0415,141,2023,447,639645.25,199
214,GT04,GT0415,141,2024,3871,37566.37,260
215,GT04,GT0415,141,2025,1396,385685.98,214
216,GT04,GT0415,142,2021,1128,632518.39,307
217,GT04,GT0415,142,2022,800,795222.62,255
218,GT04,GT0415,142,2023,1808,731639.18,168
219,GT04,GT0415,142,2024,1981,25656.72,307
220,GT04,GT0415,142,2025,3275,251729.82,254
221,GT04,GT0415,143,2021,2856,440919.88,294
222,GT04,GT0415,143,2022,1064,383261.01,126
223,GT04,GT0415,143,2023,735,441960.71,183
224,GT04,GT0415,143,2024,678,790218.0,54
225,GT04,GT0415,143,2025,196,144380.82,316
226,GT04,GT0416,151,2021,337,514498.48,306
227,GT04,GT0416,151,2022,1760,832041.44,80
228,GT04,GT0416,151,2023,2229,592145.91,272
229,GT04,GT0416,151,2024,3761,560387.72,290
230,GT04,GT0416,151,2025,4109,572962.16,39
231,GT04,GT0416,152,2021,1415,474673.45,248
232,GT04,GT0416,152,2022,3859,811975.4,294
233,GT04,GT0416,152,2023,3019,803570.67,260
234,GT04,GT0416,152,2024,149,137997.09,37
235,GT04,GT0416,152,2025,1257,47743.21,260
236,GT04,GT0416,153,2021,2201,276607.79,46
237,GT04,GT0416,153,2022,3585,818545.65,228
238,GT04,GT0416,153,2023,1801,37530.93,212
239,GT04,GT0416,153,2024,3256,609598.28,218
240,GT04,GT0416,153,2025,1759,660602.44,83
241,GT07,GT0700,161,2021,2963,713519.82,312
242,GT07,GT0700,161,2022,2642,684727.02,155
243,GT07,GT0700,161,2023,4471,655716.57,311
244,GT07,GT0700,161,2024,1655,691187.5,203
245,GT07,GT0700,161,2025,717,435994.64,15
246,GT07,GT0700,162,2021,2721,392654.93,163
247,GT07,GT0700,162,2022,1251,265814.01,217
248,GT07,GT0700,162,2023,417,528166.53,312
249,GT07,GT0700,162,2024,3235,490381.92,289
250,GT07,GT0700,162,2025,3799,696503.69,232
251,GT07,GT0700,163,2021,924,338214.14,312
252,GT07,GT0700,163,2022,4253,164596.29,229
253,GT07,GT0700,163,2023,2766,774613.13,266
254,GT07,GT0700,163,2024,2979,769676.41,282
255,GT07,GT0700,163,2025,1481,94098.82,274
256,GT07,GT0701,171,2021,2178,303113.51,162
257,GT07,GT0701,171,2022,807,363539.06,284
258,GT07,GT0701,171,2023,3216,43234.78,291
259,GT07,GT0701,171,2024,2198,181722.17,320
260,GT07,GT0701,171,2025,3290,533634.78,273
261,GT07,GT0701,172,2021,1424,472680.03,246
262,GT07,GT0701,172,2022,4027,224703.42,222
263,GT07,GT0701,172,2023,2426,329855.84,117
264,GT07,GT0701,172,2024,2555,350685.13,66
265,GT07,GT0701,172,2025,168,680783.86,40
266,GT07,GT0701,173,2021,2510,253396.51,209
267,GT07,GT0701,173,2022,3674,456027.15,297
268,GT07,GT0701,173,2023,546,255444.16,106
269,GT07,GT0701,173,2024,4228,320903.44,239
270,GT07,GT0701,173,2025,1901,585892.26,271
271,GT07,GT0702,181,2021,1488,697024.01,87
272,GT07,GT0702,181,2022,1695,337879.1,194
273,GT07,GT0702,181,2023,1534,212370.12,80
274,GT07,GT0702,181,2024,392,774335.75,127
275,GT07,GT0702,181,2025,1999,570111.83,212
276,GT07,GT0702,182,2021,4032,463140.15,249
277,GT07,GT0702,182,2022,4028,225794.74,286
278,GT07,GT0702,182,2023,2726,49578.22,43
279,GT07,GT0702,182,2024,3188,574397.7,179
280,GT07,GT0702,182,2025,393,230049.04,159
281,GT07,GT0702,183,2021,4218,446296.02,177
282,GT07,GT0702,183,2022,4281,846776.6,52
283,GT07,GT0702,183,2023,2202,162605.98,166
284,GT07,GT0702,183,2024,3306,297234.48,107
285,GT07,GT0702,183,2025,1640,68610.22,44
286,GT07,GT0703,191,2021,3627,145092.44,146
287,GT07,GT0703,191,2022,424,204744.96,161
288,GT07,GT0703,191,2023,3219,143456.4,192
289,GT07,GT0703,191,2024,2567,177127.37,301
290,GT07,GT0703,191,2025,3358,535696.63,301
291,GT07,GT0703,192,2021,2621,202050.6,291
292,GT07,GT0703,192,2022,910,26587.73,125
293,GT07,GT0703,192,2023,1898,31813.5,309
294,GT07,GT0703,192,2024,3981,781723.25,69
295,GT07,GT0703,192,2025,2509,119551.17,281
296,GT07,GT0703,193,2021,846,327113.09,34
297,GT07,GT0703,193,2022,1517,229182.75,88
298,GT07,GT0703,193,2023,4380,438481.78,259
299,GT07,GT0703,193,2024,861,595587.0,307
300,GT07,GT0703,193,2025,3429,223859.43,128
301,GT07,GT0704,201,2021,4388,498775.22,22
302,GT07,GT0704,201,2022,1772,629996.8,25
303,GT07,GT0704,201,2023,1868,632967.9,225
304,GT07,GT0704,201,2024,3291,839523.02,145
305,GT07,GT0704,201,2025,1510,705423.8,160
306,GT07,GT0704,202,2021,2858,83083.23,284
307,GT07,GT0704,202,2022,2712,61191.9,264
308,GT07,GT0704,202,2023,3077,385815.28,151
309,GT07,GT0704,202,2024,1169,552894.52,252
310,GT07,GT0704,202,2025,616,435280.26,231
311,GT07,GT0704,203,2021,3045,191127.5,104
312,GT07,GT0704,203,2022,2723,381512.69,271
313,GT07,GT0704,203,2023,2335,822015.1,204
314,GT07,GT0704,203,2024,3296,755203.36,83
315,GT07,GT0704,203,2025,3892,165297.89,183
316,GT07,GT0705,211,2021,495,418671.14,123
317,GT07,GT0705,211,2022,3047,530003.13,22
318,GT07,GT0705,211,2023,4050,488778.46,191
319,GT07,GT0705,211,2024,3485,779566.13,133
320,GT07,GT0705,211,2025,1884,735833.63,67
321,GT07,GT0705,212,2021,1420,59265.17,94
322,GT07,GT0705,212,2022,2582,592269.05,248
323,GT07,GT0705,212,2023,1065,764167.65,121
324,GT07,GT0705,212,2024,798,820921.93,72
325,GT07,GT0705,212,2025,437,48951.01,142
326,GT07,GT0705,213,2021,230,81261.32,55
327,GT07,GT0705,213,2022,2013,393943.09,254
328,GT07,GT0705,213,2023,1209,733542.91,46
329,GT07,GT0705,213,2024,4179,92735.57,116
330,GT07,GT0705,213,2025,586,434587.58,240
331,GT07,GT0706,221,2021,2528,736594.43,220
332,GT07,GT0706,221,2022,2849,338942.62,40
333,GT07,GT0706,221,2023,489,400662.06,291
334,GT07,GT0706,221,2024,2780,95158.69,164
335,GT07,GT0706,221,2025,1491,682523.43,243
336,GT07,GT0706,222,2021,3143,454093.42,57
337,GT07,GT0706,222,2022,292,408695.77,190
338,GT07,GT0706,222,2023,2032,264705.44,85
339,GT07,GT0706,222,2024,1506,825761.99,255
340,GT07,GT0706,222,2025,3967,186393.43,315
341,GT07,GT0706,223,2021,1471,659446.26,103
342,GT07,GT0706,223,2022,705,285329.22,192
343,GT07,GT0706,223,2023,2274,756087.25,231
344,GT07,GT0706,223,2024,695,112338.74,108
345,GT07,GT0706,223,2025,153,570755.09,107
346,GT07,GT0707,231,2021,510,404727.21,171
347,GT07,GT0707,231,2022,3032,353538.86,163
348,GT07,GT0707,231,2023,2372,539876.79,115
349,GT07,GT0707,231,2024,718,133477.84,312
350,GT07,GT0707,231,2025,1585,265098.02,290
351,GT07,GT0707,232,2021,3620,692108.72,280
352,GT07,GT0707,232,2022,493,287686.96,91
353,GT07,GT0707,232,2023,1102,226743.47,210
354,GT07,GT0707,232,2024,3458,292127.68,284
355,GT07,GT0707,232,2025,2983,686402.83,65
356,GT07,GT0707,233,2021,861,603793.91,244
357,GT07,GT0707,233,2022,3279,456432.37,154
358,GT07,GT0707,233,2023,450,372339.61,72
359,GT07,GT0707,233,2024,1027,30658.93,285
360,GT07,GT0707,233,2025,2277,596728.06,26
361,GT07,GT0708,241,2021,2092,45560.46,257
362,GT07,GT0708,241,2022,1963,449147.75,217
363,GT07,GT0708,241,2023,3441,92298.98,96
364,GT07,GT0708,241,2024,4014,162872.97,48
365,GT07,GT0708,241,2025,3536,213379.82,175
366,GT07,GT0708,242,2021,1130,739255.67,240
367,GT07,GT0708,242,2022,2314,390571.27,237
368,GT07,GT0708,242,2023,2170,409770.13,104
369,GT07,GT0708,242,2024,1991,510388.23,108
370,GT07,GT0708,242,2025,3862,292435.79,111
371,GT07,GT0708,243,2021,575,305142.42,94
372,GT07,GT0708,243,2022,1939,716761.56,201
373,GT07,GT0708,243,2023,952,434202.28,74
374,GT07,GT0708,243,2024,2023,489946.24,76
375,GT07,GT0708,243,2025,1005,350148.88,267
376,GT07,GT0709,251,2021,2532,166091.67,254
377,GT07,GT0709,251,2022,603,643093.44,95
378,GT07,GT0709,251,2023,3438,88270.44,206
379,GT07,GT0709,251,2024,2514,754196.15,197
380,GT07,GT0709,251,2025,3784,395161.81,220
381,GT07,GT0709,252,2021,2814,842712.3,283
382,GT07,GT0709,252,2022,1965,354754.15,39
383,GT07,GT0709,252,2023,2833,91920.99,220
384,GT07,GT0709,252,2024,3978,475009.86,43
385,GT07,GT0709,252,2025,468,262162.3,88
386,GT07,GT0709,253,2021,1135,844972.99,107
387,GT07,GT0709,253,2022,3893,298615.88,72
388,GT07,GT0709,253,2023,3730,294728.77,213
389,GT07,GT0709,253,2024,2581,744835.07,218
390,GT07,GT0709,253,2025,2443,187898.59,148
391,GT07,GT0710,261,2021,2072,520528.92,118
392,GT07,GT0710,261,2022,2532,594063.32,92
393,GT07,GT0710,261,2023,2181,626622.12,175
394,GT07,GT0710,261,2024,2835,298602.69,111
395,GT07,GT0710,261,2025,3805,422900.9,56
396,GT07,GT0710,262,2021,3304,684978.69,199
397,GT07,GT0710,262,2022,2519,168393.05,234
398,GT07,GT0710,262,2023,1823,778641.01,222
399,GT07,GT0710,262,2024,903,732370.89,152
400,GT07,GT0710,262,2025,3051,71627.94,247
401,GT07,GT0710,263,2021,714,611819.76,301
402,GT07,GT0710,263,2022,1406,705620.55,120
403,GT07,GT0710,263,2023,2284,397424.81,124
404,GT07,GT0710,263,2024,1276,33586.13,43
405,GT07,GT0710,263,2025,4117,396086.45,265
406,GT07,GT0711,271,2021,1025,298293.1,267
407,GT07,GT0711,271,2022,3259,524674.4,196
408,GT07,GT0711,271,2023,2813,741423.63,244
409,GT07,GT0711,271,2024,1864,615987.33,226
410,GT07,GT0711,271,2025,653,809995.73,110
411,GT07,GT0711,272,2021,3148,236980.56,98
412,GT07,GT0711,272,2022,3815,79085.97,28
413,GT07,GT0711,272,2023,3194,319324.12,242
414,GT07,GT0711,272,2024,2923,566492.68,102
415,GT07,GT0711,272,2025,4332,738970.78,237
416,GT07,GT0711,273,2021,151,579982.58,77
417,GT07,GT0711,273,2022,858,273160.47,102
418,GT07,GT0711,273,2023,3491,45893.65,117
419,GT07,GT0711,273,2024,4317,829623.47,271
420,GT07,GT0711,273,2025,1514,344095.75,75
421,GT07,GT0712,281,2021,4143,341864.02,46
422,GT07,GT0712,281,2022,4289,783379.66,184
423,GT07,GT0712,281,2023,3331,137004.01,223
424,GT07,GT0712,281,2024,2672,739286.14,27
425,GT07,GT0712,281,2025,3857,532361.29,184
426,GT07,GT0712,282,2021,2466,26640.27,111
427,GT07,GT0712,282,2022,2376,644998.83,256
428,GT07,GT0712,282,2023,660,432410.56,127
429,GT07,GT0712,282,2024,1478,301457.07,294
430,GT07,GT0712,282,2025,905,294953.5,137
431,GT07,GT0712,283,2021,3243,306863.06,62
432,GT07,GT0712,283,2022,2162,50080.58,153
433,GT07,GT0712,283,2023,3901,618041.95,196
434,GT07,GT0712,283,2024,860,645983.65,187
435,GT07,GT0712,283,2025,4106,769105.04,216
436,GT07,GT0713,291,2021,1208,306783.64,127
437,GT07,GT0713,291,2022,2524,770311.43,178
438,GT07,GT0713,291,2023,1488,461165.45,42
439,GT07,GT0713,291,2024,2837,492768.75,302
440,GT07,GT0713,291,2025,2555,36158.75,91
441,GT07,GT0713,292,2021,1735,278360.01,22
442,GT07,GT0713,292,2022,742,607809.3,279
443,GT07,GT0713,292,2023,3111,187755.59,127
444,GT07,GT0713,292,2024,4450,188102.36,107
445,GT07,GT0713,292,2025,4162,552690.86,214
446,GT07,GT0713,293,2021,1397,639204.08,274
447,GT07,GT0713,293,2022,3037,223106.22,60
448,GT07,GT0713,293,2023,1572,461022.24,212
449,GT07,GT0713,293,2024,2567,620499.55,274
450,GT07,GT0713,293,2025,1838,359271.99,302
451,GT07,GT0714,301,2021,1161,566103.81,271
452,GT07,GT0714,301,2022,1787,220304.43,126
453,GT07,GT0714,301,2023,1363,33367.66,136
454,GT07,GT0714,301,2024,2601,366525.26,24
455,GT07,GT0714,301,2025,3260,125291.6,174
456,GT07,GT0714,302,2021,3003,582729.25,67
457,GT07,GT0714,302,2022,2458,232899.86,208
458,GT07,GT0714,302,2023,3758,701134.59,299
459,GT07,GT0714,302,2024,1769,72632.87,260
460,GT07,GT0714,302,2025,1328,292613.8,248
461,GT07,GT0714,303,2021,1790,742199.69,166
462,GT07,GT0714,303,2022,3603,328787.88,290
463,GT07,GT0714,303,2023,1428,491411.0,90
464,GT07,GT0714,303,2024,1985,65705.88,176
465,GT07,GT0714,303,2025,1665,122582.93,107
466,GT07,GT0715,311,2021,1056,818971.66,197
467,GT07,GT0715,311,2022,1088,271175.81,244
468,GT07,GT0715,311,2023,381,583527.23,253
469,GT07,GT0715,311,2024,2071,577847.85,109
470,GT07,GT0715,311,2025,2594,663073.74,204
471,GT07,GT0715,312,2021,2361,214571.88,53
472,GT07,GT0715,312,2022,2317,160813.97,205
473,GT07,GT0715,312,2023,1633,499922.29,104
474,GT07,GT0715,312,2024,1618,812047.09,278
475,GT07,GT0715,312,2025,1643,403584.18,287
476,GT07,GT0715,313,2021,955,632802.82,290
477,GT07,GT0715,313,2022,1094,498258.72,292
478,GT07,GT0715,313,2023,2683,816686.9,280
479,GT07,GT0715,313,2024,1436,693323.83,33
480,GT07,GT0715,313,2025,2143,639535.54,63
481,GT07,GT0716,321,2021,1114,592008.31,320
482,GT07,GT0716,321,2022,3251,34630.73,267
483,GT07,GT0716,321,2023,1959,845490.27,132
484,GT07,GT0716,321,2024,3570,499728.76,66
485,GT07,GT0716,321,2025,1291,749578.71,58
486,GT07,GT0716,322,2021,3350,765688.36,37
487,GT07,GT0716,322,2022,2295,631477.83,233
488,GT07,GT0716,322,2023,3573,620235.13,54
489,GT07,GT0716,322,2024,1588,460909.62,273
490,GT07,GT0716,322,2025,2823,259471.83,299
491,GT07,GT0716,323,2021,3538,392996.73,249
492,GT07,GT0716,323,2022,3821,302589.0,31
493,GT07,GT0716,323,2023,2951,84683.72,171
494,GT07,GT0716,323,2024,724,428973.68,314
495,GT07,GT0716,323,2025,955,320823.94,313
496,GT07,GT0717,331,2021,4051,607970.81,113
497,GT07,GT0717,331,2022,627,308130.26,250
498,GT07,GT0717,331,2023,2366,62489.38,19
499,GT07,GT0717,331,2024,3378,301966.27,179
500,GT07,GT0717,331,2025,3724,799459.02,61
501,GT07,GT0717,332,2021,3930,365730.8,103
502,GT07,GT0717,332,2022,3378,410528.04,318
503,GT07,GT0717,332,2023,2348,490047.05,112
504,GT07,GT0717,332,2024,3781,35271.31,24
505,GT07,GT0717,332,2025,522,492592.54,198
506,GT07,GT0717,333,2021,1070,117226.88,86
507,GT07,GT0717,333,2022,2920,419031.06,219
508,GT07,GT0717,333,2023,595,678794.81,142
509,GT07,GT0717,333,2024,4104,773696.02,155
510,GT07,GT0717,333,2025,3598,516721.97,79
511,GT07,GT0718,341,2021,2120,667999.58,315
512,GT07,GT0718,341,2022,2709,188816.41,116
513,GT07,GT0718,341,2023,431,803211.85,198
514,GT07,GT0718,341,2024,497,758247.11,122
515,GT07,GT0718,341,2025,1373,258669.67,55
516,GT07,GT0718,342,2021,3374,118310.36,240
517,GT07,GT0718,342,2022,4245,802827.37,181
518,GT07,GT0718,342,2023,813,720712.91,92
519,GT07,GT0718,342,2024,799,741775.04,281
520,GT07,GT0718,342,2025,3130,156322.08,144
521,GT07,GT0718,343,2021,2601,144128.78,140
522,GT07,GT0718,343,2022,1037,91352.47,107
523,GT07,GT0718,343,2023,916,679248.42,157
524,GT07,GT0718,343,2024,2225,253877.54,101
525,GT07,GT0718,343,2025,3613,370850.33,22
526,GT07,GT0719,351,2021,775,615210.59,160
527,GT07,GT0719,351,2022,2708,675061.45,38
528,GT07,GT0719,351,2023,967,67716.67,89
529,GT07,GT0719,351,2024,2862,249052.95,30
530,GT07,GT0719,351,2025,3351,821099.43,122
531,GT07,GT0719,352,2021,1030,747275.33,189
532,GT07,GT0719,352,2022,3895,576312.26,192
533,GT07,GT0719,352,2023,2267,783106.06,260
534,GT07,GT0719,352,2024,2864,399474.65,244
535,GT07,GT0719,352,2025,1124,624084.56,182
536,GT07,GT0719,353,2021,780,451268.89,112
537,GT07,GT0719,353,2022,3247,698861.96,207
