id_tecnica,codigo,nombre,origen_historico,descripcion
12,TELAR_PIE_GT0407,Telar de Pie de Patzún,Técnica heredada de generación en generación en Patzún.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Patzún.
13,JASPEADO_HILO_GT0407,Jaspeado de Hilos de Patzún,Técnica heredada de generación en generación en Patzún.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Patzún.
14,BARRO_MODELADO_GT0407,Barro Modelado a Mano de Patzún,Técnica heredada de generación en generación en Patzún.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Patzún."
15,BARRO_TORNO_GT0407,Barro en Torno de Patzún,Técnica heredada de generación en generación en Patzún.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Patzún.
16,TALLADO_CEDRO_GT0407,Tallado en Madera de Cedro de Patzún,Técnica heredada de generación en generación en Patzún.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Patzún.
17,JADE_PULIDO_GT0407,Pulido de Jade de Patzún,Técnica heredada de generación en generación en Patzún.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Patzún.
18,AFINACION_ACUSTICA_GT0407,Afinación Acústica de Teclados de Patzún,Técnica heredada de generación en generación en Patzún.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Patzún.
19,PINTURA_PRIMITIVA_GT0407,Pintura Primitivista de Patzún,Técnica heredada de generación en generación en Patzún.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Patzún.
20,TEJIDO_MIMBRE_GT0407,Tejido en Fibras de Mimbre de Patzún,Técnica heredada de generación en generación en Patzún.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Patzún.
21,TELAR_CINTURA_GT0408,Telar de Cintura de Pochuta,Técnica heredada de generación en generación en Pochuta.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Pochuta.
22,TELAR_PIE_GT0408,Telar de Pie de Pochuta,Técnica heredada de generación en generación en Pochuta.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Pochuta.
23,JASPEADO_HILO_GT0408,Jaspeado de Hilos de Pochuta,Técnica heredada de generación en generación en Pochuta.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Pochuta.
24,BARRO_MODELADO_GT0408,Barro Modelado a Mano de Pochuta,Técnica heredada de generación en generación en Pochuta.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Pochuta."
25,BARRO_TORNO_GT0408,Barro en Torno de Pochuta,Técnica heredada de generación en generación en Pochuta.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Pochuta.
26,TALLADO_CEDRO_GT0408,Tallado en Madera de Cedro de Pochuta,Técnica heredada de generación en generación en Pochuta.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Pochuta.
27,JADE_PULIDO_GT0408,Pulido de Jade de Pochuta,Técnica heredada de generación en generación en Pochuta.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Pochuta.
28,AFINACION_ACUSTICA_GT0408,Afinación Acústica de Teclados de Pochuta,Técnica heredada de generación en generación en Pochuta.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Pochuta.
29,PINTURA_PRIMITIVA_GT0408,Pintura Primitivista de Pochuta,Técnica heredada de generación en generación en Pochuta.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Pochuta.
30,TEJIDO_MIMBRE_GT0408,Tejido en Fibras de Mimbre de Pochuta,Técnica heredada de generación en generación en Pochuta.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Pochuta.
31,TELAR_CINTURA_GT0409,Telar de Cintura de Patzicía,Técnica heredada de generación en generación en Patzicía.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Patzicía.
32,TELAR_PIE_GT0409,Telar de Pie de Patzicía,Técnica heredada de generación en generación en Patzicía.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Patzicía.
33,JASPEADO_HILO_GT0409,Jaspeado de Hilos de Patzicía,Técnica heredada de generación en generación en Patzicía.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Patzicía.
34,BARRO_MODELADO_GT0409,Barro Modelado a Mano de Patzicía,Técnica heredada de generación en generación en Patzicía.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Patzicía."
35,BARRO_TORNO_GT0409,Barro en Torno de Patzicía,Técnica heredada de generación en generación en Patzicía.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Patzicía.
36,TALLADO_CEDRO_GT0409,Tallado en Madera de Cedro de Patzicía,Técnica heredada de generación en generación en Patzicía.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Patzicía.
37,JADE_PULIDO_GT0409,Pulido de Jade de Patzicía,Técnica heredada de generación en generación en Patzicía.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Patzicía.
38,AFINACION_ACUSTICA_GT0409,Afinación Acústica de Teclados de Patzicía,Técnica heredada de generación en generación en Patzicía.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Patzicía.
39,PINTURA_PRIMITIVA_GT0409,Pintura Primitivista de Patzicía,Técnica heredada de generación en generación en Patzicía.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Patzicía.
40,TEJIDO_MIMBRE_GT0409,Tejido en Fibras de Mimbre de Patzicía,Técnica heredada de generación en generación en Patzicía.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Patzicía.
41,TELAR_CINTURA_GT0410,Telar de Cintura de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Santa Cruz Balanyá.
42,TELAR_PIE_GT0410,Telar de Pie de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Santa Cruz Balanyá.
43,JASPEADO_HILO_GT0410,Jaspeado de Hilos de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Santa Cruz Balanyá.
44,BARRO_MODELADO_GT0410,Barro Modelado a Mano de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Santa Cruz Balanyá."
45,BARRO_TORNO_GT0410,Barro en Torno de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Santa Cruz Balanyá.
46,TALLADO_CEDRO_GT0410,Tallado en Madera de Cedro de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Santa Cruz Balanyá.
47,JADE_PULIDO_GT0410,Pulido de Jade de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Santa Cruz Balanyá.
48,AFINACION_ACUSTICA_GT0410,Afinación Acústica de Teclados de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Santa Cruz Balanyá.
49,PINTURA_PRIMITIVA_GT0410,Pintura Primitivista de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Santa Cruz Balanyá.
50,TEJIDO_MIMBRE_GT0410,Tejido en Fibras de Mimbre de Santa Cruz Balanyá,Técnica heredada de generación en generación en Santa Cruz Balanyá.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Santa Cruz Balanyá.
51,TELAR_CINTURA_GT0411,Telar de Cintura de Acatenango,Técnica heredada de generación en generación en Acatenango.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Acatenango.
52,TELAR_PIE_GT0411,Telar de Pie de Acatenango,Técnica heredada de generación en generación en Acatenango.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Acatenango.
53,JASPEADO_HILO_GT0411,Jaspeado de Hilos de Acatenango,Técnica heredada de generación en generación en Acatenango.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Acatenango.
54,BARRO_MODELADO_GT0411,Barro Modelado a Mano de Acatenango,Técnica heredada de generación en generación en Acatenango.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Acatenango."
55,BARRO_TORNO_GT0411,Barro en Torno de Acatenango,Técnica heredada de generación en generación en Acatenango.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Acatenango.
56,TALLADO_CEDRO_GT0411,Tallado en Madera de Cedro de Acatenango,Técnica heredada de generación en generación en Acatenango.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Acatenango.
57,JADE_PULIDO_GT0411,Pulido de Jade de Acatenango,Técnica heredada de generación en generación en Acatenango.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Acatenango.
58,AFINACION_ACUSTICA_GT0411,Afinación Acústica de Teclados de Acatenango,Técnica heredada de generación en generación en Acatenango.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Acatenango.
59,PINTURA_PRIMITIVA_GT0411,Pintura Primitivista de Acatenango,Técnica heredada de generación en generación en Acatenango.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Acatenango.
60,TEJIDO_MIMBRE_GT0411,Tejido en Fibras de Mimbre de Acatenango,Técnica heredada de generación en generación en Acatenango.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Acatenango.
61,TELAR_CINTURA_GT0412,Telar de Cintura de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Yepocapa.
62,TELAR_PIE_GT0412,Telar de Pie de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Yepocapa.
63,JASPEADO_HILO_GT0412,Jaspeado de Hilos de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Yepocapa.
64,BARRO_MODELADO_GT0412,Barro Modelado a Mano de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Yepocapa."
65,BARRO_TORNO_GT0412,Barro en Torno de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Yepocapa.
66,TALLADO_CEDRO_GT0412,Tallado en Madera de Cedro de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Yepocapa.
67,JADE_PULIDO_GT0412,Pulido de Jade de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Yepocapa.
68,AFINACION_ACUSTICA_GT0412,Afinación Acústica de Teclados de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Yepocapa.
69,PINTURA_PRIMITIVA_GT0412,Pintura Primitivista de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Yepocapa.
70,TEJIDO_MIMBRE_GT0412,Tejido en Fibras de Mimbre de Yepocapa,Técnica heredada de generación en generación en Yepocapa.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Yepocapa.
71,TELAR_CINTURA_GT0413,Telar de Cintura de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en San Andrés Itzapa.
72,TELAR_PIE_GT0413,Telar de Pie de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en San Andrés Itzapa.
73,JASPEADO_HILO_GT0413,Jaspeado de Hilos de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en San Andrés Itzapa.
74,BARRO_MODELADO_GT0413,Barro Modelado a Mano de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en San Andrés Itzapa."
75,BARRO_TORNO_GT0413,Barro en Torno de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en San Andrés Itzapa.
76,TALLADO_CEDRO_GT0413,Tallado en Madera de Cedro de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en San Andrés Itzapa.
77,JADE_PULIDO_GT0413,Pulido de Jade de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en San Andrés Itzapa.
78,AFINACION_ACUSTICA_GT0413,Afinación Acústica de Teclados de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en San Andrés Itzapa.
79,PINTURA_PRIMITIVA_GT0413,Pintura Primitivista de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en San Andrés Itzapa.
80,TEJIDO_MIMBRE_GT0413,Tejido en Fibras de Mimbre de San Andrés Itzapa,Técnica heredada de generación en generación en San Andrés Itzapa.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en San Andrés Itzapa.
81,TELAR_CINTURA_GT0414,Telar de Cintura de Parramos,Técnica heredada de generación en generación en Parramos.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Parramos.
82,TELAR_PIE_GT0414,Telar de Pie de Parramos,Técnica heredada de generación en generación en Parramos.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Parramos.
83,JASPEADO_HILO_GT0414,Jaspeado de Hilos de Parramos,Técnica heredada de generación en generación en Parramos.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Parramos.
84,BARRO_MODELADO_GT0414,Barro Modelado a Mano de Parramos,Técnica heredada de generación en generación en Parramos.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Parramos."
85,BARRO_TORNO_GT0414,Barro en Torno de Parramos,Técnica heredada de generación en generación en Parramos.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Parramos.
86,TALLADO_CEDRO_GT0414,Tallado en Madera de Cedro de Parramos,Técnica heredada de generación en generación en Parramos.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Parramos.
87,JADE_PULIDO_GT0414,Pulido de Jade de Parramos,Técnica heredada de generación en generación en Parramos.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Parramos.
88,AFINACION_ACUSTICA_GT0414,Afinación Acústica de Teclados de Parramos,Técnica heredada de generación en generación en Parramos.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Parramos.
89,PINTURA_PRIMITIVA_GT0414,Pintura Primitivista de Parramos,Técnica heredada de generación en generación en Parramos.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Parramos.
90,TEJIDO_MIMBRE_GT0414,Tejido en Fibras de Mimbre de Parramos,Técnica heredada de generación en generación en Parramos.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Parramos.
91,TELAR_CINTURA_GT0415,Telar de Cintura de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Zaragoza.
92,TELAR_PIE_GT0415,Telar de Pie de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Zaragoza.
93,JASPEADO_HILO_GT0415,Jaspeado de Hilos de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Zaragoza.
94,BARRO_MODELADO_GT0415,Barro Modelado a Mano de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Zaragoza."
95,BARRO_TORNO_GT0415,Barro en Torno de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Zaragoza.
96,TALLADO_CEDRO_GT0415,Tallado en Madera de Cedro de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Zaragoza.
97,JADE_PULIDO_GT0415,Pulido de Jade de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Zaragoza.
98,AFINACION_ACUSTICA_GT0415,Afinación Acústica de Teclados de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Zaragoza.
99,PINTURA_PRIMITIVA_GT0415,Pintura Primitivista de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Zaragoza.
100,TEJIDO_MIMBRE_GT0415,Tejido en Fibras de Mimbre de Zaragoza,Técnica heredada de generación en generación en Zaragoza.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Zaragoza.
101,TELAR_CINTURA_GT0416,Telar de Cintura de El Tejar,Técnica heredada de generación en generación en El Tejar.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en El Tejar.
102,TELAR_PIE_GT0416,Telar de Pie de El Tejar,Técnica heredada de generación en generación en El Tejar.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en El Tejar.
103,JASPEADO_HILO_GT0416,Jaspeado de Hilos de El Tejar,Técnica heredada de generación en generación en El Tejar.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en El Tejar.
104,BARRO_MODELADO_GT0416,Barro Modelado a Mano de El Tejar,Técnica heredada de generación en generación en El Tejar.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en El Tejar."
105,BARRO_TORNO_GT0416,Barro en Torno de El Tejar,Técnica heredada de generación en generación en El Tejar.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en El Tejar.
106,TALLADO_CEDRO_GT0416,Tallado en Madera de Cedro de El Tejar,Técnica heredada de generación en generación en El Tejar.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en El Tejar.
107,JADE_PULIDO_GT0416,Pulido de Jade de El Tejar,Técnica heredada de generación en generación en El Tejar.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en El Tejar.
108,AFINACION_ACUSTICA_GT0416,Afinación Acústica de Teclados de El Tejar,Técnica heredada de generación en generación en El Tejar.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en El Tejar.
109,PINTURA_PRIMITIVA_GT0416,Pintura Primitivista de El Tejar,Técnica heredada de generación en generación en El Tejar.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en El Tejar.
110,TEJIDO_MIMBRE_GT0416,Tejido en Fibras de Mimbre de El Tejar,Técnica heredada de generación en generación en El Tejar.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en El Tejar.
111,TELAR_CINTURA_GT0700,Telar de Cintura de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Lago De Atitlan.
112,TELAR_PIE_GT0700,Telar de Pie de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Lago De Atitlan.
113,JASPEADO_HILO_GT0700,Jaspeado de Hilos de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Lago De Atitlan.
114,BARRO_MODELADO_GT0700,Barro Modelado a Mano de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Lago De Atitlan."
115,BARRO_TORNO_GT0700,Barro en Torno de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Lago De Atitlan.
116,TALLADO_CEDRO_GT0700,Tallado en Madera de Cedro de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Lago De Atitlan.
117,JADE_PULIDO_GT0700,Pulido de Jade de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Lago De Atitlan.
118,AFINACION_ACUSTICA_GT0700,Afinación Acústica de Teclados de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Lago De Atitlan.
119,PINTURA_PRIMITIVA_GT0700,Pintura Primitivista de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Estilo pictórico detallista y plano que muestra paisajes y ferias locales. Especialidad local desarrollada en Lago De Atitlan.
120,TEJIDO_MIMBRE_GT0700,Tejido en Fibras de Mimbre de Lago De Atitlan,Técnica heredada de generación en generación en Lago De Atitlan.,Entramado artesanal de fibras flexibles para cestería y sopladores. Especialidad local desarrollada en Lago De Atitlan.
121,TELAR_CINTURA_GT0701,Telar de Cintura de Sololá,Técnica heredada de generación en generación en Sololá.,Técnica milenaria de tejido suspendida sobre la cintura del tejedor. Especialidad local desarrollada en Sololá.
122,TELAR_PIE_GT0701,Telar de Pie de Sololá,Técnica heredada de generación en generación en Sololá.,Técnica de tejido en telar de pedal introducido en la época colonial. Especialidad local desarrollada en Sololá.
123,JASPEADO_HILO_GT0701,Jaspeado de Hilos de Sololá,Técnica heredada de generación en generación en Sololá.,Técnica de teñido por reserva mediante amarrado de hilos antes de tejer. Especialidad local desarrollada en Sololá.
124,BARRO_MODELADO_GT0701,Barro Modelado a Mano de Sololá,Técnica heredada de generación en generación en Sololá.,"Moldeado directo de la arcilla sin torno, usando quemado al aire libre. Especialidad local desarrollada en Sololá."
125,BARRO_TORNO_GT0701,Barro en Torno de Sololá,Técnica heredada de generación en generación en Sololá.,Modelado de piezas cerámicas circulares y simétricas con torno tradicional. Especialidad local desarrollada en Sololá.
126,TALLADO_CEDRO_GT0701,Tallado en Madera de Cedro de Sololá,Técnica heredada de generación en generación en Sololá.,Cincelado artesanal de madera noble para máscaras y cofres. Especialidad local desarrollada en Sololá.
127,JADE_PULIDO_GT0701,Pulido de Jade de Sololá,Técnica heredada de generación en generación en Sololá.,Corte y abrasión fina de piedra de jadeita con herramientas de diamante. Especialidad local desarrollada en Sololá.
128,AFINACION_ACUSTICA_GT0701,Afinación Acústica de Teclados de Sololá,Técnica heredada de generación en generación en Sololá.,Técnica de desbaste de tablillas de hormigo para dar afinación precisa. Especialidad local desarrollada en Sololá.
