id_evento,codigo,nombre,fecha_inicio,fecha_fin,departamento_pcode,municipio_pcode,lugar_detallado,organizador
11,EVT_GT0411_0010,Feria de la Artesanía Tradicional en Acatenango - Edición 2018 - Ref 11,2018-11-12,2018-11-15,GT04,GT0411,Plaza Central de Acatenango,Municipalidad de Acatenango y Comité de Cultura
12,EVT_GT0412_0011,Festival del Tejido Maya y Jaspe en Yepocapa - Edición 2025 - Ref 12,2025-11-12,2025-11-15,GT04,GT0412,Plaza Central de Yepocapa,Municipalidad de Yepocapa y Comité de Cultura
13,EVT_GT0413_0012,Encuentro Regional de Pintores en San Andrés Itzapa - Edición 2023 - Ref 13,2023-11-12,2023-11-15,GT04,GT0413,Plaza Central de San Andrés Itzapa,Municipalidad de San Andrés Itzapa y Comité de Cultura
14,EVT_GT0414_0013,Festival Nacional de la Marimba en Parramos - Edición 2025 - Ref 14,2025-11-12,2025-11-15,GT04,GT0414,Plaza Central de Parramos,Municipalidad de Parramos y Comité de Cultura
15,EVT_GT0415_0014,Exposición Colectiva de Escultura en Zaragoza - Edición 2018 - Ref 15,2018-11-12,2018-11-15,GT04,GT0415,Plaza Central de Zaragoza,Municipalidad de Zaragoza y Comité de Cultura
16,EVT_GT0416_0015,Feria de la Artesanía Tradicional en El Tejar - Edición 2020 - Ref 16,2020-11-12,2020-11-15,GT04,GT0416,Plaza Central de El Tejar,Municipalidad de El Tejar y Comité de Cultura
17,EVT_GT0700_0016,Festival del Tejido Maya y Jaspe en Lago De Atitlan - Edición 2022 - Ref 17,2022-11-12,2022-11-15,GT07,GT0700,Plaza Central de Lago De Atitlan,Municipalidad de Lago De Atitlan y Comité de Cultura
18,EVT_GT0701_0017,Encuentro Regional de Pintores en Sololá - Edición 2025 - Ref 18,2025-11-12,2025-11-15,GT07,GT0701,Plaza Central de Sololá,Municipalidad de Sololá y Comité de Cultura
19,EVT_GT0702_0018,Festival Nacional de la Marimba en San José Chacayá - Edición 2018 - Ref 19,2018-11-12,2018-11-15,GT07,GT0702,Plaza Central de San José Chacayá,Municipalidad de San José Chacayá y Comité de Cultura
20,EVT_GT0703_0019,Exposición Colectiva de Escultura en Santa María Visitación - Edición 2018 - Ref 20,2018-11-12,2018-11-15,GT07,GT0703,Plaza Central de Santa María Visitación,Municipalidad de Santa María Visitación y Comité de Cultura
21,EVT_GT0704_0020,Feria de la Artesanía Tradicional en Santa Lucía Utatlán - Edición 2021 - Ref 21,2021-11-12,2021-11-15,GT07,GT0704,Plaza Central de Santa Lucía Utatlán,Municipalidad de Santa Lucía Utatlán y Comité de Cultura
22,EVT_GT0705_0021,Festival del Tejido Maya y Jaspe en Nahualá - Edición 2024 - Ref 22,2024-11-12,2024-11-15,GT07,GT0705,Plaza Central de Nahualá,Municipalidad de Nahualá y Comité de Cultura
23,EVT_GT0706_0022,Encuentro Regional de Pintores en Santa Catarina Ixtahuacán - Edición 2022 - Ref 23,2022-11-12,2022-11-15,GT07,GT0706,Plaza Central de Santa Catarina Ixtahuacán,Municipalidad de Santa Catarina Ixtahuacán y Comité de Cultura
24,EVT_GT0707_0023,Festival Nacional de la Marimba en Santa Clara La Laguna - Edición 2020 - Ref 24,2020-11-12,2020-11-15,GT07,GT0707,Plaza Central de Santa Clara La Laguna,Municipalidad de Santa Clara La Laguna y Comité de Cultura
25,EVT_GT0708_0024,Exposición Colectiva de Escultura en Concepción - Edición 2020 - Ref 25,2020-11-12,2020-11-15,GT07,GT0708,Plaza Central de Concepción,Municipalidad de Concepción y Comité de Cultura
26,EVT_GT0709_0025,Feria de la Artesanía Tradicional en San Andrés Semetabaj - Edición 2018 - Ref 26,2018-11-12,2018-11-15,GT07,GT0709,Plaza Central de San Andrés Semetabaj,Municipalidad de San Andrés Semetabaj y Comité de Cultura
27,EVT_GT0710_0026,Festival del Tejido Maya y Jaspe en Panajachel - Edición 2018 - Ref 27,2018-11-12,2018-11-15,GT07,GT0710,Plaza Central de Panajachel,Municipalidad de Panajachel y Comité de Cultura
28,EVT_GT0711_0027,Encuentro Regional de Pintores en Santa Catarina Palopó - Edición 2024 - Ref 28,2024-11-12,2024-11-15,GT07,GT0711,Plaza Central de Santa Catarina Palopó,Municipalidad de Santa Catarina Palopó y Comité de Cultura
29,EVT_GT0712_0028,Festival Nacional de la Marimba en San Antonio Palopó - Edición 2021 - Ref 29,2021-11-12,2021-11-15,GT07,GT0712,Plaza Central de San Antonio Palopó,Municipalidad de San Antonio Palopó y Comité de Cultura
30,EVT_GT0713_0029,Exposición Colectiva de Escultura en San Lucas Tolimán - Edición 2020 - Ref 30,2020-11-12,2020-11-15,GT07,GT0713,Plaza Central de San Lucas Tolimán,Municipalidad de San Lucas Tolimán y Comité de Cultura
31,EVT_GT0714_0030,Feria de la Artesanía Tradicional en Santa Cruz La Laguna - Edición 2019 - Ref 31,2019-11-12,2019-11-15,GT07,GT0714,Plaza Central de Santa Cruz La Laguna,Municipalidad de Santa Cruz La Laguna y Comité de Cultura
32,EVT_GT0715_0031,Festival del Tejido Maya y Jaspe en San Pablo La Laguna - Edición 2024 - Ref 32,2024-11-12,2024-11-15,GT07,GT0715,Plaza Central de San Pablo La Laguna,Municipalidad de San Pablo La Laguna y Comité de Cultura
33,EVT_GT0716_0032,Encuentro Regional de Pintores en San Marcos La Laguna - Edición 2025 - Ref 33,2025-11-12,2025-11-15,GT07,GT0716,Plaza Central de San Marcos La Laguna,Municipalidad de San Marcos La Laguna y Comité de Cultura
34,EVT_GT0717_0033,Festival Nacional de la Marimba en San Juan La Laguna - Edición 2019 - Ref 34,2019-11-12,2019-11-15,GT07,GT0717,Plaza Central de San Juan La Laguna,Municipalidad de San Juan La Laguna y Comité de Cultura
35,EVT_GT0718_0034,Exposición Colectiva de Escultura en San Pedro La Laguna - Edición 2022 - Ref 35,2022-11-12,2022-11-15,GT07,GT0718,Plaza Central de San Pedro La Laguna,Municipalidad de San Pedro La Laguna y Comité de Cultura
36,EVT_GT0719_0035,Feria de la Artesanía Tradicional en Santiago Atitlán - Edición 2025 - Ref 36,2025-11-12,2025-11-15,GT07,GT0719,Plaza Central de Santiago Atitlán,Municipalidad de Santiago Atitlán y Comité de Cultura
37,EVT_GT0801_0036,Festival del Tejido Maya y Jaspe en Totonicapán - Edición 2019 - Ref 37,2019-11-12,2019-11-15,GT08,GT0801,Plaza Central de Totonicapán,Municipalidad de Totonicapán y Comité de Cultura
38,EVT_GT0802_0037,Encuentro Regional de Pintores en San Cristóbal Totonicapán - Edición 2020 - Ref 38,2020-11-12,2020-11-15,GT08,GT0802,Plaza Central de San Cristóbal Totonicapán,Municipalidad de San Cristóbal Totonicapán y Comité de Cultura
39,EVT_GT0803_0038,Festival Nacional de la Marimba en San Francisco El Alto - Edición 2019 - Ref 39,2019-11-12,2019-11-15,GT08,GT0803,Plaza Central de San Francisco El Alto,Municipalidad de San Francisco El Alto y Comité de Cultura
40,EVT_GT0804_0039,Exposición Colectiva de Escultura en San Andrés Xecul - Edición 2018 - Ref 40,2018-11-12,2018-11-15,GT08,GT0804,Plaza Central de San Andrés Xecul,Municipalidad de San Andrés Xecul y Comité de Cultura
41,EVT_GT0805_0040,Feria de la Artesanía Tradicional en Momostenango - Edición 2023 - Ref 41,2023-11-12,2023-11-15,GT08,GT0805,Plaza Central de Momostenango,Municipalidad de Momostenango y Comité de Cultura
42,EVT_GT0806_0041,Festival del Tejido Maya y Jaspe en Santa María Chiquimula - Edición 2023 - Ref 42,2023-11-12,2023-11-15,GT08,GT0806,Plaza Central de Santa María Chiquimula,Municipalidad de Santa María Chiquimula y Comité de Cultura
43,EVT_GT0807_0042,Encuentro Regional de Pintores en Santa Lucía La Reforma - Edición 2018 - Ref 43,2018-11-12,2018-11-15,GT08,GT0807,Plaza Central de Santa Lucía La Reforma,Municipalidad de Santa Lucía La Reforma y Comité de Cultura
44,EVT_GT0808_0043,Festival Nacional de la Marimba en San Bartolo - Edición 2024 - Ref 44,2024-11-12,2024-11-15,GT08,GT0808,Plaza Central de San Bartolo,Municipalidad de San Bartolo y Comité de Cultura
45,EVT_GT0901_0044,Exposición Colectiva de Escultura en Quetzaltenango - Edición 2020 - Ref 45,2020-11-12,2020-11-15,GT09,GT0901,Plaza Central de Quetzaltenango,Municipalidad de Quetzaltenango y Comité de Cultura
46,EVT_GT0902_0045,Feria de la Artesanía Tradicional en Salcajá - Edición 2018 - Ref 46,2018-11-12,2018-11-15,GT09,GT0902,Plaza Central de Salcajá,Municipalidad de Salcajá y Comité de Cultura
47,EVT_GT0903_0046,Festival del Tejido Maya y Jaspe en Olintepeque - Edición 2024 - Ref 47,2024-11-12,2024-11-15,GT09,GT0903,Plaza Central de Olintepeque,Municipalidad de Olintepeque y Comité de Cultura
48,EVT_GT0904_0047,Encuentro Regional de Pintores en San Carlos Sija - Edición 2025 - Ref 48,2025-11-12,2025-11-15,GT09,GT0904,Plaza Central de San Carlos Sija,Municipalidad de San Carlos Sija y Comité de Cultura
49,EVT_GT0905_0048,Festival Nacional de la Marimba en Sibilia - Edición 2018 - Ref 49,2018-11-12,2018-11-15,GT09,GT0905,Plaza Central de Sibilia,Municipalidad de Sibilia y Comité de Cultura
50,EVT_GT0906_0049,Exposición Colectiva de Escultura en Cabricán - Edición 2018 - Ref 50,2018-11-12,2018-11-15,GT09,GT0906,Plaza Central de Cabricán,Municipalidad de Cabricán y Comité de Cultura
51,EVT_GT0907_0050,Feria de la Artesanía Tradicional en Cajolá - Edición 2018 - Ref 51,2018-11-12,2018-11-15,GT09,GT0907,Plaza Central de Cajolá,Municipalidad de Cajolá y Comité de Cultura
52,EVT_GT0908_0051,Festival del Tejido Maya y Jaspe en San Miguel Sigüila - Edición 2021 - Ref 52,2021-11-12,2021-11-15,GT09,GT0908,Plaza Central de San Miguel Sigüila,Municipalidad de San Miguel Sigüila y Comité de Cultura
53,EVT_GT0909_0052,Encuentro Regional de Pintores en Ostuncalco - Edición 2023 - Ref 53,2023-11-12,2023-11-15,GT09,GT0909,Plaza Central de Ostuncalco,Municipalidad de Ostuncalco y Comité de Cultura
54,EVT_GT0910_0053,Festival Nacional de la Marimba en San Mateo - Edición 2025 - Ref 54,2025-11-12,2025-11-15,GT09,GT0910,Plaza Central de San Mateo,Municipalidad de San Mateo y Comité de Cultura
55,EVT_GT0911_0054,Exposición Colectiva de Escultura en Concepción Chiquirichapa - Edición 2020 - Ref 55,2020-11-12,2020-11-15,GT09,GT0911,Plaza Central de Concepción Chiquirichapa,Municipalidad de Concepción Chiquirichapa y Comité de Cultura
56,EVT_GT0912_0055,Feria de la Artesanía Tradicional en San Martín Sacatepéquez - Edición 2025 - Ref 56,2025-11-12,2025-11-15,GT09,GT0912,Plaza Central de San Martín Sacatepéquez,Municipalidad de San Martín Sacatepéquez y Comité de Cultura
57,EVT_GT0913_0056,Festival del Tejido Maya y Jaspe en Almolonga - Edición 2018 - Ref 57,2018-11-12,2018-11-15,GT09,GT0913,Plaza Central de Almolonga,Municipalidad de Almolonga y Comité de Cultura
58,EVT_GT0914_0057,Encuentro Regional de Pintores en Cantel - Edición 2024 - Ref 58,2024-11-12,2024-11-15,GT09,GT0914,Plaza Central de Cantel,Municipalidad de Cantel y Comité de Cultura
59,EVT_GT0915_0058,Festival Nacional de la Marimba en Huitán - Edición 2020 - Ref 59,2020-11-12,2020-11-15,GT09,GT0915,Plaza Central de Huitán,Municipalidad de Huitán y Comité de Cultura
60,EVT_GT0916_0059,Exposición Colectiva de Escultura en Zunil - Edición 2024 - Ref 60,2024-11-12,2024-11-15,GT09,GT0916,Plaza Central de Zunil,Municipalidad de Zunil y Comité de Cultura
61,EVT_GT0917_0060,Feria de la Artesanía Tradicional en Colomba - Edición 2023 - Ref 61,2023-11-12,2023-11-15,GT09,GT0917,Plaza Central de Colomba,Municipalidad de Colomba y Comité de Cultura
62,EVT_GT0918_0061,Festival del Tejido Maya y Jaspe en San Francisco La Unión - Edición 2023 - Ref 62,2023-11-12,2023-11-15,GT09,GT0918,Plaza Central de San Francisco La Unión,Municipalidad de San Francisco La Unión y Comité de Cultura
63,EVT_GT0919_0062,Encuentro Regional de Pintores en El Palmar - Edición 2019 - Ref 63,2019-11-12,2019-11-15,GT09,GT0919,Plaza Central de El Palmar,Municipalidad de El Palmar y Comité de Cultura
64,EVT_GT0920_0063,Festival Nacional de la Marimba en Coatepeque - Edición 2025 - Ref 64,2025-11-12,2025-11-15,GT09,GT0920,Plaza Central de Coatepeque,Municipalidad de Coatepeque y Comité de Cultura
65,EVT_GT0921_0064,Exposición Colectiva de Escultura en Génova - Edición 2024 - Ref 65,2024-11-12,2024-11-15,GT09,GT0921,Plaza Central de Génova,Municipalidad de Génova y Comité de Cultura
66,EVT_GT0922_0065,Feria de la Artesanía Tradicional en Flores Costa Cuca - Edición 2019 - Ref 66,2019-11-12,2019-11-15,GT09,GT0922,Plaza Central de Flores Costa Cuca,Municipalidad de Flores Costa Cuca y Comité de Cultura
67,EVT_GT0923_0066,Festival del Tejido Maya y Jaspe en La Esperanza - Edición 2024 - Ref 67,2024-11-12,2024-11-15,GT09,GT0923,Plaza Central de La Esperanza,Municipalidad de La Esperanza y Comité de Cultura
68,EVT_GT0924_0067,Encuentro Regional de Pintores en Palestina de Los Altos - Edición 2022 - Ref 68,2022-11-12,2022-11-15,GT09,GT0924,Plaza Central de Palestina de Los Altos,Municipalidad de Palestina de Los Altos y Comité de Cultura
69,EVT_GT1201_0068,Festival Nacional de la Marimba en San Marcos - Edición 2020 - Ref 69,2020-11-12,2020-11-15,GT12,GT1201,Plaza Central de San Marcos,Municipalidad de San Marcos y Comité de Cultura
70,EVT_GT1202_0069,Exposición Colectiva de Escultura en San Pedro Sacatepéquez - Edición 2022 - Ref 70,2022-11-12,2022-11-15,GT12,GT1202,Plaza Central de San Pedro Sacatepéquez,Municipalidad de San Pedro Sacatepéquez y Comité de Cultura
71,EVT_GT1203_0070,Feria de la Artesanía Tradicional en San Antonio Sacatepéquez - Edición 2024 - Ref 71,2024-11-12,2024-11-15,GT12,GT1203,Plaza Central de San Antonio Sacatepéquez,Municipalidad de San Antonio Sacatepéquez y Comité de Cultura
72,EVT_GT1204_0071,Festival del Tejido Maya y Jaspe en Comitancillo - Edición 2019 - Ref 72,2019-11-12,2019-11-15,GT12,GT1204,Plaza Central de Comitancillo,Municipalidad de Comitancillo y Comité de Cultura
73,EVT_GT1205_0072,Encuentro Regional de Pintores en San Miguel Ixtahuacán - Edición 2023 - Ref 73,2023-11-12,2023-11-15,GT12,GT1205,Plaza Central de San Miguel Ixtahuacán,Municipalidad de San Miguel Ixtahuacán y Comité de Cultura
74,EVT_GT1206_0073,Festival Nacional de la Marimba en Concepción Tutuapa - Edición 2024 - Ref 74,2024-11-12,2024-11-15,GT12,GT1206,Plaza Central de Concepción Tutuapa,Municipalidad de Concepción Tutuapa y Comité de Cultura
75,EVT_GT1207_0074,Exposición Colectiva de Escultura en Tacaná - Edición 2018 - Ref 75,2018-11-12,2018-11-15,GT12,GT1207,Plaza Central de Tacaná,Municipalidad de Tacaná y Comité de Cultura
76,EVT_GT1208_0075,Feria de la Artesanía Tradicional en Sibinal - Edición 2018 - Ref 76,2018-11-12,2018-11-15,GT12,GT1208,Plaza Central de Sibinal,Municipalidad de Sibinal y Comité de Cultura
77,EVT_GT1209_0076,Festival del Tejido Maya y Jaspe en Tajumulco - Edición 2022 - Ref 77,2022-11-12,2022-11-15,GT12,GT1209,Plaza Central de Tajumulco,Municipalidad de Tajumulco y Comité de Cultura
78,EVT_GT1210_0077,Encuentro Regional de Pintores en Tejutla - Edición 2020 - Ref 78,2020-11-12,2020-11-15,GT12,GT1210,Plaza Central de Tejutla,Municipalidad de Tejutla y Comité de Cultura
79,EVT_GT1211_0078,Festival Nacional de la Marimba en San Rafael Pie de la Cuesta - Edición 2022 - Ref 79,2022-11-12,2022-11-15,GT12,GT1211,Plaza Central de San Rafael Pie de la Cuesta,Municipalidad de San Rafael Pie de la Cuesta y Comité de Cultura
80,EVT_GT1212_0079,Exposición Colectiva de Escultura en Nuevo Progreso - Edición 2022 - Ref 80,2022-11-12,2022-11-15,GT12,GT1212,Plaza Central de Nuevo Progreso,Municipalidad de Nuevo Progreso y Comité de Cultura
81,EVT_GT1213_0080,Feria de la Artesanía Tradicional en El Tumbador - Edición 2022 - Ref 81,2022-11-12,2022-11-15,GT12,GT1213,Plaza Central de El Tumbador,Municipalidad de El Tumbador y Comité de Cultura
82,EVT_GT1214_0081,Festival del Tejido Maya y Jaspe en El Rodeo - Edición 2021 - Ref 82,2021-11-12,2021-11-15,GT12,GT1214,Plaza Central de El Rodeo,Municipalidad de El Rodeo y Comité de Cultura
83,EVT_GT1215_0082,Encuentro Regional de Pintores en Malacatán - Edición 2021 - Ref 83,2021-11-12,2021-11-15,GT12,GT1215,Plaza Central de Malacatán,Municipalidad de Malacatán y Comité de Cultura
84,EVT_GT1216_0083,Festival Nacional de la Marimba en Catarina - Edición 2024 - Ref 84,2024-11-12,2024-11-15,GT12,GT1216,Plaza Central de Catarina,Municipalidad de Catarina y Comité de Cultura
85,EVT_GT1217_0084,Exposición Colectiva de Escultura en Ayutla - Edición 2018 - Ref 85,2018-11-12,2018-11-15,GT12,GT1217,Plaza Central de Ayutla,Municipalidad de Ayutla y Comité de Cultura
86,EVT_GT1218_0085,Feria de la Artesanía Tradicional en Ocós - Edición 2022 - Ref 86,2022-11-12,2022-11-15,GT12,GT1218,Plaza Central de Ocós,Municipalidad de Ocós y Comité de Cultura
87,EVT_GT1219_0086,Festival del Tejido Maya y Jaspe en San Pablo - Edición 2021 - Ref 87,2021-11-12,2021-11-15,GT12,GT1219,Plaza Central de San Pablo,Municipalidad de San Pablo y Comité de Cultura
88,EVT_GT1220_0087,Encuentro Regional de Pintores en El Quetzal - Edición 2023 - Ref 88,2023-11-12,2023-11-15,GT12,GT1220,Plaza Central de El Quetzal,Municipalidad de El Quetzal y Comité de Cultura
89,EVT_GT1221_0088,Festival Nacional de la Marimba en La Reforma - Edición 2025 - Ref 89,2025-11-12,2025-11-15,GT12,GT1221,Plaza Central de La Reforma,Municipalidad de La Reforma y Comité de Cultura
90,EVT_GT1222_0089,Exposición Colectiva de Escultura en Pajapita - Edición 2024 - Ref 90,2024-11-12,2024-11-15,GT12,GT1222,Plaza Central de Pajapita,Municipalidad de Pajapita y Comité de Cultura
91,EVT_GT1223_0090,Feria de la Artesanía Tradicional en Ixchiguán - Edición 2020 - Ref 91,2020-11-12,2020-11-15,GT12,GT1223,Plaza Central de Ixchiguán,Municipalidad de Ixchiguán y Comité de Cultura
92,EVT_GT1224_0091,Festival del Tejido Maya y Jaspe en San José Ojetenam - Edición 2023 - Ref 92,2023-11-12,2023-11-15,GT12,GT1224,Plaza Central de San José Ojetenam,Municipalidad de San José Ojetenam y Comité de Cultura
93,EVT_GT1225_0092,Encuentro Regional de Pintores en San Cristóbal Cucho - Edición 2025 - Ref 93,2025-11-12,2025-11-15,GT12,GT1225,Plaza Central de San Cristóbal Cucho,Municipalidad de San Cristóbal Cucho y Comité de Cultura
94,EVT_GT1226_0093,Festival Nacional de la Marimba en Sipacapa - Edición 2020 - Ref 94,2020-11-12,2020-11-15,GT12,GT1226,Plaza Central de Sipacapa,Municipalidad de Sipacapa y Comité de Cultura
95,EVT_GT1227_0094,Exposición Colectiva de Escultura en Esquipulas Palo Gordo - Edición 2018 - Ref 95,2018-11-12,2018-11-15,GT12,GT1227,Plaza Central de Esquipulas Palo Gordo,Municipalidad de Esquipulas Palo Gordo y Comité de Cultura
96,EVT_GT1228_0095,Feria de la Artesanía Tradicional en Río Blanco - Edición 2020 - Ref 96,2020-11-12,2020-11-15,GT12,GT1228,Plaza Central de Río Blanco,Municipalidad de Río Blanco y Comité de Cultura
97,EVT_GT1229_0096,Festival del Tejido Maya y Jaspe en San Lorenzo - Edición 2024 - Ref 97,2024-11-12,2024-11-15,GT12,GT1229,Plaza Central de San Lorenzo,Municipalidad de San Lorenzo y Comité de Cultura
98,EVT_GT1230_0097,Encuentro Regional de Pintores en La Blanca - Edición 2021 - Ref 98,2021-11-12,2021-11-15,GT12,GT1230,Plaza Central de La Blanca,Municipalidad de La Blanca y Comité de Cultura
99,EVT_GT1301_0098,Festival Nacional de la Marimba en Huehuetenango - Edición 2021 - Ref 99,2021-11-12,2021-11-15,GT13,GT1301,Plaza Central de Huehuetenango,Municipalidad de Huehuetenango y Comité de Cultura
100,EVT_GT1302_0099,Exposición Colectiva de Escultura en Chiantla - Edición 2019 - Ref 100,2019-11-12,2019-11-15,GT13,GT1302,Plaza Central de Chiantla,Municipalidad de Chiantla y Comité de Cultura
101,EVT_GT1303_0100,Feria de la Artesanía Tradicional en Malacatancito - Edición 2020 - Ref 101,2020-11-12,2020-11-15,GT13,GT1303,Plaza Central de Malacatancito,Municipalidad de Malacatancito y Comité de Cultura
102,EVT_GT1304_0101,Festival del Tejido Maya y Jaspe en Cuilco - Edición 2020 - Ref 102,2020-11-12,2020-11-15,GT13,GT1304,Plaza Central de Cuilco,Municipalidad de Cuilco y Comité de Cultura
103,EVT_GT1305_0102,Encuentro Regional de Pintores en Nentón - Edición 2021 - Ref 103,2021-11-12,2021-11-15,GT13,GT1305,Plaza Central de Nentón,Municipalidad de Nentón y Comité de Cultura
104,EVT_GT1306_0103,Festival Nacional de la Marimba en San Pedro Necta - Edición 2024 - Ref 104,2024-11-12,2024-11-15,GT13,GT1306,Plaza Central de San Pedro Necta,Municipalidad de San Pedro Necta y Comité de Cultura
105,EVT_GT1307_0104,Exposición Colectiva de Escultura en Jacaltenango - Edición 2024 - Ref 105,2024-11-12,2024-11-15,GT13,GT1307,Plaza Central de Jacaltenango,Municipalidad de Jacaltenango y Comité de Cultura
106,EVT_GT1308_0105,Feria de la Artesanía Tradicional en Soloma - Edición 2020 - Ref 106,2020-11-12,2020-11-15,GT13,GT1308,Plaza Central de Soloma,Municipalidad de Soloma y Comité de Cultura
107,EVT_GT1309_0106,Festival del Tejido Maya y Jaspe en Ixtahuacán - Edición 2024 - Ref 107,2024-11-12,2024-11-15,GT13,GT1309,Plaza Central de Ixtahuacán,Municipalidad de Ixtahuacán y Comité de Cultura
108,EVT_GT1310_0107,Encuentro Regional de Pintores en Santa Bárbara - Edición 2025 - Ref 108,2025-11-12,2025-11-15,GT13,GT1310,Plaza Central de Santa Bárbara,Municipalidad de Santa Bárbara y Comité de Cultura
109,EVT_GT1311_0108,Festival Nacional de la Marimba en La Libertad - Edición 2022 - Ref 109,2022-11-12,2022-11-15,GT13,GT1311,Plaza Central de La Libertad,Municipalidad de La Libertad y Comité de Cultura
110,EVT_GT1312_0109,Exposición Colectiva de Escultura en La Democracia - Edición 2020 - Ref 110,2020-11-12,2020-11-15,GT13,GT1312,Plaza Central de La Democracia,Municipalidad de La Democracia y Comité de Cultura
111,EVT_GT1313_0110,Feria de la Artesanía Tradicional en San Miguel Acatán - Edición 2025 - Ref 111,2025-11-12,2025-11-15,GT13,GT1313,Plaza Central de San Miguel Acatán,Municipalidad de San Miguel Acatán y Comité de Cultura
112,EVT_GT1314_0111,Festival del Tejido Maya y Jaspe en San Rafael La Independencia - Edición 2020 - Ref 112,2020-11-12,2020-11-15,GT13,GT1314,Plaza Central de San Rafael La Independencia,Municipalidad de San Rafael La Independencia y Comité de Cultura
113,EVT_GT1315_0112,Encuentro Regional de Pintores en Todos Santos Cuchumatán - Edición 2021 - Ref 113,2021-11-12,2021-11-15,GT13,GT1315,Plaza Central de Todos Santos Cuchumatán,Municipalidad de Todos Santos Cuchumatán y Comité de Cultura
114,EVT_GT1316_0113,Festival Nacional de la Marimba en San Juan Atitán - Edición 2025 - Ref 114,2025-11-12,2025-11-15,GT13,GT1316,Plaza Central de San Juan Atitán,Municipalidad de San Juan Atitán y Comité de Cultura
115,EVT_GT1317_0114,Exposición Colectiva de Escultura en Santa Eulalia - Edición 2021 - Ref 115,2021-11-12,2021-11-15,GT13,GT1317,Plaza Central de Santa Eulalia,Municipalidad de Santa Eulalia y Comité de Cultura
116,EVT_GT1318_0115,Feria de la Artesanía Tradicional en San Mateo Ixtatán - Edición 2025 - Ref 116,2025-11-12,2025-11-15,GT13,GT1318,Plaza Central de San Mateo Ixtatán,Municipalidad de San Mateo Ixtatán y Comité de Cultura
117,EVT_GT1319_0116,Festival del Tejido Maya y Jaspe en Colotenango - Edición 2023 - Ref 117,2023-11-12,2023-11-15,GT13,GT1319,Plaza Central de Colotenango,Municipalidad de Colotenango y Comité de Cultura
118,EVT_GT1320_0117,Encuentro Regional de Pintores en San Sebastián Huehuetenango - Edición 2025 - Ref 118,2025-11-12,2025-11-15,GT13,GT1320,Plaza Central de San Sebastián Huehuetenango,Municipalidad de San Sebastián Huehuetenango y Comité de Cultura
119,EVT_GT1321_0118,Festival Nacional de la Marimba en Tectitán - Edición 2018 - Ref 119,2018-11-12,2018-11-15,GT13,GT1321,Plaza Central de Tectitán,Municipalidad de Tectitán y Comité de Cultura
120,EVT_GT1322_0119,Exposición Colectiva de Escultura en Concepción Huista - Edición 2025 - Ref 120,2025-11-12,2025-11-15,GT13,GT1322,Plaza Central de Concepción Huista,Municipalidad de Concepción Huista y Comité de Cultura
