id_tipo_obra,codigo,nombre,descripcion,categoria_general
74,CERAMICA_BARRO_GT0408,Cerámica de Barro Estilo Pochuta,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
75,MADERA_MASCARA_GT0408,Máscara de Madera Estilo Pochuta,"Máscara tallada a mano para danzas folklóricas típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
76,MADERA_JUGUETE_GT0408,Juguete de Madera Estilo Pochuta,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
77,JADE_TALLADO_GT0408,Jade Tallado Estilo Pochuta,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
78,MUSICA_MARIMBA_GT0408,Marimba de Madera Estilo Pochuta,"Instrumento musical nacional de marimba tallado típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
79,PINTURA_CUADRO_GT0408,Pintura Costumbrista Estilo Pochuta,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Pochuta, departamento de Chimaltenango.",ARTES_VISUALES
80,CESTERIA_CANASTA_GT0408,Canasta de Mimbre Estilo Pochuta,"Canastas y artículos de fibra natural tejida típico del municipio de Pochuta, departamento de Chimaltenango.",ARTESANIA
81,TEXTIL_HUIPIL_GT0409,Huipil Tradicional Estilo Patzicía,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
82,TEXTIL_CORTE_GT0409,Corte Jaspeado Estilo Patzicía,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
83,TEXTIL_FAJA_GT0409,Faja Artesanal Estilo Patzicía,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
84,CERAMICA_BARRO_GT0409,Cerámica de Barro Estilo Patzicía,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
85,MADERA_MASCARA_GT0409,Máscara de Madera Estilo Patzicía,"Máscara tallada a mano para danzas folklóricas típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
86,MADERA_JUGUETE_GT0409,Juguete de Madera Estilo Patzicía,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
87,JADE_TALLADO_GT0409,Jade Tallado Estilo Patzicía,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
88,MUSICA_MARIMBA_GT0409,Marimba de Madera Estilo Patzicía,"Instrumento musical nacional de marimba tallado típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
89,PINTURA_CUADRO_GT0409,Pintura Costumbrista Estilo Patzicía,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Patzicía, departamento de Chimaltenango.",ARTES_VISUALES
90,CESTERIA_CANASTA_GT0409,Canasta de Mimbre Estilo Patzicía,"Canastas y artículos de fibra natural tejida típico del municipio de Patzicía, departamento de Chimaltenango.",ARTESANIA
91,TEXTIL_HUIPIL_GT0410,Huipil Tradicional Estilo Santa Cruz Balanyá,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
92,TEXTIL_CORTE_GT0410,Corte Jaspeado Estilo Santa Cruz Balanyá,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
93,TEXTIL_FAJA_GT0410,Faja Artesanal Estilo Santa Cruz Balanyá,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
94,CERAMICA_BARRO_GT0410,Cerámica de Barro Estilo Santa Cruz Balanyá,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
95,MADERA_MASCARA_GT0410,Máscara de Madera Estilo Santa Cruz Balanyá,"Máscara tallada a mano para danzas folklóricas típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
96,MADERA_JUGUETE_GT0410,Juguete de Madera Estilo Santa Cruz Balanyá,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
97,JADE_TALLADO_GT0410,Jade Tallado Estilo Santa Cruz Balanyá,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
98,MUSICA_MARIMBA_GT0410,Marimba de Madera Estilo Santa Cruz Balanyá,"Instrumento musical nacional de marimba tallado típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
99,PINTURA_CUADRO_GT0410,Pintura Costumbrista Estilo Santa Cruz Balanyá,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTES_VISUALES
100,CESTERIA_CANASTA_GT0410,Canasta de Mimbre Estilo Santa Cruz Balanyá,"Canastas y artículos de fibra natural tejida típico del municipio de Santa Cruz Balanyá, departamento de Chimaltenango.",ARTESANIA
101,TEXTIL_HUIPIL_GT0411,Huipil Tradicional Estilo Acatenango,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
102,TEXTIL_CORTE_GT0411,Corte Jaspeado Estilo Acatenango,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
103,TEXTIL_FAJA_GT0411,Faja Artesanal Estilo Acatenango,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
104,CERAMICA_BARRO_GT0411,Cerámica de Barro Estilo Acatenango,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
105,MADERA_MASCARA_GT0411,Máscara de Madera Estilo Acatenango,"Máscara tallada a mano para danzas folklóricas típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
106,MADERA_JUGUETE_GT0411,Juguete de Madera Estilo Acatenango,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
107,JADE_TALLADO_GT0411,Jade Tallado Estilo Acatenango,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
108,MUSICA_MARIMBA_GT0411,Marimba de Madera Estilo Acatenango,"Instrumento musical nacional de marimba tallado típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
109,PINTURA_CUADRO_GT0411,Pintura Costumbrista Estilo Acatenango,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Acatenango, departamento de Chimaltenango.",ARTES_VISUALES
110,CESTERIA_CANASTA_GT0411,Canasta de Mimbre Estilo Acatenango,"Canastas y artículos de fibra natural tejida típico del municipio de Acatenango, departamento de Chimaltenango.",ARTESANIA
111,TEXTIL_HUIPIL_GT0412,Huipil Tradicional Estilo Yepocapa,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
112,TEXTIL_CORTE_GT0412,Corte Jaspeado Estilo Yepocapa,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
113,TEXTIL_FAJA_GT0412,Faja Artesanal Estilo Yepocapa,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
114,CERAMICA_BARRO_GT0412,Cerámica de Barro Estilo Yepocapa,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
115,MADERA_MASCARA_GT0412,Máscara de Madera Estilo Yepocapa,"Máscara tallada a mano para danzas folklóricas típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
116,MADERA_JUGUETE_GT0412,Juguete de Madera Estilo Yepocapa,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
117,JADE_TALLADO_GT0412,Jade Tallado Estilo Yepocapa,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
118,MUSICA_MARIMBA_GT0412,Marimba de Madera Estilo Yepocapa,"Instrumento musical nacional de marimba tallado típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
119,PINTURA_CUADRO_GT0412,Pintura Costumbrista Estilo Yepocapa,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTES_VISUALES
120,CESTERIA_CANASTA_GT0412,Canasta de Mimbre Estilo Yepocapa,"Canastas y artículos de fibra natural tejida típico del municipio de Yepocapa, departamento de Chimaltenango.",ARTESANIA
121,TEXTIL_HUIPIL_GT0413,Huipil Tradicional Estilo San Andrés Itzapa,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
122,TEXTIL_CORTE_GT0413,Corte Jaspeado Estilo San Andrés Itzapa,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
123,TEXTIL_FAJA_GT0413,Faja Artesanal Estilo San Andrés Itzapa,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
124,CERAMICA_BARRO_GT0413,Cerámica de Barro Estilo San Andrés Itzapa,"Piezas utilitarias y decorativas de barro cocido típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
125,MADERA_MASCARA_GT0413,Máscara de Madera Estilo San Andrés Itzapa,"Máscara tallada a mano para danzas folklóricas típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
126,MADERA_JUGUETE_GT0413,Juguete de Madera Estilo San Andrés Itzapa,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
127,JADE_TALLADO_GT0413,Jade Tallado Estilo San Andrés Itzapa,"Piezas de joyería y escultura en piedra de Jade típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
128,MUSICA_MARIMBA_GT0413,Marimba de Madera Estilo San Andrés Itzapa,"Instrumento musical nacional de marimba tallado típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
129,PINTURA_CUADRO_GT0413,Pintura Costumbrista Estilo San Andrés Itzapa,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTES_VISUALES
130,CESTERIA_CANASTA_GT0413,Canasta de Mimbre Estilo San Andrés Itzapa,"Canastas y artículos de fibra natural tejida típico del municipio de San Andrés Itzapa, departamento de Chimaltenango.",ARTESANIA
131,TEXTIL_HUIPIL_GT0414,Huipil Tradicional Estilo Parramos,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
132,TEXTIL_CORTE_GT0414,Corte Jaspeado Estilo Parramos,"Prenda textil inferior tejida con técnica de Jaspe típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
133,TEXTIL_FAJA_GT0414,Faja Artesanal Estilo Parramos,"Faja tejida para sujetar el corte con motivos geométricos típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
134,CERAMICA_BARRO_GT0414,Cerámica de Barro Estilo Parramos,"Piezas utilitarias y decorativas de barro cocido típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
135,MADERA_MASCARA_GT0414,Máscara de Madera Estilo Parramos,"Máscara tallada a mano para danzas folklóricas típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
136,MADERA_JUGUETE_GT0414,Juguete de Madera Estilo Parramos,"Juguete tradicional tallado y pintado (trompos, yoyos, carros) típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
137,JADE_TALLADO_GT0414,Jade Tallado Estilo Parramos,"Piezas de joyería y escultura en piedra de Jade típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
138,MUSICA_MARIMBA_GT0414,Marimba de Madera Estilo Parramos,"Instrumento musical nacional de marimba tallado típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
139,PINTURA_CUADRO_GT0414,Pintura Costumbrista Estilo Parramos,"Cuadro pictórico que retrata la vida y costumbres mayas típico del municipio de Parramos, departamento de Chimaltenango.",ARTES_VISUALES
140,CESTERIA_CANASTA_GT0414,Canasta de Mimbre Estilo Parramos,"Canastas y artículos de fibra natural tejida típico del municipio de Parramos, departamento de Chimaltenango.",ARTESANIA
141,TEXTIL_HUIPIL_GT0415,Huipil Tradicional Estilo Zaragoza,"Prenda textil tradicional femenina tejida y brocada a mano típico del municipio de Zaragoza, departamento de Chimaltenango.",ARTESANIA
