id_material,codigo,nombre,descripcion
62,ALGODON_CUYUSCATE_GT0702,Hilo de Algodón Cuyuscate Natural Seleccionado de San José Chacayá,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San José Chacayá.
63,BARRO_ROJO_GT0702,Arcilla de Barro Rojo Seleccionado de San José Chacayá,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San José Chacayá.
64,JADE_JADEITA_GT0702,Jadeita Verde Seleccionado de San José Chacayá,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San José Chacayá.
65,MADERA_HORMIGO_GT0702,Madera de Hormigo Seleccionado de San José Chacayá,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San José Chacayá.
66,MADERA_CEDRO_GT0702,Madera de Cedro Seleccionado de San José Chacayá,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San José Chacayá.
67,TINTE_NATURAL_CEBOLLA_GT0702,Tinte Orgánico de Cebolla de San José Chacayá,Tinte de origen vegetal/animal obtenido de Cebolla en San José Chacayá.
68,LANA_OVEJA_GT0702,Lana de Oveja Natural Seleccionado de San José Chacayá,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San José Chacayá.
69,FIBRA_MIMBRE_GT0702,Fibras de Mimbre Seleccionado de San José Chacayá,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San José Chacayá.
70,PINTURA_ACRILICA_GT0702,Pintura Acrílica Profesional Seleccionado de San José Chacayá,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San José Chacayá.
71,ALGODON_BLANCO_GT0703,Hilo de Algodón Blanco Seleccionado de Santa María Visitación,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
72,ALGODON_CUYUSCATE_GT0703,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa María Visitación,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
73,BARRO_ROJO_GT0703,Arcilla de Barro Rojo Seleccionado de Santa María Visitación,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
74,JADE_JADEITA_GT0703,Jadeita Verde Seleccionado de Santa María Visitación,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
75,MADERA_HORMIGO_GT0703,Madera de Hormigo Seleccionado de Santa María Visitación,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
76,MADERA_CEDRO_GT0703,Madera de Cedro Seleccionado de Santa María Visitación,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
77,TINTE_NATURAL_CAFÉ_GT0703,Tinte Orgánico de Café de Santa María Visitación,Tinte de origen vegetal/animal obtenido de Café en Santa María Visitación.
78,LANA_OVEJA_GT0703,Lana de Oveja Natural Seleccionado de Santa María Visitación,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
79,FIBRA_MIMBRE_GT0703,Fibras de Mimbre Seleccionado de Santa María Visitación,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
80,PINTURA_ACRILICA_GT0703,Pintura Acrílica Profesional Seleccionado de Santa María Visitación,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa María Visitación.
81,ALGODON_BLANCO_GT0704,Hilo de Algodón Blanco Seleccionado de Santa Lucía Utatlán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
82,ALGODON_CUYUSCATE_GT0704,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Lucía Utatlán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
83,BARRO_ROJO_GT0704,Arcilla de Barro Rojo Seleccionado de Santa Lucía Utatlán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
84,JADE_JADEITA_GT0704,Jadeita Verde Seleccionado de Santa Lucía Utatlán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
85,MADERA_HORMIGO_GT0704,Madera de Hormigo Seleccionado de Santa Lucía Utatlán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
86,MADERA_CEDRO_GT0704,Madera de Cedro Seleccionado de Santa Lucía Utatlán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
87,TINTE_NATURAL_SACATE_GT0704,Tinte Orgánico de Sacate de Santa Lucía Utatlán,Tinte de origen vegetal/animal obtenido de Sacate en Santa Lucía Utatlán.
88,LANA_OVEJA_GT0704,Lana de Oveja Natural Seleccionado de Santa Lucía Utatlán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
89,FIBRA_MIMBRE_GT0704,Fibras de Mimbre Seleccionado de Santa Lucía Utatlán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
90,PINTURA_ACRILICA_GT0704,Pintura Acrílica Profesional Seleccionado de Santa Lucía Utatlán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Lucía Utatlán.
91,ALGODON_BLANCO_GT0705,Hilo de Algodón Blanco Seleccionado de Nahualá,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Nahualá.
92,ALGODON_CUYUSCATE_GT0705,Hilo de Algodón Cuyuscate Natural Seleccionado de Nahualá,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Nahualá.
93,BARRO_ROJO_GT0705,Arcilla de Barro Rojo Seleccionado de Nahualá,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Nahualá.
94,JADE_JADEITA_GT0705,Jadeita Verde Seleccionado de Nahualá,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Nahualá.
95,MADERA_HORMIGO_GT0705,Madera de Hormigo Seleccionado de Nahualá,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Nahualá.
96,MADERA_CEDRO_GT0705,Madera de Cedro Seleccionado de Nahualá,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Nahualá.
97,TINTE_NATURAL_CÚRCUMA_GT0705,Tinte Orgánico de Cúrcuma de Nahualá,Tinte de origen vegetal/animal obtenido de Cúrcuma en Nahualá.
98,LANA_OVEJA_GT0705,Lana de Oveja Natural Seleccionado de Nahualá,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Nahualá.
99,FIBRA_MIMBRE_GT0705,Fibras de Mimbre Seleccionado de Nahualá,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Nahualá.
100,PINTURA_ACRILICA_GT0705,Pintura Acrílica Profesional Seleccionado de Nahualá,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Nahualá.
101,ALGODON_BLANCO_GT0706,Hilo de Algodón Blanco Seleccionado de Santa Catarina Ixtahuacán,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
102,ALGODON_CUYUSCATE_GT0706,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Catarina Ixtahuacán,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
103,BARRO_ROJO_GT0706,Arcilla de Barro Rojo Seleccionado de Santa Catarina Ixtahuacán,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
104,JADE_JADEITA_GT0706,Jadeita Verde Seleccionado de Santa Catarina Ixtahuacán,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
105,MADERA_HORMIGO_GT0706,Madera de Hormigo Seleccionado de Santa Catarina Ixtahuacán,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
106,MADERA_CEDRO_GT0706,Madera de Cedro Seleccionado de Santa Catarina Ixtahuacán,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
107,TINTE_NATURAL_PÚRPURA_GT0706,Tinte Orgánico de Púrpura de Santa Catarina Ixtahuacán,Tinte de origen vegetal/animal obtenido de Púrpura en Santa Catarina Ixtahuacán.
108,LANA_OVEJA_GT0706,Lana de Oveja Natural Seleccionado de Santa Catarina Ixtahuacán,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
109,FIBRA_MIMBRE_GT0706,Fibras de Mimbre Seleccionado de Santa Catarina Ixtahuacán,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
110,PINTURA_ACRILICA_GT0706,Pintura Acrílica Profesional Seleccionado de Santa Catarina Ixtahuacán,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Catarina Ixtahuacán.
111,ALGODON_BLANCO_GT0707,Hilo de Algodón Blanco Seleccionado de Santa Clara La Laguna,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
112,ALGODON_CUYUSCATE_GT0707,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Clara La Laguna,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
113,BARRO_ROJO_GT0707,Arcilla de Barro Rojo Seleccionado de Santa Clara La Laguna,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
114,JADE_JADEITA_GT0707,Jadeita Verde Seleccionado de Santa Clara La Laguna,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
115,MADERA_HORMIGO_GT0707,Madera de Hormigo Seleccionado de Santa Clara La Laguna,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
116,MADERA_CEDRO_GT0707,Madera de Cedro Seleccionado de Santa Clara La Laguna,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
117,TINTE_NATURAL_GRANA_COCHINILLA_GT0707,Tinte Orgánico de Grana Cochinilla de Santa Clara La Laguna,Tinte de origen vegetal/animal obtenido de Grana Cochinilla en Santa Clara La Laguna.
118,LANA_OVEJA_GT0707,Lana de Oveja Natural Seleccionado de Santa Clara La Laguna,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
119,FIBRA_MIMBRE_GT0707,Fibras de Mimbre Seleccionado de Santa Clara La Laguna,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
120,PINTURA_ACRILICA_GT0707,Pintura Acrílica Profesional Seleccionado de Santa Clara La Laguna,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Santa Clara La Laguna.
121,ALGODON_BLANCO_GT0708,Hilo de Algodón Blanco Seleccionado de Concepción,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Concepción.
122,ALGODON_CUYUSCATE_GT0708,Hilo de Algodón Cuyuscate Natural Seleccionado de Concepción,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Concepción.
123,BARRO_ROJO_GT0708,Arcilla de Barro Rojo Seleccionado de Concepción,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Concepción.
124,JADE_JADEITA_GT0708,Jadeita Verde Seleccionado de Concepción,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Concepción.
125,MADERA_HORMIGO_GT0708,Madera de Hormigo Seleccionado de Concepción,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Concepción.
126,MADERA_CEDRO_GT0708,Madera de Cedro Seleccionado de Concepción,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Concepción.
127,TINTE_NATURAL_ACHIOTE_GT0708,Tinte Orgánico de Achiote de Concepción,Tinte de origen vegetal/animal obtenido de Achiote en Concepción.
128,LANA_OVEJA_GT0708,Lana de Oveja Natural Seleccionado de Concepción,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Concepción.
129,FIBRA_MIMBRE_GT0708,Fibras de Mimbre Seleccionado de Concepción,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Concepción.
130,PINTURA_ACRILICA_GT0708,Pintura Acrílica Profesional Seleccionado de Concepción,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Concepción.
131,ALGODON_BLANCO_GT0709,Hilo de Algodón Blanco Seleccionado de San Andrés Semetabaj,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
132,ALGODON_CUYUSCATE_GT0709,Hilo de Algodón Cuyuscate Natural Seleccionado de San Andrés Semetabaj,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
133,BARRO_ROJO_GT0709,Arcilla de Barro Rojo Seleccionado de San Andrés Semetabaj,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
134,JADE_JADEITA_GT0709,Jadeita Verde Seleccionado de San Andrés Semetabaj,Jadeita Verde de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
135,MADERA_HORMIGO_GT0709,Madera de Hormigo Seleccionado de San Andrés Semetabaj,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
136,MADERA_CEDRO_GT0709,Madera de Cedro Seleccionado de San Andrés Semetabaj,Madera de Cedro de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
137,TINTE_NATURAL_LICHEN_GT0709,Tinte Orgánico de Lichen de San Andrés Semetabaj,Tinte de origen vegetal/animal obtenido de Lichen en San Andrés Semetabaj.
138,LANA_OVEJA_GT0709,Lana de Oveja Natural Seleccionado de San Andrés Semetabaj,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
139,FIBRA_MIMBRE_GT0709,Fibras de Mimbre Seleccionado de San Andrés Semetabaj,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
140,PINTURA_ACRILICA_GT0709,Pintura Acrílica Profesional Seleccionado de San Andrés Semetabaj,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de San Andrés Semetabaj.
141,ALGODON_BLANCO_GT0710,Hilo de Algodón Blanco Seleccionado de Panajachel,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Panajachel.
142,ALGODON_CUYUSCATE_GT0710,Hilo de Algodón Cuyuscate Natural Seleccionado de Panajachel,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Panajachel.
143,BARRO_ROJO_GT0710,Arcilla de Barro Rojo Seleccionado de Panajachel,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Panajachel.
144,JADE_JADEITA_GT0710,Jadeita Verde Seleccionado de Panajachel,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Panajachel.
145,MADERA_HORMIGO_GT0710,Madera de Hormigo Seleccionado de Panajachel,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Panajachel.
146,MADERA_CEDRO_GT0710,Madera de Cedro Seleccionado de Panajachel,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Panajachel.
147,TINTE_NATURAL_OCOTE_GT0710,Tinte Orgánico de Ocote de Panajachel,Tinte de origen vegetal/animal obtenido de Ocote en Panajachel.
148,LANA_OVEJA_GT0710,Lana de Oveja Natural Seleccionado de Panajachel,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Panajachel.
149,FIBRA_MIMBRE_GT0710,Fibras de Mimbre Seleccionado de Panajachel,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Panajachel.
150,PINTURA_ACRILICA_GT0710,Pintura Acrílica Profesional Seleccionado de Panajachel,Pintura Acrílica Profesional de alta calidad recolectado en las zonas montañosas de Panajachel.
151,ALGODON_BLANCO_GT0711,Hilo de Algodón Blanco Seleccionado de Santa Catarina Palopó,Hilo de Algodón Blanco de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
152,ALGODON_CUYUSCATE_GT0711,Hilo de Algodón Cuyuscate Natural Seleccionado de Santa Catarina Palopó,Hilo de Algodón Cuyuscate Natural de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
153,BARRO_ROJO_GT0711,Arcilla de Barro Rojo Seleccionado de Santa Catarina Palopó,Arcilla de Barro Rojo de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
154,JADE_JADEITA_GT0711,Jadeita Verde Seleccionado de Santa Catarina Palopó,Jadeita Verde de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
155,MADERA_HORMIGO_GT0711,Madera de Hormigo Seleccionado de Santa Catarina Palopó,Madera de Hormigo de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
156,MADERA_CEDRO_GT0711,Madera de Cedro Seleccionado de Santa Catarina Palopó,Madera de Cedro de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
157,TINTE_NATURAL_AGUACATE_GT0711,Tinte Orgánico de Aguacate de Santa Catarina Palopó,Tinte de origen vegetal/animal obtenido de Aguacate en Santa Catarina Palopó.
158,LANA_OVEJA_GT0711,Lana de Oveja Natural Seleccionado de Santa Catarina Palopó,Lana de Oveja Natural de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
159,FIBRA_MIMBRE_GT0711,Fibras de Mimbre Seleccionado de Santa Catarina Palopó,Fibras de Mimbre de alta calidad recolectado en las zonas montañosas de Santa Catarina Palopó.
