núm_corre,año_denuncia,Reg_mes,día_denuncia,día_sem_denuncia,año_hecho,mes_hecho,día_hecho,dia_sem_hecho,depto_ocu_hecho,mupio_ocu_hecho,zona_ocu_hecho,sexo_per,edad_sind,g_edad_60ymás,g_edad_80ymás,g_edad_de0_80ymás,est_conyugal,delito_com,hora_denuncia,g_hora_denuncia,g_hora_denuncia_mañ.tar.noch,principales_delitos
14,2023,Febrero,10,Viernes,2022,Diciembre,1,Sábado,Baja Verapaz,Granados,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,14,12:00 a 17:59,12:00 a 17:59,Otros
15,2023,Febrero,10,Viernes,2022,Diciembre,1,Sábado,Baja Verapaz,Granados,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,14,12:00 a 17:59,12:00 a 17:59,Amenazas
16,2023,Febrero,13,Lunes,2023,Febrero,12,Martes,Baja Verapaz,Granados,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
17,2023,Febrero,14,Martes,2023,Febrero,12,Miercoles,Baja Verapaz,Granados,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Soltero,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
18,2023,Febrero,14,Martes,2023,Febrero,12,Miercoles,Baja Verapaz,Granados,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Soltero,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
19,2023,Febrero,14,Martes,2022,Noviembre,12,Miercoles,Baja Verapaz,Granados,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
20,2023,Febrero,14,Martes,2022,Noviembre,12,Miercoles,Baja Verapaz,Granados,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
21,2023,Marzo,30,Jueves,2023,Marzo,3,Viernes,Guatemala,Mixco,Ignorada,Ignorado,59,55-59,55-59,55 - 59,Ignorado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
22,2023,Febrero,22,Miercoles,2023,Febrero,18,Jueves,Retalhuleu,Retalhuleu,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Apropiación y retención indebidas,11,06:00 a 11:59,00:00 a 11:59,Otros
23,2023,Febrero,22,Miercoles,2023,Febrero,18,Jueves,Retalhuleu,Retalhuleu,Ignorada,Ignorado,34,30-34,30-34,30 - 34,Ignorado,Apropiación y retención indebidas,11,06:00 a 11:59,00:00 a 11:59,Otros
24,2023,Febrero,14,Martes,2023,Febrero,14,Miercoles,Guatemala,Guatemala,11,Ignorado,39,35-39,35-39,35 - 39,Ignorado,Homicidio culposo,19,18:00 a 23:59,18:00 a 23:59,Homicidio culposo
25,2023,Febrero,14,Martes,2023,Febrero,14,Miercoles,Guatemala,Guatemala,12,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto,19,18:00 a 23:59,18:00 a 23:59,Hurto
26,2023,Febrero,14,Martes,2023,Febrero,11,Miercoles,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,19,18:00 a 23:59,18:00 a 23:59,Otros
27,2023,Enero,13,Viernes,2023,Enero,12,Sábado,Guatemala,Guatemala,5,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo agravado,14,12:00 a 17:59,12:00 a 17:59,Robo agravado
28,2023,Enero,13,Viernes,2023,Enero,13,Sábado,Guatemala,Guatemala,5,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,14,12:00 a 17:59,12:00 a 17:59,Amenazas
29,2023,Enero,13,Viernes,2023,Enero,13,Sábado,Guatemala,Guatemala,5,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,14,12:00 a 17:59,12:00 a 17:59,Lesiones leves
30,2023,Enero,13,Viernes,2022,Octubre,25,Sábado,Guatemala,Guatemala,11,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Estafa propia,14,12:00 a 17:59,12:00 a 17:59,Otros
31,2023,Enero,13,Viernes,2022,Octubre,25,Sábado,Guatemala,Guatemala,11,Hombre,48,45-49,45-49,45 - 49,Soltero,Estafa propia,14,12:00 a 17:59,12:00 a 17:59,Otros
32,2023,Enero,13,Viernes,2023,Enero,11,Sábado,Guatemala,Guatemala,3,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones culposas,14,12:00 a 17:59,12:00 a 17:59,Lesiones culposas
33,2023,Enero,23,Lunes,2023,Enero,17,Martes,San Marcos,San Pedro Sacatepéquez,Ignorada,Hombre,18,15-19,15-19,15 - 19,Soltero,Otros,12,12:00 a 17:59,12:00 a 17:59,Otros
34,2023,Enero,23,Lunes,2023,Enero,23,Martes,San Marcos,San Pedro Sacatepéquez,Ignorada,Ignorado,40,40-44,40-44,40 - 44,Ignorado,Lesiones culposas,14,12:00 a 17:59,12:00 a 17:59,Lesiones culposas
35,2023,Febrero,15,Miercoles,2023,Febrero,14,Jueves,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,14,12:00 a 17:59,12:00 a 17:59,Amenazas
36,2023,Febrero,15,Miercoles,2023,Febrero,14,Jueves,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,32,30-34,30-34,30 - 34,Soltero,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
37,2023,Enero,21,Sábado,2023,Enero,21,Domingo,Guatemala,Guatemala,12,Hombre,24,20-24,20-24,20 - 24,Ignorado,Otros,19,18:00 a 23:59,18:00 a 23:59,Otros
38,2023,Enero,22,Domingo,2023,Enero,21,Lunes,Guatemala,Guatemala,3,Ignorado,49,45-49,45-49,45 - 49,Ignorado,Otros,0,00:00 a 05:59,00:00 a 11:59,Otros
39,2023,Marzo,4,Sábado,2023,Marzo,3,Domingo,Chimaltenango,Tecpán Guatemala,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones culposas,4,00:00 a 05:59,00:00 a 11:59,Lesiones culposas
40,2023,Marzo,4,Sábado,2023,Marzo,3,Domingo,Sacatepéquez,Santa Lucía Milpas Altas,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones culposas,5,00:00 a 05:59,00:00 a 11:59,Lesiones culposas
41,2023,Febrero,8,Miercoles,2023,Febrero,2,Jueves,Escuintla,Escuintla,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Daño,11,06:00 a 11:59,00:00 a 11:59,Otros
42,2023,Febrero,8,Miercoles,2023,Febrero,5,Jueves,Escuintla,Escuintla,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
43,2023,Febrero,8,Miercoles,2023,Febrero,5,Jueves,Escuintla,Escuintla,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,11,06:00 a 11:59,00:00 a 11:59,Lesiones leves
44,2023,Marzo,14,Martes,2023,Marzo,13,Miercoles,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,20,18:00 a 23:59,18:00 a 23:59,Amenazas
45,2023,Marzo,14,Martes,2023,Marzo,13,Miercoles,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,20,18:00 a 23:59,18:00 a 23:59,Amenazas
46,2023,Marzo,14,Martes,2023,Marzo,14,Miercoles,Guatemala,Guatemala,18,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,21,18:00 a 23:59,18:00 a 23:59,Amenazas
47,2023,Marzo,14,Martes,2023,Marzo,14,Miercoles,Guatemala,Guatemala,18,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,21,18:00 a 23:59,18:00 a 23:59,Lesiones leves
48,2023,Enero,27,Viernes,2023,Enero,26,Sábado,Jutiapa,El Progreso,Ignorada,Mujer,32,30-34,30-34,30 - 34,Soltero,Amenazas,13,12:00 a 17:59,12:00 a 17:59,Amenazas
49,2023,Enero,30,Lunes,2023,Enero,30,Martes,Jutiapa,El Progreso,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
50,2023,Enero,30,Lunes,2023,Enero,28,Martes,Jutiapa,El Progreso,Ignorada,Hombre,38,35-39,35-39,35 - 39,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
51,2023,Marzo,16,Jueves,2022,Noviembre,6,Viernes,Guatemala,Petapa,Ignorada,Hombre,24,20-24,20-24,20 - 24,Ignorado,Otros,22,18:00 a 23:59,18:00 a 23:59,Otros
52,2023,Enero,27,Viernes,2023,Enero,27,Sábado,Guatemala,Guatemala,9,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo de equipo terminal movil,7,06:00 a 11:59,00:00 a 11:59,Robo de equipo terminal movil
53,2023,Enero,27,Viernes,2023,Enero,16,Sábado,Chimaltenango,El Tejar,Ignorada,Hombre,44,40-44,40-44,40 - 44,Ignorado,Uso de información,7,06:00 a 11:59,00:00 a 11:59,Otros
54,2023,Enero,20,Viernes,2021,Marzo,5,Sábado,Quetzaltenango,Zunil,Ignorada,Ignorado,40,40-44,40-44,40 - 44,Ignorado,Otros,11,06:00 a 11:59,00:00 a 11:59,Otros
55,2023,Enero,20,Viernes,2023,Enero,19,Sábado,Guatemala,Guatemala,3,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo de equipo terminal movil,11,06:00 a 11:59,00:00 a 11:59,Robo de equipo terminal movil
56,2023,Enero,20,Viernes,2013,Marzo,16,Sábado,Sacatepéquez,Antigua Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Casos especiales de estafa,11,06:00 a 11:59,00:00 a 11:59,Otros
57,2023,Febrero,14,Martes,2023,Febrero,14,Miercoles,Guatemala,Mixco,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,14,12:00 a 17:59,12:00 a 17:59,Lesiones leves
58,2023,Febrero,14,Martes,2023,Febrero,14,Miercoles,Guatemala,Mixco,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,14,12:00 a 17:59,12:00 a 17:59,Lesiones leves
59,2023,Febrero,14,Martes,2023,Febrero,13,Miercoles,Guatemala,Mixco,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,14,12:00 a 17:59,12:00 a 17:59,Hurto agravado
60,2023,Febrero,14,Martes,2023,Febrero,13,Miercoles,Guatemala,Mixco,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones culposas,15,12:00 a 17:59,12:00 a 17:59,Lesiones culposas
61,2023,Marzo,6,Lunes,2023,Marzo,6,Martes,Jutiapa,Jerez,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,14,12:00 a 17:59,12:00 a 17:59,Amenazas
62,2023,Marzo,6,Lunes,2023,Marzo,5,Martes,Jutiapa,Jerez,Ignorada,Ignorado,41,40-44,40-44,40 - 44,Ignorado,Allanamiento,14,12:00 a 17:59,12:00 a 17:59,Otros
63,2023,Marzo,7,Martes,2023,Marzo,5,Miercoles,Jutiapa,Jerez,Ignorada,Hombre,35,35-39,35-39,35 - 39,Soltero,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
64,2023,Marzo,7,Martes,2023,Febrero,7,Miercoles,Jutiapa,Jerez,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto,16,12:00 a 17:59,12:00 a 17:59,Hurto
65,2023,Marzo,13,Lunes,2023,Marzo,12,Martes,Jutiapa,Jerez,Ignorada,Hombre,34,30-34,30-34,30 - 34,Ignorado,Otros,10,06:00 a 11:59,00:00 a 11:59,Otros
66,2023,Enero,12,Jueves,2023,Enero,8,Viernes,Guatemala,Villa Canales,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,10,06:00 a 11:59,00:00 a 11:59,Amenazas
67,2023,Enero,12,Jueves,2023,Enero,8,Viernes,Guatemala,Villa Canales,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,10,06:00 a 11:59,00:00 a 11:59,Lesiones leves
68,2023,Enero,12,Jueves,2023,Enero,12,Viernes,Guatemala,San Pedro Ayampuc,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Asesinato,11,06:00 a 11:59,00:00 a 11:59,Otros
69,2023,Enero,12,Jueves,2022,Diciembre,16,Viernes,Guatemala,Guatemala,13,Ignorado,14,Menor de 15,Menor de 15,10 - 14,Ignorado,Amenazas,11,06:00 a 11:59,00:00 a 11:59,Amenazas
70,2023,Febrero,3,Viernes,2023,Enero,13,Sábado,Sacatepéquez,Antigua Guatemala,Ignorada,Hombre,58,55-59,55-59,55 - 59,Ignorado,Lesiones culposas,9,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
71,2023,Febrero,3,Viernes,2023,Enero,13,Sábado,Sacatepéquez,Antigua Guatemala,Ignorada,Mujer,94,60-100,80-100,80 y más,Ignorado,Lesiones culposas,9,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
72,2023,Febrero,3,Viernes,2022,Febrero,3,Sábado,Chimaltenango,Chimaltenango,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto,10,06:00 a 11:59,00:00 a 11:59,Hurto
73,2023,Febrero,1,Miercoles,2023,Enero,30,Jueves,Chimaltenango,Chimaltenango,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones leves,8,06:00 a 11:59,00:00 a 11:59,Lesiones leves
74,2023,Enero,4,Miercoles,2022,Noviembre,1,Jueves,Jalapa,Mataquescuintla,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
75,2023,Marzo,28,Martes,2023,Marzo,27,Miercoles,Jalapa,Jalapa,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Soltero,Otros,16,12:00 a 17:59,12:00 a 17:59,Otros
76,2023,Marzo,28,Martes,2023,Marzo,27,Miercoles,Jalapa,Jalapa,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Difamación,16,12:00 a 17:59,12:00 a 17:59,Otros
77,2023,Febrero,21,Martes,2023,Febrero,21,Miercoles,Quetzaltenango,Coatepeque,Ignorada,Ignorado,22,20-24,20-24,20 - 24,Ignorado,Estafa propia,16,12:00 a 17:59,12:00 a 17:59,Otros
78,2023,Febrero,7,Martes,2022,Abril,13,Miercoles,Escuintla,Escuintla,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Defraudación aduanera,15,12:00 a 17:59,12:00 a 17:59,Otros
79,2023,Febrero,7,Martes,2022,Abril,13,Miercoles,Escuintla,Escuintla,Ignorada,Ignorado,31,30-34,30-34,30 - 34,Ignorado,Defraudación aduanera,15,12:00 a 17:59,12:00 a 17:59,Otros
80,2023,Febrero,7,Martes,2022,Abril,13,Miercoles,Escuintla,Escuintla,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Casos especiales de defraudación aduanera,15,12:00 a 17:59,12:00 a 17:59,Otros
81,2023,Febrero,7,Martes,2022,Abril,13,Miercoles,Escuintla,Escuintla,Ignorada,Ignorado,31,30-34,30-34,30 - 34,Ignorado,Casos especiales de defraudación aduanera,15,12:00 a 17:59,12:00 a 17:59,Otros
82,2023,Febrero,7,Martes,2023,Febrero,7,Miercoles,Guatemala,Guatemala,16,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,15,12:00 a 17:59,12:00 a 17:59,Hurto agravado
83,2023,Febrero,7,Martes,2023,Enero,29,Miercoles,Guatemala,San Pedro Ayampuc,Ignorada,Hombre,32,30-34,30-34,30 - 34,Ignorado,Amenazas,15,12:00 a 17:59,12:00 a 17:59,Amenazas
84,2023,Marzo,30,Jueves,2023,Marzo,29,Viernes,Sacatepéquez,Sumpango,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Apropiación y retención indebidas,8,06:00 a 11:59,00:00 a 11:59,Otros
85,2023,Marzo,31,Viernes,2023,Marzo,27,Sábado,Sacatepéquez,Sumpango,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo,9,06:00 a 11:59,00:00 a 11:59,Robo
86,2023,Marzo,21,Martes,2022,Noviembre,11,Miercoles,Guatemala,Guatemala,3,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,6,06:00 a 11:59,00:00 a 11:59,Amenazas
87,2023,Marzo,27,Lunes,2023,Marzo,26,Martes,Zacapa,Zacapa,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Otros,15,12:00 a 17:59,12:00 a 17:59,Otros
88,2023,Marzo,28,Martes,2023,Marzo,26,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,37,35-39,35-39,35 - 39,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
89,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,27,25-29,25-29,25 - 29,Ignorado,Abuso de autoridad,9,06:00 a 11:59,00:00 a 11:59,Otros
90,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,30,30-34,30-34,30 - 34,Ignorado,Abuso de autoridad,9,06:00 a 11:59,00:00 a 11:59,Otros
91,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,28,25-29,25-29,25 - 29,Ignorado,Abuso de autoridad,9,06:00 a 11:59,00:00 a 11:59,Otros
92,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,27,25-29,25-29,25 - 29,Ignorado,Incumplimiento de deberes,9,06:00 a 11:59,00:00 a 11:59,Otros
93,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,30,30-34,30-34,30 - 34,Ignorado,Incumplimiento de deberes,9,06:00 a 11:59,00:00 a 11:59,Otros
94,2023,Marzo,28,Martes,2023,Marzo,24,Miercoles,Zacapa,Zacapa,Ignorada,Ignorado,28,25-29,25-29,25 - 29,Ignorado,Incumplimiento de deberes,9,06:00 a 11:59,00:00 a 11:59,Otros
95,2023,Febrero,15,Miercoles,2023,Enero,20,Jueves,Jalapa,Jalapa,Ignorada,Ignorado,56,55-59,55-59,55 - 59,Ignorado,Alzamiento de bienes,15,12:00 a 17:59,12:00 a 17:59,Otros
96,2023,Febrero,15,Miercoles,2023,Enero,20,Jueves,Jalapa,Jalapa,Ignorada,Ignorado,80,60-100,80-100,80 y más,Ignorado,Alzamiento de bienes,15,12:00 a 17:59,12:00 a 17:59,Otros
97,2023,Febrero,16,Jueves,2023,Febrero,16,Viernes,Jalapa,Jalapa,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
98,2023,Febrero,16,Jueves,2023,Febrero,16,Viernes,Jalapa,Jalapa,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Injuria,10,06:00 a 11:59,00:00 a 11:59,Otros
99,2023,Febrero,16,Jueves,2023,Febrero,16,Viernes,Jalapa,Jalapa,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Injuria,10,06:00 a 11:59,00:00 a 11:59,Otros
100,2023,Marzo,17,Viernes,2023,Marzo,15,Sábado,Guatemala,Guatemala,13,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto,17,12:00 a 17:59,12:00 a 17:59,Hurto
101,2023,Marzo,17,Viernes,2023,Marzo,16,Sábado,Guatemala,Guatemala,10,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,17,12:00 a 17:59,12:00 a 17:59,Amenazas
102,2023,Marzo,17,Viernes,2023,Marzo,16,Sábado,Guatemala,Guatemala,18,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,17,12:00 a 17:59,12:00 a 17:59,Hurto agravado
103,2023,Marzo,17,Viernes,2023,Marzo,17,Sábado,Guatemala,Guatemala,2,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,17,12:00 a 17:59,12:00 a 17:59,Hurto agravado
104,2023,Marzo,17,Viernes,2023,Marzo,17,Sábado,Guatemala,Guatemala,2,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,17,12:00 a 17:59,12:00 a 17:59,Hurto agravado
105,2023,Febrero,22,Miercoles,2023,Enero,27,Jueves,Guatemala,Guatemala,7,Hombre,37,35-39,35-39,35 - 39,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
106,2023,Febrero,22,Miercoles,2023,Enero,27,Jueves,Guatemala,Guatemala,7,Hombre,37,35-39,35-39,35 - 39,Ignorado,Otros,9,06:00 a 11:59,00:00 a 11:59,Otros
107,2023,Enero,17,Martes,2014,Enero,27,Miercoles,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Uso de documentos falsificados,12,12:00 a 17:59,12:00 a 17:59,Otros
108,2023,Enero,18,Miercoles,2023,Enero,17,Jueves,Quetzaltenango,Coatepeque,Ignorada,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Lesiones culposas,8,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
109,2023,Enero,18,Miercoles,2023,Enero,17,Jueves,Quetzaltenango,Coatepeque,Ignorada,Mujer,29,25-29,25-29,25 - 29,Casado,Lesiones culposas,8,06:00 a 11:59,00:00 a 11:59,Lesiones culposas
110,2023,Enero,18,Miercoles,2023,Enero,13,Jueves,Quetzaltenango,Coatepeque,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Amenazas,9,06:00 a 11:59,00:00 a 11:59,Amenazas
111,2023,Enero,13,Viernes,2023,Enero,12,Sábado,Guatemala,Guatemala,9,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,13,12:00 a 17:59,12:00 a 17:59,Hurto agravado
112,2023,Enero,13,Viernes,2023,Enero,12,Sábado,Guatemala,Guatemala,11,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Hurto agravado,13,12:00 a 17:59,12:00 a 17:59,Hurto agravado
113,2023,Marzo,29,Miercoles,2023,Marzo,29,Jueves,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Extorsión,15,12:00 a 17:59,12:00 a 17:59,Extorsión
114,2023,Marzo,29,Miercoles,2023,Marzo,25,Jueves,Guatemala,Guatemala,7,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Extorsión,16,12:00 a 17:59,12:00 a 17:59,Extorsión
115,2023,Marzo,29,Miercoles,2023,Marzo,10,Jueves,Guatemala,Guatemala,Ignorada,Ignorado,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Extorsión,16,12:00 a 17:59,12:00 a 17:59,Extorsión
116,2023,Enero,20,Viernes,2023,Enero,17,Sábado,Guatemala,Mixco,Ignorada,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Robo,10,06:00 a 11:59,00:00 a 11:59,Robo
