núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,área_geo_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
28,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,Villa Canales,Ignorada,Hombre,21,20-24,20-24,20 - 24,Otras causas,Otras causas
29,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,27,25-29,25-29,25 - 29,Otras causas,Otras causas
30,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Guatemala,San Juan Sacatepéquez,Ignorada,Hombre,18,15-19,15-19,15 - 19,Portación ilegal arma de fuego,Otras causas
31,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Villa Nueva,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
32,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Urbano,Guatemala,Mixco,Ignorada,Hombre,19,15-19,15-19,15 - 19,Otras causas,Otras causas
33,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Urbano,Jutiapa,Jutiapa,Ignorada,Hombre,20,20-24,20-24,20 - 24,Tenencia de droga,Otras causas
34,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Jutiapa,Comapa,Ignorada,Hombre,22,20-24,20-24,20 - 24,Agresión,Otras causas
35,2023,Enero,1,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Jutiapa,Asunción Mita,Ignorada,Hombre,19,15-19,15-19,15 - 19,Orden de captura,Otras causas
36,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,Jutiapa,Santa Catarina Mita,Ignorada,Hombre,53,50-54,50-54,50 - 54,Otras causas,Otras causas
37,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,Jutiapa,El Progreso,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
38,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Jutiapa,El Progreso,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Ebriedad y escándalo,Otras causas
39,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Jutiapa,Jutiapa,Ignorada,Mujer,32,30-34,30-34,30 - 34,Riña,Otras causas
40,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Jutiapa,Jutiapa,Ignorada,Mujer,33,30-34,30-34,30 - 34,Riña,Otras causas
41,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,Chiquimula,Chiquimula,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
42,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Urbano,Chiquimula,Esquipulas,Ignorada,Hombre,47,45-49,45-49,45 - 49,Otras causas,Otras causas
43,2023,Enero,1,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Zacapa,Teculután,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
44,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Zacapa,Teculután,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
45,2023,Enero,1,Domingo,12,12:00 a 17:59,12:00 a 17:59,Rural,Zacapa,Cabañas,Ignorada,Hombre,25,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
46,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,30,30-34,30-34,30 - 34,Portación ilegal arma de fuego,Otras causas
47,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,Masagua,Ignorada,Hombre,28,25-29,25-29,25 - 29,Portación ilegal arma de fuego,Otras causas
48,2023,Enero,1,Domingo,1,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,Tiquisate,Ignorada,Hombre,23,20-24,20-24,20 - 24,Robo de motocicletas,Contra el patrimonio
49,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Palín,Ignorada,Hombre,48,45-49,45-49,45 - 49,Otras causas,Otras causas
50,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,41,40-44,40-44,40 - 44,Otras causas,Otras causas
51,2023,Enero,1,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
52,2023,Enero,1,Domingo,9,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
53,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,San José,Ignorada,Hombre,24,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
54,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Escuintla,San José,Ignorada,Mujer,41,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
55,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Escuintla,Siquinalá,Ignorada,Hombre,42,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
56,2023,Enero,1,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,Escuintla,Palín,Ignorada,Hombre,24,20-24,20-24,20 - 24,Otras causas,Otras causas
57,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,San José,Ignorada,Hombre,23,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
58,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Urbano,Escuintla,Escuintla,Ignorada,Hombre,38,35-39,35-39,35 - 39,Otras causas,Otras causas
59,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Rural,Escuintla,Escuintla,Ignorada,Hombre,34,30-34,30-34,30 - 34,Otras causas,Otras causas
60,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Urbano,Escuintla,Nueva Concepción,Ignorada,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
61,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Oratorio,Ignorada,Hombre,30,30-34,30-34,30 - 34,Lesiones por arma de fuego,Lesiones
62,2023,Enero,1,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Cuilapa,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
63,2023,Enero,1,Domingo,7,06:00 a 11:59,00:00 a 11:59,Rural,Santa Rosa,Cuilapa,Ignorada,Hombre,34,30-34,30-34,30 - 34,Otras causas,Otras causas
64,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Barberena,Ignorada,Hombre,33,30-34,30-34,30 - 34,Otras causas,Otras causas
65,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Barberena,Ignorada,Hombre,31,30-34,30-34,30 - 34,Otras causas,Otras causas
66,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Guazacapán,Ignorada,Hombre,33,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
67,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Santa Rosa,Barberena,Ignorada,Hombre,24,20-24,20-24,20 - 24,Otras causas,Otras causas
68,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,Santa Rosa,Cuilapa,Ignorada,Hombre,26,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
69,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,Santa Rosa,Chiquimulilla,Ignorada,Hombre,58,55-59,55-59,55 - 59,Ebriedad y escándalo,Otras causas
70,2023,Enero,1,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,Suchitepéquez,Samayac,Ignorada,Hombre,28,25-29,25-29,25 - 29,Portación ilegal arma de fuego,Otras causas
71,2023,Enero,1,Domingo,12,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,Patulul,Ignorada,Hombre,44,40-44,40-44,40 - 44,Otras causas,Otras causas
72,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,San Miguel Panán,Ignorada,Hombre,24,20-24,20-24,20 - 24,Agresión,Otras causas
73,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,Patulul,Ignorada,Hombre,51,50-54,50-54,50 - 54,Otras causas,Otras causas
74,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,Patulul,Ignorada,Hombre,40,40-44,40-44,40 - 44,Otras causas,Otras causas
75,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Suchitepéquez,San Miguel Panán,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
76,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Suchitepéquez,Mazatenango,Ignorada,Hombre,26,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
77,2023,Enero,1,Domingo,8,06:00 a 11:59,00:00 a 11:59,Urbano,Retalhuleu,Retalhuleu,Ignorada,Hombre,36,35-39,35-39,35 - 39,Orden de captura,Otras causas
78,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,San Andrés Villa Seca,Ignorada,Hombre,23,20-24,20-24,20 - 24,Otras causas,Otras causas
79,2023,Enero,1,Domingo,1,00:00 a 05:59,00:00 a 11:59,Rural,Retalhuleu,San Andrés Villa Seca,Ignorada,Hombre,41,40-44,40-44,40 - 44,Otras causas,Otras causas
80,2023,Enero,1,Domingo,1,00:00 a 05:59,00:00 a 11:59,Urbano,Retalhuleu,Retalhuleu,Ignorada,Hombre,18,15-19,15-19,15 - 19,Otras causas,Otras causas
81,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Retalhuleu,Retalhuleu,Ignorada,Hombre,22,20-24,20-24,20 - 24,Otras causas,Otras causas
82,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Retalhuleu,Champerico,Ignorada,Hombre,37,35-39,35-39,35 - 39,Otras causas,Otras causas
83,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Retalhuleu,Retalhuleu,Ignorada,Hombre,34,30-34,30-34,30 - 34,Otras causas,Otras causas
84,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Retalhuleu,Retalhuleu,Ignorada,Hombre,17,15-19,15-19,15 - 19,Otras causas,Otras causas
85,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Quetzaltenango,Génova,Ignorada,Hombre,40,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
86,2023,Enero,1,Domingo,10,06:00 a 11:59,00:00 a 11:59,Rural,Quetzaltenango,Salcajá,Ignorada,Hombre,38,35-39,35-39,35 - 39,Otras causas,Otras causas
87,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Quetzaltenango,Quetzaltenango,Ignorada,Hombre,46,45-49,45-49,45 - 49,Otras causas,Otras causas
88,2023,Enero,1,Domingo,3,00:00 a 05:59,00:00 a 11:59,Urbano,Quetzaltenango,Coatepeque,Ignorada,Hombre,22,20-24,20-24,20 - 24,Riña,Otras causas
89,2023,Enero,1,Domingo,3,00:00 a 05:59,00:00 a 11:59,Urbano,Quetzaltenango,Coatepeque,Ignorada,Hombre,32,30-34,30-34,30 - 34,Riña,Otras causas
90,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Quetzaltenango,San Juan Ostuncalco,Ignorada,Hombre,37,35-39,35-39,35 - 39,Otras causas,Otras causas
91,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Quetzaltenango,La Esperanza,Ignorada,Hombre,48,45-49,45-49,45 - 49,Otras causas,Otras causas
92,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,Catarina,Ignorada,Mujer,48,45-49,45-49,45 - 49,Otras causas,Otras causas
93,2023,Enero,1,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,Nuevo Progreso,Ignorada,Hombre,24,20-24,20-24,20 - 24,Agresión,Otras causas
94,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,28,25-29,25-29,25 - 29,Otras causas,Otras causas
95,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,El Quetzal,Ignorada,Hombre,23,20-24,20-24,20 - 24,Otras causas,Otras causas
96,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,El Quetzal,Ignorada,Hombre,35,35-39,35-39,35 - 39,Otras causas,Otras causas
97,2023,Enero,1,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,San Marcos,San Marcos,Ignorada,Hombre,31,30-34,30-34,30 - 34,Otros robos y hurtos,Contra el patrimonio
98,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,24,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
99,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,Comitancillo,Ignorada,Hombre,72,60 y más,70-74,70 - 74,Allanamiento de morada,Otras causas
100,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,20,20-24,20-24,20 - 24,Otras causas,Otras causas
101,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,42,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
102,2023,Enero,1,Domingo,14,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,25,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
103,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,San Marcos,San Pedro Sacatepéquez,Ignorada,Mujer,33,30-34,30-34,30 - 34,Ebriedad y escándalo,Otras causas
104,2023,Enero,1,Domingo,9,06:00 a 11:59,00:00 a 11:59,Rural,San Marcos,Malacatán,Ignorada,Hombre,29,25-29,25-29,25 - 29,Otras causas,Otras causas
105,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,22,20-24,20-24,20 - 24,Allanamiento de morada,Otras causas
106,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,San Marcos,La Blanca,Ignorada,Hombre,18,15-19,15-19,15 - 19,Otras causas,Otras causas
107,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Huehuetenango,Santa Eulalia,Ignorada,Hombre,34,30-34,30-34,30 - 34,Agresión,Otras causas
108,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Urbano,Huehuetenango,Huehuetenango,Ignorada,Hombre,28,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
109,2023,Enero,1,Domingo,1,00:00 a 05:59,00:00 a 11:59,Rural,Huehuetenango,Santa Ana Huista,Ignorada,Hombre,33,30-34,30-34,30 - 34,Agresión,Otras causas
110,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Huehuetenango,Aguacatán,Ignorada,Hombre,45,45-49,45-49,45 - 49,Ebriedad y escándalo,Otras causas
111,2023,Enero,1,Domingo,11,06:00 a 11:59,00:00 a 11:59,Rural,Huehuetenango,Chiantla,Ignorada,Hombre,54,50-54,50-54,50 - 54,Ebriedad y escándalo,Otras causas
112,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,Huehuetenango,San Rafael Petzal,Ignorada,Hombre,25,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
113,2023,Enero,1,Domingo,13,12:00 a 17:59,12:00 a 17:59,Rural,Huehuetenango,San Pedro Necta,Ignorada,Hombre,60,60 y más,60-64,60 - 64,Ebriedad y escándalo,Otras causas
114,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Colotenango,Ignorada,Hombre,23,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
115,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Huehuetenango,Chiantla,Ignorada,Hombre,40,40-44,40-44,40 - 44,Otras causas,Otras causas
116,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Tactic,Ignorada,Hombre,16,15-19,15-19,15 - 19,Robo a peatones,Contra el patrimonio
117,2023,Enero,1,Domingo,21,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Fray Bartolomé de las Casas,Ignorada,Hombre,41,40-44,40-44,40 - 44,Otras causas,Otras causas
118,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Tactic,Ignorada,Hombre,15,15-19,15-19,15 - 19,Robo a peatones,Contra el patrimonio
119,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,San Pedro Carchá,Ignorada,Hombre,29,25-29,25-29,25 - 29,Portación ilegal arma de fuego,Otras causas
120,2023,Enero,1,Domingo,1,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,Chisec,Ignorada,Hombre,32,30-34,30-34,30 - 34,Otras causas,Otras causas
121,2023,Enero,1,Domingo,15,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,Fray Bartolomé de las Casas,Ignorada,Hombre,21,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
122,2023,Enero,1,Domingo,15,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,Cobán,Ignorada,Hombre,27,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
123,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,San Pedro Carchá,Ignorada,Mujer,26,25-29,25-29,25 - 29,Riña,Otras causas
124,2023,Enero,1,Domingo,22,18:00 a 23:59,18:00 a 23:59,Urbano,Alta Verapaz,Cobán,Ignorada,Hombre,16,15-19,15-19,15 - 19,Otras causas,Otras causas
125,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Alta Verapaz,San Pedro Carchá,Ignorada,Mujer,36,35-39,35-39,35 - 39,Riña,Otras causas
126,2023,Enero,1,Domingo,19,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,San Pedro Carchá,Ignorada,Hombre,24,20-24,20-24,20 - 24,Ebriedad y escándalo,Otras causas
127,2023,Enero,1,Domingo,20,18:00 a 23:59,18:00 a 23:59,Rural,Alta Verapaz,Santa Catarina La Tinta,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Ebriedad y escándalo,Otras causas
128,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Alta Verapaz,Senahú,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Ebriedad y escándalo,Otras causas
129,2023,Enero,1,Domingo,3,00:00 a 05:59,00:00 a 11:59,Rural,El Progreso,Sanarate,Ignorada,Hombre,65,60 y más,65-69,65 - 69,Ebriedad y escándalo,Otras causas
130,2023,Enero,1,Domingo,6,06:00 a 11:59,00:00 a 11:59,Rural,Izabal,El Estor,Ignorada,Hombre,44,40-44,40-44,40 - 44,Disparos,Otras causas
131,2023,Enero,1,Domingo,2,00:00 a 05:59,00:00 a 11:59,Rural,Izabal,El Estor,Ignorada,Hombre,20,20-24,20-24,20 - 24,Homicidio por arma blanca,Homicidios
132,2023,Enero,1,Domingo,23,18:00 a 23:59,18:00 a 23:59,Rural,Izabal,Livingston,Ignorada,Hombre,42,40-44,40-44,40 - 44,Ebriedad y escándalo,Otras causas
133,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Izabal,El Estor,Ignorada,Hombre,25,25-29,25-29,25 - 29,Disparos,Otras causas
134,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Izabal,Livingston,Ignorada,Hombre,34,30-34,30-34,30 - 34,Otras causas,Otras causas
135,2023,Enero,1,Domingo,17,12:00 a 17:59,12:00 a 17:59,Rural,Izabal,Livingston,Ignorada,Hombre,16,15-19,15-19,15 - 19,Otras causas,Otras causas
136,2023,Enero,1,Domingo,5,00:00 a 05:59,00:00 a 11:59,Rural,Petén,La Libertad,Ignorada,Hombre,22,20-24,20-24,20 - 24,Portación ilegal arma de fuego,Otras causas
137,2023,Enero,1,Domingo,0,00:00 a 05:59,00:00 a 11:59,Rural,Petén,Flores,Ignorada,Hombre,26,25-29,25-29,25 - 29,Otras causas,Otras causas
138,2023,Enero,1,Domingo,8,06:00 a 11:59,00:00 a 11:59,Rural,Petén,Dolores,Ignorada,Hombre,25,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
139,2023,Enero,1,Domingo,15,12:00 a 17:59,12:00 a 17:59,Rural,Petén,Dolores,Ignorada,Hombre,28,25-29,25-29,25 - 29,Ebriedad y escándalo,Otras causas
140,2023,Enero,1,Domingo,16,12:00 a 17:59,12:00 a 17:59,Rural,Petén,Flores,Ignorada,Hombre,19,15-19,15-19,15 - 19,Otras causas,Otras causas
141,2023,Enero,1,Domingo,18,18:00 a 23:59,18:00 a 23:59,Rural,Petén,San Andrés,Ignorada,Hombre,33,30-34,30-34,30 - 34,Riña,Otras causas
