nombre,siglas,municipio_pcode,cobertura,descripcion
Asociación de Productores y Comercializadores de San José del Golfo,ASO-GT0104-C,GT0104,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San José del Golfo.
Cooperativa Integral de Producción Agrícola de Palencia R.L.,COOP-GT0105-A,GT0105,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Palencia.
Cooperativa Integral de Ahorro y Crédito de Palencia R.L.,COOP-GT0105-B,GT0105,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Palencia.
Asociación de Productores y Comercializadores de Palencia,ASO-GT0105-C,GT0105,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Palencia.
Cooperativa Integral de Producción Agrícola de Chinautla R.L.,COOP-GT0106-A,GT0106,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Chinautla.
Cooperativa Integral de Ahorro y Crédito de Chinautla R.L.,COOP-GT0106-B,GT0106,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Chinautla.
Asociación de Productores y Comercializadores de Chinautla,ASO-GT0106-C,GT0106,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Chinautla.
Cooperativa Integral de Producción Agrícola de San Pedro Ayampuc R.L.,COOP-GT0107-A,GT0107,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pedro Ayampuc.
Cooperativa Integral de Ahorro y Crédito de San Pedro Ayampuc R.L.,COOP-GT0107-B,GT0107,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pedro Ayampuc.
Asociación de Productores y Comercializadores de San Pedro Ayampuc,ASO-GT0107-C,GT0107,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pedro Ayampuc.
Cooperativa Integral de Producción Agrícola de Mixco R.L.,COOP-GT0108-A,GT0108,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Mixco.
Cooperativa Integral de Ahorro y Crédito de Mixco R.L.,COOP-GT0108-B,GT0108,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Mixco.
Asociación de Productores y Comercializadores de Mixco,ASO-GT0108-C,GT0108,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Mixco.
Cooperativa Integral de Producción Agrícola de San Pedro Sacatepéquez R.L.,COOP-GT0109-A,GT0109,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Pedro Sacatepéquez.
Cooperativa Integral de Ahorro y Crédito de San Pedro Sacatepéquez R.L.,COOP-GT0109-B,GT0109,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Pedro Sacatepéquez.
Asociación de Productores y Comercializadores de San Pedro Sacatepéquez,ASO-GT0109-C,GT0109,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Pedro Sacatepéquez.
Cooperativa Integral de Producción Agrícola de San Juan Sacatepéquez R.L.,COOP-GT0110-A,GT0110,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Juan Sacatepéquez.
Cooperativa Integral de Ahorro y Crédito de San Juan Sacatepéquez R.L.,COOP-GT0110-B,GT0110,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Juan Sacatepéquez.
Asociación de Productores y Comercializadores de San Juan Sacatepéquez,ASO-GT0110-C,GT0110,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Juan Sacatepéquez.
Cooperativa Integral de Producción Agrícola de San Raimundo R.L.,COOP-GT0111-A,GT0111,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Raimundo.
Cooperativa Integral de Ahorro y Crédito de San Raimundo R.L.,COOP-GT0111-B,GT0111,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Raimundo.
Asociación de Productores y Comercializadores de San Raimundo,ASO-GT0111-C,GT0111,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Raimundo.
Cooperativa Integral de Producción Agrícola de Chuarrancho R.L.,COOP-GT0112-A,GT0112,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Chuarrancho.
Cooperativa Integral de Ahorro y Crédito de Chuarrancho R.L.,COOP-GT0112-B,GT0112,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Chuarrancho.
Asociación de Productores y Comercializadores de Chuarrancho,ASO-GT0112-C,GT0112,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Chuarrancho.
Cooperativa Integral de Producción Agrícola de Fraijanes R.L.,COOP-GT0113-A,GT0113,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Fraijanes.
Cooperativa Integral de Ahorro y Crédito de Fraijanes R.L.,COOP-GT0113-B,GT0113,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Fraijanes.
Asociación de Productores y Comercializadores de Fraijanes,ASO-GT0113-C,GT0113,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Fraijanes.
Cooperativa Integral de Producción Agrícola de Amatitlán R.L.,COOP-GT0114-A,GT0114,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Amatitlán.
Cooperativa Integral de Ahorro y Crédito de Amatitlán R.L.,COOP-GT0114-B,GT0114,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Amatitlán.
Asociación de Productores y Comercializadores de Amatitlán,ASO-GT0114-C,GT0114,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Amatitlán.
Cooperativa Integral de Producción Agrícola de Villa Nueva R.L.,COOP-GT0115-A,GT0115,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Villa Nueva.
Cooperativa Integral de Ahorro y Crédito de Villa Nueva R.L.,COOP-GT0115-B,GT0115,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Villa Nueva.
Asociación de Productores y Comercializadores de Villa Nueva,ASO-GT0115-C,GT0115,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Villa Nueva.
Cooperativa Integral de Producción Agrícola de Villa Canales R.L.,COOP-GT0116-A,GT0116,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Villa Canales.
Cooperativa Integral de Ahorro y Crédito de Villa Canales R.L.,COOP-GT0116-B,GT0116,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Villa Canales.
Asociación de Productores y Comercializadores de Villa Canales,ASO-GT0116-C,GT0116,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Villa Canales.
Cooperativa Integral de Producción Agrícola de Petapa R.L.,COOP-GT0117-A,GT0117,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Petapa.
Cooperativa Integral de Ahorro y Crédito de Petapa R.L.,COOP-GT0117-B,GT0117,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Petapa.
Asociación de Productores y Comercializadores de Petapa,ASO-GT0117-C,GT0117,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Petapa.
Cooperativa Integral de Producción Agrícola de Guastatoya R.L.,COOP-GT0201-A,GT0201,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Guastatoya.
Cooperativa Integral de Ahorro y Crédito de Guastatoya R.L.,COOP-GT0201-B,GT0201,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Guastatoya.
Asociación de Productores y Comercializadores de Guastatoya,ASO-GT0201-C,GT0201,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Guastatoya.
Cooperativa Integral de Producción Agrícola de Morazán R.L.,COOP-GT0202-A,GT0202,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Morazán.
Cooperativa Integral de Ahorro y Crédito de Morazán R.L.,COOP-GT0202-B,GT0202,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Morazán.
Asociación de Productores y Comercializadores de Morazán,ASO-GT0202-C,GT0202,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Morazán.
Cooperativa Integral de Producción Agrícola de San Agustín Acasaguastlán R.L.,COOP-GT0203-A,GT0203,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Agustín Acasaguastlán.
Cooperativa Integral de Ahorro y Crédito de San Agustín Acasaguastlán R.L.,COOP-GT0203-B,GT0203,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Agustín Acasaguastlán.
Asociación de Productores y Comercializadores de San Agustín Acasaguastlán,ASO-GT0203-C,GT0203,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Agustín Acasaguastlán.
Cooperativa Integral de Producción Agrícola de San Cristóbal Acasaguastlán R.L.,COOP-GT0204-A,GT0204,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Cristóbal Acasaguastlán.
Cooperativa Integral de Ahorro y Crédito de San Cristóbal Acasaguastlán R.L.,COOP-GT0204-B,GT0204,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Cristóbal Acasaguastlán.
Asociación de Productores y Comercializadores de San Cristóbal Acasaguastlán,ASO-GT0204-C,GT0204,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Cristóbal Acasaguastlán.
Cooperativa Integral de Producción Agrícola de El Jícaro R.L.,COOP-GT0205-A,GT0205,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de El Jícaro.
Cooperativa Integral de Ahorro y Crédito de El Jícaro R.L.,COOP-GT0205-B,GT0205,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de El Jícaro.
Asociación de Productores y Comercializadores de El Jícaro,ASO-GT0205-C,GT0205,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de El Jícaro.
Cooperativa Integral de Producción Agrícola de Sanarate R.L.,COOP-GT0206-A,GT0206,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sanarate.
Cooperativa Integral de Ahorro y Crédito de Sanarate R.L.,COOP-GT0206-B,GT0206,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sanarate.
Asociación de Productores y Comercializadores de Sanarate,ASO-GT0206-C,GT0206,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sanarate.
Cooperativa Integral de Producción Agrícola de Sansare R.L.,COOP-GT0207-A,GT0207,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sansare.
Cooperativa Integral de Ahorro y Crédito de Sansare R.L.,COOP-GT0207-B,GT0207,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sansare.
Asociación de Productores y Comercializadores de Sansare,ASO-GT0207-C,GT0207,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sansare.
Cooperativa Integral de Producción Agrícola de San Antonio La Paz R.L.,COOP-GT0208-A,GT0208,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Antonio La Paz.
Cooperativa Integral de Ahorro y Crédito de San Antonio La Paz R.L.,COOP-GT0208-B,GT0208,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Antonio La Paz.
Asociación de Productores y Comercializadores de San Antonio La Paz,ASO-GT0208-C,GT0208,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Antonio La Paz.
Cooperativa Integral de Producción Agrícola de Antigua Guatemala R.L.,COOP-GT0301-A,GT0301,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Antigua Guatemala.
Cooperativa Integral de Ahorro y Crédito de Antigua Guatemala R.L.,COOP-GT0301-B,GT0301,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Antigua Guatemala.
Asociación de Productores y Comercializadores de Antigua Guatemala,ASO-GT0301-C,GT0301,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Antigua Guatemala.
Cooperativa Integral de Producción Agrícola de Jocotenango R.L.,COOP-GT0302-A,GT0302,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Jocotenango.
Cooperativa Integral de Ahorro y Crédito de Jocotenango R.L.,COOP-GT0302-B,GT0302,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Jocotenango.
Asociación de Productores y Comercializadores de Jocotenango,ASO-GT0302-C,GT0302,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Jocotenango.
Cooperativa Integral de Producción Agrícola de Pastores R.L.,COOP-GT0303-A,GT0303,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Pastores.
Cooperativa Integral de Ahorro y Crédito de Pastores R.L.,COOP-GT0303-B,GT0303,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Pastores.
Asociación de Productores y Comercializadores de Pastores,ASO-GT0303-C,GT0303,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Pastores.
Cooperativa Integral de Producción Agrícola de Sumpango R.L.,COOP-GT0304-A,GT0304,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Sumpango.
Cooperativa Integral de Ahorro y Crédito de Sumpango R.L.,COOP-GT0304-B,GT0304,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Sumpango.
Asociación de Productores y Comercializadores de Sumpango,ASO-GT0304-C,GT0304,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Sumpango.
Cooperativa Integral de Producción Agrícola de Santo Domingo Xenacoj R.L.,COOP-GT0305-A,GT0305,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santo Domingo Xenacoj.
Cooperativa Integral de Ahorro y Crédito de Santo Domingo Xenacoj R.L.,COOP-GT0305-B,GT0305,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santo Domingo Xenacoj.
Asociación de Productores y Comercializadores de Santo Domingo Xenacoj,ASO-GT0305-C,GT0305,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santo Domingo Xenacoj.
Cooperativa Integral de Producción Agrícola de Santiago Sacatepéquez R.L.,COOP-GT0306-A,GT0306,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santiago Sacatepéquez.
Cooperativa Integral de Ahorro y Crédito de Santiago Sacatepéquez R.L.,COOP-GT0306-B,GT0306,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santiago Sacatepéquez.
Asociación de Productores y Comercializadores de Santiago Sacatepéquez,ASO-GT0306-C,GT0306,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santiago Sacatepéquez.
Cooperativa Integral de Producción Agrícola de San Bartolomé Milpas Altas R.L.,COOP-GT0307-A,GT0307,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Bartolomé Milpas Altas.
Cooperativa Integral de Ahorro y Crédito de San Bartolomé Milpas Altas R.L.,COOP-GT0307-B,GT0307,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Bartolomé Milpas Altas.
Asociación de Productores y Comercializadores de San Bartolomé Milpas Altas,ASO-GT0307-C,GT0307,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Bartolomé Milpas Altas.
Cooperativa Integral de Producción Agrícola de San Lucas Sacatepéquez R.L.,COOP-GT0308-A,GT0308,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Lucas Sacatepéquez.
Cooperativa Integral de Ahorro y Crédito de San Lucas Sacatepéquez R.L.,COOP-GT0308-B,GT0308,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Lucas Sacatepéquez.
Asociación de Productores y Comercializadores de San Lucas Sacatepéquez,ASO-GT0308-C,GT0308,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Lucas Sacatepéquez.
Cooperativa Integral de Producción Agrícola de Santa Lucía Milpas Altas R.L.,COOP-GT0309-A,GT0309,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Lucía Milpas Altas.
Cooperativa Integral de Ahorro y Crédito de Santa Lucía Milpas Altas R.L.,COOP-GT0309-B,GT0309,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Lucía Milpas Altas.
Asociación de Productores y Comercializadores de Santa Lucía Milpas Altas,ASO-GT0309-C,GT0309,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Lucía Milpas Altas.
Cooperativa Integral de Producción Agrícola de Magdalena Milpas Altas R.L.,COOP-GT0310-A,GT0310,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Magdalena Milpas Altas.
Cooperativa Integral de Ahorro y Crédito de Magdalena Milpas Altas R.L.,COOP-GT0310-B,GT0310,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Magdalena Milpas Altas.
Asociación de Productores y Comercializadores de Magdalena Milpas Altas,ASO-GT0310-C,GT0310,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Magdalena Milpas Altas.
Cooperativa Integral de Producción Agrícola de Santa María de Jesús R.L.,COOP-GT0311-A,GT0311,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa María de Jesús.
Cooperativa Integral de Ahorro y Crédito de Santa María de Jesús R.L.,COOP-GT0311-B,GT0311,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa María de Jesús.
Asociación de Productores y Comercializadores de Santa María de Jesús,ASO-GT0311-C,GT0311,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa María de Jesús.
Cooperativa Integral de Producción Agrícola de Ciudad Vieja R.L.,COOP-GT0312-A,GT0312,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Ciudad Vieja.
Cooperativa Integral de Ahorro y Crédito de Ciudad Vieja R.L.,COOP-GT0312-B,GT0312,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Ciudad Vieja.
Asociación de Productores y Comercializadores de Ciudad Vieja,ASO-GT0312-C,GT0312,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Ciudad Vieja.
Cooperativa Integral de Producción Agrícola de San Miguel Dueñas R.L.,COOP-GT0313-A,GT0313,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Miguel Dueñas.
Cooperativa Integral de Ahorro y Crédito de San Miguel Dueñas R.L.,COOP-GT0313-B,GT0313,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Miguel Dueñas.
Asociación de Productores y Comercializadores de San Miguel Dueñas,ASO-GT0313-C,GT0313,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Miguel Dueñas.
Cooperativa Integral de Producción Agrícola de Alotenango R.L.,COOP-GT0314-A,GT0314,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Alotenango.
Cooperativa Integral de Ahorro y Crédito de Alotenango R.L.,COOP-GT0314-B,GT0314,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Alotenango.
Asociación de Productores y Comercializadores de Alotenango,ASO-GT0314-C,GT0314,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Alotenango.
Cooperativa Integral de Producción Agrícola de San Antonio Aguas Calientes R.L.,COOP-GT0315-A,GT0315,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Antonio Aguas Calientes.
Cooperativa Integral de Ahorro y Crédito de San Antonio Aguas Calientes R.L.,COOP-GT0315-B,GT0315,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Antonio Aguas Calientes.
Asociación de Productores y Comercializadores de San Antonio Aguas Calientes,ASO-GT0315-C,GT0315,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Antonio Aguas Calientes.
Cooperativa Integral de Producción Agrícola de Santa Catarina Barahona R.L.,COOP-GT0316-A,GT0316,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Catarina Barahona.
Cooperativa Integral de Ahorro y Crédito de Santa Catarina Barahona R.L.,COOP-GT0316-B,GT0316,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Catarina Barahona.
Asociación de Productores y Comercializadores de Santa Catarina Barahona,ASO-GT0316-C,GT0316,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Catarina Barahona.
Cooperativa Integral de Producción Agrícola de Chimaltenango R.L.,COOP-GT0401-A,GT0401,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Chimaltenango.
Cooperativa Integral de Ahorro y Crédito de Chimaltenango R.L.,COOP-GT0401-B,GT0401,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Chimaltenango.
Asociación de Productores y Comercializadores de Chimaltenango,ASO-GT0401-C,GT0401,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Chimaltenango.
Cooperativa Integral de Producción Agrícola de San José Poaquil R.L.,COOP-GT0402-A,GT0402,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San José Poaquil.
Cooperativa Integral de Ahorro y Crédito de San José Poaquil R.L.,COOP-GT0402-B,GT0402,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San José Poaquil.
Asociación de Productores y Comercializadores de San José Poaquil,ASO-GT0402-C,GT0402,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San José Poaquil.
Cooperativa Integral de Producción Agrícola de San Martín Jilotepeque R.L.,COOP-GT0403-A,GT0403,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de San Martín Jilotepeque.
Cooperativa Integral de Ahorro y Crédito de San Martín Jilotepeque R.L.,COOP-GT0403-B,GT0403,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de San Martín Jilotepeque.
Asociación de Productores y Comercializadores de San Martín Jilotepeque,ASO-GT0403-C,GT0403,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de San Martín Jilotepeque.
Cooperativa Integral de Producción Agrícola de Comalapa R.L.,COOP-GT0404-A,GT0404,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Comalapa.
Cooperativa Integral de Ahorro y Crédito de Comalapa R.L.,COOP-GT0404-B,GT0404,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Comalapa.
Asociación de Productores y Comercializadores de Comalapa,ASO-GT0404-C,GT0404,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Comalapa.
Cooperativa Integral de Producción Agrícola de Santa Apolonia R.L.,COOP-GT0405-A,GT0405,Regional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Santa Apolonia.
Cooperativa Integral de Ahorro y Crédito de Santa Apolonia R.L.,COOP-GT0405-B,GT0405,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Santa Apolonia.
Asociación de Productores y Comercializadores de Santa Apolonia,ASO-GT0405-C,GT0405,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Santa Apolonia.
Cooperativa Integral de Producción Agrícola de Tecpán Guatemala R.L.,COOP-GT0406-A,GT0406,Nacional,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Tecpán Guatemala.
Cooperativa Integral de Ahorro y Crédito de Tecpán Guatemala R.L.,COOP-GT0406-B,GT0406,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Tecpán Guatemala.
Asociación de Productores y Comercializadores de Tecpán Guatemala,ASO-GT0406-C,GT0406,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Tecpán Guatemala.
Cooperativa Integral de Producción Agrícola de Patzún R.L.,COOP-GT0407-A,GT0407,Local,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Patzún.
Cooperativa Integral de Ahorro y Crédito de Patzún R.L.,COOP-GT0407-B,GT0407,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Patzún.
Asociación de Productores y Comercializadores de Patzún,ASO-GT0407-C,GT0407,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Patzún.
Cooperativa Integral de Producción Agrícola de Pochuta R.L.,COOP-GT0408-A,GT0408,Departamental,Entidad cooperativa dedicada al fomento agrícola y comercialización conjunta en el municipio de Pochuta.
Cooperativa Integral de Ahorro y Crédito de Pochuta R.L.,COOP-GT0408-B,GT0408,Local,Cooperativa comunitaria que facilita créditos y planes de ahorro a pequeños productores de Pochuta.
Asociación de Productores y Comercializadores de Pochuta,ASO-GT0408-C,GT0408,Departamental,Gremio local de productores dedicado al desarrollo socioeconómico de Pochuta.
