cooperativa_siglas,tipo_servicio,tasa_interes_anual,monto_maximo_quetzales,requisito_principal
COOP-GT0401-A,Microcrédito Agrícola,11.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0401-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0401-C,Crédito Artesanal,16.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0402-A,Financiamiento de Equipo,8.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0402-B,Ahorro Plazo Fijo,7.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0402-C,Crédito Artesanal,8.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0403-A,Microcrédito Agrícola,16.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0403-B,Remesas Familiares,8.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0403-C,Crédito Artesanal,8.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0404-A,Financiamiento de Equipo,13.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0404-B,Ahorro Plazo Fijo,15.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0404-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0405-A,Microcrédito Agrícola,14.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0405-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0405-C,Crédito Artesanal,9.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0406-A,Financiamiento de Equipo,12.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0406-B,Ahorro Plazo Fijo,15.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0406-C,Crédito Artesanal,17.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0407-A,Microcrédito Agrícola,17.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0407-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0407-C,Crédito Artesanal,6.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0408-A,Financiamiento de Equipo,15.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0408-B,Ahorro Plazo Fijo,17.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0408-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0409-A,Microcrédito Agrícola,17.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0409-B,Remesas Familiares,8.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0409-C,Crédito Artesanal,13.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0410-A,Financiamiento de Equipo,14.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0410-B,Ahorro Plazo Fijo,9.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0410-C,Crédito Artesanal,16.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0411-A,Microcrédito Agrícola,16.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0411-B,Remesas Familiares,15.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0411-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0412-A,Financiamiento de Equipo,13.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0412-B,Ahorro Plazo Fijo,14.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0412-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0413-A,Microcrédito Agrícola,12.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0413-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0413-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0414-A,Financiamiento de Equipo,6.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0414-B,Ahorro Plazo Fijo,17.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0414-C,Crédito Artesanal,6.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0415-A,Microcrédito Agrícola,15.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0415-B,Remesas Familiares,15.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0415-C,Crédito Artesanal,16.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0416-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0416-B,Ahorro Plazo Fijo,10.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0416-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0501-A,Microcrédito Agrícola,14.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0501-B,Remesas Familiares,18.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0501-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0502-A,Financiamiento de Equipo,15.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0502-B,Ahorro Plazo Fijo,10.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0502-C,Crédito Artesanal,6.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0503-A,Microcrédito Agrícola,15.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0503-B,Remesas Familiares,15.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0503-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0504-A,Financiamiento de Equipo,11.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0504-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0504-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0505-A,Microcrédito Agrícola,18.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0505-B,Remesas Familiares,11.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0505-C,Crédito Artesanal,8.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0506-A,Financiamiento de Equipo,13.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0506-B,Ahorro Plazo Fijo,18.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0506-C,Crédito Artesanal,9.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0507-A,Microcrédito Agrícola,17.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0507-B,Remesas Familiares,9.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0507-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0508-A,Financiamiento de Equipo,18.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0508-B,Ahorro Plazo Fijo,6.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0508-C,Crédito Artesanal,13.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0509-A,Microcrédito Agrícola,13.00,50000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0509-B,Remesas Familiares,13.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0509-C,Crédito Artesanal,12.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0510-A,Financiamiento de Equipo,13.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0510-B,Ahorro Plazo Fijo,8.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0510-C,Crédito Artesanal,6.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0511-A,Microcrédito Agrícola,18.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0511-B,Remesas Familiares,12.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0511-C,Crédito Artesanal,14.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0512-A,Financiamiento de Equipo,7.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0512-B,Ahorro Plazo Fijo,12.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0512-C,Crédito Artesanal,11.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0513-A,Microcrédito Agrícola,10.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0513-B,Remesas Familiares,10.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0513-C,Crédito Artesanal,13.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0514-A,Financiamiento de Equipo,17.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0514-B,Ahorro Plazo Fijo,14.00,50000.00,Monto de apertura mínimo de Q500.
ASO-GT0514-C,Crédito Artesanal,16.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0601-A,Microcrédito Agrícola,11.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0601-B,Remesas Familiares,16.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0601-C,Crédito Artesanal,7.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0602-A,Financiamiento de Equipo,12.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0602-B,Ahorro Plazo Fijo,14.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0602-C,Crédito Artesanal,16.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0603-A,Microcrédito Agrícola,11.00,25000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0603-B,Remesas Familiares,17.00,50000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0603-C,Crédito Artesanal,10.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0604-A,Financiamiento de Equipo,6.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0604-B,Ahorro Plazo Fijo,15.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0604-C,Crédito Artesanal,6.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0605-A,Microcrédito Agrícola,15.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0605-B,Remesas Familiares,17.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0605-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0606-A,Financiamiento de Equipo,12.00,25000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0606-B,Ahorro Plazo Fijo,7.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0606-C,Crédito Artesanal,10.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0607-A,Microcrédito Agrícola,13.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0607-B,Remesas Familiares,16.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0607-C,Crédito Artesanal,10.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0608-A,Financiamiento de Equipo,17.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0608-B,Ahorro Plazo Fijo,10.00,25000.00,Monto de apertura mínimo de Q500.
ASO-GT0608-C,Crédito Artesanal,18.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0609-A,Microcrédito Agrícola,10.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0609-B,Remesas Familiares,12.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0609-C,Crédito Artesanal,11.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0610-A,Financiamiento de Equipo,10.00,50000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0610-B,Ahorro Plazo Fijo,8.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0610-C,Crédito Artesanal,7.00,100000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0611-A,Microcrédito Agrícola,9.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0611-B,Remesas Familiares,8.00,100000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0611-C,Crédito Artesanal,7.00,25000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0612-A,Financiamiento de Equipo,14.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0612-B,Ahorro Plazo Fijo,9.00,10000.00,Monto de apertura mínimo de Q500.
ASO-GT0612-C,Crédito Artesanal,13.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0613-A,Microcrédito Agrícola,7.00,10000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0613-B,Remesas Familiares,7.00,10000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0613-C,Crédito Artesanal,15.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0614-A,Financiamiento de Equipo,18.00,100000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0614-B,Ahorro Plazo Fijo,6.00,100000.00,Monto de apertura mínimo de Q500.
ASO-GT0614-C,Crédito Artesanal,8.00,10000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0700-A,Microcrédito Agrícola,6.00,100000.00,Garantía de cosecha futura o aval de cooperativista.
COOP-GT0700-B,Remesas Familiares,10.00,25000.00,Cuenta activa MICOOPE y documento de identidad (DPI).
ASO-GT0700-C,Crédito Artesanal,17.00,50000.00,Presentación de plan de producción y muestras de tejidos.
COOP-GT0701-A,Financiamiento de Equipo,12.00,10000.00,Cotización formal de maquinaria agrícola o herramientas.
COOP-GT0701-B,Ahorro Plazo Fijo,14.00,100000.00,Monto de apertura mínimo de Q500.
