nombre,origen,descripcion
Abono Orgánico de San Pedro Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Pedro Sacatepéquez.
Semilla de Maíz de San Juan Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan Sacatepéquez.
Semilla de Frijol de San Juan Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan Sacatepéquez.
Abono Orgánico de San Juan Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan Sacatepéquez.
Semilla de Maíz de San Raimundo,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Raimundo.
Semilla de Frijol de San Raimundo,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Raimundo.
Abono Orgánico de San Raimundo,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Raimundo.
Semilla de Maíz de Chuarrancho,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chuarrancho.
Semilla de Frijol de Chuarrancho,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chuarrancho.
Abono Orgánico de Chuarrancho,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chuarrancho.
Semilla de Maíz de Fraijanes,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Fraijanes.
Semilla de Frijol de Fraijanes,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Fraijanes.
Abono Orgánico de Fraijanes,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Fraijanes.
Semilla de Maíz de Amatitlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Amatitlán.
Semilla de Frijol de Amatitlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Amatitlán.
Abono Orgánico de Amatitlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Amatitlán.
Semilla de Maíz de Villa Nueva,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Villa Nueva.
Semilla de Frijol de Villa Nueva,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Villa Nueva.
Abono Orgánico de Villa Nueva,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Villa Nueva.
Semilla de Maíz de Villa Canales,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Villa Canales.
Semilla de Frijol de Villa Canales,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Villa Canales.
Abono Orgánico de Villa Canales,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Villa Canales.
Semilla de Maíz de Petapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Petapa.
Semilla de Frijol de Petapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Petapa.
Abono Orgánico de Petapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Petapa.
Semilla de Maíz de Guastatoya,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Guastatoya.
Semilla de Frijol de Guastatoya,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Guastatoya.
Abono Orgánico de Guastatoya,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Guastatoya.
Semilla de Maíz de Morazán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Morazán.
Semilla de Frijol de Morazán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Morazán.
Abono Orgánico de Morazán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Morazán.
Semilla de Maíz de San Agustín Acasaguastlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Agustín Acasaguastlán.
Semilla de Frijol de San Agustín Acasaguastlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Agustín Acasaguastlán.
Abono Orgánico de San Agustín Acasaguastlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Agustín Acasaguastlán.
Semilla de Maíz de San Cristóbal Acasaguastlán,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Cristóbal Acasaguastlán.
Semilla de Frijol de San Cristóbal Acasaguastlán,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Cristóbal Acasaguastlán.
Abono Orgánico de San Cristóbal Acasaguastlán,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Cristóbal Acasaguastlán.
Semilla de Maíz de El Jícaro,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Jícaro.
Semilla de Frijol de El Jícaro,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Jícaro.
Abono Orgánico de El Jícaro,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Jícaro.
Semilla de Maíz de Sanarate,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sanarate.
Semilla de Frijol de Sanarate,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sanarate.
Abono Orgánico de Sanarate,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sanarate.
Semilla de Maíz de Sansare,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sansare.
Semilla de Frijol de Sansare,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sansare.
Abono Orgánico de Sansare,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sansare.
Semilla de Maíz de San Antonio La Paz,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio La Paz.
Semilla de Frijol de San Antonio La Paz,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio La Paz.
Abono Orgánico de San Antonio La Paz,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio La Paz.
Semilla de Maíz de Antigua Guatemala,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Antigua Guatemala.
Semilla de Frijol de Antigua Guatemala,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Antigua Guatemala.
Abono Orgánico de Antigua Guatemala,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Antigua Guatemala.
Semilla de Maíz de Jocotenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Jocotenango.
Semilla de Frijol de Jocotenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Jocotenango.
Abono Orgánico de Jocotenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Jocotenango.
Semilla de Maíz de Pastores,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Pastores.
Semilla de Frijol de Pastores,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Pastores.
Abono Orgánico de Pastores,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Pastores.
Semilla de Maíz de Sumpango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sumpango.
Semilla de Frijol de Sumpango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sumpango.
Abono Orgánico de Sumpango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sumpango.
Semilla de Maíz de Santo Domingo Xenacoj,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santo Domingo Xenacoj.
Semilla de Frijol de Santo Domingo Xenacoj,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santo Domingo Xenacoj.
Abono Orgánico de Santo Domingo Xenacoj,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santo Domingo Xenacoj.
Semilla de Maíz de Santiago Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santiago Sacatepéquez.
Semilla de Frijol de Santiago Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santiago Sacatepéquez.
Abono Orgánico de Santiago Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santiago Sacatepéquez.
Semilla de Maíz de San Bartolomé Milpas Altas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Bartolomé Milpas Altas.
Semilla de Frijol de San Bartolomé Milpas Altas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Bartolomé Milpas Altas.
Abono Orgánico de San Bartolomé Milpas Altas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Bartolomé Milpas Altas.
Semilla de Maíz de San Lucas Sacatepéquez,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Lucas Sacatepéquez.
Semilla de Frijol de San Lucas Sacatepéquez,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Lucas Sacatepéquez.
Abono Orgánico de San Lucas Sacatepéquez,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Lucas Sacatepéquez.
Semilla de Maíz de Santa Lucía Milpas Altas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Lucía Milpas Altas.
Semilla de Frijol de Santa Lucía Milpas Altas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Lucía Milpas Altas.
Abono Orgánico de Santa Lucía Milpas Altas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Lucía Milpas Altas.
Semilla de Maíz de Magdalena Milpas Altas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Magdalena Milpas Altas.
Semilla de Frijol de Magdalena Milpas Altas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Magdalena Milpas Altas.
Abono Orgánico de Magdalena Milpas Altas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Magdalena Milpas Altas.
Semilla de Maíz de Santa María de Jesús,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa María de Jesús.
Semilla de Frijol de Santa María de Jesús,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa María de Jesús.
Abono Orgánico de Santa María de Jesús,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa María de Jesús.
Semilla de Maíz de Ciudad Vieja,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Ciudad Vieja.
Semilla de Frijol de Ciudad Vieja,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Ciudad Vieja.
Abono Orgánico de Ciudad Vieja,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Ciudad Vieja.
Semilla de Maíz de San Miguel Dueñas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Miguel Dueñas.
Semilla de Frijol de San Miguel Dueñas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Miguel Dueñas.
Abono Orgánico de San Miguel Dueñas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Miguel Dueñas.
Semilla de Maíz de Alotenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Alotenango.
Semilla de Frijol de Alotenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Alotenango.
Abono Orgánico de Alotenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Alotenango.
Semilla de Maíz de San Antonio Aguas Calientes,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Antonio Aguas Calientes.
Semilla de Frijol de San Antonio Aguas Calientes,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Antonio Aguas Calientes.
Abono Orgánico de San Antonio Aguas Calientes,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Antonio Aguas Calientes.
Semilla de Maíz de Santa Catarina Barahona,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Catarina Barahona.
Semilla de Frijol de Santa Catarina Barahona,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Catarina Barahona.
Abono Orgánico de Santa Catarina Barahona,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Catarina Barahona.
Semilla de Maíz de Chimaltenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chimaltenango.
Semilla de Frijol de Chimaltenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Chimaltenango.
Abono Orgánico de Chimaltenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Chimaltenango.
Semilla de Maíz de San José Poaquil,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José Poaquil.
Semilla de Frijol de San José Poaquil,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José Poaquil.
Abono Orgánico de San José Poaquil,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José Poaquil.
Semilla de Maíz de San Martín Jilotepeque,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Martín Jilotepeque.
Semilla de Frijol de San Martín Jilotepeque,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Martín Jilotepeque.
Abono Orgánico de San Martín Jilotepeque,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Martín Jilotepeque.
Semilla de Maíz de Comalapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Comalapa.
Semilla de Frijol de Comalapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Comalapa.
Abono Orgánico de Comalapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Comalapa.
Semilla de Maíz de Santa Apolonia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Apolonia.
Semilla de Frijol de Santa Apolonia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Apolonia.
Abono Orgánico de Santa Apolonia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Apolonia.
Semilla de Maíz de Tecpán Guatemala,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tecpán Guatemala.
Semilla de Frijol de Tecpán Guatemala,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tecpán Guatemala.
Abono Orgánico de Tecpán Guatemala,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tecpán Guatemala.
Semilla de Maíz de Patzún,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Patzún.
Semilla de Frijol de Patzún,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Patzún.
Abono Orgánico de Patzún,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Patzún.
Semilla de Maíz de Pochuta,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Pochuta.
Semilla de Frijol de Pochuta,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Pochuta.
Abono Orgánico de Pochuta,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Pochuta.
Semilla de Maíz de Patzicía,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Patzicía.
Semilla de Frijol de Patzicía,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Patzicía.
Abono Orgánico de Patzicía,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Patzicía.
Semilla de Maíz de Santa Cruz Balanyá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Cruz Balanyá.
Semilla de Frijol de Santa Cruz Balanyá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Cruz Balanyá.
Abono Orgánico de Santa Cruz Balanyá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Cruz Balanyá.
Semilla de Maíz de Acatenango,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Acatenango.
Semilla de Frijol de Acatenango,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Acatenango.
Abono Orgánico de Acatenango,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Acatenango.
Semilla de Maíz de Yepocapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Yepocapa.
Semilla de Frijol de Yepocapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Yepocapa.
Abono Orgánico de Yepocapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Yepocapa.
Semilla de Maíz de San Andrés Itzapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Andrés Itzapa.
Semilla de Frijol de San Andrés Itzapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Andrés Itzapa.
Abono Orgánico de San Andrés Itzapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Andrés Itzapa.
Semilla de Maíz de Parramos,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Parramos.
Semilla de Frijol de Parramos,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Parramos.
Abono Orgánico de Parramos,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Parramos.
Semilla de Maíz de Zaragoza,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Zaragoza.
Semilla de Frijol de Zaragoza,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Zaragoza.
Abono Orgánico de Zaragoza,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Zaragoza.
Semilla de Maíz de El Tejar,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de El Tejar.
Semilla de Frijol de El Tejar,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en El Tejar.
Abono Orgánico de El Tejar,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en El Tejar.
Semilla de Maíz de Escuintla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Escuintla.
Semilla de Frijol de Escuintla,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Escuintla.
Abono Orgánico de Escuintla,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Escuintla.
Semilla de Maíz de Santa Lucía Cotzumalguapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Lucía Cotzumalguapa.
Semilla de Frijol de Santa Lucía Cotzumalguapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Lucía Cotzumalguapa.
Abono Orgánico de Santa Lucía Cotzumalguapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Lucía Cotzumalguapa.
Semilla de Maíz de La Democracia,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Democracia.
Semilla de Frijol de La Democracia,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Democracia.
Abono Orgánico de La Democracia,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Democracia.
Semilla de Maíz de Siquinalá,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Siquinalá.
Semilla de Frijol de Siquinalá,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Siquinalá.
Abono Orgánico de Siquinalá,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Siquinalá.
Semilla de Maíz de Masagua,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Masagua.
Semilla de Frijol de Masagua,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Masagua.
Abono Orgánico de Masagua,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Masagua.
Semilla de Maíz de Tiquisate,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Tiquisate.
Semilla de Frijol de Tiquisate,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Tiquisate.
Abono Orgánico de Tiquisate,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Tiquisate.
Semilla de Maíz de La Gomera,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de La Gomera.
Semilla de Frijol de La Gomera,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en La Gomera.
Abono Orgánico de La Gomera,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en La Gomera.
Semilla de Maíz de Guanagazapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Guanagazapa.
Semilla de Frijol de Guanagazapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Guanagazapa.
Abono Orgánico de Guanagazapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Guanagazapa.
Semilla de Maíz de San José,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San José.
Semilla de Frijol de San José,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San José.
Abono Orgánico de San José,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San José.
Semilla de Maíz de Iztapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Iztapa.
Semilla de Frijol de Iztapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Iztapa.
Abono Orgánico de Iztapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Iztapa.
Semilla de Maíz de Palín,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Palín.
Semilla de Frijol de Palín,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Palín.
Abono Orgánico de Palín,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Palín.
Semilla de Maíz de San Vicente Pacaya,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Vicente Pacaya.
Semilla de Frijol de San Vicente Pacaya,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Vicente Pacaya.
Abono Orgánico de San Vicente Pacaya,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Vicente Pacaya.
Semilla de Maíz de Nueva Concepción,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Nueva Concepción.
Semilla de Frijol de Nueva Concepción,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Nueva Concepción.
Abono Orgánico de Nueva Concepción,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Nueva Concepción.
Semilla de Maíz de Sipacate,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Sipacate.
Semilla de Frijol de Sipacate,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Sipacate.
Abono Orgánico de Sipacate,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Sipacate.
Semilla de Maíz de Cuilapa,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Cuilapa.
Semilla de Frijol de Cuilapa,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Cuilapa.
Abono Orgánico de Cuilapa,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Cuilapa.
Semilla de Maíz de Barberena,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Barberena.
Semilla de Frijol de Barberena,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Barberena.
Abono Orgánico de Barberena,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Barberena.
Semilla de Maíz de Santa Rosa de Lima,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Santa Rosa de Lima.
Semilla de Frijol de Santa Rosa de Lima,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Santa Rosa de Lima.
Abono Orgánico de Santa Rosa de Lima,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Santa Rosa de Lima.
Semilla de Maíz de Casillas,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Casillas.
Semilla de Frijol de Casillas,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Casillas.
Abono Orgánico de Casillas,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Casillas.
Semilla de Maíz de San Rafael Las Flores,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Rafael Las Flores.
Semilla de Frijol de San Rafael Las Flores,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Rafael Las Flores.
Abono Orgánico de San Rafael Las Flores,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Rafael Las Flores.
Semilla de Maíz de Oratorio,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Oratorio.
Semilla de Frijol de Oratorio,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en Oratorio.
Abono Orgánico de Oratorio,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en Oratorio.
Semilla de Maíz de San Juan Tecuaco,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de San Juan Tecuaco.
Semilla de Frijol de San Juan Tecuaco,Nacional,Semilla criolla de frijol negro seleccionada para el cultivo en San Juan Tecuaco.
Abono Orgánico de San Juan Tecuaco,Mixto,Compost y fertilizante orgánico preparado localmente por agricultores en San Juan Tecuaco.
Semilla de Maíz de Chiquimulilla,Nacional,Variedad de semilla de maíz adaptada localmente al suelo y clima de Chiquimulilla.
