nombre,ente_certificador,descripcion
Certificación Orgánica y de Origen - Reg ASO-GT0110-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Juan Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT0111-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Raimundo R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0111-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Raimundo R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0111-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Raimundo.
Certificación Orgánica y de Origen - Reg COOP-GT0112-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chuarrancho R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0112-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chuarrancho R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0112-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chuarrancho.
Certificación Orgánica y de Origen - Reg COOP-GT0113-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Fraijanes R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0113-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Fraijanes R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0113-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Fraijanes.
Certificación Orgánica y de Origen - Reg COOP-GT0114-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Amatitlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0114-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Amatitlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0114-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Amatitlán.
Certificación Orgánica y de Origen - Reg COOP-GT0115-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Villa Nueva R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0115-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Villa Nueva R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0115-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Villa Nueva.
Certificación Orgánica y de Origen - Reg COOP-GT0116-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Villa Canales R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0116-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Villa Canales R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0116-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Villa Canales.
Certificación Orgánica y de Origen - Reg COOP-GT0117-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Petapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0117-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Petapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0117-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Petapa.
Certificación Orgánica y de Origen - Reg COOP-GT0201-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Guastatoya R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0201-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Guastatoya R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0201-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Guastatoya.
Certificación Orgánica y de Origen - Reg COOP-GT0202-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Morazán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0202-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Morazán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0202-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Morazán.
Certificación Orgánica y de Origen - Reg COOP-GT0203-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Agustín Acasaguastlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0203-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Agustín Acasaguastlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0203-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Agustín Acasaguastlán.
Certificación Orgánica y de Origen - Reg COOP-GT0204-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Cristóbal Acasaguastlán R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0204-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Cristóbal Acasaguastlán R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0204-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Cristóbal Acasaguastlán.
Certificación Orgánica y de Origen - Reg COOP-GT0205-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de El Jícaro R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0205-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de El Jícaro R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0205-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de El Jícaro.
Certificación Orgánica y de Origen - Reg COOP-GT0206-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sanarate R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0206-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sanarate R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0206-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sanarate.
Certificación Orgánica y de Origen - Reg COOP-GT0207-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sansare R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0207-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sansare R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0207-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sansare.
Certificación Orgánica y de Origen - Reg COOP-GT0208-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Antonio La Paz R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0208-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Antonio La Paz R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0208-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Antonio La Paz.
Certificación Orgánica y de Origen - Reg COOP-GT0301-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Antigua Guatemala R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0301-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Antigua Guatemala R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0301-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Antigua Guatemala.
Certificación Orgánica y de Origen - Reg COOP-GT0302-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Jocotenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0302-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Jocotenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0302-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Jocotenango.
Certificación Orgánica y de Origen - Reg COOP-GT0303-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Pastores R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0303-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Pastores R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0303-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Pastores.
Certificación Orgánica y de Origen - Reg COOP-GT0304-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Sumpango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0304-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Sumpango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0304-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Sumpango.
Certificación Orgánica y de Origen - Reg COOP-GT0305-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santo Domingo Xenacoj R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0305-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santo Domingo Xenacoj R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0305-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santo Domingo Xenacoj.
Certificación Orgánica y de Origen - Reg COOP-GT0306-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santiago Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0306-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santiago Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0306-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santiago Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT0307-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Bartolomé Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0307-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Bartolomé Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0307-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Bartolomé Milpas Altas.
Certificación Orgánica y de Origen - Reg COOP-GT0308-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Lucas Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0308-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Lucas Sacatepéquez R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0308-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Lucas Sacatepéquez.
Certificación Orgánica y de Origen - Reg COOP-GT0309-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Lucía Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0309-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Lucía Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0309-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Lucía Milpas Altas.
Certificación Orgánica y de Origen - Reg COOP-GT0310-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Magdalena Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0310-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Magdalena Milpas Altas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0310-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Magdalena Milpas Altas.
Certificación Orgánica y de Origen - Reg COOP-GT0311-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa María de Jesús R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0311-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa María de Jesús R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0311-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa María de Jesús.
Certificación Orgánica y de Origen - Reg COOP-GT0312-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Ciudad Vieja R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0312-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Ciudad Vieja R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0312-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Ciudad Vieja.
Certificación Orgánica y de Origen - Reg COOP-GT0313-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Miguel Dueñas R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0313-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Miguel Dueñas R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0313-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Miguel Dueñas.
Certificación Orgánica y de Origen - Reg COOP-GT0314-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Alotenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0314-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Alotenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0314-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Alotenango.
Certificación Orgánica y de Origen - Reg COOP-GT0315-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Antonio Aguas Calientes R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0315-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Antonio Aguas Calientes R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0315-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Antonio Aguas Calientes.
Certificación Orgánica y de Origen - Reg COOP-GT0316-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Catarina Barahona R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0316-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Santa Catarina Barahona R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0316-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Santa Catarina Barahona.
Certificación Orgánica y de Origen - Reg COOP-GT0401-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Chimaltenango R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0401-B,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Chimaltenango R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0401-C,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Chimaltenango.
Certificación Orgánica y de Origen - Reg COOP-GT0402-A,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San José Poaquil R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0402-B,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San José Poaquil R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0402-C,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San José Poaquil.
Certificación Orgánica y de Origen - Reg COOP-GT0403-A,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de San Martín Jilotepeque R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0403-B,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de San Martín Jilotepeque R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0403-C,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de San Martín Jilotepeque.
Certificación Orgánica y de Origen - Reg COOP-GT0404-A,Símbolo de Pequeños Productores (SPP),Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Comalapa R.L..
Certificación Orgánica y de Origen - Reg COOP-GT0404-B,Mayacert S.A. Guatemala,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Ahorro y Crédito de Comalapa R.L..
Certificación Orgánica y de Origen - Reg ASO-GT0404-C,ANACAFE,Aval y certificación de calidad agrícola o artesanal extendida para la organización Asociación de Productores y Comercializadores de Comalapa.
Certificación Orgánica y de Origen - Reg COOP-GT0405-A,Rainforest Alliance Central America,Aval y certificación de calidad agrícola o artesanal extendida para la organización Cooperativa Integral de Producción Agrícola de Santa Apolonia R.L..
