origen_municipio_pcode,destino_municipio_pcode,puerto_salida,medio_transporte,distancia_km,tiempo_estimado_horas,producto_principal
GT0202,GT0101,,Terrestre - Camión de Carga,278.00,2.00,Hortalizas y Artesanías
GT0202,,Frontera El Florido,Terrestre - Camión de Carga,483.00,11.00,Café y Cardamomo Especial
GT0203,GT0201,,Terrestre - Camión de Carga,71.00,3.00,Maíz y Frijol Negro
GT0203,GT0101,,Terrestre - Camión de Carga,289.00,3.00,Hortalizas y Artesanías
GT0203,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,496.00,7.00,Café y Cardamomo Especial
GT0204,GT0201,,Terrestre - Camión de Carga,26.00,1.00,Maíz y Frijol Negro
GT0204,GT0101,,Terrestre - Camión de Carga,189.00,7.00,Hortalizas y Artesanías
GT0204,,Puerto Quetzal,Terrestre - Camión de Carga,364.00,11.00,Café y Cardamomo Especial
GT0205,GT0201,,Terrestre - Camión de Carga,63.00,3.00,Maíz y Frijol Negro
GT0205,GT0101,,Terrestre - Camión de Carga,267.00,3.00,Hortalizas y Artesanías
GT0205,,Frontera Tecún Umán,Terrestre - Camión de Carga,340.00,11.00,Café y Cardamomo Especial
GT0206,GT0201,,Terrestre - Camión de Carga,53.00,2.00,Maíz y Frijol Negro
GT0206,GT0101,,Terrestre - Camión de Carga,205.00,3.00,Hortalizas y Artesanías
GT0206,,Frontera El Florido,Terrestre - Camión de Carga,270.00,11.00,Café y Cardamomo Especial
GT0207,GT0201,,Terrestre - Camión de Carga,75.00,2.00,Maíz y Frijol Negro
GT0207,GT0101,,Terrestre - Camión de Carga,305.00,7.00,Hortalizas y Artesanías
GT0207,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,480.00,10.00,Café y Cardamomo Especial
GT0208,GT0201,,Terrestre - Camión de Carga,80.00,3.00,Maíz y Frijol Negro
GT0208,GT0101,,Terrestre - Camión de Carga,145.00,3.00,Hortalizas y Artesanías
GT0208,,Puerto Quetzal,Terrestre - Camión de Carga,307.00,9.00,Café y Cardamomo Especial
GT0301,GT0301,,Terrestre - Camión de Carga,54.00,3.00,Maíz y Frijol Negro
GT0301,GT0101,,Terrestre - Camión de Carga,123.00,7.00,Hortalizas y Artesanías
GT0301,,Frontera Tecún Umán,Terrestre - Camión de Carga,291.00,10.00,Café y Cardamomo Especial
GT0302,GT0301,,Terrestre - Camión de Carga,24.00,2.00,Maíz y Frijol Negro
GT0302,GT0101,,Terrestre - Camión de Carga,233.00,5.00,Hortalizas y Artesanías
GT0302,,Frontera El Florido,Terrestre - Camión de Carga,498.00,11.00,Café y Cardamomo Especial
GT0303,GT0301,,Terrestre - Camión de Carga,78.00,2.00,Maíz y Frijol Negro
GT0303,GT0101,,Terrestre - Camión de Carga,314.00,5.00,Hortalizas y Artesanías
GT0303,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,206.00,6.00,Café y Cardamomo Especial
GT0304,GT0301,,Terrestre - Camión de Carga,13.00,2.00,Maíz y Frijol Negro
GT0304,GT0101,,Terrestre - Camión de Carga,127.00,2.00,Hortalizas y Artesanías
GT0304,,Puerto Quetzal,Terrestre - Camión de Carga,228.00,8.00,Café y Cardamomo Especial
GT0305,GT0301,,Terrestre - Camión de Carga,44.00,1.00,Maíz y Frijol Negro
GT0305,GT0101,,Terrestre - Camión de Carga,163.00,7.00,Hortalizas y Artesanías
GT0305,,Frontera Tecún Umán,Terrestre - Camión de Carga,328.00,7.00,Café y Cardamomo Especial
GT0306,GT0301,,Terrestre - Camión de Carga,17.00,3.00,Maíz y Frijol Negro
GT0306,GT0101,,Terrestre - Camión de Carga,290.00,4.00,Hortalizas y Artesanías
GT0306,,Frontera El Florido,Terrestre - Camión de Carga,304.00,5.00,Café y Cardamomo Especial
GT0307,GT0301,,Terrestre - Camión de Carga,55.00,2.00,Maíz y Frijol Negro
GT0307,GT0101,,Terrestre - Camión de Carga,116.00,6.00,Hortalizas y Artesanías
GT0307,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,487.00,8.00,Café y Cardamomo Especial
GT0308,GT0301,,Terrestre - Camión de Carga,59.00,1.00,Maíz y Frijol Negro
GT0308,GT0101,,Terrestre - Camión de Carga,220.00,7.00,Hortalizas y Artesanías
GT0308,,Puerto Quetzal,Terrestre - Camión de Carga,347.00,5.00,Café y Cardamomo Especial
GT0309,GT0301,,Terrestre - Camión de Carga,58.00,2.00,Maíz y Frijol Negro
GT0309,GT0101,,Terrestre - Camión de Carga,196.00,7.00,Hortalizas y Artesanías
GT0309,,Frontera Tecún Umán,Terrestre - Camión de Carga,360.00,5.00,Café y Cardamomo Especial
GT0310,GT0301,,Terrestre - Camión de Carga,11.00,3.00,Maíz y Frijol Negro
GT0310,GT0101,,Terrestre - Camión de Carga,154.00,3.00,Hortalizas y Artesanías
GT0310,,Frontera El Florido,Terrestre - Camión de Carga,426.00,8.00,Café y Cardamomo Especial
GT0311,GT0301,,Terrestre - Camión de Carga,57.00,3.00,Maíz y Frijol Negro
GT0311,GT0101,,Terrestre - Camión de Carga,229.00,7.00,Hortalizas y Artesanías
GT0311,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,300.00,8.00,Café y Cardamomo Especial
GT0312,GT0301,,Terrestre - Camión de Carga,47.00,2.00,Maíz y Frijol Negro
GT0312,GT0101,,Terrestre - Camión de Carga,135.00,7.00,Hortalizas y Artesanías
GT0312,,Puerto Quetzal,Terrestre - Camión de Carga,238.00,7.00,Café y Cardamomo Especial
GT0313,GT0301,,Terrestre - Camión de Carga,32.00,3.00,Maíz y Frijol Negro
GT0313,GT0101,,Terrestre - Camión de Carga,221.00,2.00,Hortalizas y Artesanías
GT0313,,Frontera Tecún Umán,Terrestre - Camión de Carga,393.00,5.00,Café y Cardamomo Especial
GT0314,GT0301,,Terrestre - Camión de Carga,64.00,2.00,Maíz y Frijol Negro
GT0314,GT0101,,Terrestre - Camión de Carga,232.00,4.00,Hortalizas y Artesanías
GT0314,,Frontera El Florido,Terrestre - Camión de Carga,266.00,7.00,Café y Cardamomo Especial
GT0315,GT0301,,Terrestre - Camión de Carga,42.00,1.00,Maíz y Frijol Negro
GT0315,GT0101,,Terrestre - Camión de Carga,174.00,5.00,Hortalizas y Artesanías
GT0315,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,279.00,5.00,Café y Cardamomo Especial
GT0316,GT0301,,Terrestre - Camión de Carga,29.00,2.00,Maíz y Frijol Negro
GT0316,GT0101,,Terrestre - Camión de Carga,242.00,2.00,Hortalizas y Artesanías
GT0316,,Puerto Quetzal,Terrestre - Camión de Carga,354.00,12.00,Café y Cardamomo Especial
GT0401,GT0401,,Terrestre - Camión de Carga,80.00,2.00,Maíz y Frijol Negro
GT0401,GT0101,,Terrestre - Camión de Carga,108.00,7.00,Hortalizas y Artesanías
GT0401,,Frontera Tecún Umán,Terrestre - Camión de Carga,362.00,8.00,Café y Cardamomo Especial
GT0402,GT0401,,Terrestre - Camión de Carga,33.00,3.00,Maíz y Frijol Negro
GT0402,GT0101,,Terrestre - Camión de Carga,107.00,6.00,Hortalizas y Artesanías
GT0402,,Frontera El Florido,Terrestre - Camión de Carga,281.00,11.00,Café y Cardamomo Especial
GT0403,GT0401,,Terrestre - Camión de Carga,79.00,3.00,Maíz y Frijol Negro
GT0403,GT0101,,Terrestre - Camión de Carga,193.00,2.00,Hortalizas y Artesanías
GT0403,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,378.00,8.00,Café y Cardamomo Especial
GT0404,GT0401,,Terrestre - Camión de Carga,37.00,3.00,Maíz y Frijol Negro
GT0404,GT0101,,Terrestre - Camión de Carga,174.00,4.00,Hortalizas y Artesanías
GT0404,,Puerto Quetzal,Terrestre - Camión de Carga,384.00,9.00,Café y Cardamomo Especial
GT0405,GT0401,,Terrestre - Camión de Carga,37.00,3.00,Maíz y Frijol Negro
GT0405,GT0101,,Terrestre - Camión de Carga,225.00,5.00,Hortalizas y Artesanías
GT0405,,Frontera Tecún Umán,Terrestre - Camión de Carga,487.00,5.00,Café y Cardamomo Especial
GT0406,GT0401,,Terrestre - Camión de Carga,24.00,3.00,Maíz y Frijol Negro
GT0406,GT0101,,Terrestre - Camión de Carga,178.00,5.00,Hortalizas y Artesanías
GT0406,,Frontera El Florido,Terrestre - Camión de Carga,323.00,8.00,Café y Cardamomo Especial
GT0407,GT0401,,Terrestre - Camión de Carga,15.00,3.00,Maíz y Frijol Negro
GT0407,GT0101,,Terrestre - Camión de Carga,316.00,4.00,Hortalizas y Artesanías
GT0407,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,395.00,6.00,Café y Cardamomo Especial
GT0408,GT0401,,Terrestre - Camión de Carga,59.00,2.00,Maíz y Frijol Negro
GT0408,GT0101,,Terrestre - Camión de Carga,228.00,7.00,Hortalizas y Artesanías
GT0408,,Puerto Quetzal,Terrestre - Camión de Carga,344.00,5.00,Café y Cardamomo Especial
GT0409,GT0401,,Terrestre - Camión de Carga,76.00,2.00,Maíz y Frijol Negro
GT0409,GT0101,,Terrestre - Camión de Carga,221.00,6.00,Hortalizas y Artesanías
GT0409,,Frontera Tecún Umán,Terrestre - Camión de Carga,428.00,12.00,Café y Cardamomo Especial
GT0410,GT0401,,Terrestre - Camión de Carga,15.00,2.00,Maíz y Frijol Negro
GT0410,GT0101,,Terrestre - Camión de Carga,319.00,7.00,Hortalizas y Artesanías
GT0410,,Frontera El Florido,Terrestre - Camión de Carga,298.00,10.00,Café y Cardamomo Especial
GT0411,GT0401,,Terrestre - Camión de Carga,75.00,1.00,Maíz y Frijol Negro
GT0411,GT0101,,Terrestre - Camión de Carga,114.00,3.00,Hortalizas y Artesanías
GT0411,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,475.00,5.00,Café y Cardamomo Especial
GT0412,GT0401,,Terrestre - Camión de Carga,18.00,1.00,Maíz y Frijol Negro
GT0412,GT0101,,Terrestre - Camión de Carga,261.00,7.00,Hortalizas y Artesanías
GT0412,,Puerto Quetzal,Terrestre - Camión de Carga,309.00,11.00,Café y Cardamomo Especial
GT0413,GT0401,,Terrestre - Camión de Carga,23.00,1.00,Maíz y Frijol Negro
GT0413,GT0101,,Terrestre - Camión de Carga,227.00,7.00,Hortalizas y Artesanías
GT0413,,Frontera Tecún Umán,Terrestre - Camión de Carga,422.00,6.00,Café y Cardamomo Especial
GT0414,GT0401,,Terrestre - Camión de Carga,29.00,1.00,Maíz y Frijol Negro
GT0414,GT0101,,Terrestre - Camión de Carga,207.00,7.00,Hortalizas y Artesanías
GT0414,,Frontera El Florido,Terrestre - Camión de Carga,369.00,5.00,Café y Cardamomo Especial
GT0415,GT0401,,Terrestre - Camión de Carga,21.00,1.00,Maíz y Frijol Negro
GT0415,GT0101,,Terrestre - Camión de Carga,103.00,3.00,Hortalizas y Artesanías
GT0415,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,328.00,6.00,Café y Cardamomo Especial
GT0416,GT0401,,Terrestre - Camión de Carga,39.00,2.00,Maíz y Frijol Negro
GT0416,GT0101,,Terrestre - Camión de Carga,194.00,5.00,Hortalizas y Artesanías
GT0416,,Puerto Quetzal,Terrestre - Camión de Carga,430.00,11.00,Café y Cardamomo Especial
GT0501,GT0501,,Terrestre - Camión de Carga,65.00,2.00,Maíz y Frijol Negro
GT0501,GT0101,,Terrestre - Camión de Carga,94.00,5.00,Hortalizas y Artesanías
GT0501,,Frontera Tecún Umán,Terrestre - Camión de Carga,260.00,5.00,Café y Cardamomo Especial
GT0502,GT0501,,Terrestre - Camión de Carga,18.00,3.00,Maíz y Frijol Negro
GT0502,GT0101,,Terrestre - Camión de Carga,239.00,2.00,Hortalizas y Artesanías
GT0502,,Frontera El Florido,Terrestre - Camión de Carga,237.00,10.00,Café y Cardamomo Especial
GT0503,GT0501,,Terrestre - Camión de Carga,74.00,1.00,Maíz y Frijol Negro
GT0503,GT0101,,Terrestre - Camión de Carga,164.00,7.00,Hortalizas y Artesanías
GT0503,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,354.00,6.00,Café y Cardamomo Especial
GT0504,GT0501,,Terrestre - Camión de Carga,46.00,2.00,Maíz y Frijol Negro
GT0504,GT0101,,Terrestre - Camión de Carga,187.00,5.00,Hortalizas y Artesanías
GT0504,,Puerto Quetzal,Terrestre - Camión de Carga,215.00,12.00,Café y Cardamomo Especial
GT0505,GT0501,,Terrestre - Camión de Carga,30.00,3.00,Maíz y Frijol Negro
GT0505,GT0101,,Terrestre - Camión de Carga,146.00,3.00,Hortalizas y Artesanías
GT0505,,Frontera Tecún Umán,Terrestre - Camión de Carga,400.00,9.00,Café y Cardamomo Especial
GT0506,GT0501,,Terrestre - Camión de Carga,28.00,2.00,Maíz y Frijol Negro
GT0506,GT0101,,Terrestre - Camión de Carga,263.00,7.00,Hortalizas y Artesanías
GT0506,,Frontera El Florido,Terrestre - Camión de Carga,391.00,5.00,Café y Cardamomo Especial
GT0507,GT0501,,Terrestre - Camión de Carga,80.00,3.00,Maíz y Frijol Negro
GT0507,GT0101,,Terrestre - Camión de Carga,126.00,2.00,Hortalizas y Artesanías
GT0507,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,221.00,5.00,Café y Cardamomo Especial
GT0508,GT0501,,Terrestre - Camión de Carga,60.00,3.00,Maíz y Frijol Negro
GT0508,GT0101,,Terrestre - Camión de Carga,230.00,2.00,Hortalizas y Artesanías
GT0508,,Puerto Quetzal,Terrestre - Camión de Carga,356.00,8.00,Café y Cardamomo Especial
GT0509,GT0501,,Terrestre - Camión de Carga,54.00,1.00,Maíz y Frijol Negro
GT0509,GT0101,,Terrestre - Camión de Carga,195.00,7.00,Hortalizas y Artesanías
GT0509,,Frontera Tecún Umán,Terrestre - Camión de Carga,462.00,7.00,Café y Cardamomo Especial
GT0510,GT0501,,Terrestre - Camión de Carga,30.00,1.00,Maíz y Frijol Negro
GT0510,GT0101,,Terrestre - Camión de Carga,146.00,6.00,Hortalizas y Artesanías
GT0510,,Frontera El Florido,Terrestre - Camión de Carga,329.00,8.00,Café y Cardamomo Especial
GT0511,GT0501,,Terrestre - Camión de Carga,24.00,1.00,Maíz y Frijol Negro
GT0511,GT0101,,Terrestre - Camión de Carga,261.00,6.00,Hortalizas y Artesanías
GT0511,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,227.00,12.00,Café y Cardamomo Especial
GT0512,GT0501,,Terrestre - Camión de Carga,80.00,1.00,Maíz y Frijol Negro
GT0512,GT0101,,Terrestre - Camión de Carga,164.00,7.00,Hortalizas y Artesanías
GT0512,,Puerto Quetzal,Terrestre - Camión de Carga,234.00,9.00,Café y Cardamomo Especial
GT0513,GT0501,,Terrestre - Camión de Carga,22.00,1.00,Maíz y Frijol Negro
GT0513,GT0101,,Terrestre - Camión de Carga,275.00,6.00,Hortalizas y Artesanías
GT0513,,Frontera Tecún Umán,Terrestre - Camión de Carga,449.00,10.00,Café y Cardamomo Especial
GT0514,GT0501,,Terrestre - Camión de Carga,55.00,1.00,Maíz y Frijol Negro
GT0514,GT0101,,Terrestre - Camión de Carga,261.00,7.00,Hortalizas y Artesanías
GT0514,,Frontera El Florido,Terrestre - Camión de Carga,320.00,6.00,Café y Cardamomo Especial
GT0601,GT0601,,Terrestre - Camión de Carga,46.00,3.00,Maíz y Frijol Negro
GT0601,GT0101,,Terrestre - Camión de Carga,107.00,3.00,Hortalizas y Artesanías
GT0601,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,362.00,12.00,Café y Cardamomo Especial
GT0602,GT0601,,Terrestre - Camión de Carga,67.00,2.00,Maíz y Frijol Negro
GT0602,GT0101,,Terrestre - Camión de Carga,247.00,7.00,Hortalizas y Artesanías
GT0602,,Puerto Quetzal,Terrestre - Camión de Carga,356.00,7.00,Café y Cardamomo Especial
GT0603,GT0601,,Terrestre - Camión de Carga,56.00,2.00,Maíz y Frijol Negro
GT0603,GT0101,,Terrestre - Camión de Carga,199.00,3.00,Hortalizas y Artesanías
GT0603,,Frontera Tecún Umán,Terrestre - Camión de Carga,202.00,10.00,Café y Cardamomo Especial
GT0604,GT0601,,Terrestre - Camión de Carga,41.00,1.00,Maíz y Frijol Negro
GT0604,GT0101,,Terrestre - Camión de Carga,272.00,7.00,Hortalizas y Artesanías
GT0604,,Frontera El Florido,Terrestre - Camión de Carga,423.00,9.00,Café y Cardamomo Especial
GT0605,GT0601,,Terrestre - Camión de Carga,56.00,1.00,Maíz y Frijol Negro
GT0605,GT0101,,Terrestre - Camión de Carga,263.00,7.00,Hortalizas y Artesanías
GT0605,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,369.00,12.00,Café y Cardamomo Especial
GT0606,GT0601,,Terrestre - Camión de Carga,69.00,2.00,Maíz y Frijol Negro
GT0606,GT0101,,Terrestre - Camión de Carga,181.00,4.00,Hortalizas y Artesanías
GT0606,,Puerto Quetzal,Terrestre - Camión de Carga,449.00,6.00,Café y Cardamomo Especial
GT0607,GT0601,,Terrestre - Camión de Carga,32.00,3.00,Maíz y Frijol Negro
GT0607,GT0101,,Terrestre - Camión de Carga,245.00,2.00,Hortalizas y Artesanías
GT0607,,Frontera Tecún Umán,Terrestre - Camión de Carga,343.00,7.00,Café y Cardamomo Especial
GT0608,GT0601,,Terrestre - Camión de Carga,78.00,1.00,Maíz y Frijol Negro
GT0608,GT0101,,Terrestre - Camión de Carga,157.00,7.00,Hortalizas y Artesanías
GT0608,,Frontera El Florido,Terrestre - Camión de Carga,239.00,6.00,Café y Cardamomo Especial
GT0609,GT0601,,Terrestre - Camión de Carga,12.00,3.00,Maíz y Frijol Negro
GT0609,GT0101,,Terrestre - Camión de Carga,251.00,2.00,Hortalizas y Artesanías
GT0609,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,497.00,11.00,Café y Cardamomo Especial
GT0610,GT0601,,Terrestre - Camión de Carga,37.00,1.00,Maíz y Frijol Negro
GT0610,GT0101,,Terrestre - Camión de Carga,231.00,4.00,Hortalizas y Artesanías
GT0610,,Puerto Quetzal,Terrestre - Camión de Carga,478.00,12.00,Café y Cardamomo Especial
GT0611,GT0601,,Terrestre - Camión de Carga,29.00,2.00,Maíz y Frijol Negro
GT0611,GT0101,,Terrestre - Camión de Carga,190.00,3.00,Hortalizas y Artesanías
GT0611,,Frontera Tecún Umán,Terrestre - Camión de Carga,348.00,7.00,Café y Cardamomo Especial
GT0612,GT0601,,Terrestre - Camión de Carga,69.00,3.00,Maíz y Frijol Negro
GT0612,GT0101,,Terrestre - Camión de Carga,220.00,2.00,Hortalizas y Artesanías
GT0612,,Frontera El Florido,Terrestre - Camión de Carga,403.00,10.00,Café y Cardamomo Especial
GT0613,GT0601,,Terrestre - Camión de Carga,74.00,1.00,Maíz y Frijol Negro
GT0613,GT0101,,Terrestre - Camión de Carga,259.00,3.00,Hortalizas y Artesanías
GT0613,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,284.00,7.00,Café y Cardamomo Especial
GT0614,GT0601,,Terrestre - Camión de Carga,67.00,1.00,Maíz y Frijol Negro
GT0614,GT0101,,Terrestre - Camión de Carga,135.00,6.00,Hortalizas y Artesanías
GT0614,,Puerto Quetzal,Terrestre - Camión de Carga,489.00,7.00,Café y Cardamomo Especial
GT0700,GT0701,,Terrestre - Camión de Carga,71.00,2.00,Maíz y Frijol Negro
GT0700,GT0101,,Terrestre - Camión de Carga,100.00,3.00,Hortalizas y Artesanías
GT0700,,Frontera Tecún Umán,Terrestre - Camión de Carga,449.00,8.00,Café y Cardamomo Especial
GT0701,GT0701,,Terrestre - Camión de Carga,18.00,2.00,Maíz y Frijol Negro
GT0701,GT0101,,Terrestre - Camión de Carga,184.00,3.00,Hortalizas y Artesanías
GT0701,,Frontera El Florido,Terrestre - Camión de Carga,221.00,8.00,Café y Cardamomo Especial
GT0702,GT0701,,Terrestre - Camión de Carga,76.00,2.00,Maíz y Frijol Negro
GT0702,GT0101,,Terrestre - Camión de Carga,189.00,5.00,Hortalizas y Artesanías
GT0702,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,432.00,5.00,Café y Cardamomo Especial
GT0703,GT0701,,Terrestre - Camión de Carga,15.00,3.00,Maíz y Frijol Negro
GT0703,GT0101,,Terrestre - Camión de Carga,172.00,2.00,Hortalizas y Artesanías
GT0703,,Puerto Quetzal,Terrestre - Camión de Carga,466.00,9.00,Café y Cardamomo Especial
GT0704,GT0701,,Terrestre - Camión de Carga,43.00,3.00,Maíz y Frijol Negro
GT0704,GT0101,,Terrestre - Camión de Carga,229.00,6.00,Hortalizas y Artesanías
GT0704,,Frontera Tecún Umán,Terrestre - Camión de Carga,289.00,11.00,Café y Cardamomo Especial
GT0705,GT0701,,Terrestre - Camión de Carga,58.00,2.00,Maíz y Frijol Negro
GT0705,GT0101,,Terrestre - Camión de Carga,240.00,7.00,Hortalizas y Artesanías
GT0705,,Frontera El Florido,Terrestre - Camión de Carga,239.00,9.00,Café y Cardamomo Especial
GT0706,GT0701,,Terrestre - Camión de Carga,58.00,1.00,Maíz y Frijol Negro
GT0706,GT0101,,Terrestre - Camión de Carga,222.00,5.00,Hortalizas y Artesanías
GT0706,,Puerto Santo Tomás de Castilla,Terrestre - Camión de Carga,380.00,10.00,Café y Cardamomo Especial
GT0707,GT0701,,Terrestre - Camión de Carga,72.00,2.00,Maíz y Frijol Negro
GT0707,GT0101,,Terrestre - Camión de Carga,317.00,6.00,Hortalizas y Artesanías
GT0707,,Puerto Quetzal,Terrestre - Camión de Carga,203.00,7.00,Café y Cardamomo Especial
GT0708,GT0701,,Terrestre - Camión de Carga,66.00,1.00,Maíz y Frijol Negro
GT0708,GT0101,,Terrestre - Camión de Carga,148.00,2.00,Hortalizas y Artesanías
GT0708,,Frontera Tecún Umán,Terrestre - Camión de Carga,463.00,9.00,Café y Cardamomo Especial
GT0709,GT0701,,Terrestre - Camión de Carga,37.00,1.00,Maíz y Frijol Negro
GT0709,GT0101,,Terrestre - Camión de Carga,137.00,3.00,Hortalizas y Artesanías
