municipio_pcode,actividad_nombre,cooperativa_nombre,es_principal,volumen_estimado,cantidad_productores_est,empleo_generado_est,ciclo_cosecha_meses,destino_principal
GT0301,Cultivo de Maíz en Antigua Guatemala,Cooperativa Integral de Producción Agrícola de Antigua Guatemala R.L.,false,Medio,406,519,Mayo-Noviembre,Autoconsumo
GT0301,Cultivo de Frijol en Antigua Guatemala,,false,Bajo,469,208,Mayo-Septiembre,Autoconsumo
GT0301,Cultivo de Flores en Antigua Guatemala,Asociación de Productores y Comercializadores de Antigua Guatemala,true,Alto,665,3079,Diario,Autoconsumo
GT0301,Cultivo de Café en Antigua Guatemala,Cooperativa Integral de Producción Agrícola de Antigua Guatemala R.L.,true,Alto,517,4565,Noviembre-Marzo,Autoconsumo
GT0302,Cultivo de Maíz en Jocotenango,Cooperativa Integral de Producción Agrícola de Jocotenango R.L.,false,Medio,1011,580,Mayo-Noviembre,Autoconsumo
GT0302,Cultivo de Frijol en Jocotenango,,false,Bajo,719,235,Mayo-Septiembre,Autoconsumo
GT0302,Cultivo de Flores en Jocotenango,Asociación de Productores y Comercializadores de Jocotenango,true,Medio,707,1626,Diario,Mixto
GT0302,Cultivo de Café en Jocotenango,Cooperativa Integral de Producción Agrícola de Jocotenango R.L.,true,Medio,1065,4123,Noviembre-Marzo,Mixto
GT0303,Cultivo de Maíz en Pastores,Cooperativa Integral de Producción Agrícola de Pastores R.L.,false,Medio,730,426,Mayo-Noviembre,Autoconsumo
GT0303,Cultivo de Frijol en Pastores,,false,Bajo,743,80,Mayo-Septiembre,Autoconsumo
GT0303,Cultivo de Flores en Pastores,Asociación de Productores y Comercializadores de Pastores,true,Alto,963,3001,Diario,Exportación
GT0303,Cultivo de Café en Pastores,Cooperativa Integral de Producción Agrícola de Pastores R.L.,true,Alto,339,1458,Noviembre-Marzo,Exportación
GT0303,Producción de Calzado en Pastores,Asociación de Productores y Comercializadores de Pastores,true,Alto,1043,4599,Diario,Exportación
GT0304,Cultivo de Maíz en Sumpango,Cooperativa Integral de Producción Agrícola de Sumpango R.L.,false,Medio,1029,272,Mayo-Noviembre,Autoconsumo
GT0304,Cultivo de Frijol en Sumpango,,false,Bajo,259,141,Mayo-Septiembre,Autoconsumo
GT0304,Cultivo de Flores en Sumpango,Asociación de Productores y Comercializadores de Sumpango,true,Medio,1461,4878,Diario,Mercado Nacional
GT0304,Cultivo de Café en Sumpango,Cooperativa Integral de Producción Agrícola de Sumpango R.L.,true,Medio,461,1350,Noviembre-Marzo,Mercado Nacional
GT0305,Cultivo de Maíz en Santo Domingo Xenacoj,Cooperativa Integral de Producción Agrícola de Santo Domingo Xenacoj R.L.,false,Medio,1395,567,Mayo-Noviembre,Autoconsumo
GT0305,Cultivo de Frijol en Santo Domingo Xenacoj,,false,Bajo,270,274,Mayo-Septiembre,Autoconsumo
GT0305,Cultivo de Flores en Santo Domingo Xenacoj,Asociación de Productores y Comercializadores de Santo Domingo Xenacoj,true,Alto,1390,4136,Diario,Autoconsumo
GT0305,Cultivo de Café en Santo Domingo Xenacoj,Cooperativa Integral de Producción Agrícola de Santo Domingo Xenacoj R.L.,true,Alto,557,1525,Noviembre-Marzo,Autoconsumo
GT0306,Cultivo de Maíz en Santiago Sacatepéquez,Cooperativa Integral de Producción Agrícola de Santiago Sacatepéquez R.L.,false,Medio,1373,431,Mayo-Noviembre,Autoconsumo
GT0306,Cultivo de Frijol en Santiago Sacatepéquez,,false,Bajo,369,147,Mayo-Septiembre,Autoconsumo
GT0306,Cultivo de Flores en Santiago Sacatepéquez,Asociación de Productores y Comercializadores de Santiago Sacatepéquez,true,Medio,1380,4573,Diario,Mixto
GT0306,Cultivo de Café en Santiago Sacatepéquez,Cooperativa Integral de Producción Agrícola de Santiago Sacatepéquez R.L.,true,Medio,1166,4950,Noviembre-Marzo,Mixto
GT0307,Cultivo de Maíz en San Bartolomé Milpas Altas,Cooperativa Integral de Producción Agrícola de San Bartolomé Milpas Altas R.L.,false,Medio,833,426,Mayo-Noviembre,Autoconsumo
GT0307,Cultivo de Frijol en San Bartolomé Milpas Altas,,false,Bajo,405,262,Mayo-Septiembre,Autoconsumo
GT0307,Cultivo de Flores en San Bartolomé Milpas Altas,Asociación de Productores y Comercializadores de San Bartolomé Milpas Altas,true,Alto,938,2634,Diario,Exportación
GT0307,Cultivo de Café en San Bartolomé Milpas Altas,Cooperativa Integral de Producción Agrícola de San Bartolomé Milpas Altas R.L.,true,Alto,1064,2794,Noviembre-Marzo,Exportación
GT0308,Cultivo de Maíz en San Lucas Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Lucas Sacatepéquez R.L.,false,Medio,1459,381,Mayo-Noviembre,Autoconsumo
GT0308,Cultivo de Frijol en San Lucas Sacatepéquez,,false,Bajo,323,143,Mayo-Septiembre,Autoconsumo
GT0308,Cultivo de Flores en San Lucas Sacatepéquez,Asociación de Productores y Comercializadores de San Lucas Sacatepéquez,true,Medio,760,1262,Diario,Mercado Nacional
GT0308,Cultivo de Café en San Lucas Sacatepéquez,Cooperativa Integral de Producción Agrícola de San Lucas Sacatepéquez R.L.,true,Medio,992,1086,Noviembre-Marzo,Mercado Nacional
GT0309,Cultivo de Maíz en Santa Lucía Milpas Altas,Cooperativa Integral de Producción Agrícola de Santa Lucía Milpas Altas R.L.,false,Medio,871,451,Mayo-Noviembre,Autoconsumo
GT0309,Cultivo de Frijol en Santa Lucía Milpas Altas,,false,Bajo,425,81,Mayo-Septiembre,Autoconsumo
GT0309,Cultivo de Flores en Santa Lucía Milpas Altas,Asociación de Productores y Comercializadores de Santa Lucía Milpas Altas,true,Alto,445,3899,Diario,Autoconsumo
GT0309,Cultivo de Café en Santa Lucía Milpas Altas,Cooperativa Integral de Producción Agrícola de Santa Lucía Milpas Altas R.L.,true,Alto,420,1937,Noviembre-Marzo,Autoconsumo
GT0310,Cultivo de Maíz en Magdalena Milpas Altas,Cooperativa Integral de Producción Agrícola de Magdalena Milpas Altas R.L.,false,Medio,538,166,Mayo-Noviembre,Autoconsumo
GT0310,Cultivo de Frijol en Magdalena Milpas Altas,,false,Bajo,538,98,Mayo-Septiembre,Autoconsumo
GT0310,Cultivo de Flores en Magdalena Milpas Altas,Asociación de Productores y Comercializadores de Magdalena Milpas Altas,true,Medio,1352,1974,Diario,Mixto
GT0310,Cultivo de Café en Magdalena Milpas Altas,Cooperativa Integral de Producción Agrícola de Magdalena Milpas Altas R.L.,true,Medio,870,3740,Noviembre-Marzo,Mixto
GT0311,Cultivo de Maíz en Santa María de Jesús,Cooperativa Integral de Producción Agrícola de Santa María de Jesús R.L.,false,Medio,1394,259,Mayo-Noviembre,Autoconsumo
GT0311,Cultivo de Frijol en Santa María de Jesús,,false,Bajo,752,113,Mayo-Septiembre,Autoconsumo
GT0311,Cultivo de Flores en Santa María de Jesús,Asociación de Productores y Comercializadores de Santa María de Jesús,true,Alto,1469,3360,Diario,Exportación
GT0311,Cultivo de Café en Santa María de Jesús,Cooperativa Integral de Producción Agrícola de Santa María de Jesús R.L.,true,Alto,1268,1995,Noviembre-Marzo,Exportación
GT0312,Cultivo de Maíz en Ciudad Vieja,Cooperativa Integral de Producción Agrícola de Ciudad Vieja R.L.,false,Medio,1368,563,Mayo-Noviembre,Autoconsumo
GT0312,Cultivo de Frijol en Ciudad Vieja,,false,Bajo,616,128,Mayo-Septiembre,Autoconsumo
GT0312,Cultivo de Flores en Ciudad Vieja,Asociación de Productores y Comercializadores de Ciudad Vieja,true,Medio,493,1397,Diario,Mercado Nacional
GT0312,Cultivo de Café en Ciudad Vieja,Cooperativa Integral de Producción Agrícola de Ciudad Vieja R.L.,true,Medio,1182,2451,Noviembre-Marzo,Mercado Nacional
GT0313,Cultivo de Maíz en San Miguel Dueñas,Cooperativa Integral de Producción Agrícola de San Miguel Dueñas R.L.,false,Medio,1267,360,Mayo-Noviembre,Autoconsumo
GT0313,Cultivo de Frijol en San Miguel Dueñas,,false,Bajo,678,266,Mayo-Septiembre,Autoconsumo
GT0313,Cultivo de Flores en San Miguel Dueñas,Asociación de Productores y Comercializadores de San Miguel Dueñas,true,Alto,410,3758,Diario,Autoconsumo
GT0313,Cultivo de Café en San Miguel Dueñas,Cooperativa Integral de Producción Agrícola de San Miguel Dueñas R.L.,true,Alto,501,1248,Noviembre-Marzo,Autoconsumo
GT0314,Cultivo de Maíz en Alotenango,Cooperativa Integral de Producción Agrícola de Alotenango R.L.,false,Medio,1224,522,Mayo-Noviembre,Autoconsumo
GT0314,Cultivo de Frijol en Alotenango,,false,Bajo,547,284,Mayo-Septiembre,Autoconsumo
GT0314,Cultivo de Flores en Alotenango,Asociación de Productores y Comercializadores de Alotenango,true,Medio,523,2018,Diario,Mixto
GT0314,Cultivo de Café en Alotenango,Cooperativa Integral de Producción Agrícola de Alotenango R.L.,true,Medio,692,1779,Noviembre-Marzo,Mixto
GT0315,Cultivo de Maíz en San Antonio Aguas Calientes,Cooperativa Integral de Producción Agrícola de San Antonio Aguas Calientes R.L.,false,Medio,1498,379,Mayo-Noviembre,Autoconsumo
GT0315,Cultivo de Frijol en San Antonio Aguas Calientes,,false,Bajo,343,188,Mayo-Septiembre,Autoconsumo
GT0315,Cultivo de Flores en San Antonio Aguas Calientes,Asociación de Productores y Comercializadores de San Antonio Aguas Calientes,true,Alto,675,2140,Diario,Exportación
GT0315,Cultivo de Café en San Antonio Aguas Calientes,Cooperativa Integral de Producción Agrícola de San Antonio Aguas Calientes R.L.,true,Alto,1247,2023,Noviembre-Marzo,Exportación
GT0316,Cultivo de Maíz en Santa Catarina Barahona,Cooperativa Integral de Producción Agrícola de Santa Catarina Barahona R.L.,false,Medio,554,376,Mayo-Noviembre,Autoconsumo
GT0316,Cultivo de Frijol en Santa Catarina Barahona,,false,Bajo,763,105,Mayo-Septiembre,Autoconsumo
GT0316,Cultivo de Flores en Santa Catarina Barahona,Asociación de Productores y Comercializadores de Santa Catarina Barahona,true,Medio,403,3671,Diario,Mercado Nacional
GT0316,Cultivo de Café en Santa Catarina Barahona,Cooperativa Integral de Producción Agrícola de Santa Catarina Barahona R.L.,true,Medio,1407,4424,Noviembre-Marzo,Mercado Nacional
GT0401,Cultivo de Maíz en Chimaltenango,Cooperativa Integral de Producción Agrícola de Chimaltenango R.L.,false,Medio,430,197,Mayo-Noviembre,Autoconsumo
GT0401,Cultivo de Frijol en Chimaltenango,,false,Bajo,442,122,Mayo-Septiembre,Autoconsumo
GT0401,Cultivo de Hortalizas en Chimaltenango,Asociación de Productores y Comercializadores de Chimaltenango,true,Alto,1132,2989,Diario,Autoconsumo
GT0402,Cultivo de Maíz en San José Poaquil,Cooperativa Integral de Producción Agrícola de San José Poaquil R.L.,false,Medio,1385,259,Mayo-Noviembre,Autoconsumo
GT0402,Cultivo de Frijol en San José Poaquil,,false,Bajo,610,95,Mayo-Septiembre,Autoconsumo
GT0402,Cultivo de Hortalizas en San José Poaquil,Asociación de Productores y Comercializadores de San José Poaquil,true,Medio,637,2552,Diario,Mixto
GT0403,Cultivo de Maíz en San Martín Jilotepeque,Cooperativa Integral de Producción Agrícola de San Martín Jilotepeque R.L.,false,Medio,404,349,Mayo-Noviembre,Autoconsumo
GT0403,Cultivo de Frijol en San Martín Jilotepeque,,false,Bajo,471,280,Mayo-Septiembre,Autoconsumo
GT0403,Cultivo de Hortalizas en San Martín Jilotepeque,Asociación de Productores y Comercializadores de San Martín Jilotepeque,true,Alto,1231,2168,Diario,Exportación
GT0404,Cultivo de Maíz en Comalapa,Cooperativa Integral de Producción Agrícola de Comalapa R.L.,false,Medio,1266,506,Mayo-Noviembre,Autoconsumo
GT0404,Cultivo de Frijol en Comalapa,,false,Bajo,769,249,Mayo-Septiembre,Autoconsumo
GT0404,Cultivo de Hortalizas en Comalapa,Asociación de Productores y Comercializadores de Comalapa,true,Medio,1296,1634,Diario,Mercado Nacional
GT0405,Cultivo de Maíz en Santa Apolonia,Cooperativa Integral de Producción Agrícola de Santa Apolonia R.L.,false,Medio,788,301,Mayo-Noviembre,Autoconsumo
GT0405,Cultivo de Frijol en Santa Apolonia,,false,Bajo,422,94,Mayo-Septiembre,Autoconsumo
GT0405,Cultivo de Hortalizas en Santa Apolonia,Asociación de Productores y Comercializadores de Santa Apolonia,true,Alto,1486,4013,Diario,Autoconsumo
GT0406,Cultivo de Maíz en Tecpán Guatemala,Cooperativa Integral de Producción Agrícola de Tecpán Guatemala R.L.,false,Medio,524,532,Mayo-Noviembre,Autoconsumo
GT0406,Cultivo de Frijol en Tecpán Guatemala,,false,Bajo,521,94,Mayo-Septiembre,Autoconsumo
GT0406,Cultivo de Hortalizas en Tecpán Guatemala,Asociación de Productores y Comercializadores de Tecpán Guatemala,true,Medio,402,3392,Diario,Mixto
GT0407,Cultivo de Maíz en Patzún,Cooperativa Integral de Producción Agrícola de Patzún R.L.,false,Medio,1376,407,Mayo-Noviembre,Autoconsumo
GT0407,Cultivo de Frijol en Patzún,,false,Bajo,743,120,Mayo-Septiembre,Autoconsumo
GT0407,Cultivo de Hortalizas en Patzún,Asociación de Productores y Comercializadores de Patzún,true,Alto,416,4935,Diario,Exportación
GT0408,Cultivo de Maíz en Pochuta,Cooperativa Integral de Producción Agrícola de Pochuta R.L.,false,Medio,1440,191,Mayo-Noviembre,Autoconsumo
GT0408,Cultivo de Frijol en Pochuta,,false,Bajo,390,97,Mayo-Septiembre,Autoconsumo
GT0408,Cultivo de Hortalizas en Pochuta,Asociación de Productores y Comercializadores de Pochuta,true,Medio,439,3765,Diario,Mercado Nacional
GT0409,Cultivo de Maíz en Patzicía,Cooperativa Integral de Producción Agrícola de Patzicía R.L.,false,Medio,881,356,Mayo-Noviembre,Autoconsumo
GT0409,Cultivo de Frijol en Patzicía,,false,Bajo,322,225,Mayo-Septiembre,Autoconsumo
GT0409,Cultivo de Hortalizas en Patzicía,Asociación de Productores y Comercializadores de Patzicía,true,Alto,804,3371,Diario,Autoconsumo
GT0410,Cultivo de Maíz en Santa Cruz Balanyá,Cooperativa Integral de Producción Agrícola de Santa Cruz Balanyá R.L.,false,Medio,481,467,Mayo-Noviembre,Autoconsumo
GT0410,Cultivo de Frijol en Santa Cruz Balanyá,,false,Bajo,283,187,Mayo-Septiembre,Autoconsumo
GT0410,Cultivo de Hortalizas en Santa Cruz Balanyá,Asociación de Productores y Comercializadores de Santa Cruz Balanyá,true,Medio,1495,3315,Diario,Mixto
GT0411,Cultivo de Maíz en Acatenango,Cooperativa Integral de Producción Agrícola de Acatenango R.L.,false,Medio,1470,311,Mayo-Noviembre,Autoconsumo
GT0411,Cultivo de Frijol en Acatenango,,false,Bajo,467,132,Mayo-Septiembre,Autoconsumo
GT0411,Cultivo de Hortalizas en Acatenango,Asociación de Productores y Comercializadores de Acatenango,true,Alto,943,1977,Diario,Exportación
GT0412,Cultivo de Maíz en Yepocapa,Cooperativa Integral de Producción Agrícola de Yepocapa R.L.,false,Medio,943,352,Mayo-Noviembre,Autoconsumo
GT0412,Cultivo de Frijol en Yepocapa,,false,Bajo,334,251,Mayo-Septiembre,Autoconsumo
GT0412,Cultivo de Hortalizas en Yepocapa,Asociación de Productores y Comercializadores de Yepocapa,true,Medio,914,2872,Diario,Mercado Nacional
GT0413,Cultivo de Maíz en San Andrés Itzapa,Cooperativa Integral de Producción Agrícola de San Andrés Itzapa R.L.,false,Medio,1047,534,Mayo-Noviembre,Autoconsumo
GT0413,Cultivo de Frijol en San Andrés Itzapa,,false,Bajo,274,82,Mayo-Septiembre,Autoconsumo
GT0413,Cultivo de Hortalizas en San Andrés Itzapa,Asociación de Productores y Comercializadores de San Andrés Itzapa,true,Alto,1238,3544,Diario,Autoconsumo
GT0414,Cultivo de Maíz en Parramos,Cooperativa Integral de Producción Agrícola de Parramos R.L.,false,Medio,604,187,Mayo-Noviembre,Autoconsumo
GT0414,Cultivo de Frijol en Parramos,,false,Bajo,750,134,Mayo-Septiembre,Autoconsumo
GT0414,Cultivo de Hortalizas en Parramos,Asociación de Productores y Comercializadores de Parramos,true,Medio,1336,2086,Diario,Mixto
GT0415,Cultivo de Maíz en Zaragoza,Cooperativa Integral de Producción Agrícola de Zaragoza R.L.,false,Medio,671,328,Mayo-Noviembre,Autoconsumo
GT0415,Cultivo de Frijol en Zaragoza,,false,Bajo,270,142,Mayo-Septiembre,Autoconsumo
GT0415,Cultivo de Hortalizas en Zaragoza,Asociación de Productores y Comercializadores de Zaragoza,true,Alto,1056,2167,Diario,Exportación
