nombre,categoria,descripcion
Crianza de Aves en Palencia,Pecuaria,Avicultura comercial de carne y postura en el municipio de Palencia.
Cultivo de Maíz en Chinautla,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Chinautla, departamento de Guatemala."
Cultivo de Frijol en Chinautla,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Chinautla, departamento de Guatemala."
Crianza de Aves en Chinautla,Pecuaria,Avicultura comercial de carne y postura en el municipio de Chinautla.
Cultivo de Maíz en San Pedro Ayampuc,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pedro Ayampuc, departamento de Guatemala."
Cultivo de Frijol en San Pedro Ayampuc,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pedro Ayampuc, departamento de Guatemala."
Crianza de Aves en San Pedro Ayampuc,Pecuaria,Avicultura comercial de carne y postura en el municipio de San Pedro Ayampuc.
Cultivo de Maíz en Mixco,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Mixco, departamento de Guatemala."
Cultivo de Frijol en Mixco,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Mixco, departamento de Guatemala."
Crianza de Aves en Mixco,Pecuaria,Avicultura comercial de carne y postura en el municipio de Mixco.
Cultivo de Maíz en San Pedro Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Pedro Sacatepéquez, departamento de Guatemala."
Cultivo de Frijol en San Pedro Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Pedro Sacatepéquez, departamento de Guatemala."
Cultivo de Flores en San Pedro Sacatepéquez,Agrícola,Floricultura comercial en el municipio de San Pedro Sacatepéquez.
Producción de Muebles en San Pedro Sacatepéquez,Artesanía/Textil,Fabricación artesanal de muebles de madera en San Pedro Sacatepéquez.
Cultivo de Maíz en San Juan Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Juan Sacatepéquez, departamento de Guatemala."
Cultivo de Frijol en San Juan Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Juan Sacatepéquez, departamento de Guatemala."
Cultivo de Flores en San Juan Sacatepéquez,Agrícola,Floricultura comercial en el municipio de San Juan Sacatepéquez.
Producción de Muebles en San Juan Sacatepéquez,Artesanía/Textil,Fabricación artesanal de muebles de madera en San Juan Sacatepéquez.
Cultivo de Maíz en San Raimundo,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Raimundo, departamento de Guatemala."
Cultivo de Frijol en San Raimundo,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Raimundo, departamento de Guatemala."
Crianza de Aves en San Raimundo,Pecuaria,Avicultura comercial de carne y postura en el municipio de San Raimundo.
Cultivo de Maíz en Chuarrancho,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Chuarrancho, departamento de Guatemala."
Cultivo de Frijol en Chuarrancho,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Chuarrancho, departamento de Guatemala."
Crianza de Aves en Chuarrancho,Pecuaria,Avicultura comercial de carne y postura en el municipio de Chuarrancho.
Cultivo de Maíz en Fraijanes,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Fraijanes, departamento de Guatemala."
Cultivo de Frijol en Fraijanes,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Fraijanes, departamento de Guatemala."
Crianza de Aves en Fraijanes,Pecuaria,Avicultura comercial de carne y postura en el municipio de Fraijanes.
Cultivo de Maíz en Amatitlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Amatitlán, departamento de Guatemala."
Cultivo de Frijol en Amatitlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Amatitlán, departamento de Guatemala."
Crianza de Aves en Amatitlán,Pecuaria,Avicultura comercial de carne y postura en el municipio de Amatitlán.
Cultivo de Maíz en Villa Nueva,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Villa Nueva, departamento de Guatemala."
Cultivo de Frijol en Villa Nueva,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Villa Nueva, departamento de Guatemala."
Crianza de Aves en Villa Nueva,Pecuaria,Avicultura comercial de carne y postura en el municipio de Villa Nueva.
Cultivo de Maíz en Villa Canales,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Villa Canales, departamento de Guatemala."
Cultivo de Frijol en Villa Canales,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Villa Canales, departamento de Guatemala."
Crianza de Aves en Villa Canales,Pecuaria,Avicultura comercial de carne y postura en el municipio de Villa Canales.
Cultivo de Maíz en Petapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Petapa, departamento de Guatemala."
Cultivo de Frijol en Petapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Petapa, departamento de Guatemala."
Crianza de Aves en Petapa,Pecuaria,Avicultura comercial de carne y postura en el municipio de Petapa.
Cultivo de Maíz en Guastatoya,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Guastatoya, departamento de El Progreso."
Cultivo de Frijol en Guastatoya,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Guastatoya, departamento de El Progreso."
Producción Ganadera en Guastatoya,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de Guastatoya, El Progreso."
Cultivo de Maíz en Morazán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Morazán, departamento de El Progreso."
Cultivo de Frijol en Morazán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Morazán, departamento de El Progreso."
Producción Ganadera en Morazán,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de Morazán, El Progreso."
Cultivo de Maíz en San Agustín Acasaguastlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Agustín Acasaguastlán, departamento de El Progreso."
Cultivo de Frijol en San Agustín Acasaguastlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Agustín Acasaguastlán, departamento de El Progreso."
Producción Ganadera en San Agustín Acasaguastlán,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de San Agustín Acasaguastlán, El Progreso."
Cultivo de Maíz en San Cristóbal Acasaguastlán,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Cristóbal Acasaguastlán, departamento de El Progreso."
Cultivo de Frijol en San Cristóbal Acasaguastlán,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Cristóbal Acasaguastlán, departamento de El Progreso."
Producción Ganadera en San Cristóbal Acasaguastlán,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de San Cristóbal Acasaguastlán, El Progreso."
Cultivo de Maíz en El Jícaro,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Jícaro, departamento de El Progreso."
Cultivo de Frijol en El Jícaro,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Jícaro, departamento de El Progreso."
Producción Ganadera en El Jícaro,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de El Jícaro, El Progreso."
Cultivo de Maíz en Sanarate,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sanarate, departamento de El Progreso."
Cultivo de Frijol en Sanarate,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sanarate, departamento de El Progreso."
Producción Ganadera en Sanarate,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de Sanarate, El Progreso."
Cultivo de Maíz en Sansare,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sansare, departamento de El Progreso."
Cultivo de Frijol en Sansare,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sansare, departamento de El Progreso."
Producción Ganadera en Sansare,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de Sansare, El Progreso."
Cultivo de Maíz en San Antonio La Paz,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Antonio La Paz, departamento de El Progreso."
Cultivo de Frijol en San Antonio La Paz,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Antonio La Paz, departamento de El Progreso."
Producción Ganadera en San Antonio La Paz,Pecuaria,"Ganadería y crianza vacuna en el clima cálido de San Antonio La Paz, El Progreso."
Cultivo de Maíz en Antigua Guatemala,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Antigua Guatemala, departamento de Sacatepéquez."
Cultivo de Frijol en Antigua Guatemala,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Antigua Guatemala, departamento de Sacatepéquez."
Cultivo de Flores en Antigua Guatemala,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Antigua Guatemala, Sacatepéquez."
Cultivo de Café en Antigua Guatemala,Agrícola,Producción y cosecha de café de altura en el municipio de Antigua Guatemala.
Cultivo de Maíz en Jocotenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Jocotenango, departamento de Sacatepéquez."
Cultivo de Frijol en Jocotenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Jocotenango, departamento de Sacatepéquez."
Cultivo de Flores en Jocotenango,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Jocotenango, Sacatepéquez."
Cultivo de Café en Jocotenango,Agrícola,Producción y cosecha de café de altura en el municipio de Jocotenango.
Cultivo de Maíz en Pastores,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Pastores, departamento de Sacatepéquez."
Cultivo de Frijol en Pastores,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Pastores, departamento de Sacatepéquez."
Cultivo de Flores en Pastores,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Pastores, Sacatepéquez."
Cultivo de Café en Pastores,Agrícola,Producción y cosecha de café de altura en el municipio de Pastores.
Producción de Calzado en Pastores,Industrial,Fabricación artesanal de botas y calzado de cuero en el municipio de Pastores.
Cultivo de Maíz en Sumpango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Sumpango, departamento de Sacatepéquez."
Cultivo de Frijol en Sumpango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Sumpango, departamento de Sacatepéquez."
Cultivo de Flores en Sumpango,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Sumpango, Sacatepéquez."
Cultivo de Café en Sumpango,Agrícola,Producción y cosecha de café de altura en el municipio de Sumpango.
Cultivo de Maíz en Santo Domingo Xenacoj,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santo Domingo Xenacoj, departamento de Sacatepéquez."
Cultivo de Frijol en Santo Domingo Xenacoj,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santo Domingo Xenacoj, departamento de Sacatepéquez."
Cultivo de Flores en Santo Domingo Xenacoj,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Santo Domingo Xenacoj, Sacatepéquez."
Cultivo de Café en Santo Domingo Xenacoj,Agrícola,Producción y cosecha de café de altura en el municipio de Santo Domingo Xenacoj.
Cultivo de Maíz en Santiago Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santiago Sacatepéquez, departamento de Sacatepéquez."
Cultivo de Frijol en Santiago Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santiago Sacatepéquez, departamento de Sacatepéquez."
Cultivo de Flores en Santiago Sacatepéquez,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Santiago Sacatepéquez, Sacatepéquez."
Cultivo de Café en Santiago Sacatepéquez,Agrícola,Producción y cosecha de café de altura en el municipio de Santiago Sacatepéquez.
Cultivo de Maíz en San Bartolomé Milpas Altas,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Bartolomé Milpas Altas, departamento de Sacatepéquez."
Cultivo de Frijol en San Bartolomé Milpas Altas,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Bartolomé Milpas Altas, departamento de Sacatepéquez."
Cultivo de Flores en San Bartolomé Milpas Altas,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en San Bartolomé Milpas Altas, Sacatepéquez."
Cultivo de Café en San Bartolomé Milpas Altas,Agrícola,Producción y cosecha de café de altura en el municipio de San Bartolomé Milpas Altas.
Cultivo de Maíz en San Lucas Sacatepéquez,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Lucas Sacatepéquez, departamento de Sacatepéquez."
Cultivo de Frijol en San Lucas Sacatepéquez,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Lucas Sacatepéquez, departamento de Sacatepéquez."
Cultivo de Flores en San Lucas Sacatepéquez,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en San Lucas Sacatepéquez, Sacatepéquez."
Cultivo de Café en San Lucas Sacatepéquez,Agrícola,Producción y cosecha de café de altura en el municipio de San Lucas Sacatepéquez.
Cultivo de Maíz en Santa Lucía Milpas Altas,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Lucía Milpas Altas, departamento de Sacatepéquez."
Cultivo de Frijol en Santa Lucía Milpas Altas,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Lucía Milpas Altas, departamento de Sacatepéquez."
Cultivo de Flores en Santa Lucía Milpas Altas,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Santa Lucía Milpas Altas, Sacatepéquez."
Cultivo de Café en Santa Lucía Milpas Altas,Agrícola,Producción y cosecha de café de altura en el municipio de Santa Lucía Milpas Altas.
Cultivo de Maíz en Magdalena Milpas Altas,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Magdalena Milpas Altas, departamento de Sacatepéquez."
Cultivo de Frijol en Magdalena Milpas Altas,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Magdalena Milpas Altas, departamento de Sacatepéquez."
Cultivo de Flores en Magdalena Milpas Altas,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Magdalena Milpas Altas, Sacatepéquez."
Cultivo de Café en Magdalena Milpas Altas,Agrícola,Producción y cosecha de café de altura en el municipio de Magdalena Milpas Altas.
Cultivo de Maíz en Santa María de Jesús,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa María de Jesús, departamento de Sacatepéquez."
Cultivo de Frijol en Santa María de Jesús,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa María de Jesús, departamento de Sacatepéquez."
Cultivo de Flores en Santa María de Jesús,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Santa María de Jesús, Sacatepéquez."
Cultivo de Café en Santa María de Jesús,Agrícola,Producción y cosecha de café de altura en el municipio de Santa María de Jesús.
Cultivo de Maíz en Ciudad Vieja,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Ciudad Vieja, departamento de Sacatepéquez."
Cultivo de Frijol en Ciudad Vieja,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Ciudad Vieja, departamento de Sacatepéquez."
Cultivo de Flores en Ciudad Vieja,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Ciudad Vieja, Sacatepéquez."
Cultivo de Café en Ciudad Vieja,Agrícola,Producción y cosecha de café de altura en el municipio de Ciudad Vieja.
Cultivo de Maíz en San Miguel Dueñas,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Miguel Dueñas, departamento de Sacatepéquez."
Cultivo de Frijol en San Miguel Dueñas,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Miguel Dueñas, departamento de Sacatepéquez."
Cultivo de Flores en San Miguel Dueñas,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en San Miguel Dueñas, Sacatepéquez."
Cultivo de Café en San Miguel Dueñas,Agrícola,Producción y cosecha de café de altura en el municipio de San Miguel Dueñas.
Cultivo de Maíz en Alotenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Alotenango, departamento de Sacatepéquez."
Cultivo de Frijol en Alotenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Alotenango, departamento de Sacatepéquez."
Cultivo de Flores en Alotenango,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Alotenango, Sacatepéquez."
Cultivo de Café en Alotenango,Agrícola,Producción y cosecha de café de altura en el municipio de Alotenango.
Cultivo de Maíz en San Antonio Aguas Calientes,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Antonio Aguas Calientes, departamento de Sacatepéquez."
Cultivo de Frijol en San Antonio Aguas Calientes,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Antonio Aguas Calientes, departamento de Sacatepéquez."
Cultivo de Flores en San Antonio Aguas Calientes,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en San Antonio Aguas Calientes, Sacatepéquez."
Cultivo de Café en San Antonio Aguas Calientes,Agrícola,Producción y cosecha de café de altura en el municipio de San Antonio Aguas Calientes.
Cultivo de Maíz en Santa Catarina Barahona,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Catarina Barahona, departamento de Sacatepéquez."
Cultivo de Frijol en Santa Catarina Barahona,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Catarina Barahona, departamento de Sacatepéquez."
Cultivo de Flores en Santa Catarina Barahona,Agrícola,"Floricultura de exportación y mercado local (rosas, claveles) en Santa Catarina Barahona, Sacatepéquez."
Cultivo de Café en Santa Catarina Barahona,Agrícola,Producción y cosecha de café de altura en el municipio de Santa Catarina Barahona.
Cultivo de Maíz en Chimaltenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Chimaltenango, departamento de Chimaltenango."
Cultivo de Frijol en Chimaltenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Chimaltenango, departamento de Chimaltenango."
Cultivo de Hortalizas en Chimaltenango,Agrícola,"Cultivo de hortalizas para exportación en Chimaltenango, Chimaltenango."
Cultivo de Maíz en San José Poaquil,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San José Poaquil, departamento de Chimaltenango."
Cultivo de Frijol en San José Poaquil,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San José Poaquil, departamento de Chimaltenango."
Cultivo de Hortalizas en San José Poaquil,Agrícola,"Cultivo de hortalizas para exportación en San José Poaquil, Chimaltenango."
Cultivo de Maíz en San Martín Jilotepeque,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Martín Jilotepeque, departamento de Chimaltenango."
Cultivo de Frijol en San Martín Jilotepeque,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Martín Jilotepeque, departamento de Chimaltenango."
Cultivo de Hortalizas en San Martín Jilotepeque,Agrícola,"Cultivo de hortalizas para exportación en San Martín Jilotepeque, Chimaltenango."
Cultivo de Maíz en Comalapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Comalapa, departamento de Chimaltenango."
Cultivo de Frijol en Comalapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Comalapa, departamento de Chimaltenango."
Cultivo de Hortalizas en Comalapa,Agrícola,"Cultivo de hortalizas para exportación en Comalapa, Chimaltenango."
Cultivo de Maíz en Santa Apolonia,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Apolonia, departamento de Chimaltenango."
Cultivo de Frijol en Santa Apolonia,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Apolonia, departamento de Chimaltenango."
Cultivo de Hortalizas en Santa Apolonia,Agrícola,"Cultivo de hortalizas para exportación en Santa Apolonia, Chimaltenango."
Cultivo de Maíz en Tecpán Guatemala,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Tecpán Guatemala, departamento de Chimaltenango."
Cultivo de Frijol en Tecpán Guatemala,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Tecpán Guatemala, departamento de Chimaltenango."
Cultivo de Hortalizas en Tecpán Guatemala,Agrícola,"Cultivo de hortalizas para exportación en Tecpán Guatemala, Chimaltenango."
Cultivo de Maíz en Patzún,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Patzún, departamento de Chimaltenango."
Cultivo de Frijol en Patzún,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Patzún, departamento de Chimaltenango."
Cultivo de Hortalizas en Patzún,Agrícola,"Cultivo de hortalizas para exportación en Patzún, Chimaltenango."
Cultivo de Maíz en Pochuta,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Pochuta, departamento de Chimaltenango."
Cultivo de Frijol en Pochuta,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Pochuta, departamento de Chimaltenango."
Cultivo de Hortalizas en Pochuta,Agrícola,"Cultivo de hortalizas para exportación en Pochuta, Chimaltenango."
Cultivo de Maíz en Patzicía,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Patzicía, departamento de Chimaltenango."
Cultivo de Frijol en Patzicía,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Patzicía, departamento de Chimaltenango."
Cultivo de Hortalizas en Patzicía,Agrícola,"Cultivo de hortalizas para exportación en Patzicía, Chimaltenango."
Cultivo de Maíz en Santa Cruz Balanyá,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Santa Cruz Balanyá, departamento de Chimaltenango."
Cultivo de Frijol en Santa Cruz Balanyá,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Santa Cruz Balanyá, departamento de Chimaltenango."
Cultivo de Hortalizas en Santa Cruz Balanyá,Agrícola,"Cultivo de hortalizas para exportación en Santa Cruz Balanyá, Chimaltenango."
Cultivo de Maíz en Acatenango,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Acatenango, departamento de Chimaltenango."
Cultivo de Frijol en Acatenango,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Acatenango, departamento de Chimaltenango."
Cultivo de Hortalizas en Acatenango,Agrícola,"Cultivo de hortalizas para exportación en Acatenango, Chimaltenango."
Cultivo de Maíz en Yepocapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Yepocapa, departamento de Chimaltenango."
Cultivo de Frijol en Yepocapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Yepocapa, departamento de Chimaltenango."
Cultivo de Hortalizas en Yepocapa,Agrícola,"Cultivo de hortalizas para exportación en Yepocapa, Chimaltenango."
Cultivo de Maíz en San Andrés Itzapa,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de San Andrés Itzapa, departamento de Chimaltenango."
Cultivo de Frijol en San Andrés Itzapa,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de San Andrés Itzapa, departamento de Chimaltenango."
Cultivo de Hortalizas en San Andrés Itzapa,Agrícola,"Cultivo de hortalizas para exportación en San Andrés Itzapa, Chimaltenango."
Cultivo de Maíz en Parramos,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Parramos, departamento de Chimaltenango."
Cultivo de Frijol en Parramos,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Parramos, departamento de Chimaltenango."
Cultivo de Hortalizas en Parramos,Agrícola,"Cultivo de hortalizas para exportación en Parramos, Chimaltenango."
Cultivo de Maíz en Zaragoza,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Zaragoza, departamento de Chimaltenango."
Cultivo de Frijol en Zaragoza,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Zaragoza, departamento de Chimaltenango."
Cultivo de Hortalizas en Zaragoza,Agrícola,"Cultivo de hortalizas para exportación en Zaragoza, Chimaltenango."
Cultivo de Maíz en El Tejar,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de El Tejar, departamento de Chimaltenango."
Cultivo de Frijol en El Tejar,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de El Tejar, departamento de Chimaltenango."
Cultivo de Hortalizas en El Tejar,Agrícola,"Cultivo de hortalizas para exportación en El Tejar, Chimaltenango."
Cultivo de Maíz en Escuintla,Agrícola,"Producción local y siembra tradicional de maíz para consumo básico en el municipio de Escuintla, departamento de Escuintla."
Cultivo de Frijol en Escuintla,Agrícola,"Siembra y cosecha de frijol negro tradicional como base alimentaria en el municipio de Escuintla, departamento de Escuintla."
Cultivo de Caña de Azúcar en Escuintla,Agrícola,"Cultivo extensivo de caña de azúcar en las planicies fértiles de Escuintla, Escuintla."
