nombre,municipio_pcode,dias_plaza,tipo_mercado,cantidad_vendedores_est,latitud,longitud,descripcion
Mercado Municipal Central de San Agustín Acasaguastlán,GT0203,Diario,Cantonal/Municipal,490,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de San Agustín Acasaguastlán.
Mercado Cantonal de San Agustín Acasaguastlán,GT0203,Jueves y Domingos,Artesanal,611,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en San Agustín Acasaguastlán.
Mercado de Productores y Artesanos de San Agustín Acasaguastlán,GT0203,Sábados,Artesanal,324,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en San Agustín Acasaguastlán.
Mercado Municipal Central de San Cristóbal Acasaguastlán,GT0204,Diario,Cantonal/Municipal,879,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de San Cristóbal Acasaguastlán.
Mercado Cantonal de San Cristóbal Acasaguastlán,GT0204,Jueves y Domingos,Mayorista,752,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en San Cristóbal Acasaguastlán.
Mercado de Productores y Artesanos de San Cristóbal Acasaguastlán,GT0204,Sábados,Mayorista,211,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en San Cristóbal Acasaguastlán.
Mercado Municipal Central de El Jícaro,GT0205,Diario,Cantonal/Municipal,515,14.638400,-90.523300,Mercado municipal de abastos y comercio cotidiano de El Jícaro.
Mercado Cantonal de El Jícaro,GT0205,Jueves y Domingos,Cantonal/Municipal,343,14.641400,-90.526300,Plaza y mercado cantonal de comercio vecinal en El Jícaro.
Mercado de Productores y Artesanos de El Jícaro,GT0205,Sábados,Artesanal,357,14.635400,-90.520300,Mercado de productores locales para venta al por mayor en El Jícaro.
Mercado Municipal Central de Sanarate,GT0206,Diario,Cantonal/Municipal,992,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de Sanarate.
Mercado Cantonal de Sanarate,GT0206,Jueves y Domingos,Mixto,439,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en Sanarate.
Mercado de Productores y Artesanos de Sanarate,GT0206,Sábados,Mayorista,517,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en Sanarate.
Mercado Municipal Central de Sansare,GT0207,Diario,Cantonal/Municipal,1053,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de Sansare.
Mercado Cantonal de Sansare,GT0207,Jueves y Domingos,Artesanal,791,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en Sansare.
Mercado de Productores y Artesanos de Sansare,GT0207,Sábados,Artesanal,406,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en Sansare.
Mercado Municipal Central de San Antonio La Paz,GT0208,Diario,Cantonal/Municipal,1056,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de San Antonio La Paz.
Mercado Cantonal de San Antonio La Paz,GT0208,Jueves y Domingos,Mayorista,442,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en San Antonio La Paz.
Mercado de Productores y Artesanos de San Antonio La Paz,GT0208,Sábados,Mayorista,254,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en San Antonio La Paz.
Mercado Municipal Central de Antigua Guatemala,GT0301,Diario,Cantonal/Municipal,693,14.591400,-90.768100,Mercado municipal de abastos y comercio cotidiano de Antigua Guatemala.
Mercado Cantonal de Antigua Guatemala,GT0301,Jueves y Domingos,Cantonal/Municipal,733,14.594400,-90.771100,Plaza y mercado cantonal de comercio vecinal en Antigua Guatemala.
Mercado de Productores y Artesanos de Antigua Guatemala,GT0301,Sábados,Artesanal,213,14.588400,-90.765100,Mercado de productores locales para venta al por mayor en Antigua Guatemala.
Mercado Municipal Central de Jocotenango,GT0302,Diario,Cantonal/Municipal,1246,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de Jocotenango.
Mercado Cantonal de Jocotenango,GT0302,Jueves y Domingos,Mixto,507,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en Jocotenango.
Mercado de Productores y Artesanos de Jocotenango,GT0302,Sábados,Mayorista,240,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en Jocotenango.
Mercado Municipal Central de Pastores,GT0303,Diario,Cantonal/Municipal,524,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de Pastores.
Mercado Cantonal de Pastores,GT0303,Jueves y Domingos,Artesanal,770,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en Pastores.
Mercado de Productores y Artesanos de Pastores,GT0303,Sábados,Artesanal,585,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en Pastores.
Mercado Municipal Central de Sumpango,GT0304,Diario,Cantonal/Municipal,758,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de Sumpango.
Mercado Cantonal de Sumpango,GT0304,Jueves y Domingos,Mayorista,637,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en Sumpango.
Mercado de Productores y Artesanos de Sumpango,GT0304,Sábados,Mayorista,384,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en Sumpango.
Mercado Municipal Central de Santo Domingo Xenacoj,GT0305,Diario,Cantonal/Municipal,1415,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Santo Domingo Xenacoj.
Mercado Cantonal de Santo Domingo Xenacoj,GT0305,Jueves y Domingos,Cantonal/Municipal,248,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Santo Domingo Xenacoj.
Mercado de Productores y Artesanos de Santo Domingo Xenacoj,GT0305,Sábados,Artesanal,597,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Santo Domingo Xenacoj.
Mercado Municipal Central de Santiago Sacatepéquez,GT0306,Diario,Cantonal/Municipal,1105,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Santiago Sacatepéquez.
Mercado Cantonal de Santiago Sacatepéquez,GT0306,Jueves y Domingos,Mixto,590,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Santiago Sacatepéquez.
Mercado de Productores y Artesanos de Santiago Sacatepéquez,GT0306,Sábados,Mayorista,502,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Santiago Sacatepéquez.
Mercado Municipal Central de San Bartolomé Milpas Altas,GT0307,Diario,Cantonal/Municipal,1474,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de San Bartolomé Milpas Altas.
Mercado Cantonal de San Bartolomé Milpas Altas,GT0307,Jueves y Domingos,Artesanal,526,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en San Bartolomé Milpas Altas.
Mercado de Productores y Artesanos de San Bartolomé Milpas Altas,GT0307,Sábados,Artesanal,456,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en San Bartolomé Milpas Altas.
Mercado Municipal Central de San Lucas Sacatepéquez,GT0308,Diario,Cantonal/Municipal,1252,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de San Lucas Sacatepéquez.
Mercado Cantonal de San Lucas Sacatepéquez,GT0308,Jueves y Domingos,Mayorista,618,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en San Lucas Sacatepéquez.
Mercado de Productores y Artesanos de San Lucas Sacatepéquez,GT0308,Sábados,Mayorista,176,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en San Lucas Sacatepéquez.
Mercado Municipal Central de Santa Lucía Milpas Altas,GT0309,Diario,Cantonal/Municipal,1014,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de Santa Lucía Milpas Altas.
Mercado Cantonal de Santa Lucía Milpas Altas,GT0309,Jueves y Domingos,Cantonal/Municipal,585,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en Santa Lucía Milpas Altas.
Mercado de Productores y Artesanos de Santa Lucía Milpas Altas,GT0309,Sábados,Artesanal,194,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en Santa Lucía Milpas Altas.
Mercado Municipal Central de Magdalena Milpas Altas,GT0310,Diario,Cantonal/Municipal,1369,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Magdalena Milpas Altas.
Mercado Cantonal de Magdalena Milpas Altas,GT0310,Jueves y Domingos,Mixto,446,14.706400,-90.591300,Plaza y mercado cantonal de comercio vecinal en Magdalena Milpas Altas.
Mercado de Productores y Artesanos de Magdalena Milpas Altas,GT0310,Sábados,Mayorista,534,14.700400,-90.585300,Mercado de productores locales para venta al por mayor en Magdalena Milpas Altas.
Mercado Municipal Central de Santa María de Jesús,GT0311,Diario,Cantonal/Municipal,861,14.708400,-90.593300,Mercado municipal de abastos y comercio cotidiano de Santa María de Jesús.
Mercado Cantonal de Santa María de Jesús,GT0311,Jueves y Domingos,Artesanal,507,14.711400,-90.596300,Plaza y mercado cantonal de comercio vecinal en Santa María de Jesús.
Mercado de Productores y Artesanos de Santa María de Jesús,GT0311,Sábados,Artesanal,539,14.705400,-90.590300,Mercado de productores locales para venta al por mayor en Santa María de Jesús.
Mercado Municipal Central de Ciudad Vieja,GT0312,Diario,Cantonal/Municipal,695,14.713400,-90.598300,Mercado municipal de abastos y comercio cotidiano de Ciudad Vieja.
Mercado Cantonal de Ciudad Vieja,GT0312,Jueves y Domingos,Mayorista,674,14.716400,-90.601300,Plaza y mercado cantonal de comercio vecinal en Ciudad Vieja.
Mercado de Productores y Artesanos de Ciudad Vieja,GT0312,Sábados,Mayorista,568,14.710400,-90.595300,Mercado de productores locales para venta al por mayor en Ciudad Vieja.
Mercado Municipal Central de San Miguel Dueñas,GT0313,Diario,Cantonal/Municipal,518,14.718400,-90.603300,Mercado municipal de abastos y comercio cotidiano de San Miguel Dueñas.
Mercado Cantonal de San Miguel Dueñas,GT0313,Jueves y Domingos,Cantonal/Municipal,775,14.721400,-90.606300,Plaza y mercado cantonal de comercio vecinal en San Miguel Dueñas.
Mercado de Productores y Artesanos de San Miguel Dueñas,GT0313,Sábados,Artesanal,311,14.715400,-90.600300,Mercado de productores locales para venta al por mayor en San Miguel Dueñas.
Mercado Municipal Central de Alotenango,GT0314,Diario,Cantonal/Municipal,1253,14.723400,-90.608300,Mercado municipal de abastos y comercio cotidiano de Alotenango.
Mercado Cantonal de Alotenango,GT0314,Jueves y Domingos,Mixto,770,14.726400,-90.611300,Plaza y mercado cantonal de comercio vecinal en Alotenango.
Mercado de Productores y Artesanos de Alotenango,GT0314,Sábados,Mayorista,371,14.720400,-90.605300,Mercado de productores locales para venta al por mayor en Alotenango.
Mercado Municipal Central de San Antonio Aguas Calientes,GT0315,Diario,Cantonal/Municipal,674,14.628400,-90.513300,Mercado municipal de abastos y comercio cotidiano de San Antonio Aguas Calientes.
Mercado Cantonal de San Antonio Aguas Calientes,GT0315,Jueves y Domingos,Artesanal,597,14.631400,-90.516300,Plaza y mercado cantonal de comercio vecinal en San Antonio Aguas Calientes.
Mercado de Productores y Artesanos de San Antonio Aguas Calientes,GT0315,Sábados,Artesanal,224,14.625400,-90.510300,Mercado de productores locales para venta al por mayor en San Antonio Aguas Calientes.
Mercado Municipal Central de Santa Catarina Barahona,GT0316,Diario,Cantonal/Municipal,922,14.633400,-90.518300,Mercado municipal de abastos y comercio cotidiano de Santa Catarina Barahona.
Mercado Cantonal de Santa Catarina Barahona,GT0316,Jueves y Domingos,Mayorista,408,14.636400,-90.521300,Plaza y mercado cantonal de comercio vecinal en Santa Catarina Barahona.
Mercado de Productores y Artesanos de Santa Catarina Barahona,GT0316,Sábados,Mayorista,269,14.630400,-90.515300,Mercado de productores locales para venta al por mayor en Santa Catarina Barahona.
Mercado Municipal Central de Chimaltenango,GT0401,Diario,Cantonal/Municipal,561,14.671700,-90.830800,Mercado municipal de abastos y comercio cotidiano de Chimaltenango.
Mercado Cantonal de Chimaltenango,GT0401,Jueves y Domingos,Cantonal/Municipal,660,14.674700,-90.833800,Plaza y mercado cantonal de comercio vecinal en Chimaltenango.
Mercado de Productores y Artesanos de Chimaltenango,GT0401,Sábados,Artesanal,533,14.668700,-90.827800,Mercado de productores locales para venta al por mayor en Chimaltenango.
Mercado Municipal Central de San José Poaquil,GT0402,Diario,Cantonal/Municipal,1159,14.643400,-90.528300,Mercado municipal de abastos y comercio cotidiano de San José Poaquil.
Mercado Cantonal de San José Poaquil,GT0402,Jueves y Domingos,Mixto,294,14.646400,-90.531300,Plaza y mercado cantonal de comercio vecinal en San José Poaquil.
Mercado de Productores y Artesanos de San José Poaquil,GT0402,Sábados,Mayorista,374,14.640400,-90.525300,Mercado de productores locales para venta al por mayor en San José Poaquil.
Mercado Municipal Central de San Martín Jilotepeque,GT0403,Diario,Cantonal/Municipal,790,14.648400,-90.533300,Mercado municipal de abastos y comercio cotidiano de San Martín Jilotepeque.
Mercado Cantonal de San Martín Jilotepeque,GT0403,Jueves y Domingos,Artesanal,252,14.651400,-90.536300,Plaza y mercado cantonal de comercio vecinal en San Martín Jilotepeque.
Mercado de Productores y Artesanos de San Martín Jilotepeque,GT0403,Sábados,Artesanal,237,14.645400,-90.530300,Mercado de productores locales para venta al por mayor en San Martín Jilotepeque.
Mercado Municipal Central de Comalapa,GT0404,Diario,Cantonal/Municipal,1172,14.653400,-90.538300,Mercado municipal de abastos y comercio cotidiano de Comalapa.
Mercado Cantonal de Comalapa,GT0404,Jueves y Domingos,Mayorista,240,14.656400,-90.541300,Plaza y mercado cantonal de comercio vecinal en Comalapa.
Mercado de Productores y Artesanos de Comalapa,GT0404,Sábados,Mayorista,547,14.650400,-90.535300,Mercado de productores locales para venta al por mayor en Comalapa.
Mercado Municipal Central de Santa Apolonia,GT0405,Diario,Cantonal/Municipal,549,14.658400,-90.543300,Mercado municipal de abastos y comercio cotidiano de Santa Apolonia.
Mercado Cantonal de Santa Apolonia,GT0405,Jueves y Domingos,Cantonal/Municipal,392,14.661400,-90.546300,Plaza y mercado cantonal de comercio vecinal en Santa Apolonia.
Mercado de Productores y Artesanos de Santa Apolonia,GT0405,Sábados,Artesanal,511,14.655400,-90.540300,Mercado de productores locales para venta al por mayor en Santa Apolonia.
Mercado Municipal Central de Tecpán Guatemala,GT0406,Diario,Cantonal/Municipal,844,14.663400,-90.548300,Mercado municipal de abastos y comercio cotidiano de Tecpán Guatemala.
Mercado Cantonal de Tecpán Guatemala,GT0406,Jueves y Domingos,Mixto,690,14.666400,-90.551300,Plaza y mercado cantonal de comercio vecinal en Tecpán Guatemala.
Mercado de Productores y Artesanos de Tecpán Guatemala,GT0406,Sábados,Mayorista,206,14.660400,-90.545300,Mercado de productores locales para venta al por mayor en Tecpán Guatemala.
Mercado Municipal Central de Patzún,GT0407,Diario,Cantonal/Municipal,1081,14.668400,-90.553300,Mercado municipal de abastos y comercio cotidiano de Patzún.
Mercado Cantonal de Patzún,GT0407,Jueves y Domingos,Artesanal,510,14.671400,-90.556300,Plaza y mercado cantonal de comercio vecinal en Patzún.
Mercado de Productores y Artesanos de Patzún,GT0407,Sábados,Artesanal,589,14.665400,-90.550300,Mercado de productores locales para venta al por mayor en Patzún.
Mercado Municipal Central de Pochuta,GT0408,Diario,Cantonal/Municipal,431,14.673400,-90.558300,Mercado municipal de abastos y comercio cotidiano de Pochuta.
Mercado Cantonal de Pochuta,GT0408,Jueves y Domingos,Mayorista,416,14.676400,-90.561300,Plaza y mercado cantonal de comercio vecinal en Pochuta.
Mercado de Productores y Artesanos de Pochuta,GT0408,Sábados,Mayorista,579,14.670400,-90.555300,Mercado de productores locales para venta al por mayor en Pochuta.
Mercado Municipal Central de Patzicía,GT0409,Diario,Cantonal/Municipal,789,14.678400,-90.563300,Mercado municipal de abastos y comercio cotidiano de Patzicía.
Mercado Cantonal de Patzicía,GT0409,Jueves y Domingos,Cantonal/Municipal,320,14.681400,-90.566300,Plaza y mercado cantonal de comercio vecinal en Patzicía.
Mercado de Productores y Artesanos de Patzicía,GT0409,Sábados,Artesanal,482,14.675400,-90.560300,Mercado de productores locales para venta al por mayor en Patzicía.
Mercado Municipal Central de Santa Cruz Balanyá,GT0410,Diario,Cantonal/Municipal,1380,14.683400,-90.568300,Mercado municipal de abastos y comercio cotidiano de Santa Cruz Balanyá.
Mercado Cantonal de Santa Cruz Balanyá,GT0410,Jueves y Domingos,Mixto,448,14.686400,-90.571300,Plaza y mercado cantonal de comercio vecinal en Santa Cruz Balanyá.
Mercado de Productores y Artesanos de Santa Cruz Balanyá,GT0410,Sábados,Mayorista,456,14.680400,-90.565300,Mercado de productores locales para venta al por mayor en Santa Cruz Balanyá.
Mercado Municipal Central de Acatenango,GT0411,Diario,Cantonal/Municipal,818,14.688400,-90.573300,Mercado municipal de abastos y comercio cotidiano de Acatenango.
Mercado Cantonal de Acatenango,GT0411,Jueves y Domingos,Artesanal,606,14.691400,-90.576300,Plaza y mercado cantonal de comercio vecinal en Acatenango.
Mercado de Productores y Artesanos de Acatenango,GT0411,Sábados,Artesanal,568,14.685400,-90.570300,Mercado de productores locales para venta al por mayor en Acatenango.
Mercado Municipal Central de Yepocapa,GT0412,Diario,Cantonal/Municipal,890,14.693400,-90.578300,Mercado municipal de abastos y comercio cotidiano de Yepocapa.
Mercado Cantonal de Yepocapa,GT0412,Jueves y Domingos,Mayorista,765,14.696400,-90.581300,Plaza y mercado cantonal de comercio vecinal en Yepocapa.
Mercado de Productores y Artesanos de Yepocapa,GT0412,Sábados,Mayorista,264,14.690400,-90.575300,Mercado de productores locales para venta al por mayor en Yepocapa.
Mercado Municipal Central de San Andrés Itzapa,GT0413,Diario,Cantonal/Municipal,979,14.698400,-90.583300,Mercado municipal de abastos y comercio cotidiano de San Andrés Itzapa.
Mercado Cantonal de San Andrés Itzapa,GT0413,Jueves y Domingos,Cantonal/Municipal,589,14.701400,-90.586300,Plaza y mercado cantonal de comercio vecinal en San Andrés Itzapa.
Mercado de Productores y Artesanos de San Andrés Itzapa,GT0413,Sábados,Artesanal,338,14.695400,-90.580300,Mercado de productores locales para venta al por mayor en San Andrés Itzapa.
Mercado Municipal Central de Parramos,GT0414,Diario,Cantonal/Municipal,1492,14.703400,-90.588300,Mercado municipal de abastos y comercio cotidiano de Parramos.
