actividad_nombre,materia_nombre,es_indispensable
Cultivo de Maíz en San Agustín Acasaguastlán,Semilla de Maíz de San Agustín Acasaguastlán,true
Cultivo de Frijol en San Agustín Acasaguastlán,Semilla de Frijol de San Agustín Acasaguastlán,true
Cultivo de Maíz en San Agustín Acasaguastlán,Abono Orgánico de San Agustín Acasaguastlán,false
Cultivo de Maíz en San Cristóbal Acasaguastlán,Semilla de Maíz de San Cristóbal Acasaguastlán,true
Cultivo de Frijol en San Cristóbal Acasaguastlán,Semilla de Frijol de San Cristóbal Acasaguastlán,true
Cultivo de Maíz en San Cristóbal Acasaguastlán,Abono Orgánico de San Cristóbal Acasaguastlán,false
Cultivo de Maíz en El Jícaro,Semilla de Maíz de El Jícaro,true
Cultivo de Frijol en El Jícaro,Semilla de Frijol de El Jícaro,true
Cultivo de Maíz en El Jícaro,Abono Orgánico de El Jícaro,false
Cultivo de Maíz en Sanarate,Semilla de Maíz de Sanarate,true
Cultivo de Frijol en Sanarate,Semilla de Frijol de Sanarate,true
Cultivo de Maíz en Sanarate,Abono Orgánico de Sanarate,false
Cultivo de Maíz en Sansare,Semilla de Maíz de Sansare,true
Cultivo de Frijol en Sansare,Semilla de Frijol de Sansare,true
Cultivo de Maíz en Sansare,Abono Orgánico de Sansare,false
Cultivo de Maíz en San Antonio La Paz,Semilla de Maíz de San Antonio La Paz,true
Cultivo de Frijol en San Antonio La Paz,Semilla de Frijol de San Antonio La Paz,true
Cultivo de Maíz en San Antonio La Paz,Abono Orgánico de San Antonio La Paz,false
Cultivo de Maíz en Antigua Guatemala,Semilla de Maíz de Antigua Guatemala,true
Cultivo de Frijol en Antigua Guatemala,Semilla de Frijol de Antigua Guatemala,true
Cultivo de Maíz en Antigua Guatemala,Abono Orgánico de Antigua Guatemala,false
Cultivo de Maíz en Jocotenango,Semilla de Maíz de Jocotenango,true
Cultivo de Frijol en Jocotenango,Semilla de Frijol de Jocotenango,true
Cultivo de Maíz en Jocotenango,Abono Orgánico de Jocotenango,false
Cultivo de Maíz en Pastores,Semilla de Maíz de Pastores,true
Cultivo de Frijol en Pastores,Semilla de Frijol de Pastores,true
Cultivo de Maíz en Pastores,Abono Orgánico de Pastores,false
Cultivo de Maíz en Sumpango,Semilla de Maíz de Sumpango,true
Cultivo de Frijol en Sumpango,Semilla de Frijol de Sumpango,true
Cultivo de Maíz en Sumpango,Abono Orgánico de Sumpango,false
Cultivo de Maíz en Santo Domingo Xenacoj,Semilla de Maíz de Santo Domingo Xenacoj,true
Cultivo de Frijol en Santo Domingo Xenacoj,Semilla de Frijol de Santo Domingo Xenacoj,true
Cultivo de Maíz en Santo Domingo Xenacoj,Abono Orgánico de Santo Domingo Xenacoj,false
Cultivo de Maíz en Santiago Sacatepéquez,Semilla de Maíz de Santiago Sacatepéquez,true
Cultivo de Frijol en Santiago Sacatepéquez,Semilla de Frijol de Santiago Sacatepéquez,true
Cultivo de Maíz en Santiago Sacatepéquez,Abono Orgánico de Santiago Sacatepéquez,false
Cultivo de Maíz en San Bartolomé Milpas Altas,Semilla de Maíz de San Bartolomé Milpas Altas,true
Cultivo de Frijol en San Bartolomé Milpas Altas,Semilla de Frijol de San Bartolomé Milpas Altas,true
Cultivo de Maíz en San Bartolomé Milpas Altas,Abono Orgánico de San Bartolomé Milpas Altas,false
Cultivo de Maíz en San Lucas Sacatepéquez,Semilla de Maíz de San Lucas Sacatepéquez,true
Cultivo de Frijol en San Lucas Sacatepéquez,Semilla de Frijol de San Lucas Sacatepéquez,true
Cultivo de Maíz en San Lucas Sacatepéquez,Abono Orgánico de San Lucas Sacatepéquez,false
Cultivo de Maíz en Santa Lucía Milpas Altas,Semilla de Maíz de Santa Lucía Milpas Altas,true
Cultivo de Frijol en Santa Lucía Milpas Altas,Semilla de Frijol de Santa Lucía Milpas Altas,true
Cultivo de Maíz en Santa Lucía Milpas Altas,Abono Orgánico de Santa Lucía Milpas Altas,false
Cultivo de Maíz en Magdalena Milpas Altas,Semilla de Maíz de Magdalena Milpas Altas,true
Cultivo de Frijol en Magdalena Milpas Altas,Semilla de Frijol de Magdalena Milpas Altas,true
Cultivo de Maíz en Magdalena Milpas Altas,Abono Orgánico de Magdalena Milpas Altas,false
Cultivo de Maíz en Santa María de Jesús,Semilla de Maíz de Santa María de Jesús,true
Cultivo de Frijol en Santa María de Jesús,Semilla de Frijol de Santa María de Jesús,true
Cultivo de Maíz en Santa María de Jesús,Abono Orgánico de Santa María de Jesús,false
Cultivo de Maíz en Ciudad Vieja,Semilla de Maíz de Ciudad Vieja,true
Cultivo de Frijol en Ciudad Vieja,Semilla de Frijol de Ciudad Vieja,true
Cultivo de Maíz en Ciudad Vieja,Abono Orgánico de Ciudad Vieja,false
Cultivo de Maíz en San Miguel Dueñas,Semilla de Maíz de San Miguel Dueñas,true
Cultivo de Frijol en San Miguel Dueñas,Semilla de Frijol de San Miguel Dueñas,true
Cultivo de Maíz en San Miguel Dueñas,Abono Orgánico de San Miguel Dueñas,false
Cultivo de Maíz en Alotenango,Semilla de Maíz de Alotenango,true
Cultivo de Frijol en Alotenango,Semilla de Frijol de Alotenango,true
Cultivo de Maíz en Alotenango,Abono Orgánico de Alotenango,false
Cultivo de Maíz en San Antonio Aguas Calientes,Semilla de Maíz de San Antonio Aguas Calientes,true
Cultivo de Frijol en San Antonio Aguas Calientes,Semilla de Frijol de San Antonio Aguas Calientes,true
Cultivo de Maíz en San Antonio Aguas Calientes,Abono Orgánico de San Antonio Aguas Calientes,false
Cultivo de Maíz en Santa Catarina Barahona,Semilla de Maíz de Santa Catarina Barahona,true
Cultivo de Frijol en Santa Catarina Barahona,Semilla de Frijol de Santa Catarina Barahona,true
Cultivo de Maíz en Santa Catarina Barahona,Abono Orgánico de Santa Catarina Barahona,false
Cultivo de Maíz en Chimaltenango,Semilla de Maíz de Chimaltenango,true
Cultivo de Frijol en Chimaltenango,Semilla de Frijol de Chimaltenango,true
Cultivo de Maíz en Chimaltenango,Abono Orgánico de Chimaltenango,false
Cultivo de Maíz en San José Poaquil,Semilla de Maíz de San José Poaquil,true
Cultivo de Frijol en San José Poaquil,Semilla de Frijol de San José Poaquil,true
Cultivo de Maíz en San José Poaquil,Abono Orgánico de San José Poaquil,false
Cultivo de Maíz en San Martín Jilotepeque,Semilla de Maíz de San Martín Jilotepeque,true
Cultivo de Frijol en San Martín Jilotepeque,Semilla de Frijol de San Martín Jilotepeque,true
Cultivo de Maíz en San Martín Jilotepeque,Abono Orgánico de San Martín Jilotepeque,false
Cultivo de Maíz en Comalapa,Semilla de Maíz de Comalapa,true
Cultivo de Frijol en Comalapa,Semilla de Frijol de Comalapa,true
Cultivo de Maíz en Comalapa,Abono Orgánico de Comalapa,false
Cultivo de Maíz en Santa Apolonia,Semilla de Maíz de Santa Apolonia,true
Cultivo de Frijol en Santa Apolonia,Semilla de Frijol de Santa Apolonia,true
Cultivo de Maíz en Santa Apolonia,Abono Orgánico de Santa Apolonia,false
Cultivo de Maíz en Tecpán Guatemala,Semilla de Maíz de Tecpán Guatemala,true
Cultivo de Frijol en Tecpán Guatemala,Semilla de Frijol de Tecpán Guatemala,true
Cultivo de Maíz en Tecpán Guatemala,Abono Orgánico de Tecpán Guatemala,false
Cultivo de Maíz en Patzún,Semilla de Maíz de Patzún,true
Cultivo de Frijol en Patzún,Semilla de Frijol de Patzún,true
Cultivo de Maíz en Patzún,Abono Orgánico de Patzún,false
Cultivo de Maíz en Pochuta,Semilla de Maíz de Pochuta,true
Cultivo de Frijol en Pochuta,Semilla de Frijol de Pochuta,true
Cultivo de Maíz en Pochuta,Abono Orgánico de Pochuta,false
Cultivo de Maíz en Patzicía,Semilla de Maíz de Patzicía,true
Cultivo de Frijol en Patzicía,Semilla de Frijol de Patzicía,true
Cultivo de Maíz en Patzicía,Abono Orgánico de Patzicía,false
Cultivo de Maíz en Santa Cruz Balanyá,Semilla de Maíz de Santa Cruz Balanyá,true
Cultivo de Frijol en Santa Cruz Balanyá,Semilla de Frijol de Santa Cruz Balanyá,true
Cultivo de Maíz en Santa Cruz Balanyá,Abono Orgánico de Santa Cruz Balanyá,false
Cultivo de Maíz en Acatenango,Semilla de Maíz de Acatenango,true
Cultivo de Frijol en Acatenango,Semilla de Frijol de Acatenango,true
Cultivo de Maíz en Acatenango,Abono Orgánico de Acatenango,false
Cultivo de Maíz en Yepocapa,Semilla de Maíz de Yepocapa,true
Cultivo de Frijol en Yepocapa,Semilla de Frijol de Yepocapa,true
Cultivo de Maíz en Yepocapa,Abono Orgánico de Yepocapa,false
Cultivo de Maíz en San Andrés Itzapa,Semilla de Maíz de San Andrés Itzapa,true
Cultivo de Frijol en San Andrés Itzapa,Semilla de Frijol de San Andrés Itzapa,true
Cultivo de Maíz en San Andrés Itzapa,Abono Orgánico de San Andrés Itzapa,false
Cultivo de Maíz en Parramos,Semilla de Maíz de Parramos,true
Cultivo de Frijol en Parramos,Semilla de Frijol de Parramos,true
Cultivo de Maíz en Parramos,Abono Orgánico de Parramos,false
Cultivo de Maíz en Zaragoza,Semilla de Maíz de Zaragoza,true
Cultivo de Frijol en Zaragoza,Semilla de Frijol de Zaragoza,true
Cultivo de Maíz en Zaragoza,Abono Orgánico de Zaragoza,false
Cultivo de Maíz en El Tejar,Semilla de Maíz de El Tejar,true
Cultivo de Frijol en El Tejar,Semilla de Frijol de El Tejar,true
Cultivo de Maíz en El Tejar,Abono Orgánico de El Tejar,false
Cultivo de Maíz en Escuintla,Semilla de Maíz de Escuintla,true
Cultivo de Frijol en Escuintla,Semilla de Frijol de Escuintla,true
Cultivo de Maíz en Escuintla,Abono Orgánico de Escuintla,false
Cultivo de Maíz en Santa Lucía Cotzumalguapa,Semilla de Maíz de Santa Lucía Cotzumalguapa,true
Cultivo de Frijol en Santa Lucía Cotzumalguapa,Semilla de Frijol de Santa Lucía Cotzumalguapa,true
Cultivo de Maíz en Santa Lucía Cotzumalguapa,Abono Orgánico de Santa Lucía Cotzumalguapa,false
Cultivo de Maíz en La Democracia,Semilla de Maíz de La Democracia,true
Cultivo de Frijol en La Democracia,Semilla de Frijol de La Democracia,true
Cultivo de Maíz en La Democracia,Abono Orgánico de La Democracia,false
Cultivo de Maíz en Siquinalá,Semilla de Maíz de Siquinalá,true
Cultivo de Frijol en Siquinalá,Semilla de Frijol de Siquinalá,true
Cultivo de Maíz en Siquinalá,Abono Orgánico de Siquinalá,false
Cultivo de Maíz en Masagua,Semilla de Maíz de Masagua,true
Cultivo de Frijol en Masagua,Semilla de Frijol de Masagua,true
Cultivo de Maíz en Masagua,Abono Orgánico de Masagua,false
Cultivo de Maíz en Tiquisate,Semilla de Maíz de Tiquisate,true
Cultivo de Frijol en Tiquisate,Semilla de Frijol de Tiquisate,true
Cultivo de Maíz en Tiquisate,Abono Orgánico de Tiquisate,false
Cultivo de Maíz en La Gomera,Semilla de Maíz de La Gomera,true
Cultivo de Frijol en La Gomera,Semilla de Frijol de La Gomera,true
Cultivo de Maíz en La Gomera,Abono Orgánico de La Gomera,false
Cultivo de Maíz en Guanagazapa,Semilla de Maíz de Guanagazapa,true
Cultivo de Frijol en Guanagazapa,Semilla de Frijol de Guanagazapa,true
Cultivo de Maíz en Guanagazapa,Abono Orgánico de Guanagazapa,false
Cultivo de Maíz en San José,Semilla de Maíz de San José,true
Cultivo de Frijol en San José,Semilla de Frijol de San José,true
Cultivo de Maíz en San José,Abono Orgánico de San José,false
Cultivo de Maíz en Iztapa,Semilla de Maíz de Iztapa,true
Cultivo de Frijol en Iztapa,Semilla de Frijol de Iztapa,true
Cultivo de Maíz en Iztapa,Abono Orgánico de Iztapa,false
Cultivo de Maíz en Palín,Semilla de Maíz de Palín,true
Cultivo de Frijol en Palín,Semilla de Frijol de Palín,true
Cultivo de Maíz en Palín,Abono Orgánico de Palín,false
Cultivo de Maíz en San Vicente Pacaya,Semilla de Maíz de San Vicente Pacaya,true
Cultivo de Frijol en San Vicente Pacaya,Semilla de Frijol de San Vicente Pacaya,true
Cultivo de Maíz en San Vicente Pacaya,Abono Orgánico de San Vicente Pacaya,false
Cultivo de Maíz en Nueva Concepción,Semilla de Maíz de Nueva Concepción,true
Cultivo de Frijol en Nueva Concepción,Semilla de Frijol de Nueva Concepción,true
Cultivo de Maíz en Nueva Concepción,Abono Orgánico de Nueva Concepción,false
Cultivo de Maíz en Sipacate,Semilla de Maíz de Sipacate,true
Cultivo de Frijol en Sipacate,Semilla de Frijol de Sipacate,true
Cultivo de Maíz en Sipacate,Abono Orgánico de Sipacate,false
Cultivo de Maíz en Cuilapa,Semilla de Maíz de Cuilapa,true
Cultivo de Frijol en Cuilapa,Semilla de Frijol de Cuilapa,true
Cultivo de Maíz en Cuilapa,Abono Orgánico de Cuilapa,false
Cultivo de Maíz en Barberena,Semilla de Maíz de Barberena,true
Cultivo de Frijol en Barberena,Semilla de Frijol de Barberena,true
Cultivo de Maíz en Barberena,Abono Orgánico de Barberena,false
Cultivo de Maíz en Santa Rosa de Lima,Semilla de Maíz de Santa Rosa de Lima,true
Cultivo de Frijol en Santa Rosa de Lima,Semilla de Frijol de Santa Rosa de Lima,true
Cultivo de Maíz en Santa Rosa de Lima,Abono Orgánico de Santa Rosa de Lima,false
Cultivo de Maíz en Casillas,Semilla de Maíz de Casillas,true
Cultivo de Frijol en Casillas,Semilla de Frijol de Casillas,true
Cultivo de Maíz en Casillas,Abono Orgánico de Casillas,false
Cultivo de Maíz en San Rafael Las Flores,Semilla de Maíz de San Rafael Las Flores,true
Cultivo de Frijol en San Rafael Las Flores,Semilla de Frijol de San Rafael Las Flores,true
Cultivo de Maíz en San Rafael Las Flores,Abono Orgánico de San Rafael Las Flores,false
Cultivo de Maíz en Oratorio,Semilla de Maíz de Oratorio,true
Cultivo de Frijol en Oratorio,Semilla de Frijol de Oratorio,true
Cultivo de Maíz en Oratorio,Abono Orgánico de Oratorio,false
Cultivo de Maíz en San Juan Tecuaco,Semilla de Maíz de San Juan Tecuaco,true
Cultivo de Frijol en San Juan Tecuaco,Semilla de Frijol de San Juan Tecuaco,true
Cultivo de Maíz en San Juan Tecuaco,Abono Orgánico de San Juan Tecuaco,false
Cultivo de Maíz en Chiquimulilla,Semilla de Maíz de Chiquimulilla,true
Cultivo de Frijol en Chiquimulilla,Semilla de Frijol de Chiquimulilla,true
Cultivo de Maíz en Chiquimulilla,Abono Orgánico de Chiquimulilla,false
Cultivo de Maíz en Taxisco,Semilla de Maíz de Taxisco,true
Cultivo de Frijol en Taxisco,Semilla de Frijol de Taxisco,true
Cultivo de Maíz en Taxisco,Abono Orgánico de Taxisco,false
Cultivo de Maíz en Santa María Ixhuatán,Semilla de Maíz de Santa María Ixhuatán,true
Cultivo de Frijol en Santa María Ixhuatán,Semilla de Frijol de Santa María Ixhuatán,true
Cultivo de Maíz en Santa María Ixhuatán,Abono Orgánico de Santa María Ixhuatán,false
Cultivo de Maíz en Guazacapán,Semilla de Maíz de Guazacapán,true
Cultivo de Frijol en Guazacapán,Semilla de Frijol de Guazacapán,true
Cultivo de Maíz en Guazacapán,Abono Orgánico de Guazacapán,false
Cultivo de Maíz en Santa Cruz Naranjo,Semilla de Maíz de Santa Cruz Naranjo,true
Cultivo de Frijol en Santa Cruz Naranjo,Semilla de Frijol de Santa Cruz Naranjo,true
Cultivo de Maíz en Santa Cruz Naranjo,Abono Orgánico de Santa Cruz Naranjo,false
Cultivo de Maíz en Pueblo Nuevo Viñas,Semilla de Maíz de Pueblo Nuevo Viñas,true
Cultivo de Frijol en Pueblo Nuevo Viñas,Semilla de Frijol de Pueblo Nuevo Viñas,true
Cultivo de Maíz en Pueblo Nuevo Viñas,Abono Orgánico de Pueblo Nuevo Viñas,false
Cultivo de Maíz en Nueva Santa Rosa,Semilla de Maíz de Nueva Santa Rosa,true
Cultivo de Frijol en Nueva Santa Rosa,Semilla de Frijol de Nueva Santa Rosa,true
Cultivo de Maíz en Nueva Santa Rosa,Abono Orgánico de Nueva Santa Rosa,false
Cultivo de Maíz en Lago De Atitlan,Semilla de Maíz de Lago De Atitlan,true
Cultivo de Frijol en Lago De Atitlan,Semilla de Frijol de Lago De Atitlan,true
Cultivo de Maíz en Lago De Atitlan,Abono Orgánico de Lago De Atitlan,false
Cultivo de Maíz en Sololá,Semilla de Maíz de Sololá,true
Cultivo de Frijol en Sololá,Semilla de Frijol de Sololá,true
Cultivo de Maíz en Sololá,Abono Orgánico de Sololá,false
Cultivo de Maíz en San José Chacayá,Semilla de Maíz de San José Chacayá,true
Cultivo de Frijol en San José Chacayá,Semilla de Frijol de San José Chacayá,true
Cultivo de Maíz en San José Chacayá,Abono Orgánico de San José Chacayá,false
Cultivo de Maíz en Santa María Visitación,Semilla de Maíz de Santa María Visitación,true
Cultivo de Frijol en Santa María Visitación,Semilla de Frijol de Santa María Visitación,true
Cultivo de Maíz en Santa María Visitación,Abono Orgánico de Santa María Visitación,false
Cultivo de Maíz en Santa Lucía Utatlán,Semilla de Maíz de Santa Lucía Utatlán,true
Cultivo de Frijol en Santa Lucía Utatlán,Semilla de Frijol de Santa Lucía Utatlán,true
Cultivo de Maíz en Santa Lucía Utatlán,Abono Orgánico de Santa Lucía Utatlán,false
Cultivo de Maíz en Nahualá,Semilla de Maíz de Nahualá,true
Cultivo de Frijol en Nahualá,Semilla de Frijol de Nahualá,true
Cultivo de Maíz en Nahualá,Abono Orgánico de Nahualá,false
Cultivo de Maíz en Santa Catarina Ixtahuacán,Semilla de Maíz de Santa Catarina Ixtahuacán,true
Cultivo de Frijol en Santa Catarina Ixtahuacán,Semilla de Frijol de Santa Catarina Ixtahuacán,true
Cultivo de Maíz en Santa Catarina Ixtahuacán,Abono Orgánico de Santa Catarina Ixtahuacán,false
Cultivo de Maíz en Santa Clara La Laguna,Semilla de Maíz de Santa Clara La Laguna,true
Cultivo de Frijol en Santa Clara La Laguna,Semilla de Frijol de Santa Clara La Laguna,true
Cultivo de Maíz en Santa Clara La Laguna,Abono Orgánico de Santa Clara La Laguna,false
Cultivo de Maíz en Concepción,Semilla de Maíz de Concepción,true
Cultivo de Frijol en Concepción,Semilla de Frijol de Concepción,true
Cultivo de Maíz en Concepción,Abono Orgánico de Concepción,false
Cultivo de Maíz en San Andrés Semetabaj,Semilla de Maíz de San Andrés Semetabaj,true
Cultivo de Frijol en San Andrés Semetabaj,Semilla de Frijol de San Andrés Semetabaj,true
Cultivo de Maíz en San Andrés Semetabaj,Abono Orgánico de San Andrés Semetabaj,false
Cultivo de Maíz en Panajachel,Semilla de Maíz de Panajachel,true
Cultivo de Frijol en Panajachel,Semilla de Frijol de Panajachel,true
Cultivo de Maíz en Panajachel,Abono Orgánico de Panajachel,false
Cultivo de Maíz en Santa Catarina Palopó,Semilla de Maíz de Santa Catarina Palopó,true
Cultivo de Frijol en Santa Catarina Palopó,Semilla de Frijol de Santa Catarina Palopó,true
Cultivo de Maíz en Santa Catarina Palopó,Abono Orgánico de Santa Catarina Palopó,false
Cultivo de Maíz en San Antonio Palopó,Semilla de Maíz de San Antonio Palopó,true
Cultivo de Frijol en San Antonio Palopó,Semilla de Frijol de San Antonio Palopó,true
Cultivo de Maíz en San Antonio Palopó,Abono Orgánico de San Antonio Palopó,false
Cultivo de Maíz en San Lucas Tolimán,Semilla de Maíz de San Lucas Tolimán,true
Cultivo de Frijol en San Lucas Tolimán,Semilla de Frijol de San Lucas Tolimán,true
Cultivo de Maíz en San Lucas Tolimán,Abono Orgánico de San Lucas Tolimán,false
Cultivo de Maíz en Santa Cruz La Laguna,Semilla de Maíz de Santa Cruz La Laguna,true
Cultivo de Frijol en Santa Cruz La Laguna,Semilla de Frijol de Santa Cruz La Laguna,true
Cultivo de Maíz en Santa Cruz La Laguna,Abono Orgánico de Santa Cruz La Laguna,false
Cultivo de Maíz en San Pablo La Laguna,Semilla de Maíz de San Pablo La Laguna,true
Cultivo de Frijol en San Pablo La Laguna,Semilla de Frijol de San Pablo La Laguna,true
Cultivo de Maíz en San Pablo La Laguna,Abono Orgánico de San Pablo La Laguna,false
Cultivo de Maíz en San Marcos La Laguna,Semilla de Maíz de San Marcos La Laguna,true
Cultivo de Frijol en San Marcos La Laguna,Semilla de Frijol de San Marcos La Laguna,true
Cultivo de Maíz en San Marcos La Laguna,Abono Orgánico de San Marcos La Laguna,false
Cultivo de Maíz en San Juan La Laguna,Semilla de Maíz de San Juan La Laguna,true
Cultivo de Frijol en San Juan La Laguna,Semilla de Frijol de San Juan La Laguna,true
Cultivo de Maíz en San Juan La Laguna,Abono Orgánico de San Juan La Laguna,false
Cultivo de Maíz en San Pedro La Laguna,Semilla de Maíz de San Pedro La Laguna,true
Cultivo de Frijol en San Pedro La Laguna,Semilla de Frijol de San Pedro La Laguna,true
Cultivo de Maíz en San Pedro La Laguna,Abono Orgánico de San Pedro La Laguna,false
Cultivo de Maíz en Santiago Atitlán,Semilla de Maíz de Santiago Atitlán,true
Cultivo de Frijol en Santiago Atitlán,Semilla de Frijol de Santiago Atitlán,true
Cultivo de Maíz en Santiago Atitlán,Abono Orgánico de Santiago Atitlán,false
Cultivo de Maíz en Totonicapán,Semilla de Maíz de Totonicapán,true
Cultivo de Frijol en Totonicapán,Semilla de Frijol de Totonicapán,true
Cultivo de Maíz en Totonicapán,Abono Orgánico de Totonicapán,false
Cultivo de Maíz en San Cristóbal Totonicapán,Semilla de Maíz de San Cristóbal Totonicapán,true
Cultivo de Frijol en San Cristóbal Totonicapán,Semilla de Frijol de San Cristóbal Totonicapán,true
Cultivo de Maíz en San Cristóbal Totonicapán,Abono Orgánico de San Cristóbal Totonicapán,false
Cultivo de Maíz en San Francisco El Alto,Semilla de Maíz de San Francisco El Alto,true
Cultivo de Frijol en San Francisco El Alto,Semilla de Frijol de San Francisco El Alto,true
Cultivo de Maíz en San Francisco El Alto,Abono Orgánico de San Francisco El Alto,false
Cultivo de Maíz en San Andrés Xecul,Semilla de Maíz de San Andrés Xecul,true
Cultivo de Frijol en San Andrés Xecul,Semilla de Frijol de San Andrés Xecul,true
Cultivo de Maíz en San Andrés Xecul,Abono Orgánico de San Andrés Xecul,false
Cultivo de Maíz en Momostenango,Semilla de Maíz de Momostenango,true
Cultivo de Frijol en Momostenango,Semilla de Frijol de Momostenango,true
Cultivo de Maíz en Momostenango,Abono Orgánico de Momostenango,false
Cultivo de Maíz en Santa María Chiquimula,Semilla de Maíz de Santa María Chiquimula,true
Cultivo de Frijol en Santa María Chiquimula,Semilla de Frijol de Santa María Chiquimula,true
Cultivo de Maíz en Santa María Chiquimula,Abono Orgánico de Santa María Chiquimula,false
Cultivo de Maíz en Santa Lucía La Reforma,Semilla de Maíz de Santa Lucía La Reforma,true
Cultivo de Frijol en Santa Lucía La Reforma,Semilla de Frijol de Santa Lucía La Reforma,true
Cultivo de Maíz en Santa Lucía La Reforma,Abono Orgánico de Santa Lucía La Reforma,false
Cultivo de Maíz en San Bartolo,Semilla de Maíz de San Bartolo,true
Cultivo de Frijol en San Bartolo,Semilla de Frijol de San Bartolo,true
Cultivo de Maíz en San Bartolo,Abono Orgánico de San Bartolo,false
