nombre,tipo,municipio_pcode,capacidad_estimada
Centro de Acopio Agrícola Municipal de Siquinalá,Centro de Acopio,GT0504,1373 quintales por día
Taller Textil y Artesanal Municipal de Siquinalá,Taller Artesanal,GT0504,188 prendas tejidas por semana
Planta Procesadora Agroindustrial de Siquinalá,Taller Artesanal,GT0504,562 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Masagua,Centro de Acopio,GT0505,939 quintales por día
Taller Textil y Artesanal Municipal de Masagua,Taller Artesanal,GT0505,195 prendas tejidas por semana
Planta Procesadora Agroindustrial de Masagua,Centro de Acopio,GT0505,481 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Tiquisate,Centro de Acopio,GT0506,1073 quintales por día
Taller Textil y Artesanal Municipal de Tiquisate,Taller Artesanal,GT0506,328 prendas tejidas por semana
Planta Procesadora Agroindustrial de Tiquisate,Aserradero,GT0506,352 toneladas métricas por año
Centro de Acopio Agrícola Municipal de La Gomera,Centro de Acopio,GT0507,570 quintales por día
Taller Textil y Artesanal Municipal de La Gomera,Taller Artesanal,GT0507,225 prendas tejidas por semana
Planta Procesadora Agroindustrial de La Gomera,Procesadora,GT0507,862 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Guanagazapa,Centro de Acopio,GT0508,1104 quintales por día
Taller Textil y Artesanal Municipal de Guanagazapa,Taller Artesanal,GT0508,355 prendas tejidas por semana
Planta Procesadora Agroindustrial de Guanagazapa,Beneficio de Café,GT0508,621 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José,Centro de Acopio,GT0509,1627 quintales por día
Taller Textil y Artesanal Municipal de San José,Taller Artesanal,GT0509,345 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José,Taller Artesanal,GT0509,262 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Iztapa,Centro de Acopio,GT0510,679 quintales por día
Taller Textil y Artesanal Municipal de Iztapa,Taller Artesanal,GT0510,243 prendas tejidas por semana
Planta Procesadora Agroindustrial de Iztapa,Centro de Acopio,GT0510,592 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Palín,Centro de Acopio,GT0511,781 quintales por día
Taller Textil y Artesanal Municipal de Palín,Taller Artesanal,GT0511,314 prendas tejidas por semana
Planta Procesadora Agroindustrial de Palín,Aserradero,GT0511,404 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Vicente Pacaya,Centro de Acopio,GT0512,1816 quintales por día
Taller Textil y Artesanal Municipal de San Vicente Pacaya,Taller Artesanal,GT0512,369 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Vicente Pacaya,Procesadora,GT0512,455 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nueva Concepción,Centro de Acopio,GT0513,1791 quintales por día
Taller Textil y Artesanal Municipal de Nueva Concepción,Taller Artesanal,GT0513,378 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nueva Concepción,Beneficio de Café,GT0513,219 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sipacate,Centro de Acopio,GT0514,1283 quintales por día
Taller Textil y Artesanal Municipal de Sipacate,Taller Artesanal,GT0514,283 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sipacate,Taller Artesanal,GT0514,691 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Cuilapa,Centro de Acopio,GT0601,1615 quintales por día
Taller Textil y Artesanal Municipal de Cuilapa,Taller Artesanal,GT0601,348 prendas tejidas por semana
Planta Procesadora Agroindustrial de Cuilapa,Centro de Acopio,GT0601,552 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Barberena,Centro de Acopio,GT0602,1658 quintales por día
Taller Textil y Artesanal Municipal de Barberena,Taller Artesanal,GT0602,357 prendas tejidas por semana
Planta Procesadora Agroindustrial de Barberena,Aserradero,GT0602,529 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Rosa de Lima,Centro de Acopio,GT0603,1295 quintales por día
Taller Textil y Artesanal Municipal de Santa Rosa de Lima,Taller Artesanal,GT0603,238 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Rosa de Lima,Procesadora,GT0603,384 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Casillas,Centro de Acopio,GT0604,553 quintales por día
Taller Textil y Artesanal Municipal de Casillas,Taller Artesanal,GT0604,263 prendas tejidas por semana
Planta Procesadora Agroindustrial de Casillas,Beneficio de Café,GT0604,811 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Rafael Las Flores,Centro de Acopio,GT0605,948 quintales por día
Taller Textil y Artesanal Municipal de San Rafael Las Flores,Taller Artesanal,GT0605,115 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Rafael Las Flores,Taller Artesanal,GT0605,997 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Oratorio,Centro de Acopio,GT0606,1075 quintales por día
Taller Textil y Artesanal Municipal de Oratorio,Taller Artesanal,GT0606,129 prendas tejidas por semana
Planta Procesadora Agroindustrial de Oratorio,Centro de Acopio,GT0606,683 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San Juan Tecuaco,Centro de Acopio,GT0607,1584 quintales por día
Taller Textil y Artesanal Municipal de San Juan Tecuaco,Taller Artesanal,GT0607,283 prendas tejidas por semana
Planta Procesadora Agroindustrial de San Juan Tecuaco,Aserradero,GT0607,985 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Chiquimulilla,Centro de Acopio,GT0608,1696 quintales por día
Taller Textil y Artesanal Municipal de Chiquimulilla,Taller Artesanal,GT0608,219 prendas tejidas por semana
Planta Procesadora Agroindustrial de Chiquimulilla,Procesadora,GT0608,363 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Taxisco,Centro de Acopio,GT0609,705 quintales por día
Taller Textil y Artesanal Municipal de Taxisco,Taller Artesanal,GT0609,226 prendas tejidas por semana
Planta Procesadora Agroindustrial de Taxisco,Beneficio de Café,GT0609,872 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa María Ixhuatán,Centro de Acopio,GT0610,993 quintales por día
Taller Textil y Artesanal Municipal de Santa María Ixhuatán,Taller Artesanal,GT0610,236 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa María Ixhuatán,Taller Artesanal,GT0610,746 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Guazacapán,Centro de Acopio,GT0611,614 quintales por día
Taller Textil y Artesanal Municipal de Guazacapán,Taller Artesanal,GT0611,212 prendas tejidas por semana
Planta Procesadora Agroindustrial de Guazacapán,Centro de Acopio,GT0611,789 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Cruz Naranjo,Centro de Acopio,GT0612,1295 quintales por día
Taller Textil y Artesanal Municipal de Santa Cruz Naranjo,Taller Artesanal,GT0612,281 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Cruz Naranjo,Aserradero,GT0612,377 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Pueblo Nuevo Viñas,Centro de Acopio,GT0613,860 quintales por día
Taller Textil y Artesanal Municipal de Pueblo Nuevo Viñas,Taller Artesanal,GT0613,221 prendas tejidas por semana
Planta Procesadora Agroindustrial de Pueblo Nuevo Viñas,Procesadora,GT0613,806 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nueva Santa Rosa,Centro de Acopio,GT0614,1151 quintales por día
Taller Textil y Artesanal Municipal de Nueva Santa Rosa,Taller Artesanal,GT0614,283 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nueva Santa Rosa,Beneficio de Café,GT0614,805 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Lago De Atitlan,Centro de Acopio,GT0700,557 quintales por día
Taller Textil y Artesanal Municipal de Lago De Atitlan,Taller Artesanal,GT0700,280 prendas tejidas por semana
Planta Procesadora Agroindustrial de Lago De Atitlan,Taller Artesanal,GT0700,781 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Sololá,Centro de Acopio,GT0701,1654 quintales por día
Taller Textil y Artesanal Municipal de Sololá,Taller Artesanal,GT0701,172 prendas tejidas por semana
Planta Procesadora Agroindustrial de Sololá,Centro de Acopio,GT0701,776 toneladas métricas por año
Centro de Acopio Agrícola Municipal de San José Chacayá,Centro de Acopio,GT0702,885 quintales por día
Taller Textil y Artesanal Municipal de San José Chacayá,Taller Artesanal,GT0702,352 prendas tejidas por semana
Planta Procesadora Agroindustrial de San José Chacayá,Aserradero,GT0702,755 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa María Visitación,Centro de Acopio,GT0703,1132 quintales por día
Taller Textil y Artesanal Municipal de Santa María Visitación,Taller Artesanal,GT0703,189 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa María Visitación,Procesadora,GT0703,702 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Santa Lucía Utatlán,Centro de Acopio,GT0704,577 quintales por día
Taller Textil y Artesanal Municipal de Santa Lucía Utatlán,Taller Artesanal,GT0704,146 prendas tejidas por semana
Planta Procesadora Agroindustrial de Santa Lucía Utatlán,Beneficio de Café,GT0704,257 toneladas métricas por año
Centro de Acopio Agrícola Municipal de Nahualá,Centro de Acopio,GT0705,976 quintales por día
Taller Textil y Artesanal Municipal de Nahualá,Taller Artesanal,GT0705,212 prendas tejidas por semana
Planta Procesadora Agroindustrial de Nahualá,Taller Artesanal,GT0705,220 toneladas métricas por año
