municipio_pcode,actividad_nombre,certificacion_nombre,porcentaje_produccion,fecha_auditoria
GT0114,Cultivo de Frijol en Amatitlán,Certificación Orgánica y de Origen - Reg COOP-GT0114-B,58.00,2026-03-15
GT0114,Crianza de Aves en Amatitlán,Certificación Orgánica y de Origen - Reg ASO-GT0114-C,70.00,2026-03-15
GT0115,Cultivo de Maíz en Villa Nueva,Certificación Orgánica y de Origen - Reg COOP-GT0115-A,72.00,2026-03-15
GT0115,Cultivo de Frijol en Villa Nueva,Certificación Orgánica y de Origen - Reg COOP-GT0115-B,57.00,2026-03-15
GT0115,Crianza de Aves en Villa Nueva,Certificación Orgánica y de Origen - Reg ASO-GT0115-C,96.00,2026-03-15
GT0116,Cultivo de Maíz en Villa Canales,Certificación Orgánica y de Origen - Reg COOP-GT0116-A,61.00,2026-03-15
GT0116,Cultivo de Frijol en Villa Canales,Certificación Orgánica y de Origen - Reg COOP-GT0116-B,94.00,2026-03-15
GT0116,Crianza de Aves en Villa Canales,Certificación Orgánica y de Origen - Reg ASO-GT0116-C,76.00,2026-03-15
GT0117,Cultivo de Maíz en Petapa,Certificación Orgánica y de Origen - Reg COOP-GT0117-A,61.00,2026-03-15
GT0117,Cultivo de Frijol en Petapa,Certificación Orgánica y de Origen - Reg COOP-GT0117-B,63.00,2026-03-15
GT0117,Crianza de Aves en Petapa,Certificación Orgánica y de Origen - Reg ASO-GT0117-C,85.00,2026-03-15
GT0201,Cultivo de Maíz en Guastatoya,Certificación Orgánica y de Origen - Reg COOP-GT0201-A,69.00,2026-03-15
GT0201,Cultivo de Frijol en Guastatoya,Certificación Orgánica y de Origen - Reg COOP-GT0201-B,91.00,2026-03-15
GT0201,Producción Ganadera en Guastatoya,Certificación Orgánica y de Origen - Reg ASO-GT0201-C,77.00,2026-03-15
GT0202,Cultivo de Maíz en Morazán,Certificación Orgánica y de Origen - Reg COOP-GT0202-A,87.00,2026-03-15
GT0202,Cultivo de Frijol en Morazán,Certificación Orgánica y de Origen - Reg COOP-GT0202-B,90.00,2026-03-15
GT0202,Producción Ganadera en Morazán,Certificación Orgánica y de Origen - Reg ASO-GT0202-C,97.00,2026-03-15
GT0203,Cultivo de Maíz en San Agustín Acasaguastlán,Certificación Orgánica y de Origen - Reg COOP-GT0203-A,94.00,2026-03-15
GT0203,Cultivo de Frijol en San Agustín Acasaguastlán,Certificación Orgánica y de Origen - Reg COOP-GT0203-B,62.00,2026-03-15
GT0203,Producción Ganadera en San Agustín Acasaguastlán,Certificación Orgánica y de Origen - Reg ASO-GT0203-C,72.00,2026-03-15
GT0204,Cultivo de Maíz en San Cristóbal Acasaguastlán,Certificación Orgánica y de Origen - Reg COOP-GT0204-A,79.00,2026-03-15
GT0204,Cultivo de Frijol en San Cristóbal Acasaguastlán,Certificación Orgánica y de Origen - Reg COOP-GT0204-B,79.00,2026-03-15
GT0204,Producción Ganadera en San Cristóbal Acasaguastlán,Certificación Orgánica y de Origen - Reg ASO-GT0204-C,74.00,2026-03-15
GT0205,Cultivo de Maíz en El Jícaro,Certificación Orgánica y de Origen - Reg COOP-GT0205-A,90.00,2026-03-15
GT0205,Cultivo de Frijol en El Jícaro,Certificación Orgánica y de Origen - Reg COOP-GT0205-B,77.00,2026-03-15
GT0205,Producción Ganadera en El Jícaro,Certificación Orgánica y de Origen - Reg ASO-GT0205-C,70.00,2026-03-15
GT0206,Cultivo de Maíz en Sanarate,Certificación Orgánica y de Origen - Reg COOP-GT0206-A,67.00,2026-03-15
GT0206,Cultivo de Frijol en Sanarate,Certificación Orgánica y de Origen - Reg COOP-GT0206-B,60.00,2026-03-15
GT0206,Producción Ganadera en Sanarate,Certificación Orgánica y de Origen - Reg ASO-GT0206-C,98.00,2026-03-15
GT0207,Cultivo de Maíz en Sansare,Certificación Orgánica y de Origen - Reg COOP-GT0207-A,69.00,2026-03-15
GT0207,Cultivo de Frijol en Sansare,Certificación Orgánica y de Origen - Reg COOP-GT0207-B,94.00,2026-03-15
GT0207,Producción Ganadera en Sansare,Certificación Orgánica y de Origen - Reg ASO-GT0207-C,84.00,2026-03-15
GT0208,Cultivo de Maíz en San Antonio La Paz,Certificación Orgánica y de Origen - Reg COOP-GT0208-A,91.00,2026-03-15
GT0208,Cultivo de Frijol en San Antonio La Paz,Certificación Orgánica y de Origen - Reg COOP-GT0208-B,80.00,2026-03-15
GT0208,Producción Ganadera en San Antonio La Paz,Certificación Orgánica y de Origen - Reg ASO-GT0208-C,70.00,2026-03-15
GT0301,Cultivo de Maíz en Antigua Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0301-A,88.00,2026-03-15
GT0301,Cultivo de Frijol en Antigua Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0301-B,87.00,2026-03-15
GT0301,Cultivo de Flores en Antigua Guatemala,Certificación Orgánica y de Origen - Reg ASO-GT0301-C,77.00,2026-03-15
GT0301,Cultivo de Café en Antigua Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0301-A,76.00,2026-03-15
GT0302,Cultivo de Maíz en Jocotenango,Certificación Orgánica y de Origen - Reg COOP-GT0302-A,78.00,2026-03-15
GT0302,Cultivo de Frijol en Jocotenango,Certificación Orgánica y de Origen - Reg COOP-GT0302-B,86.00,2026-03-15
GT0302,Cultivo de Flores en Jocotenango,Certificación Orgánica y de Origen - Reg ASO-GT0302-C,96.00,2026-03-15
GT0302,Cultivo de Café en Jocotenango,Certificación Orgánica y de Origen - Reg COOP-GT0302-A,96.00,2026-03-15
GT0303,Cultivo de Maíz en Pastores,Certificación Orgánica y de Origen - Reg COOP-GT0303-A,85.00,2026-03-15
GT0303,Cultivo de Frijol en Pastores,Certificación Orgánica y de Origen - Reg COOP-GT0303-B,53.00,2026-03-15
GT0303,Cultivo de Flores en Pastores,Certificación Orgánica y de Origen - Reg ASO-GT0303-C,80.00,2026-03-15
GT0303,Cultivo de Café en Pastores,Certificación Orgánica y de Origen - Reg COOP-GT0303-A,70.00,2026-03-15
GT0303,Producción de Calzado en Pastores,Certificación Orgánica y de Origen - Reg ASO-GT0303-C,73.00,2026-03-15
GT0304,Cultivo de Maíz en Sumpango,Certificación Orgánica y de Origen - Reg COOP-GT0304-A,100.00,2026-03-15
GT0304,Cultivo de Frijol en Sumpango,Certificación Orgánica y de Origen - Reg COOP-GT0304-B,95.00,2026-03-15
GT0304,Cultivo de Flores en Sumpango,Certificación Orgánica y de Origen - Reg ASO-GT0304-C,83.00,2026-03-15
GT0304,Cultivo de Café en Sumpango,Certificación Orgánica y de Origen - Reg COOP-GT0304-A,83.00,2026-03-15
GT0305,Cultivo de Maíz en Santo Domingo Xenacoj,Certificación Orgánica y de Origen - Reg COOP-GT0305-A,91.00,2026-03-15
GT0305,Cultivo de Frijol en Santo Domingo Xenacoj,Certificación Orgánica y de Origen - Reg COOP-GT0305-B,87.00,2026-03-15
GT0305,Cultivo de Flores en Santo Domingo Xenacoj,Certificación Orgánica y de Origen - Reg ASO-GT0305-C,89.00,2026-03-15
GT0305,Cultivo de Café en Santo Domingo Xenacoj,Certificación Orgánica y de Origen - Reg COOP-GT0305-A,93.00,2026-03-15
GT0306,Cultivo de Maíz en Santiago Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0306-A,95.00,2026-03-15
GT0306,Cultivo de Frijol en Santiago Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0306-B,68.00,2026-03-15
GT0306,Cultivo de Flores en Santiago Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0306-C,71.00,2026-03-15
GT0306,Cultivo de Café en Santiago Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0306-A,85.00,2026-03-15
GT0307,Cultivo de Maíz en San Bartolomé Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0307-A,85.00,2026-03-15
GT0307,Cultivo de Frijol en San Bartolomé Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0307-B,81.00,2026-03-15
GT0307,Cultivo de Flores en San Bartolomé Milpas Altas,Certificación Orgánica y de Origen - Reg ASO-GT0307-C,86.00,2026-03-15
GT0307,Cultivo de Café en San Bartolomé Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0307-A,88.00,2026-03-15
GT0308,Cultivo de Maíz en San Lucas Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0308-A,99.00,2026-03-15
GT0308,Cultivo de Frijol en San Lucas Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0308-B,93.00,2026-03-15
GT0308,Cultivo de Flores en San Lucas Sacatepéquez,Certificación Orgánica y de Origen - Reg ASO-GT0308-C,98.00,2026-03-15
GT0308,Cultivo de Café en San Lucas Sacatepéquez,Certificación Orgánica y de Origen - Reg COOP-GT0308-A,96.00,2026-03-15
GT0309,Cultivo de Maíz en Santa Lucía Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0309-A,91.00,2026-03-15
GT0309,Cultivo de Frijol en Santa Lucía Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0309-B,64.00,2026-03-15
GT0309,Cultivo de Flores en Santa Lucía Milpas Altas,Certificación Orgánica y de Origen - Reg ASO-GT0309-C,92.00,2026-03-15
GT0309,Cultivo de Café en Santa Lucía Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0309-A,71.00,2026-03-15
GT0310,Cultivo de Maíz en Magdalena Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0310-A,93.00,2026-03-15
GT0310,Cultivo de Frijol en Magdalena Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0310-B,51.00,2026-03-15
GT0310,Cultivo de Flores en Magdalena Milpas Altas,Certificación Orgánica y de Origen - Reg ASO-GT0310-C,83.00,2026-03-15
GT0310,Cultivo de Café en Magdalena Milpas Altas,Certificación Orgánica y de Origen - Reg COOP-GT0310-A,88.00,2026-03-15
GT0311,Cultivo de Maíz en Santa María de Jesús,Certificación Orgánica y de Origen - Reg COOP-GT0311-A,80.00,2026-03-15
GT0311,Cultivo de Frijol en Santa María de Jesús,Certificación Orgánica y de Origen - Reg COOP-GT0311-B,85.00,2026-03-15
GT0311,Cultivo de Flores en Santa María de Jesús,Certificación Orgánica y de Origen - Reg ASO-GT0311-C,72.00,2026-03-15
GT0311,Cultivo de Café en Santa María de Jesús,Certificación Orgánica y de Origen - Reg COOP-GT0311-A,78.00,2026-03-15
GT0312,Cultivo de Maíz en Ciudad Vieja,Certificación Orgánica y de Origen - Reg COOP-GT0312-A,86.00,2026-03-15
GT0312,Cultivo de Frijol en Ciudad Vieja,Certificación Orgánica y de Origen - Reg COOP-GT0312-B,80.00,2026-03-15
GT0312,Cultivo de Flores en Ciudad Vieja,Certificación Orgánica y de Origen - Reg ASO-GT0312-C,73.00,2026-03-15
GT0312,Cultivo de Café en Ciudad Vieja,Certificación Orgánica y de Origen - Reg COOP-GT0312-A,85.00,2026-03-15
GT0313,Cultivo de Maíz en San Miguel Dueñas,Certificación Orgánica y de Origen - Reg COOP-GT0313-A,99.00,2026-03-15
GT0313,Cultivo de Frijol en San Miguel Dueñas,Certificación Orgánica y de Origen - Reg COOP-GT0313-B,91.00,2026-03-15
GT0313,Cultivo de Flores en San Miguel Dueñas,Certificación Orgánica y de Origen - Reg ASO-GT0313-C,81.00,2026-03-15
GT0313,Cultivo de Café en San Miguel Dueñas,Certificación Orgánica y de Origen - Reg COOP-GT0313-A,84.00,2026-03-15
GT0314,Cultivo de Maíz en Alotenango,Certificación Orgánica y de Origen - Reg COOP-GT0314-A,87.00,2026-03-15
GT0314,Cultivo de Frijol en Alotenango,Certificación Orgánica y de Origen - Reg COOP-GT0314-B,51.00,2026-03-15
GT0314,Cultivo de Flores en Alotenango,Certificación Orgánica y de Origen - Reg ASO-GT0314-C,75.00,2026-03-15
GT0314,Cultivo de Café en Alotenango,Certificación Orgánica y de Origen - Reg COOP-GT0314-A,79.00,2026-03-15
GT0315,Cultivo de Maíz en San Antonio Aguas Calientes,Certificación Orgánica y de Origen - Reg COOP-GT0315-A,72.00,2026-03-15
GT0315,Cultivo de Frijol en San Antonio Aguas Calientes,Certificación Orgánica y de Origen - Reg COOP-GT0315-B,80.00,2026-03-15
GT0315,Cultivo de Flores en San Antonio Aguas Calientes,Certificación Orgánica y de Origen - Reg ASO-GT0315-C,81.00,2026-03-15
GT0315,Cultivo de Café en San Antonio Aguas Calientes,Certificación Orgánica y de Origen - Reg COOP-GT0315-A,84.00,2026-03-15
GT0316,Cultivo de Maíz en Santa Catarina Barahona,Certificación Orgánica y de Origen - Reg COOP-GT0316-A,74.00,2026-03-15
GT0316,Cultivo de Frijol en Santa Catarina Barahona,Certificación Orgánica y de Origen - Reg COOP-GT0316-B,82.00,2026-03-15
GT0316,Cultivo de Flores en Santa Catarina Barahona,Certificación Orgánica y de Origen - Reg ASO-GT0316-C,77.00,2026-03-15
GT0316,Cultivo de Café en Santa Catarina Barahona,Certificación Orgánica y de Origen - Reg COOP-GT0316-A,88.00,2026-03-15
GT0401,Cultivo de Maíz en Chimaltenango,Certificación Orgánica y de Origen - Reg COOP-GT0401-A,81.00,2026-03-15
GT0401,Cultivo de Frijol en Chimaltenango,Certificación Orgánica y de Origen - Reg COOP-GT0401-B,88.00,2026-03-15
GT0401,Cultivo de Hortalizas en Chimaltenango,Certificación Orgánica y de Origen - Reg ASO-GT0401-C,97.00,2026-03-15
GT0402,Cultivo de Maíz en San José Poaquil,Certificación Orgánica y de Origen - Reg COOP-GT0402-A,89.00,2026-03-15
GT0402,Cultivo de Frijol en San José Poaquil,Certificación Orgánica y de Origen - Reg COOP-GT0402-B,58.00,2026-03-15
GT0402,Cultivo de Hortalizas en San José Poaquil,Certificación Orgánica y de Origen - Reg ASO-GT0402-C,98.00,2026-03-15
GT0403,Cultivo de Maíz en San Martín Jilotepeque,Certificación Orgánica y de Origen - Reg COOP-GT0403-A,78.00,2026-03-15
GT0403,Cultivo de Frijol en San Martín Jilotepeque,Certificación Orgánica y de Origen - Reg COOP-GT0403-B,95.00,2026-03-15
GT0403,Cultivo de Hortalizas en San Martín Jilotepeque,Certificación Orgánica y de Origen - Reg ASO-GT0403-C,82.00,2026-03-15
GT0404,Cultivo de Maíz en Comalapa,Certificación Orgánica y de Origen - Reg COOP-GT0404-A,86.00,2026-03-15
GT0404,Cultivo de Frijol en Comalapa,Certificación Orgánica y de Origen - Reg COOP-GT0404-B,93.00,2026-03-15
GT0404,Cultivo de Hortalizas en Comalapa,Certificación Orgánica y de Origen - Reg ASO-GT0404-C,90.00,2026-03-15
GT0405,Cultivo de Maíz en Santa Apolonia,Certificación Orgánica y de Origen - Reg COOP-GT0405-A,83.00,2026-03-15
GT0405,Cultivo de Frijol en Santa Apolonia,Certificación Orgánica y de Origen - Reg COOP-GT0405-B,80.00,2026-03-15
GT0405,Cultivo de Hortalizas en Santa Apolonia,Certificación Orgánica y de Origen - Reg ASO-GT0405-C,95.00,2026-03-15
GT0406,Cultivo de Maíz en Tecpán Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0406-A,70.00,2026-03-15
GT0406,Cultivo de Frijol en Tecpán Guatemala,Certificación Orgánica y de Origen - Reg COOP-GT0406-B,89.00,2026-03-15
GT0406,Cultivo de Hortalizas en Tecpán Guatemala,Certificación Orgánica y de Origen - Reg ASO-GT0406-C,76.00,2026-03-15
GT0407,Cultivo de Maíz en Patzún,Certificación Orgánica y de Origen - Reg COOP-GT0407-A,78.00,2026-03-15
GT0407,Cultivo de Frijol en Patzún,Certificación Orgánica y de Origen - Reg COOP-GT0407-B,94.00,2026-03-15
GT0407,Cultivo de Hortalizas en Patzún,Certificación Orgánica y de Origen - Reg ASO-GT0407-C,93.00,2026-03-15
GT0408,Cultivo de Maíz en Pochuta,Certificación Orgánica y de Origen - Reg COOP-GT0408-A,65.00,2026-03-15
GT0408,Cultivo de Frijol en Pochuta,Certificación Orgánica y de Origen - Reg COOP-GT0408-B,92.00,2026-03-15
GT0408,Cultivo de Hortalizas en Pochuta,Certificación Orgánica y de Origen - Reg ASO-GT0408-C,85.00,2026-03-15
GT0409,Cultivo de Maíz en Patzicía,Certificación Orgánica y de Origen - Reg COOP-GT0409-A,68.00,2026-03-15
GT0409,Cultivo de Frijol en Patzicía,Certificación Orgánica y de Origen - Reg COOP-GT0409-B,61.00,2026-03-15
GT0409,Cultivo de Hortalizas en Patzicía,Certificación Orgánica y de Origen - Reg ASO-GT0409-C,76.00,2026-03-15
GT0410,Cultivo de Maíz en Santa Cruz Balanyá,Certificación Orgánica y de Origen - Reg COOP-GT0410-A,70.00,2026-03-15
GT0410,Cultivo de Frijol en Santa Cruz Balanyá,Certificación Orgánica y de Origen - Reg COOP-GT0410-B,88.00,2026-03-15
GT0410,Cultivo de Hortalizas en Santa Cruz Balanyá,Certificación Orgánica y de Origen - Reg ASO-GT0410-C,85.00,2026-03-15
GT0411,Cultivo de Maíz en Acatenango,Certificación Orgánica y de Origen - Reg COOP-GT0411-A,66.00,2026-03-15
GT0411,Cultivo de Frijol en Acatenango,Certificación Orgánica y de Origen - Reg COOP-GT0411-B,76.00,2026-03-15
GT0411,Cultivo de Hortalizas en Acatenango,Certificación Orgánica y de Origen - Reg ASO-GT0411-C,100.00,2026-03-15
GT0412,Cultivo de Maíz en Yepocapa,Certificación Orgánica y de Origen - Reg COOP-GT0412-A,91.00,2026-03-15
GT0412,Cultivo de Frijol en Yepocapa,Certificación Orgánica y de Origen - Reg COOP-GT0412-B,69.00,2026-03-15
GT0412,Cultivo de Hortalizas en Yepocapa,Certificación Orgánica y de Origen - Reg ASO-GT0412-C,77.00,2026-03-15
GT0413,Cultivo de Maíz en San Andrés Itzapa,Certificación Orgánica y de Origen - Reg COOP-GT0413-A,73.00,2026-03-15
GT0413,Cultivo de Frijol en San Andrés Itzapa,Certificación Orgánica y de Origen - Reg COOP-GT0413-B,85.00,2026-03-15
GT0413,Cultivo de Hortalizas en San Andrés Itzapa,Certificación Orgánica y de Origen - Reg ASO-GT0413-C,71.00,2026-03-15
GT0414,Cultivo de Maíz en Parramos,Certificación Orgánica y de Origen - Reg COOP-GT0414-A,61.00,2026-03-15
GT0414,Cultivo de Frijol en Parramos,Certificación Orgánica y de Origen - Reg COOP-GT0414-B,72.00,2026-03-15
GT0414,Cultivo de Hortalizas en Parramos,Certificación Orgánica y de Origen - Reg ASO-GT0414-C,98.00,2026-03-15
GT0415,Cultivo de Maíz en Zaragoza,Certificación Orgánica y de Origen - Reg COOP-GT0415-A,76.00,2026-03-15
GT0415,Cultivo de Frijol en Zaragoza,Certificación Orgánica y de Origen - Reg COOP-GT0415-B,72.00,2026-03-15
GT0415,Cultivo de Hortalizas en Zaragoza,Certificación Orgánica y de Origen - Reg ASO-GT0415-C,91.00,2026-03-15
GT0416,Cultivo de Maíz en El Tejar,Certificación Orgánica y de Origen - Reg COOP-GT0416-A,70.00,2026-03-15
GT0416,Cultivo de Frijol en El Tejar,Certificación Orgánica y de Origen - Reg COOP-GT0416-B,61.00,2026-03-15
GT0416,Cultivo de Hortalizas en El Tejar,Certificación Orgánica y de Origen - Reg ASO-GT0416-C,96.00,2026-03-15
GT0501,Cultivo de Maíz en Escuintla,Certificación Orgánica y de Origen - Reg COOP-GT0501-A,92.00,2026-03-15
GT0501,Cultivo de Frijol en Escuintla,Certificación Orgánica y de Origen - Reg COOP-GT0501-B,52.00,2026-03-15
GT0501,Cultivo de Caña de Azúcar en Escuintla,Certificación Orgánica y de Origen - Reg ASO-GT0501-C,95.00,2026-03-15
GT0501,Cultivo de Banano en Escuintla,Certificación Orgánica y de Origen - Reg ASO-GT0501-C,72.00,2026-03-15
GT0501,Producción Ganadera en Escuintla,Certificación Orgánica y de Origen - Reg ASO-GT0501-C,80.00,2026-03-15
GT0502,Cultivo de Maíz en Santa Lucía Cotzumalguapa,Certificación Orgánica y de Origen - Reg COOP-GT0502-A,87.00,2026-03-15
GT0502,Cultivo de Frijol en Santa Lucía Cotzumalguapa,Certificación Orgánica y de Origen - Reg COOP-GT0502-B,57.00,2026-03-15
GT0502,Cultivo de Caña de Azúcar en Santa Lucía Cotzumalguapa,Certificación Orgánica y de Origen - Reg ASO-GT0502-C,89.00,2026-03-15
GT0502,Cultivo de Banano en Santa Lucía Cotzumalguapa,Certificación Orgánica y de Origen - Reg ASO-GT0502-C,77.00,2026-03-15
GT0502,Producción Ganadera en Santa Lucía Cotzumalguapa,Certificación Orgánica y de Origen - Reg ASO-GT0502-C,73.00,2026-03-15
GT0503,Cultivo de Maíz en La Democracia,Certificación Orgánica y de Origen - Reg COOP-GT0503-A,95.00,2026-03-15
GT0503,Cultivo de Frijol en La Democracia,Certificación Orgánica y de Origen - Reg COOP-GT0503-B,64.00,2026-03-15
GT0503,Cultivo de Caña de Azúcar en La Democracia,Certificación Orgánica y de Origen - Reg ASO-GT0503-C,85.00,2026-03-15
GT0503,Cultivo de Banano en La Democracia,Certificación Orgánica y de Origen - Reg ASO-GT0503-C,78.00,2026-03-15
GT0503,Producción Ganadera en La Democracia,Certificación Orgánica y de Origen - Reg ASO-GT0503-C,80.00,2026-03-15
GT0504,Cultivo de Maíz en Siquinalá,Certificación Orgánica y de Origen - Reg COOP-GT0504-A,82.00,2026-03-15
GT0504,Cultivo de Frijol en Siquinalá,Certificación Orgánica y de Origen - Reg COOP-GT0504-B,52.00,2026-03-15
GT0504,Cultivo de Caña de Azúcar en Siquinalá,Certificación Orgánica y de Origen - Reg ASO-GT0504-C,94.00,2026-03-15
GT0504,Cultivo de Banano en Siquinalá,Certificación Orgánica y de Origen - Reg ASO-GT0504-C,98.00,2026-03-15
GT0504,Producción Ganadera en Siquinalá,Certificación Orgánica y de Origen - Reg ASO-GT0504-C,87.00,2026-03-15
GT0505,Cultivo de Maíz en Masagua,Certificación Orgánica y de Origen - Reg COOP-GT0505-A,77.00,2026-03-15
