"Sentencias dictadas a los sindicados en los órganos jurisdiccionales por ley2/, tipo de sentencia y sexo, según departamento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regresar
Año 20201/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departamento,Total,,,,,,,,,,,,Del ramo penal,,,,,,,,,,,,De la Ley contra la Narcoactividad,,,,,,,,,,,,Ley de Equipo Terminales Móviles,,,,,,,,,,,,Ley Contra la Delincuencia Organizada,,,,,,,,,,,,Ley de Armas y Municiones,,,,,,,,,,,,Ley Contra el Lavado de Dinero u Otros Activos,,,,,,,,,,,,Otros3/,,,,,,,,,,,,
,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,Total,,,,Absolutorias,,,,Condenatorias,,,,
Quetzaltenango,759,623,133,3,82,65,17,-,677,558,116,3,243,186,57,-,32,24,8,-,211,162,49,-,63,51,12,-,4,4,-,-,59,47,12,-,34,23,11,-,14,11,3,-,20,12,8,-,43,27,16, -, -, -, -, -,43,27,16, -,46,42,4, -,6,6, -, -,40,36,4, -,2,1,1, -, -, -, -, -,2,1,1, -,328,293,32,3,26,20,6, -,302,273,26,3,
Suchitepéquez,472,437,33,2,77,75,2,-,395,362,31,2,142,119,23,-,17,16,1,-,125,103,22,-,46,43,3,-,-,-,-,-,46,43,3,-,14,11,3,-,2,1,1,-,12,10,2,-,7,7, -, -,5,5, -, -,2,2, -, -,55,54,1, -,10,10, -, -,45,44,1, -, -, -, -, -, -, -, -, -, -, -, -, -,208,203,3,2,43,43, -, -,165,160,3,2,
Retalhuelu,182,152,30,-,21,21,-,-,161,131,30,-,67,51,16,-,6,6,-,-,61,45,16,-,46,40,6,-,2,2,-,-,44,38,6,-,3,3,-,-,-,-,-,-,3,3,-,-, -, -, -, -, -, -, -, -, -, -, -, -,8,8, -, -,1,1, -, -,7,7, -, -, -, -, -, -, -, -, -, -, -, -, -, -,58,50,8, -,12,12, -, -,46,38,8, -,
San Marcos,305,262,41,2,29,27,2,-,276,235,39,2,68,52,16,-,3,3,-,-,65,49,16,-,18,14,4,-,-,-,-,-,18,14,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2, -,2, -, -, -, -, -,2, -,2, -,5,5, -, -, -, -, -, -,5,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -,212,191,19,2,26,24,2, -,186,167,17,2,
Huehuetenango,208,197,10,1,75,71,3,1,133,126,7,-,37,33,3,1,14,12,1,1,23,21,2,-,3,2,1,-,2,2,-,-,1,-,1,-,3,3,-,-,1,1,-,-,2,2,-,-,3,3, -, -, -, -, -, -,3,3, -, -,38,37,1, -,24,24, -, -,14,13,1, -, -, -, -, -, -, -, -, -, -, -, -, -,124,119,5, -,34,32,2, -,90,87,3, -,
Quiché,256,229,27,-,52,48,4,-,204,181,23,-,67,59,8,-,11,11,-,-,56,48,8,-,18,15,3,-,2,2,-,-,16,13,3,-,4,3,1,-,-,-,-,-,4,3,1,-,1,1, -, -, -, -, -, -,1,1, -, -,20,20, -, -,10,10, -, -,10,10, -, -, -, -, -, -, -, -, -, -, -, -, -, -,146,131,15, -,29,25,4, -,117,106,11, -,
Baja Verapaz,227,207,20,-,118,117,1,-,109,90,19,-,85,75,10,-,43,43,-,-,42,32,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, -, -, -, -, -, -, -, -, -, -, -, -,9,9, -, -,2,2, -, -,7,7, -, -, -, -, -, -, -, -, -, -, -, -, -, -,133,123,10, -,73,72,1, -,60,51,9, -,
Alta Verapaz,464,376,88,-,91,87,4,-,373,289,84,-,65,49,16,-,10,8,2,-,55,41,14,-,16,13,3,-,1,1,-,-,15,12,3,-,14,14,-,-,1,1,-,-,13,13,-,-,106,55,51, -,4,4, -, -,102,51,51, -,24,21,3, -,3,3, -, -,21,18,3, -,13,10,3, -, -, -, -, -,13,10,3, -,226,214,12, -,72,70,2, -,154,144,10, -,
Petén,421,374,47,-,191,181,10,-,230,193,37,-,139,109,30,-,73,69,4,-,66,40,26,-,39,36,3,-,8,6,2,-,31,30,1,-,1,1,-,-,-,-,-,-,1,1,-,-,19,19, -, -,19,19, -, -, -, -, -, -,44,44, -, -,28,28, -, -,16,16, -, -,2,2, -, -,2,2, -, -, -, -, -, -,177,163,14, -,61,57,4, -,116,106,10, -,
Izabal,604,486,118,-,126,123,3,-,478,363,115,-,159,126,33,-,35,34,1,-,124,92,32,-,5,4,1,-,1,1,-,-,4,3,1,-,7,7,-,-,3,3,-,-,4,4,-,-,70,49,21, -,5,4,1, -,65,45,20, -,24,23,1, -,13,13, -, -,11,10,1, -,158,104,54, -,2,2, -, -,156,102,54, -,181,173,8, -,67,66,1, -,114,107,7, -,
Zacapa,136,123,12,1,38,36,1,1,98,87,11,-,44,38,5,1,12,11,-,1,32,27,5,-,5,2,3,-,-,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-, -, -, -, -, -, -, -, -, -, -, -, -,11,11, -, -,5,5, -, -,6,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -,76,72,4, -,21,20,1, -,55,52,3, -,
Chiquimula,225,210,14,1,60,52,7,1,165,158,7,-,60,56,4,-,14,14,-,-,46,42,4,-,9,8,1,-,-,-,-,-,9,8,1,-,2,2,-,-,2,2,-,-,-,-,-,-, -, -, -, -, -, -, -, -, -, -, -, -,13,13, -, -,5,5, -, -,8,8, -, -, -, -, -, -, -, -, -, -, -, -, -, -,141,131,9,1,39,31,7,1,102,100,2, -,
Jalapa,154,143,11,-,22,22,-,-,132,121,11,-,57,50,7,-,9,9,-,-,48,41,7,-,13,11,2,-,-,-,-,-,13,11,2,-,4,4,-,-,-,-,-,-,4,4,-,-,2,2, -, -, -, -, -, -,2,2, -, -,21,19,2, -,2,2, -, -,19,17,2, -, -, -, -, -, -, -, -, -, -, -, -, -,57,57, -, -,11,11, -, -,46,46, -, -,
Jutiapa,256,219,37,-,64,33,31,-,192,186,6,-,34,31,3,-,5,2,3,-,29,29,-,-,35,30,5,-,-,-,-,-,35,30,5,-,1,1,-,-,-,-,-,-,1,1,-,-,28,8,20, -,28,8,20, -, -, -, -, -,12,12, -, -,2,2, -, -,10,10, -, -,1, -,1, -,1, -,1, -, -, -, -, -,145,137,8, -,28,21,7, -,117,116,1, -,
"Fuente:  Elaboración de la Unidad de Estadísticas Socioculturales y de Seguridad del Instituto Nacional de Estadística, INE, con datos del Organismo Judicial, OJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:  1/Información recibida el 19 de enero del 2021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               2/Los delitos incluyen el grado de tentativa según lo reportó la fuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          3/Otros incluye a otros delitos de otras leyes y a los ignorados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
